# 2Theta,Intensity
1.000000000000000000e+01,9.980049507329309677e-02
1.001999999999999957e+01,-5.330371035521601353e-02
1.003999999999999915e+01,1.834219380366492735e-01
1.006000000000000050e+01,7.030257489829838669e-02
1.008000000000000007e+01,1.729341240636833241e-02
1.009999999999999964e+01,4.023315628822606016e-02
1.011999999999999922e+01,1.432698932344373399e-01
1.014000000000000057e+01,3.329732877656418205e-02
1.016000000000000014e+01,6.759793922967213819e-02
1.017999999999999972e+01,-8.912789659123382391e-02
1.019999999999999929e+01,1.639971778464675844e-02
1.022000000000000064e+01,1.245157944267647337e-01
1.024000000000000021e+01,1.328326224892242002e-01
1.025999999999999979e+01,1.159499106000899948e-01
1.027999999999999936e+01,5.554533277575757905e-02
1.030000000000000071e+01,-1.443443319001659064e-01
1.032000000000000028e+01,6.152762431387701764e-02
1.033999999999999986e+01,3.610346655093246704e-02
1.035999999999999943e+01,9.550087686970540335e-02
1.038000000000000078e+01,-3.287069332458767562e-02
1.040000000000000036e+01,1.029173965322504603e-01
1.041999999999999993e+01,5.275100442119146082e-02
1.043999999999999950e+01,1.335083691419104435e-01
1.046000000000000085e+01,-2.089854323618542398e-02
1.048000000000000043e+01,-2.805403250753427113e-02
1.050000000000000000e+01,7.702336604370164930e-02
1.051999999999999957e+01,2.253630017280169040e-01
1.053999999999999915e+01,-9.641247668808300419e-02
1.056000000000000050e+01,-7.709269565123982870e-02
1.058000000000000007e+01,2.834191110805224789e-01
1.059999999999999964e+01,-6.197934531666816904e-02
1.061999999999999922e+01,1.316838337039679119e-01
1.064000000000000057e+01,1.859249443973107208e-01
1.066000000000000014e+01,-1.704883873852201526e-01
1.067999999999999972e+01,1.695411942298755692e-01
1.069999999999999929e+01,5.781260169479165989e-02
1.072000000000000064e+01,8.916658669180563268e-02
1.074000000000000021e+01,7.630900424211913566e-04
1.075999999999999979e+01,-8.580373961846671227e-02
1.077999999999999936e+01,1.137132790927530140e-01
1.080000000000000071e+01,9.289764043513973335e-02
1.082000000000000028e+01,1.416850272985487047e-01
1.083999999999999986e+01,1.274967116908758968e-01
1.085999999999999943e+01,-1.713660411148179852e-01
1.088000000000000078e+01,-7.337108225559153818e-02
1.090000000000000036e+01,2.572314106271076511e-02
1.091999999999999993e+01,8.599112332166973516e-04
1.093999999999999950e+01,-1.419327125291443281e-01
1.096000000000000085e+01,9.175680618998378890e-02
1.098000000000000043e+01,9.974768783322486565e-02
1.100000000000000000e+01,-1.066821346547058326e-02
1.101999999999999957e+01,-5.944736094757775702e-02
1.103999999999999915e+01,6.614307265292146409e-02
1.106000000000000050e+01,1.665635561519575314e-01
1.108000000000000007e+01,1.417090403270256371e-01
1.109999999999999964e+01,-7.708840117215801091e-03
1.112000000000000099e+01,-3.985114102062004005e-02
1.114000000000000057e+01,-4.119959803984692137e-02
1.116000000000000014e+01,2.490562491000771969e-02
1.117999999999999972e+01,-2.677279444929827473e-02
1.119999999999999929e+01,8.845106092831850342e-02
1.122000000000000064e+01,1.539926660454566942e-01
1.124000000000000021e+01,1.355774393079212659e-01
1.125999999999999979e+01,-2.668603821470585599e-02
1.127999999999999936e+01,-1.066187759253911238e-01
1.130000000000000071e+01,1.141547611359654824e-01
1.132000000000000028e+01,2.196666158944151070e-01
1.133999999999999986e+01,8.350816570876870570e-02
1.135999999999999943e+01,1.591949776116698134e-01
1.138000000000000078e+01,1.802536064648931069e-01
1.140000000000000036e+01,3.270410084948684876e-02
1.141999999999999993e+01,-3.185282210964626715e-02
1.143999999999999950e+01,8.901375187499538377e-02
1.146000000000000085e+01,-5.222525076584535325e-02
1.148000000000000043e+01,-9.149953537908864232e-02
1.150000000000000000e+01,7.715369548922650089e-02
1.151999999999999957e+01,7.363528882425338096e-02
1.153999999999999915e+01,1.004125297489081303e-01
1.156000000000000050e+01,-1.455123862346577313e-01
1.158000000000000007e+01,-2.187023015749188226e-01
1.159999999999999964e+01,-1.659299361834200986e-02
1.162000000000000099e+01,-1.583780219645549714e-01
1.164000000000000057e+01,-1.320497684403441341e-01
1.166000000000000014e+01,1.079553734737836168e-01
1.167999999999999972e+01,3.258100616277162520e-01
1.169999999999999929e+01,1.409662529514532081e-01
1.172000000000000064e+01,2.560384943489446008e-01
1.174000000000000021e+01,7.785443035299391412e-02
1.175999999999999979e+01,1.153902882717922213e-01
1.177999999999999936e+01,2.044856344620653854e-01
1.180000000000000071e+01,1.838468630491810751e-01
1.182000000000000028e+01,-2.051992485696383095e-01
1.183999999999999986e+01,-1.818071776816886920e-01
1.185999999999999943e+01,-4.203936477354273255e-02
1.188000000000000078e+01,3.704262543807034652e-02
1.190000000000000036e+01,4.217705322345476071e-02
1.191999999999999993e+01,1.229553061296058680e-01
1.193999999999999950e+01,-3.786147483311306378e-02
1.196000000000000085e+01,6.536984328299830227e-02
1.198000000000000043e+01,7.249136427813294981e-02
1.200000000000000000e+01,6.201039678990871717e-02
1.201999999999999957e+01,-4.158399656186166637e-02
1.203999999999999915e+01,1.168894984746403354e-01
1.206000000000000050e+01,6.393410165200265338e-02
1.208000000000000007e+01,9.707334749443315147e-02
