# 2Theta,Intensity
1.000000000000000000e+01,-5.072398878212665274e-02
1.001999999999999957e+01,-5.567798586909436520e-02
1.003999999999999915e+01,-2.713340205053575704e-02
1.006000000000000050e+01,1.123321363950289253e-01
1.008000000000000007e+01,9.083666686477806507e-02
1.009999999999999964e+01,1.926941090119891091e-03
1.011999999999999922e+01,9.468368799387852364e-02
1.014000000000000057e+01,1.680976418370576098e-01
1.016000000000000014e+01,1.838882933117386154e-01
1.017999999999999972e+01,-7.350616736038642629e-02
1.019999999999999929e+01,-2.076044202137794503e-02
1.022000000000000064e+01,6.490188064185550831e-02
1.024000000000000021e+01,5.928043390336595886e-02
1.025999999999999979e+01,1.576558382353745180e-01
1.027999999999999936e+01,6.053330618191805207e-02
1.030000000000000071e+01,1.012529532393625087e-01
1.032000000000000028e+01,5.143628937861024000e-03
1.033999999999999986e+01,5.594821503450068956e-02
1.035999999999999943e+01,4.175446884740532938e-02
1.038000000000000078e+01,1.216166685976446948e-01
1.040000000000000036e+01,2.221577813261121914e-01
1.041999999999999993e+01,1.454235609960327080e-01
1.043999999999999950e+01,1.130599961557959554e-01
1.046000000000000085e+01,9.480040776546211356e-02
1.048000000000000043e+01,6.679674614347751171e-02
1.050000000000000000e+01,1.981888841512568014e-02
1.051999999999999957e+01,8.282170777973713038e-02
1.053999999999999915e+01,1.876297348847143220e-01
1.056000000000000050e+01,1.774725256251960190e-02
1.058000000000000007e+01,1.547628168156845729e-01
1.059999999999999964e+01,2.055812509810787392e-01
1.061999999999999922e+01,1.727425704565913045e-01
1.064000000000000057e+01,1.464931938441005055e-01
1.066000000000000014e+01,-1.575261026245824703e-01
1.067999999999999972e+01,1.039902574802115259e-01
1.069999999999999929e+01,3.363836616448805800e-02
1.072000000000000064e+01,1.194762320196347399e-01
1.074000000000000021e+01,2.932961265399349204e-01
1.075999999999999979e+01,1.236207922221096434e-01
1.077999999999999936e+01,9.221466033336335466e-02
1.080000000000000071e+01,2.057031978994768029e-01
1.082000000000000028e+01,1.475260447462136693e-01
1.083999999999999986e+01,-1.490600124132948900e-01
1.085999999999999943e+01,1.864735754703414905e-01
1.088000000000000078e+01,4.205134698379827188e-03
