# 2Theta,Intensity
1.000000000000000000e+01,2.687096702717792218e-01
1.001999999999999957e+01,6.419682106412236133e-02
1.003999999999999915e+01,2.224786203391368733e-01
1.006000000000000050e+01,1.430119039164576278e-01
1.008000000000000007e+01,4.442839014483185855e-01
1.009999999999999964e+01,1.259568775225030079e-01
1.011999999999999922e+01,6.865100384372026243e-02
1.014000000000000057e+01,8.792485409062299195e-02
1.016000000000000014e+01,2.886694802928670422e-01
1.017999999999999972e+01,-3.356359996395211209e-02
1.019999999999999929e+01,1.330060984202567353e-01
1.022000000000000064e+01,1.098666161879597314e-01
1.024000000000000021e+01,-1.335577793862998131e-01
1.025999999999999979e+01,1.169706018278193760e-01
1.027999999999999936e+01,-1.790260256257070887e-02
1.030000000000000071e+01,7.359115078455187586e-02
1.032000000000000028e+01,2.482431847258240731e-01
1.033999999999999986e+01,9.503952215318092756e-02
1.035999999999999943e+01,9.428205878722699385e-02
1.038000000000000078e+01,2.398465538748423709e-03
1.040000000000000036e+01,-4.952966600680488996e-02
1.041999999999999993e+01,1.529911982544360505e-01
1.043999999999999950e+01,2.252473806714808402e-01
1.046000000000000085e+01,2.189459019111025251e-01
1.048000000000000043e+01,2.863592762199868025e-01
1.050000000000000000e+01,2.007021912830568300e-01
1.051999999999999957e+01,5.010388343908409037e-02
1.053999999999999915e+01,1.998092996834990344e-03
1.056000000000000050e+01,6.769583366679372827e-02
1.058000000000000007e+01,2.053314471470693847e-01
1.059999999999999964e+01,1.512366939444620972e-01
1.061999999999999922e+01,2.655657573946020866e-01
1.064000000000000057e+01,-1.593444607624473416e-02
1.066000000000000014e+01,1.797921325471517340e-01
1.067999999999999972e+01,1.646602688199750586e-01
1.069999999999999929e+01,-2.090856665718260690e-02
1.072000000000000064e+01,1.179483638586342337e-01
1.074000000000000021e+01,2.881692044474393199e-01
1.075999999999999979e+01,-1.025691578221455957e-01
1.077999999999999936e+01,2.699283550934563070e-01
1.080000000000000071e+01,2.033468194216344616e-01
1.082000000000000028e+01,1.285786199023335186e-02
1.083999999999999986e+01,9.973488547344373789e-03
1.085999999999999943e+01,1.917133321363680698e-01
1.088000000000000078e+01,1.017969057344654538e-01
1.090000000000000036e+01,7.863952309289015674e-02
1.091999999999999993e+01,3.151077261960154030e-01
1.093999999999999950e+01,2.797926641734316822e-01
1.096000000000000085e+01,6.695783297621793473e-02
1.098000000000000043e+01,2.020891112980960913e-01
1.100000000000000000e+01,-1.147215266268642175e-01
1.101999999999999957e+01,1.568244794102093553e-01
1.103999999999999915e+01,1.410924897735089112e-01
1.106000000000000050e+01,1.571412031873492196e-02
1.108000000000000007e+01,-4.328840346792673516e-02
1.109999999999999964e+01,2.905926997570779102e-01
1.112000000000000099e+01,8.816621953119149757e-02
1.114000000000000057e+01,1.885064895921895189e-01
1.116000000000000014e+01,1.668045889146481942e-01
