# 2Theta,Intensity
1.000000000000000000e+01,-5.332240951931156714e-02
1.001999999999999957e+01,7.247759260786810652e-04
1.003999999999999915e+01,1.311628082174733645e-01
1.006000000000000050e+01,5.798208835448911275e-02
1.008000000000000007e+01,9.738565191022099943e-02
1.009999999999999964e+01,-6.067644985319273904e-02
1.011999999999999922e+01,1.186146881736859920e-01
1.014000000000000057e+01,1.358528222061311866e-02
1.016000000000000014e+01,-3.789436967519590332e-02
1.017999999999999972e+01,2.655520717289340804e-01
1.019999999999999929e+01,-9.615108522961229864e-02
1.022000000000000064e+01,2.449959966742663031e-01
1.024000000000000021e+01,7.058745048117000265e-02
1.025999999999999979e+01,-1.690906046476561286e-01
1.027999999999999936e+01,1.025315947283479412e-01
1.030000000000000071e+01,1.458652567117448839e-01
1.032000000000000028e+01,-3.152618422806242101e-03
1.033999999999999986e+01,2.559852576716785746e-02
1.035999999999999943e+01,-2.270709017597885224e-02
1.038000000000000078e+01,-5.389264896559253087e-02
1.040000000000000036e+01,1.934487944336156853e-02
1.041999999999999993e+01,1.284602045097943956e-01
1.043999999999999950e+01,2.654915398856120268e-01
1.046000000000000085e+01,1.771134757480653452e-02
1.048000000000000043e+01,-1.012670988827302360e-01
1.050000000000000000e+01,1.317532645884954556e-01
1.051999999999999957e+01,8.168116523930533945e-02
1.053999999999999915e+01,9.981262150208070061e-02
1.056000000000000050e+01,1.030688059542704260e-01
1.058000000000000007e+01,2.014991417460604839e-01
1.059999999999999964e+01,2.125172410856833796e-02
1.061999999999999922e+01,2.460662084922841247e-02
1.064000000000000057e+01,1.245807418984501425e-01
1.066000000000000014e+01,-2.873528183921440424e-02
1.067999999999999972e+01,1.250012478519849646e-01
1.069999999999999929e+01,6.980257504099907084e-02
1.072000000000000064e+01,2.141616188144279953e-01
1.074000000000000021e+01,2.804561803057661895e-02
1.075999999999999979e+01,6.482855032574928733e-02
1.077999999999999936e+01,2.063570070713613147e-01
1.080000000000000071e+01,4.222175238779080769e-02
1.082000000000000028e+01,1.150738330486597016e-01
1.083999999999999986e+01,2.895376095068227448e-02
1.085999999999999943e+01,-1.169378890085416012e-01
1.088000000000000078e+01,2.033672492629923223e-02
1.090000000000000036e+01,7.315853044677293748e-02
1.091999999999999993e+01,4.422634663861819276e-02
1.093999999999999950e+01,2.318410677304869397e-02
1.096000000000000085e+01,6.685453491150093741e-02
1.098000000000000043e+01,4.446646192752377186e-02
1.100000000000000000e+01,2.186984119761862244e-01
1.101999999999999957e+01,6.816666464890357158e-02
1.103999999999999915e+01,1.236673946350523232e-02
1.106000000000000050e+01,1.792708762923064525e-01
1.108000000000000007e+01,1.262505358275063105e-01
1.109999999999999964e+01,7.469499903238423222e-02
1.112000000000000099e+01,-6.330906265650687592e-02
1.114000000000000057e+01,-8.718646739325376779e-04
1.116000000000000014e+01,1.264632715483426373e-01
1.117999999999999972e+01,6.954757801087731173e-02
1.119999999999999929e+01,1.824905587771646076e-01
1.122000000000000064e+01,5.353462788881326734e-02
1.124000000000000021e+01,-7.615996990000447817e-03
1.125999999999999979e+01,-2.210271455289173487e-02
1.127999999999999936e+01,1.151349430574335336e-02
1.130000000000000071e+01,1.788577728742505035e-01
1.132000000000000028e+01,2.622471902088038820e-01
1.133999999999999986e+01,-3.536992930291433385e-02
1.135999999999999943e+01,-4.249033989360103541e-02
1.138000000000000078e+01,2.506205423365082466e-02
1.140000000000000036e+01,8.001228738511263761e-02
1.141999999999999993e+01,2.686270769825902516e-01
1.143999999999999950e+01,1.162908766729495447e-01
1.146000000000000085e+01,1.799195794075217347e-01
1.148000000000000043e+01,-5.773607024297366247e-02
1.150000000000000000e+01,1.228018307812143994e-02
1.151999999999999957e+01,2.174955451024322139e-01
1.153999999999999915e+01,7.755018983257198906e-02
1.156000000000000050e+01,-3.784309820343291150e-03
1.158000000000000007e+01,4.093756466221767226e-02
1.159999999999999964e+01,-1.519416532821170861e-03
1.162000000000000099e+01,1.728015853037383476e-01
1.164000000000000057e+01,-2.272133979239829293e-02
1.166000000000000014e+01,6.998556582885781530e-02
1.167999999999999972e+01,-7.042923697275339789e-02
1.169999999999999929e+01,1.700459777677219286e-01
1.172000000000000064e+01,1.757725839115568955e-02
1.174000000000000021e+01,3.528175222507547257e-03
1.175999999999999979e+01,7.662638575624797221e-03
1.177999999999999936e+01,8.756763830982432217e-02
1.180000000000000071e+01,1.398401054852436987e-01
1.182000000000000028e+01,5.931136085456595319e-02
1.183999999999999986e+01,-4.213655736523741480e-02
1.185999999999999943e+01,1.182976011994584381e-01
1.188000000000000078e+01,5.846809231280750141e-02
1.190000000000000036e+01,1.177284227631617275e-01
1.191999999999999993e+01,-9.609457653655917309e-02
1.193999999999999950e+01,9.588433567778986699e-02
1.196000000000000085e+01,1.349180055459527627e-01
1.198000000000000043e+01,8.413260279409873199e-02
1.200000000000000000e+01,-7.470187887464260768e-02
1.201999999999999957e+01,-1.395024317463842978e-01
1.203999999999999915e+01,-3.818047018118977953e-02
1.206000000000000050e+01,1.305397014814821954e-01
1.208000000000000007e+01,7.098773884348164032e-02
1.209999999999999964e+01,1.141161922419041269e-01
1.212000000000000099e+01,2.028150852374146357e-02
1.214000000000000057e+01,4.120984899504593485e-03
1.216000000000000014e+01,-1.037322492414211872e-01
1.217999999999999972e+01,-1.109106561516729067e-01
1.219999999999999929e+01,2.627345454565950811e-01
1.222000000000000064e+01,1.592229909179243841e-01
1.224000000000000021e+01,6.096550861142135957e-02
1.225999999999999979e+01,8.182006683456852225e-02
1.228000000000000114e+01,7.141092306992949217e-03
1.230000000000000071e+01,-1.053303601393458244e-01
1.232000000000000028e+01,-9.593383797842842953e-02
1.233999999999999986e+01,5.627452977684819189e-03
1.235999999999999943e+01,-3.283296346150510470e-02
1.237999999999999901e+01,1.279187099364861302e-01
1.240000000000000036e+01,1.769853526654610043e-01
1.241999999999999993e+01,1.118306187996077339e-01
1.243999999999999950e+01,-5.285829307750657124e-02
1.246000000000000085e+01,-1.385271088506680008e-02
1.248000000000000043e+01,6.892865829927319332e-03
1.250000000000000000e+01,5.063427100298829864e-02
1.251999999999999957e+01,-2.943388710510690121e-02
1.253999999999999915e+01,9.679738591875985954e-03
1.256000000000000050e+01,-1.978261418584754613e-02
1.258000000000000007e+01,2.081077911680329628e-01
1.259999999999999964e+01,7.278089029051588998e-02
1.262000000000000099e+01,1.057986325511556247e-01
1.264000000000000057e+01,1.339989954684276396e-01
1.266000000000000014e+01,-6.332448548379211728e-02
1.267999999999999972e+01,-6.548395874247299464e-02
1.269999999999999929e+01,8.694699885933436512e-02
1.272000000000000064e+01,-1.873840594089116740e-01
1.274000000000000021e+01,2.511410738338345494e-01
1.275999999999999979e+01,1.522779524570574972e-01
1.278000000000000114e+01,1.180539563437561779e-02
1.280000000000000071e+01,6.708871823308758253e-02
1.282000000000000028e+01,1.252468908018135041e-01
1.283999999999999986e+01,1.591952277384256487e-01
1.285999999999999943e+01,1.122444351574456572e-01
1.287999999999999901e+01,8.310945285530926818e-02
1.290000000000000036e+01,1.050665524497032266e-01
1.291999999999999993e+01,-1.541650848768945092e-01
1.293999999999999950e+01,1.404083638511588808e-02
1.296000000000000085e+01,-1.084922463375928708e-01
1.298000000000000043e+01,1.019543519729866898e-01
