# 2Theta,Intensity
1.000000000000000000e+01,4.265683371829906423e-01
1.001999999999999957e+01,2.644630699463270673e-01
1.003999999999999915e+01,4.204485766054049112e-01
1.006000000000000050e+01,3.534780845115648162e-01
1.008000000000000007e+01,3.404710615346113189e-01
1.009999999999999964e+01,3.731531545346076784e-01
1.011999999999999922e+01,4.288793852139450302e-01
1.014000000000000057e+01,4.824817752798012394e-01
1.016000000000000014e+01,4.289594424872300582e-01
1.017999999999999972e+01,3.517653691737847033e-01
1.019999999999999929e+01,4.771573528732085401e-01
1.022000000000000064e+01,3.110338640184900361e-01
1.024000000000000021e+01,2.320530569367235951e-01
1.025999999999999979e+01,3.825725557562066892e-01
1.027999999999999936e+01,5.127759537197206230e-01
1.030000000000000071e+01,4.941865225090753544e-01
1.032000000000000028e+01,5.078317308808812935e-01
1.033999999999999986e+01,4.013389381906154463e-01
1.035999999999999943e+01,3.431328437432890066e-01
1.038000000000000078e+01,1.424312208715252659e-01
1.040000000000000036e+01,2.223644654420728062e-01
1.041999999999999993e+01,5.872895097941479570e-01
1.043999999999999950e+01,1.298464208759093907e-01
1.046000000000000085e+01,2.457385619845544045e-01
1.048000000000000043e+01,2.073210303311492919e-01
1.050000000000000000e+01,4.426891785914582322e-01
1.051999999999999957e+01,2.426694821749461051e-01
1.053999999999999915e+01,2.843929729822751717e-01
1.056000000000000050e+01,1.968185581499758974e-01
1.058000000000000007e+01,2.694151210169216659e-01
1.059999999999999964e+01,3.650805552122780018e-01
1.061999999999999922e+01,3.276680363110081595e-01
1.064000000000000057e+01,1.972929935346459940e-01
1.066000000000000014e+01,4.947533864111895441e-01
1.067999999999999972e+01,6.612314264104386385e-01
1.069999999999999929e+01,1.743520776701443231e-01
1.072000000000000064e+01,3.730744535281986241e-01
1.074000000000000021e+01,1.718191300955772549e-01
1.075999999999999979e+01,5.825072494843307469e-01
1.077999999999999936e+01,4.972766626106440158e-01
1.080000000000000071e+01,3.980822605817135318e-01
1.082000000000000028e+01,1.243870055935279995e-01
1.083999999999999986e+01,2.794604873636903353e-01
1.085999999999999943e+01,6.394075951999785845e-01
1.088000000000000078e+01,3.385554401681237224e-01
1.090000000000000036e+01,2.383999714973034367e-01
1.091999999999999993e+01,6.221451399282426076e-01
1.093999999999999950e+01,5.655858261032755685e-01
1.096000000000000085e+01,7.367516876267475867e-01
1.098000000000000043e+01,2.271843606001018312e-01
1.100000000000000000e+01,4.721014670341039388e-01
1.101999999999999957e+01,3.386723058173939926e-01
1.103999999999999915e+01,5.186597648934206939e-01
1.106000000000000050e+01,2.062520532867712642e-01
1.108000000000000007e+01,6.197033976964050339e-01
1.109999999999999964e+01,3.904884656596704362e-01
1.112000000000000099e+01,4.412665259000434492e-01
1.114000000000000057e+01,4.360422829326747740e-01
1.116000000000000014e+01,2.865469373188185287e-01
1.117999999999999972e+01,2.462265424294986793e-01
1.119999999999999929e+01,2.668572976451499268e-01
1.122000000000000064e+01,2.651500767453831009e-01
1.124000000000000021e+01,6.343744594742111165e-01
1.125999999999999979e+01,5.135262714506370063e-01
1.127999999999999936e+01,2.716818431228896213e-01
1.130000000000000071e+01,3.013854969030853037e-01
1.132000000000000028e+01,4.182184072501967109e-01
1.133999999999999986e+01,3.811769956640266854e-01
1.135999999999999943e+01,3.353680891829333155e-01
1.138000000000000078e+01,2.597309723034132434e-01
1.140000000000000036e+01,3.888863680185112859e-01
1.141999999999999993e+01,1.250941539392132207e-01
1.143999999999999950e+01,1.895440771164695892e-01
1.146000000000000085e+01,2.399825549101388400e-01
1.148000000000000043e+01,3.849817574398005371e-02
1.150000000000000000e+01,3.498740880529079278e-01
1.151999999999999957e+01,3.893056797896267129e-01
1.153999999999999915e+01,5.696945473153257611e-01
1.156000000000000050e+01,4.705089279496645349e-01
1.158000000000000007e+01,3.086730583916654780e-01
1.159999999999999964e+01,4.536282807304813369e-01
1.162000000000000099e+01,3.959125832898099384e-01
1.164000000000000057e+01,2.075102745317843889e-01
1.166000000000000014e+01,3.308166550993169586e-01
1.167999999999999972e+01,5.639275267326672170e-01
1.169999999999999929e+01,3.055795780525064620e-01
1.172000000000000064e+01,4.837647392909935062e-01
1.174000000000000021e+01,5.267139165194730799e-01
1.175999999999999979e+01,3.428348470913365476e-01
1.177999999999999936e+01,3.596463835729905023e-01
1.180000000000000071e+01,4.543888751717728991e-01
1.182000000000000028e+01,3.841239804952121806e-01
1.183999999999999986e+01,6.390632015321181525e-01
1.185999999999999943e+01,2.799212991932572003e-01
1.188000000000000078e+01,4.605554224928021245e-01
1.190000000000000036e+01,2.540269981245377173e-01
1.191999999999999993e+01,6.218877994618199345e-01
1.193999999999999950e+01,1.494815964920289675e-01
1.196000000000000085e+01,6.337839279702571493e-02
1.198000000000000043e+01,3.834422929328610286e-01
1.200000000000000000e+01,2.143172165654456396e-01
1.201999999999999957e+01,5.140228361800326384e-01
1.203999999999999915e+01,4.719514036520766620e-01
1.206000000000000050e+01,3.499509000597122443e-01
1.208000000000000007e+01,4.488861900963217466e-01
1.209999999999999964e+01,4.924463537900345411e-01
1.212000000000000099e+01,4.259462895408223648e-01
1.214000000000000057e+01,3.339722598251235186e-01
1.216000000000000014e+01,5.245302698821147080e-01
1.217999999999999972e+01,4.155995833913692650e-01
1.219999999999999929e+01,2.089761225898746633e-01
1.222000000000000064e+01,6.101217923266580856e-01
1.224000000000000021e+01,4.337337328289577743e-01
1.225999999999999979e+01,4.617579935969944316e-01
1.228000000000000114e+01,3.518581505447203606e-01
1.230000000000000071e+01,2.853955705013547228e-01
1.232000000000000028e+01,3.342852648594528131e-01
1.233999999999999986e+01,4.049034989586030031e-01
1.235999999999999943e+01,4.844500925652552858e-01
1.237999999999999901e+01,4.041257559620924367e-01
1.240000000000000036e+01,4.123200733054735445e-01
1.241999999999999993e+01,4.262612817792290065e-01
1.243999999999999950e+01,4.912159426910002180e-01
1.246000000000000085e+01,4.631446120540039790e-01
1.248000000000000043e+01,3.333454657132380872e-01
1.250000000000000000e+01,2.735790793747909788e-01
1.251999999999999957e+01,3.652443141235984236e-01
1.253999999999999915e+01,4.271025655324586778e-01
1.256000000000000050e+01,4.210144890818776076e-01
1.258000000000000007e+01,3.027096042920719432e-01
1.259999999999999964e+01,2.501919633346122440e-01
1.262000000000000099e+01,5.389211122229491391e-01
1.264000000000000057e+01,3.573815872644049429e-01
1.266000000000000014e+01,2.586572800363395874e-01
1.267999999999999972e+01,4.808629843357393741e-01
1.269999999999999929e+01,2.940258254328702026e-01
1.272000000000000064e+01,4.342953003966297798e-01
