# 2Theta,Intensity
1.000000000000000000e+01,3.054942947884876636e-01
1.001999999999999957e+01,3.127914495217961055e-01
1.003999999999999915e+01,1.729269927846113775e-01
1.006000000000000050e+01,2.233790717007195226e-01
1.008000000000000007e+01,2.172933407526470573e-01
1.009999999999999964e+01,-2.950987720935640754e-02
1.011999999999999922e+01,-1.234358082868502876e-01
1.014000000000000057e+01,1.441951428812212610e-01
1.016000000000000014e+01,2.344226717544125316e-01
1.017999999999999972e+01,1.684065806249025743e-01
1.019999999999999929e+01,2.506623374125874770e-01
1.022000000000000064e+01,3.934564113182062450e-01
1.024000000000000021e+01,2.521949956108673896e-01
1.025999999999999979e+01,1.028366844440335298e-01
1.027999999999999936e+01,9.496191992785059377e-02
1.030000000000000071e+01,1.933692817081643645e-01
1.032000000000000028e+01,3.213388103825691178e-01
1.033999999999999986e+01,1.120325641775909292e-01
1.035999999999999943e+01,1.258965590984768845e-01
1.038000000000000078e+01,1.946497627305273370e-01
1.040000000000000036e+01,9.286615924015019508e-02
1.041999999999999993e+01,1.670735765567366859e-01
1.043999999999999950e+01,5.584043570149373192e-02
1.046000000000000085e+01,2.793268242760884035e-01
1.048000000000000043e+01,1.763231854145204114e-01
1.050000000000000000e+01,2.969561791301194090e-02
1.051999999999999957e+01,1.116945574298929683e-02
1.053999999999999915e+01,2.839002256714631134e-01
1.056000000000000050e+01,1.663073479841510327e-01
1.058000000000000007e+01,2.029066692077852452e-01
1.059999999999999964e+01,9.523345772741341475e-02
1.061999999999999922e+01,2.135750296528234893e-01
1.064000000000000057e+01,3.233628132267769018e-01
1.066000000000000014e+01,2.124390731549074540e-01
1.067999999999999972e+01,2.677623426889935709e-01
1.069999999999999929e+01,2.410112829979730309e-01
1.072000000000000064e+01,2.930951283234594640e-01
1.074000000000000021e+01,2.528142405206757481e-01
1.075999999999999979e+01,3.053956262075930850e-01
1.077999999999999936e+01,1.479485654877702450e-01
1.080000000000000071e+01,8.689415813542783473e-02
1.082000000000000028e+01,2.520871222604152417e-01
1.083999999999999986e+01,-1.206266370086499229e-02
1.085999999999999943e+01,3.359679125478969713e-02
1.088000000000000078e+01,2.350527287300213097e-01
1.090000000000000036e+01,1.537336882519307057e-01
1.091999999999999993e+01,2.294774344361950602e-01
1.093999999999999950e+01,3.770079481114299025e-01
1.096000000000000085e+01,4.958661022824191467e-02
1.098000000000000043e+01,3.213927143681449272e-01
1.100000000000000000e+01,2.823849212031176448e-01
1.101999999999999957e+01,1.969556554585448482e-02
1.103999999999999915e+01,2.058905798383877106e-01
1.106000000000000050e+01,3.135244830194244825e-01
1.108000000000000007e+01,1.175670153268560392e-01
1.109999999999999964e+01,1.910295476250531421e-01
1.112000000000000099e+01,1.676080572986511918e-01
1.114000000000000057e+01,2.086355002323029163e-03
1.116000000000000014e+01,4.316717956417066154e-02
1.117999999999999972e+01,1.539016268892741957e-01
1.119999999999999929e+01,1.362581626240597366e-01
1.122000000000000064e+01,-1.954857520159202292e-02
1.124000000000000021e+01,1.245346120120731509e-01
1.125999999999999979e+01,8.773750378052234955e-02
1.127999999999999936e+01,2.875136547980753840e-02
1.130000000000000071e+01,4.790562397969246877e-01
1.132000000000000028e+01,2.857808039787152476e-01
1.133999999999999986e+01,8.827857744672956697e-02
1.135999999999999943e+01,2.044763280595781607e-01
1.138000000000000078e+01,8.574009538167795541e-03
1.140000000000000036e+01,3.549034323649865597e-01
1.141999999999999993e+01,3.231724911516200005e-01
1.143999999999999950e+01,1.492740013484650519e-01
1.146000000000000085e+01,3.784435733036337624e-01
1.148000000000000043e+01,-7.862224690106081604e-02
1.150000000000000000e+01,2.631319111218211743e-02
1.151999999999999957e+01,1.655072600649123149e-01
1.153999999999999915e+01,1.519444147505476517e-01
1.156000000000000050e+01,3.051943433621911658e-02
1.158000000000000007e+01,5.373064763310803765e-02
1.159999999999999964e+01,7.015941620229095010e-02
1.162000000000000099e+01,8.600138127619114115e-02
1.164000000000000057e+01,1.840085236388043777e-01
1.166000000000000014e+01,1.179213652484789043e-01
1.167999999999999972e+01,1.159725589197662526e-01
1.169999999999999929e+01,2.530020419866160220e-01
1.172000000000000064e+01,2.575487210891574397e-01
1.174000000000000021e+01,1.013051149781803301e-01
1.175999999999999979e+01,9.588300612899768038e-02
1.177999999999999936e+01,1.924135683497780677e-02
1.180000000000000071e+01,-3.632673391584254063e-02
1.182000000000000028e+01,3.332209130869214220e-01
1.183999999999999986e+01,2.961859890061328549e-01
1.185999999999999943e+01,1.499933166305551790e-01
1.188000000000000078e+01,2.010819566161540783e-01
1.190000000000000036e+01,2.530653893987050429e-01
1.191999999999999993e+01,1.311806158816708825e-02
1.193999999999999950e+01,-1.449280830391900254e-01
1.196000000000000085e+01,-6.806632752879333836e-02
1.198000000000000043e+01,2.404618346618158098e-01
1.200000000000000000e+01,1.953725190434380532e-01
1.201999999999999957e+01,1.923721094627066364e-01
1.203999999999999915e+01,1.545844936900293287e-01
1.206000000000000050e+01,4.076962289185417920e-02
1.208000000000000007e+01,1.180779935246441537e-01
1.209999999999999964e+01,2.429765094468619990e-01
1.212000000000000099e+01,2.300499122033423938e-01
1.214000000000000057e+01,1.989579953787459221e-01
1.216000000000000014e+01,2.303605717802167663e-01
1.217999999999999972e+01,2.491095094126010434e-01
1.219999999999999929e+01,2.033260907182190408e-02
1.222000000000000064e+01,4.141059404734065419e-02
1.224000000000000021e+01,5.442823423811274375e-02
1.225999999999999979e+01,9.687859445685807758e-02
1.228000000000000114e+01,-2.011611016802218252e-02
1.230000000000000071e+01,3.625374881216349987e-01
1.232000000000000028e+01,2.423522473917275599e-01
1.233999999999999986e+01,3.143316934037834742e-01
1.235999999999999943e+01,1.320489147185243684e-01
1.237999999999999901e+01,2.645390577140028232e-01
1.240000000000000036e+01,-2.276344601080314972e-02
1.241999999999999993e+01,2.661901129408706379e-01
1.243999999999999950e+01,2.358499246318881415e-01
1.246000000000000085e+01,2.995361606766656637e-01
1.248000000000000043e+01,1.696428223624912301e-01
1.250000000000000000e+01,3.781787050582420817e-01
1.251999999999999957e+01,1.080170299609123780e-01
1.253999999999999915e+01,1.896134477758676731e-02
1.256000000000000050e+01,1.612683465969084740e-01
1.258000000000000007e+01,1.833769009609016176e-01
1.259999999999999964e+01,2.878788673017086963e-01
1.262000000000000099e+01,2.842047288909022029e-01
1.264000000000000057e+01,1.308666965356982126e-01
1.266000000000000014e+01,4.162644947976111842e-01
1.267999999999999972e+01,2.158756500759697050e-01
1.269999999999999929e+01,1.806552261440070306e-01
1.272000000000000064e+01,2.313977230602148605e-01
1.274000000000000021e+01,6.638843949030100167e-02
1.275999999999999979e+01,1.234715148832946086e-01
1.278000000000000114e+01,4.163338279419281918e-01
1.280000000000000071e+01,1.610139746351889056e-01
1.282000000000000028e+01,1.409078849666230426e-01
1.283999999999999986e+01,-6.913980784836619431e-02
1.285999999999999943e+01,2.626034250130657166e-01
1.287999999999999901e+01,6.866004132333947130e-02
1.290000000000000036e+01,1.680853773837886200e-01
1.291999999999999993e+01,4.941796454971627423e-02
1.293999999999999950e+01,2.394102856390168399e-01
1.296000000000000085e+01,3.440359011866128136e-01
1.298000000000000043e+01,-9.761771237898220210e-02
1.300000000000000000e+01,2.531993612075532640e-01
1.301999999999999957e+01,1.240019007589702044e-01
1.303999999999999915e+01,3.034714377626025472e-01
1.306000000000000050e+01,2.860746451029447246e-02
1.308000000000000007e+01,2.167598273196197911e-01
1.309999999999999964e+01,1.142761677902396217e-01
1.312000000000000099e+01,2.210067927767859486e-01
1.314000000000000057e+01,1.938507685273082037e-01
1.316000000000000014e+01,7.517462964552293347e-02
1.317999999999999972e+01,-2.666344191145835971e-02
1.319999999999999929e+01,2.660333028422288693e-01
1.322000000000000064e+01,2.288271731046220142e-02
1.324000000000000021e+01,2.362458016985665432e-01
1.325999999999999979e+01,2.642849708755793947e-01
1.328000000000000114e+01,1.457284167974432776e-01
1.330000000000000071e+01,2.111830817367778002e-01
