# 2Theta,Intensity
1.000000000000000000e+01,5.896513304231808528e-01
1.001999999999999957e+01,8.693633365868066454e-01
1.003999999999999915e+01,6.890552487961973949e-01
1.006000000000000050e+01,7.034211268817520679e-01
1.008000000000000007e+01,5.506171982653258468e-01
1.009999999999999964e+01,5.982631845560835160e-01
1.011999999999999922e+01,4.897520940226623987e-01
1.014000000000000057e+01,7.980342937062292474e-01
1.016000000000000014e+01,6.587998748463023135e-01
1.017999999999999972e+01,9.061652569347015129e-01
1.019999999999999929e+01,9.407573836671589973e-01
1.022000000000000064e+01,9.221684952917139633e-01
1.024000000000000021e+01,9.098432452584901409e-01
1.025999999999999979e+01,7.306137963582373107e-01
1.027999999999999936e+01,1.195647003445634571e+00
1.030000000000000071e+01,1.168267519841362567e+00
1.032000000000000028e+01,1.680020227693615142e+00
1.033999999999999986e+01,1.608899651907258477e+00
1.035999999999999943e+01,1.627672634717200584e+00
1.038000000000000078e+01,2.598574002519004278e+00
1.040000000000000036e+01,5.516952251704246635e+00
1.041999999999999993e+01,1.326431532233307031e+01
1.043999999999999950e+01,4.122022476485913955e+01
1.046000000000000085e+01,8.673427260371438763e+01
1.048000000000000043e+01,1.000000000000000000e+02
1.050000000000000000e+01,6.116193037728965010e+01
1.051999999999999957e+01,2.235510376005693445e+01
1.053999999999999915e+01,6.554323022256969722e+00
1.056000000000000050e+01,3.403999260083070411e+00
1.058000000000000007e+01,2.255373528823434448e+00
1.059999999999999964e+01,1.851862095864138524e+00
1.061999999999999922e+01,1.152938917244021422e+00
1.064000000000000057e+01,1.398316722597886974e+00
1.066000000000000014e+01,1.046687241005515245e+00
1.067999999999999972e+01,1.026606252855711165e+00
1.069999999999999929e+01,1.218623642021390951e+00
1.072000000000000064e+01,7.542546429047052303e-01
1.074000000000000021e+01,7.558132337516645372e-01
1.075999999999999979e+01,8.629819585664564308e-01
1.077999999999999936e+01,8.653835724313169164e-01
1.080000000000000071e+01,8.501424558561655465e-01
1.082000000000000028e+01,8.015468346067036176e-01
1.083999999999999986e+01,6.323743117347598863e-01
1.085999999999999943e+01,5.574466538850343378e-01
1.088000000000000078e+01,5.158177444260314548e-01
1.090000000000000036e+01,3.993827372297258371e-01
1.091999999999999993e+01,9.112070805875439605e-01
1.093999999999999950e+01,5.663561314070877373e-01
1.096000000000000085e+01,6.120462721802742978e-01
1.098000000000000043e+01,3.220972297765011816e-01
1.100000000000000000e+01,6.256318278493722129e-01
1.101999999999999957e+01,6.023096448103754108e-01
1.103999999999999915e+01,6.616862223956733180e-01
1.106000000000000050e+01,4.739791669756489023e-01
1.108000000000000007e+01,3.348187856218003411e-01
1.109999999999999964e+01,3.671490137152652045e-01
1.112000000000000099e+01,4.947930510423858008e-01
1.114000000000000057e+01,4.368261755262676238e-01
1.116000000000000014e+01,4.631933731420223577e-01
1.117999999999999972e+01,5.884701184221973191e-01
1.119999999999999929e+01,6.993241465587801686e-01
1.122000000000000064e+01,6.811374466642882153e-01
1.124000000000000021e+01,5.697676980729271534e-01
1.125999999999999979e+01,4.537665344027917991e-01
1.127999999999999936e+01,5.040635957168394521e-01
1.130000000000000071e+01,5.394093033027449469e-01
1.132000000000000028e+01,4.898057535985162469e-01
1.133999999999999986e+01,4.303543153967875901e-01
1.135999999999999943e+01,7.830408228753936717e-01
1.138000000000000078e+01,4.434266110965938146e-01
1.140000000000000036e+01,6.145952379762998907e-01
1.141999999999999993e+01,6.221152678749066745e-01
1.143999999999999950e+01,6.406437721544263608e-01
1.146000000000000085e+01,5.728675068330641995e-01
1.148000000000000043e+01,4.651281602602129195e-01
1.150000000000000000e+01,6.869937995528528907e-01
1.151999999999999957e+01,4.668278025609980952e-01
1.153999999999999915e+01,5.600331680351466890e-01
1.156000000000000050e+01,4.693239464317076060e-01
1.158000000000000007e+01,4.427154404638764529e-01
1.159999999999999964e+01,2.049080590207371655e-01
1.162000000000000099e+01,3.219398701817391406e-01
1.164000000000000057e+01,4.094608145628077511e-01
1.166000000000000014e+01,6.986854560642739020e-01
1.167999999999999972e+01,5.012163539008269719e-01
1.169999999999999929e+01,3.647781321359990225e-01
1.172000000000000064e+01,5.564577959668228768e-01
1.174000000000000021e+01,6.571870666423628160e-01
1.175999999999999979e+01,5.734098752161149726e-01
1.177999999999999936e+01,4.872849201255624596e-01
1.180000000000000071e+01,5.367257623876598993e-01
1.182000000000000028e+01,7.513286422412881471e-01
1.183999999999999986e+01,4.351974181565322342e-01
1.185999999999999943e+01,5.727965158141952173e-01
1.188000000000000078e+01,4.726262888603923185e-01
1.190000000000000036e+01,4.755634333989486873e-01
1.191999999999999993e+01,7.394865106503110130e-01
1.193999999999999950e+01,4.027280161968814776e-01
1.196000000000000085e+01,7.298288559605697889e-01
1.198000000000000043e+01,2.997250413553826931e-01
1.200000000000000000e+01,3.074896308319749472e-01
1.201999999999999957e+01,7.153704420798823183e-01
1.203999999999999915e+01,6.310083442495231232e-01
1.206000000000000050e+01,6.508196108041546246e-01
1.208000000000000007e+01,3.592654636696706039e-01
1.209999999999999964e+01,5.666348597658069641e-01
1.212000000000000099e+01,5.947804666607126034e-01
1.214000000000000057e+01,5.622792727920865596e-01
1.216000000000000014e+01,5.020314939343313299e-01
1.217999999999999972e+01,6.167243133642320574e-01
1.219999999999999929e+01,1.843125048651128584e-01
1.222000000000000064e+01,3.507486759710278790e-01
1.224000000000000021e+01,8.156746314587961511e-01
1.225999999999999979e+01,1.566404477702676989e-01
1.228000000000000114e+01,4.157446788281839445e-01
1.230000000000000071e+01,5.554430956514991857e-01
1.232000000000000028e+01,4.911980994992019012e-01
1.233999999999999986e+01,6.844363744539818661e-01
1.235999999999999943e+01,6.139574524456742344e-01
1.237999999999999901e+01,5.978223978304317843e-01
1.240000000000000036e+01,3.958042714684061325e-01
1.241999999999999993e+01,4.983545595724215294e-01
1.243999999999999950e+01,5.716970709309592280e-01
1.246000000000000085e+01,2.975311989810643376e-01
1.248000000000000043e+01,6.202538491388942532e-01
1.250000000000000000e+01,3.767784520442048479e-01
1.251999999999999957e+01,4.698666120233723209e-01
1.253999999999999915e+01,5.158927639166571710e-01
1.256000000000000050e+01,4.511485093128890789e-01
1.258000000000000007e+01,3.277645549884542486e-01
1.259999999999999964e+01,6.128346239064930145e-01
1.262000000000000099e+01,2.823620469603088101e-01
1.264000000000000057e+01,5.672628077423385040e-01
1.266000000000000014e+01,4.870237628428352172e-01
1.267999999999999972e+01,5.810733333099226128e-01
1.269999999999999929e+01,6.008014259276376334e-01
1.272000000000000064e+01,4.355012818539371056e-01
1.274000000000000021e+01,5.109391773662702585e-01
1.275999999999999979e+01,5.328841993406133737e-01
1.278000000000000114e+01,7.870022607343959420e-01
1.280000000000000071e+01,5.821253944285424975e-01
1.282000000000000028e+01,4.273634501434749877e-01
1.283999999999999986e+01,6.833540031070227672e-01
1.285999999999999943e+01,5.424526676568230954e-01
1.287999999999999901e+01,5.014810400468401319e-01
1.290000000000000036e+01,4.199497377846541091e-01
1.291999999999999993e+01,4.837022354152944459e-01
1.293999999999999950e+01,5.575090650629888067e-01
1.296000000000000085e+01,5.678740548633414154e-01
1.298000000000000043e+01,2.947570345384191159e-01
1.300000000000000000e+01,4.454437343934318227e-01
1.301999999999999957e+01,4.168351182466351612e-01
1.303999999999999915e+01,7.045937092927009315e-01
1.306000000000000050e+01,5.708006308399101725e-01
1.308000000000000007e+01,4.340221429796799479e-01
1.309999999999999964e+01,6.246732553214516814e-01
1.312000000000000099e+01,4.395580181734928815e-01
1.314000000000000057e+01,4.298043483383164887e-01
1.316000000000000014e+01,5.921551483075089273e-01
1.317999999999999972e+01,7.469407936330585418e-01
1.319999999999999929e+01,3.633299708636601455e-01
1.322000000000000064e+01,4.317922647408993786e-01
1.324000000000000021e+01,3.676980812849328650e-01
1.325999999999999979e+01,4.261798380228338790e-01
1.328000000000000114e+01,6.143302736650856355e-01
1.330000000000000071e+01,5.525583013748799344e-01
1.332000000000000028e+01,3.848833969254156773e-01
1.333999999999999986e+01,6.861927037706502253e-01
1.335999999999999943e+01,4.675458002259474388e-01
1.337999999999999901e+01,5.089130552119720541e-01
1.340000000000000036e+01,4.638906759557926973e-01
