# 2Theta,Intensity
1.000000000000000000e+01,1.388302915883196098e-01
1.001999999999999957e+01,1.979195568316784726e-01
1.003999999999999915e+01,1.042945227753210302e-01
1.006000000000000050e+01,2.849933851106322691e-01
1.008000000000000007e+01,2.032979079254274846e-01
1.009999999999999964e+01,2.601457209921065883e-01
1.011999999999999922e+01,3.370081273982107328e-01
1.014000000000000057e+01,6.616746999327751677e-01
1.016000000000000014e+01,3.940016237395421173e-01
1.017999999999999972e+01,4.605265579088154149e-01
1.019999999999999929e+01,9.856080521949713846e-01
1.022000000000000064e+01,8.088525611644995506e-01
1.024000000000000021e+01,1.164188004105114693e+00
1.025999999999999979e+01,1.456667899427548818e+00
1.027999999999999936e+01,2.030303178868097191e+00
1.030000000000000071e+01,3.575933678318110598e+00
1.032000000000000028e+01,1.202817757278394595e+01
1.033999999999999986e+01,3.648408793273516437e+01
1.035999999999999943e+01,8.074921315219923201e+01
1.038000000000000078e+01,1.000000000000000000e+02
1.040000000000000036e+01,6.627004053680411744e+01
1.041999999999999993e+01,2.570663620965493834e+01
1.043999999999999950e+01,7.746126358985495841e+00
1.046000000000000085e+01,3.108121502826715954e+00
1.048000000000000043e+01,1.815566483085210514e+00
1.050000000000000000e+01,1.030774259427787110e+00
1.051999999999999957e+01,1.334175314557860315e+00
1.053999999999999915e+01,8.231714545033484987e-01
1.056000000000000050e+01,7.179607655705781966e-01
1.058000000000000007e+01,6.750347508905640836e-01
1.059999999999999964e+01,3.981454021932130383e-01
1.061999999999999922e+01,5.973192331954580991e-01
1.064000000000000057e+01,4.371698215095488615e-01
1.066000000000000014e+01,-1.360508588657380856e-02
1.067999999999999972e+01,3.044190753065506017e-01
1.069999999999999929e+01,2.263063889864687095e-01
1.072000000000000064e+01,1.429710278559216396e-01
1.074000000000000021e+01,1.233418521532385903e-01
1.075999999999999979e+01,2.227865495642032401e-01
1.077999999999999936e+01,2.248885593471265931e-01
1.080000000000000071e+01,1.458440593590605849e-01
1.082000000000000028e+01,2.244492201822001765e-01
1.083999999999999986e+01,2.486869657199033135e-01
1.085999999999999943e+01,1.836642249251899672e-01
1.088000000000000078e+01,7.261153470183120962e-02
1.090000000000000036e+01,1.567182563662477823e-01
1.091999999999999993e+01,1.462268305197331753e-01
1.093999999999999950e+01,1.361320879078081192e-01
