# 2Theta,Intensity
1.000000000000000000e+01,2.503962103366463160e-02
1.001999999999999957e+01,-1.508531222451135467e-01
1.003999999999999915e+01,1.208932171370098452e-01
1.006000000000000050e+01,-5.284853973557858409e-02
1.008000000000000007e+01,4.255234087686736444e-02
1.009999999999999964e+01,1.613133903418315640e-01
1.011999999999999922e+01,-1.172144973195418660e-02
1.014000000000000057e+01,-1.278195514918142872e-02
1.016000000000000014e+01,-7.785047756198806715e-04
1.017999999999999972e+01,1.251828478185816329e-01
1.019999999999999929e+01,-3.760043481925744863e-02
1.022000000000000064e+01,-3.362056487918115705e-02
1.024000000000000021e+01,2.453339559257251140e-02
1.025999999999999979e+01,6.904149198200604243e-02
1.027999999999999936e+01,7.112843528818452166e-02
1.030000000000000071e+01,1.953365152284680314e-02
1.032000000000000028e+01,1.936173644417775175e-01
1.033999999999999986e+01,1.168729967968642619e-01
1.035999999999999943e+01,2.585356606635127313e-02
1.038000000000000078e+01,5.494012550205067819e-02
1.040000000000000036e+01,1.040306142356343527e-01
1.041999999999999993e+01,-2.917245309117261903e-03
1.043999999999999950e+01,2.370061127297688475e-01
1.046000000000000085e+01,-3.769491287926363121e-03
1.048000000000000043e+01,9.446578620283817979e-03
1.050000000000000000e+01,-8.561397200734384427e-02
1.051999999999999957e+01,6.623120662979199713e-02
1.053999999999999915e+01,5.933558924911498667e-02
1.056000000000000050e+01,1.367309966472975702e-01
1.058000000000000007e+01,1.355405813577277574e-01
1.059999999999999964e+01,-1.453024836025491526e-02
1.061999999999999922e+01,8.645667544079248257e-02
1.064000000000000057e+01,-2.032992595377157083e-02
1.066000000000000014e+01,1.671060357850129297e-02
1.067999999999999972e+01,7.929973458747360815e-02
1.069999999999999929e+01,5.620259731852572660e-02
1.072000000000000064e+01,-9.312302685323518847e-02
1.074000000000000021e+01,-8.553357224674920656e-02
1.075999999999999979e+01,-2.243041989015843174e-01
1.077999999999999936e+01,4.035846382141941580e-02
1.080000000000000071e+01,-2.686520231735512257e-02
1.082000000000000028e+01,-4.316484692360302716e-02
1.083999999999999986e+01,4.592066064153258603e-02
1.085999999999999943e+01,9.194887447068261430e-03
1.088000000000000078e+01,-1.178391362212909306e-02
1.090000000000000036e+01,8.947090827140010555e-03
1.091999999999999993e+01,2.415959676012136709e-02
1.093999999999999950e+01,2.518895200542772828e-01
1.096000000000000085e+01,4.001166363338976711e-02
1.098000000000000043e+01,-1.050186151021116066e-01
1.100000000000000000e+01,4.744114655649298018e-02
1.101999999999999957e+01,5.313747735419259433e-02
1.103999999999999915e+01,1.105606073598453393e-01
1.106000000000000050e+01,-6.708363287421711951e-02
1.108000000000000007e+01,-1.262653695093190198e-01
1.109999999999999964e+01,6.707387255737330689e-02
1.112000000000000099e+01,1.489388949675325979e-01
