# 2Theta,Intensity
1.000000000000000000e+01,9.048792171953683183e-02
1.001999999999999957e+01,2.373366244947750781e-01
1.003999999999999915e+01,2.395799769840635807e-01
1.006000000000000050e+01,1.755857441575221778e-01
1.008000000000000007e+01,2.415536765706686184e-01
1.009999999999999964e+01,-3.431922867322959037e-02
1.011999999999999922e+01,-8.490768643597475240e-02
1.014000000000000057e+01,1.359889825042352451e-01
1.016000000000000014e+01,1.138254175492725562e-01
1.017999999999999972e+01,6.121794652257302183e-02
1.019999999999999929e+01,1.962696445292231029e-01
1.022000000000000064e+01,1.491115968048160045e-01
1.024000000000000021e+01,1.752204147183007987e-01
1.025999999999999979e+01,2.283604821742640234e-01
1.027999999999999936e+01,2.258343546997832740e-01
1.030000000000000071e+01,2.467927185681009494e-01
1.032000000000000028e+01,3.123352715206227925e-01
1.033999999999999986e+01,1.422191209794457234e-01
1.035999999999999943e+01,3.017167744328885237e-01
1.038000000000000078e+01,1.419671780947750483e-01
1.040000000000000036e+01,1.228257674584592174e-01
1.041999999999999993e+01,1.413884301691142320e-01
1.043999999999999950e+01,3.229035626694790606e-01
1.046000000000000085e+01,2.297999540628741649e-03
1.048000000000000043e+01,2.408872177139118331e-01
1.050000000000000000e+01,1.205392590872551156e-01
1.051999999999999957e+01,4.088645514090114563e-01
1.053999999999999915e+01,2.960409175909900492e-01
1.056000000000000050e+01,2.190414698417793016e-01
1.058000000000000007e+01,4.452632128979805981e-01
1.059999999999999964e+01,2.121357973453663892e-01
1.061999999999999922e+01,3.197620400250746064e-02
1.064000000000000057e+01,2.465988104582580442e-01
1.066000000000000014e+01,3.315568072283154311e-01
1.067999999999999972e+01,4.947885233831597618e-02
1.069999999999999929e+01,-9.056286855209390307e-02
1.072000000000000064e+01,1.801102781069711112e-01
1.074000000000000021e+01,2.280545073389954325e-01
1.075999999999999979e+01,1.889695094194124014e-01
1.077999999999999936e+01,1.038280406004260178e-02
1.080000000000000071e+01,4.449153060280897631e-01
1.082000000000000028e+01,1.354378454744480445e-02
1.083999999999999986e+01,-4.759540670962562024e-03
1.085999999999999943e+01,5.392246533372222622e-02
1.088000000000000078e+01,-2.330311626813092174e-01
1.090000000000000036e+01,-1.329040365093626108e-01
1.091999999999999993e+01,1.398470286384056460e-01
1.093999999999999950e+01,1.041910396605641997e-01
1.096000000000000085e+01,1.605252700599355542e-01
1.098000000000000043e+01,2.462020591668133973e-01
1.100000000000000000e+01,1.247444051157286654e-01
1.101999999999999957e+01,2.479466354965391417e-01
1.103999999999999915e+01,1.022280539851738584e-01
1.106000000000000050e+01,2.056662696800330981e-01
1.108000000000000007e+01,5.557343365883152947e-02
1.109999999999999964e+01,2.650963825775934368e-02
1.112000000000000099e+01,2.469573826324704957e-01
1.114000000000000057e+01,1.434131946213869635e-01
1.116000000000000014e+01,3.341375205303229179e-01
1.117999999999999972e+01,1.297513666787816489e-01
1.119999999999999929e+01,1.728651943112659017e-01
1.122000000000000064e+01,6.149921184431739879e-02
1.124000000000000021e+01,-3.248390447320782110e-02
