# 2Theta,Intensity
1.000000000000000000e+01,5.025813684260568293e-01
1.001999999999999957e+01,2.582334758908639283e-01
1.003999999999999915e+01,5.602542963558794220e-01
1.006000000000000050e+01,5.553623526270569100e-01
1.008000000000000007e+01,5.204536358607936286e-01
1.009999999999999964e+01,5.472781709431132624e-01
1.011999999999999922e+01,7.181016258623140747e-01
1.014000000000000057e+01,2.770025443273361754e-01
1.016000000000000014e+01,2.995117857776205539e-01
1.017999999999999972e+01,1.794322412672754441e-01
1.019999999999999929e+01,6.419233741021547202e-01
1.022000000000000064e+01,3.726766541852139514e-01
1.024000000000000021e+01,4.252728291928863924e-01
1.025999999999999979e+01,5.244450169183038080e-01
1.027999999999999936e+01,3.626421936277097746e-01
1.030000000000000071e+01,6.029300329668573211e-01
1.032000000000000028e+01,4.799338740036225848e-01
1.033999999999999986e+01,4.739605346673366193e-01
1.035999999999999943e+01,6.706889416805077442e-01
1.038000000000000078e+01,6.242217252022089768e-01
1.040000000000000036e+01,1.731589699976189278e-01
1.041999999999999993e+01,3.207107972927207284e-01
1.043999999999999950e+01,5.104236814527086663e-01
1.046000000000000085e+01,6.078761439634847719e-01
1.048000000000000043e+01,2.725473996804489984e-01
1.050000000000000000e+01,6.352167482856416747e-01
1.051999999999999957e+01,4.238699917531649763e-01
1.053999999999999915e+01,3.467231520717639626e-01
1.056000000000000050e+01,5.447580459498361227e-01
1.058000000000000007e+01,2.719899818026649263e-01
1.059999999999999964e+01,2.620190350557459746e-01
1.061999999999999922e+01,4.235974534165513061e-01
1.064000000000000057e+01,3.363921896044000381e-01
1.066000000000000014e+01,7.285278032226064626e-01
1.067999999999999972e+01,2.154293488773227350e-01
1.069999999999999929e+01,5.113345581908695925e-01
1.072000000000000064e+01,5.241719756531222352e-01
1.074000000000000021e+01,4.632308274840016282e-01
1.075999999999999979e+01,3.756820220031184543e-01
1.077999999999999936e+01,4.381897165095569036e-01
1.080000000000000071e+01,4.450742118094869748e-01
1.082000000000000028e+01,3.932767709175941095e-01
1.083999999999999986e+01,2.301005712149628291e-01
1.085999999999999943e+01,4.876360474965951708e-01
1.088000000000000078e+01,5.618708289128001576e-01
1.090000000000000036e+01,6.354175479180607100e-01
1.091999999999999993e+01,3.326011331058056908e-01
1.093999999999999950e+01,3.381560831796691091e-01
1.096000000000000085e+01,4.638338695031468673e-01
1.098000000000000043e+01,3.620398511110206607e-01
1.100000000000000000e+01,4.739994590545151820e-01
1.101999999999999957e+01,6.401084580663042312e-01
1.103999999999999915e+01,3.888295373519926601e-01
1.106000000000000050e+01,6.481652682547812683e-01
1.108000000000000007e+01,7.203450746432187302e-01
1.109999999999999964e+01,6.887539410330673073e-01
1.112000000000000099e+01,4.057625676208870824e-01
1.114000000000000057e+01,6.948202825269518268e-01
1.116000000000000014e+01,4.898096453977011655e-01
1.117999999999999972e+01,4.543126984309550087e-01
1.119999999999999929e+01,5.656944353052012486e-01
1.122000000000000064e+01,6.414214102397816086e-01
1.124000000000000021e+01,6.064818264069717912e-01
1.125999999999999979e+01,5.285457824416761596e-01
1.127999999999999936e+01,2.775120354847505633e-01
1.130000000000000071e+01,6.191901925753232616e-01
1.132000000000000028e+01,6.221981630617866577e-01
1.133999999999999986e+01,4.700107638314480751e-01
1.135999999999999943e+01,5.336475459218470441e-01
1.138000000000000078e+01,4.831048852552744521e-01
1.140000000000000036e+01,6.757927701709034451e-01
1.141999999999999993e+01,4.846351711398546591e-01
1.143999999999999950e+01,6.255064927135408626e-01
1.146000000000000085e+01,1.389151882681383676e-01
1.148000000000000043e+01,2.040305843537325581e-01
1.150000000000000000e+01,4.753953093556809173e-01
1.151999999999999957e+01,4.413328372828936308e-01
1.153999999999999915e+01,4.215926165964325456e-01
1.156000000000000050e+01,6.928312279880247671e-01
1.158000000000000007e+01,6.203328421452484198e-01
1.159999999999999964e+01,4.447263143833334875e-01
1.162000000000000099e+01,6.734895885382351510e-01
1.164000000000000057e+01,8.212338283399838179e-01
1.166000000000000014e+01,5.880267641298922987e-01
1.167999999999999972e+01,6.348975889161149189e-01
1.169999999999999929e+01,3.254002824123666815e-01
1.172000000000000064e+01,5.507769192605095343e-01
1.174000000000000021e+01,5.569903259408687246e-01
1.175999999999999979e+01,9.050983945726999158e-01
1.177999999999999936e+01,6.189253088037319772e-01
1.180000000000000071e+01,4.186643939402857617e-01
1.182000000000000028e+01,3.456680455534081875e-01
1.183999999999999986e+01,6.790479833139266841e-01
1.185999999999999943e+01,2.925633223955714790e-01
1.188000000000000078e+01,8.762349777937135376e-02
1.190000000000000036e+01,6.219492370987291796e-01
1.191999999999999993e+01,4.794781716281041328e-01
1.193999999999999950e+01,3.701296168535163633e-01
1.196000000000000085e+01,5.352806302187467224e-01
1.198000000000000043e+01,6.032396823919965456e-01
1.200000000000000000e+01,6.734918453748943712e-01
1.201999999999999957e+01,2.201092828493277087e-01
1.203999999999999915e+01,2.303564225857329117e-01
1.206000000000000050e+01,4.144895751456820210e-01
1.208000000000000007e+01,6.155606696976082537e-01
1.209999999999999964e+01,5.105167541501837158e-01
1.212000000000000099e+01,7.543336460338113669e-01
1.214000000000000057e+01,4.508481199667245254e-01
1.216000000000000014e+01,4.997076900541422284e-01
1.217999999999999972e+01,7.463385385045389064e-01
1.219999999999999929e+01,5.434123636352111708e-01
1.222000000000000064e+01,3.763611100360837458e-01
1.224000000000000021e+01,4.088587408105717746e-01
1.225999999999999979e+01,4.196699421808841035e-01
1.228000000000000114e+01,3.798454438509796804e-01
1.230000000000000071e+01,4.858601969141589372e-01
1.232000000000000028e+01,4.599780247512676445e-01
1.233999999999999986e+01,5.765363463113104547e-01
1.235999999999999943e+01,4.579089758761261120e-01
1.237999999999999901e+01,6.120453280313258304e-01
1.240000000000000036e+01,5.342241271102418088e-01
1.241999999999999993e+01,1.990687315695104376e-01
1.243999999999999950e+01,4.488273230866371422e-01
1.246000000000000085e+01,5.221963412098016288e-01
1.248000000000000043e+01,5.494047692550536599e-01
1.250000000000000000e+01,6.962805051652803945e-01
1.251999999999999957e+01,3.622785909538488447e-01
1.253999999999999915e+01,4.827316790150124048e-01
1.256000000000000050e+01,4.127292712170341216e-01
1.258000000000000007e+01,4.637362676049309185e-01
1.259999999999999964e+01,5.614882451722393863e-01
1.262000000000000099e+01,6.067166340179432904e-01
1.264000000000000057e+01,3.025501025197814831e-01
1.266000000000000014e+01,8.097626546346581300e-01
1.267999999999999972e+01,4.293101286289564000e-01
1.269999999999999929e+01,5.823209803911655325e-01
1.272000000000000064e+01,3.463351674919663004e-01
1.274000000000000021e+01,4.932140643471820685e-01
1.275999999999999979e+01,5.268049341472925695e-01
1.278000000000000114e+01,5.485193159605342705e-01
1.280000000000000071e+01,3.173600055584865354e-01
1.282000000000000028e+01,2.467836531631160124e-01
1.283999999999999986e+01,5.285921088831839754e-01
1.285999999999999943e+01,5.532598947478332141e-01
1.287999999999999901e+01,5.418587979338906901e-01
1.290000000000000036e+01,3.314083889416958306e-01
1.291999999999999993e+01,4.868587431946331812e-01
1.293999999999999950e+01,7.456495699327684301e-01
1.296000000000000085e+01,5.159159260749590636e-01
1.298000000000000043e+01,-1.129534459493626922e-02
1.300000000000000000e+01,4.196532105113935374e-01
1.301999999999999957e+01,4.404574709263404664e-01
1.303999999999999915e+01,6.994658401335713815e-01
1.306000000000000050e+01,5.283202283569510271e-01
1.308000000000000007e+01,4.058205496542712787e-01
1.309999999999999964e+01,3.507924036574032178e-01
1.312000000000000099e+01,4.695095979188191326e-01
1.314000000000000057e+01,1.600487430552823553e-01
1.316000000000000014e+01,4.810030619605341617e-01
1.317999999999999972e+01,4.964295884395998892e-01
1.319999999999999929e+01,4.744931344358898073e-01
1.322000000000000064e+01,6.042846449712603318e-01
1.324000000000000021e+01,3.301984424012284203e-01
1.325999999999999979e+01,3.764058114256580989e-01
1.328000000000000114e+01,6.058020627364399946e-01
1.330000000000000071e+01,3.187226124768434699e-01
1.332000000000000028e+01,6.607317978238792522e-01
1.333999999999999986e+01,6.863626451492019775e-01
1.335999999999999943e+01,4.474217826669547038e-01
1.337999999999999901e+01,5.764183267768916430e-01
1.340000000000000036e+01,4.562212123271591202e-01
1.341999999999999993e+01,6.985927830593231525e-01
1.343999999999999950e+01,5.309908510705128037e-01
1.346000000000000085e+01,4.396872668155850650e-01
1.348000000000000043e+01,6.363825099557002263e-01
1.350000000000000000e+01,4.152143884118493222e-01
1.351999999999999957e+01,6.170984609467407012e-01
1.353999999999999915e+01,5.179528904377511678e-01
1.356000000000000050e+01,3.680046501966505179e-01
1.358000000000000007e+01,3.849794274739747335e-01
1.359999999999999964e+01,2.835447541672046490e-01
1.362000000000000099e+01,5.747711813314965168e-01
1.364000000000000057e+01,6.580468029001325103e-01
1.366000000000000014e+01,5.644144982358955120e-01
1.367999999999999972e+01,6.061605852658932259e-01
1.369999999999999929e+01,3.922149326637349720e-01
1.372000000000000064e+01,6.913198425310635997e-01
1.374000000000000021e+01,6.271916671501213125e-01
1.375999999999999979e+01,5.248340758541745199e-01
1.378000000000000114e+01,5.657067932268066146e-01
1.380000000000000071e+01,7.632043983010416976e-02
1.382000000000000028e+01,9.632828805407558370e-01
1.383999999999999986e+01,6.220063586988570092e-01
1.385999999999999943e+01,6.697593941726037725e-01
1.387999999999999901e+01,5.240846868137852832e-01
1.390000000000000036e+01,6.745761778463492675e-01
1.391999999999999993e+01,6.153104305117218509e-01
1.393999999999999950e+01,7.687955485757289598e-01
1.396000000000000085e+01,7.189392153155598209e-01
1.398000000000000043e+01,5.170179816228610559e-01
1.400000000000000000e+01,2.454340719201040799e-01
1.401999999999999957e+01,4.738758673858259329e-01
1.403999999999999915e+01,5.836731341868918177e-01
1.406000000000000050e+01,5.761790820126950763e-01
1.408000000000000007e+01,6.027202895346017719e-01
1.409999999999999964e+01,5.230662302815729525e-01
1.412000000000000099e+01,5.015023838766624609e-01
1.414000000000000057e+01,5.858703626518453333e-01
1.416000000000000014e+01,7.634687111861852005e-01
1.417999999999999972e+01,5.529267291847029808e-01
1.419999999999999929e+01,7.782168114259506719e-01
1.421999999999999886e+01,4.422211072865051551e-01
1.424000000000000021e+01,5.416328816021933612e-01
1.425999999999999979e+01,6.121011117558227133e-01
1.428000000000000114e+01,5.325164175152758972e-01
1.430000000000000071e+01,6.394352585981222248e-01
1.432000000000000028e+01,4.162847371473026858e-01
1.433999999999999986e+01,7.157543585239699580e-01
1.435999999999999943e+01,2.323613851623634319e-01
1.437999999999999901e+01,5.266024297561839873e-01
1.440000000000000036e+01,1.731671700470691078e-01
1.441999999999999993e+01,3.433249390718353111e-01
1.444000000000000128e+01,4.626100601530840906e-01
1.446000000000000085e+01,3.247861028919248882e-01
1.448000000000000043e+01,6.120374545985084458e-01
1.450000000000000000e+01,6.829054720786892352e-01
1.451999999999999957e+01,5.824985205507082764e-01
1.453999999999999915e+01,3.496353411189382920e-01
1.456000000000000050e+01,5.287491194164209984e-01
1.458000000000000007e+01,6.502060208997935131e-01
1.460000000000000142e+01,4.633551574809175455e-01
1.462000000000000099e+01,3.918779621681203751e-01
1.464000000000000057e+01,2.466291424219367312e-01
1.466000000000000014e+01,6.063574269523009930e-01
1.467999999999999972e+01,5.255650580647460712e-01
1.469999999999999929e+01,4.932377954298060030e-01
1.471999999999999886e+01,6.618889361182648257e-01
1.474000000000000021e+01,5.140860733755863166e-01
1.475999999999999979e+01,2.518518697159004005e-01
1.478000000000000114e+01,3.733548039815056119e-01
1.480000000000000071e+01,6.905680577615205262e-01
1.482000000000000028e+01,3.983829928733588766e-01
1.483999999999999986e+01,2.929877583668294427e-01
1.485999999999999943e+01,7.374776847941652003e-01
1.487999999999999901e+01,5.879289178802444837e-01
1.490000000000000036e+01,8.032064169240626939e-01
1.491999999999999993e+01,5.566542554228506301e-01
1.494000000000000128e+01,2.212457159801564377e-01
1.496000000000000085e+01,4.676681095187367188e-01
1.498000000000000043e+01,4.728623691614536884e-01
1.500000000000000000e+01,6.176595441026468958e-01
1.501999999999999957e+01,4.133538255815958906e-01
1.503999999999999915e+01,6.080169600965313892e-01
1.506000000000000050e+01,6.049421868389082135e-01
1.508000000000000007e+01,3.104674257752034761e-01
1.510000000000000142e+01,5.897002633848100750e-01
1.512000000000000099e+01,3.872811298444255868e-01
1.514000000000000057e+01,5.479946890609095345e-01
1.516000000000000014e+01,6.275254138099140011e-01
1.517999999999999972e+01,5.526640542434285708e-01
1.519999999999999929e+01,5.770668537369919582e-01
1.521999999999999886e+01,4.032349876582922987e-01
1.524000000000000021e+01,5.192089815246166973e-01
1.525999999999999979e+01,4.408564914093071607e-01
1.528000000000000114e+01,6.267853464314632195e-01
1.530000000000000071e+01,3.967386911004713301e-01
1.532000000000000028e+01,5.231004237189931239e-01
1.533999999999999986e+01,5.056050102329617824e-01
1.535999999999999943e+01,6.975442864553454969e-01
1.537999999999999901e+01,7.638989580708723803e-01
1.540000000000000036e+01,1.642567111587207584e+00
1.541999999999999993e+01,3.940927765112564707e+00
1.544000000000000128e+01,4.991825357504448668e+00
1.546000000000000085e+01,3.696619386071956725e+00
1.548000000000000043e+01,1.790455891904552121e+00
1.550000000000000000e+01,1.051677365205778703e+00
1.551999999999999957e+01,6.895153248616969766e-01
1.553999999999999915e+01,6.217439027835874876e-01
1.556000000000000050e+01,4.230918758935323654e-01
1.558000000000000007e+01,6.688722039759670279e-01
1.560000000000000142e+01,5.718048867457858897e-01
1.562000000000000099e+01,4.209098090692514615e-01
1.564000000000000057e+01,4.015211454097257215e-01
1.566000000000000014e+01,3.416951008701851200e-01
1.567999999999999972e+01,3.806449828516021427e-01
1.569999999999999929e+01,5.250237555522482280e-01
1.571999999999999886e+01,3.922525085016425050e-01
1.574000000000000021e+01,6.596298369065090039e-01
1.575999999999999979e+01,5.558921815446785653e-01
