# 2Theta,Intensity
1.000000000000000000e+01,2.375723396411045241e-01
1.001999999999999957e+01,2.571750247117559739e-03
1.003999999999999915e+01,9.168162259450310381e-02
1.006000000000000050e+01,1.755975502553516199e-01
1.008000000000000007e+01,7.792850819091184239e-03
1.009999999999999964e+01,1.683927344842923168e-01
1.011999999999999922e+01,2.573817197658447367e-02
1.014000000000000057e+01,1.435021754768039670e-01
1.016000000000000014e+01,-8.492313173381732527e-02
1.017999999999999972e+01,1.370238703905131972e-01
1.019999999999999929e+01,7.201678701669796123e-02
1.022000000000000064e+01,2.339753324563554823e-02
1.024000000000000021e+01,9.304240525589922706e-02
1.025999999999999979e+01,1.580805285246936198e-02
1.027999999999999936e+01,7.586424975324053410e-02
1.030000000000000071e+01,1.201056034651113574e-01
1.032000000000000028e+01,8.220426240737988000e-02
1.033999999999999986e+01,2.684147710425616173e-01
1.035999999999999943e+01,-1.284781697840774867e-02
1.038000000000000078e+01,-6.195135108725855627e-02
1.040000000000000036e+01,3.306725897481291483e-03
1.041999999999999993e+01,6.915147189919339243e-02
1.043999999999999950e+01,-1.977471752875414879e-01
1.046000000000000085e+01,-2.709332891327451490e-02
1.048000000000000043e+01,1.836885120102740854e-01
1.050000000000000000e+01,-2.460944455547453558e-02
1.051999999999999957e+01,8.726323617304530215e-04
1.053999999999999915e+01,-8.639949474724795131e-02
1.056000000000000050e+01,4.531703223429047606e-02
1.058000000000000007e+01,1.732367015050198245e-01
1.059999999999999964e+01,1.376326021797635579e-01
1.061999999999999922e+01,2.595185572243035588e-01
1.064000000000000057e+01,6.147029901596421514e-02
1.066000000000000014e+01,2.692155880288207292e-01
1.067999999999999972e+01,5.039026299812875143e-02
1.069999999999999929e+01,4.416013644114902270e-02
1.072000000000000064e+01,7.709889567054767356e-02
1.074000000000000021e+01,-2.093089011740691466e-02
1.075999999999999979e+01,1.340683203494112963e-01
1.077999999999999936e+01,-1.335271241381590090e-01
1.080000000000000071e+01,1.542189578670231653e-01
1.082000000000000028e+01,-3.913033150876607524e-02
1.083999999999999986e+01,1.643504929489109645e-01
1.085999999999999943e+01,3.452146116661414244e-02
1.088000000000000078e+01,2.892146114670555157e-01
1.090000000000000036e+01,3.164234647435896219e-01
1.091999999999999993e+01,1.084916485877795468e-02
1.093999999999999950e+01,4.905114238907105212e-02
1.096000000000000085e+01,2.085017411293012823e-01
1.098000000000000043e+01,3.803252460419400127e-01
1.100000000000000000e+01,-3.726758745285684016e-02
1.101999999999999957e+01,1.693775398548424960e-01
1.103999999999999915e+01,5.310918630644090310e-02
1.106000000000000050e+01,1.547577833353288024e-01
1.108000000000000007e+01,2.643936359645492340e-01
1.109999999999999964e+01,2.786787133070558475e-01
1.112000000000000099e+01,4.999931235266604629e-02
1.114000000000000057e+01,5.209021994114097776e-02
1.116000000000000014e+01,6.706821455998784876e-02
1.117999999999999972e+01,-1.545768922529839814e-02
1.119999999999999929e+01,1.393536637956705460e-01
1.122000000000000064e+01,7.532052647038969817e-02
1.124000000000000021e+01,-7.650883918690586961e-03
1.125999999999999979e+01,-6.506023246342178962e-03
1.127999999999999936e+01,5.885579574720876950e-02
1.130000000000000071e+01,-1.037759728063389619e-01
1.132000000000000028e+01,8.728483133818855377e-02
1.133999999999999986e+01,2.006344320476725201e-02
1.135999999999999943e+01,9.701859109322578945e-02
1.138000000000000078e+01,1.453197456767437445e-01
1.140000000000000036e+01,-3.745752916028143292e-03
1.141999999999999993e+01,1.354322544641893902e-02
1.143999999999999950e+01,3.673681695494864646e-02
1.146000000000000085e+01,1.530805695900059327e-01
1.148000000000000043e+01,1.173211591439480700e-01
1.150000000000000000e+01,7.023060280208684447e-02
1.151999999999999957e+01,-6.196360614707314279e-02
1.153999999999999915e+01,3.602490096058812152e-02
1.156000000000000050e+01,1.236102007599939601e-01
1.158000000000000007e+01,2.110337088069466904e-01
1.159999999999999964e+01,-1.174575819154745487e-01
1.162000000000000099e+01,1.493401393939011168e-01
1.164000000000000057e+01,2.204573504547941709e-01
1.166000000000000014e+01,2.310891422123586281e-01
1.167999999999999972e+01,-1.295782079133596040e-02
1.169999999999999929e+01,9.255653371794902995e-02
1.172000000000000064e+01,5.573372535658631388e-02
1.174000000000000021e+01,2.351168438009025030e-01
1.175999999999999979e+01,1.109501224328330315e-01
1.177999999999999936e+01,-5.130006008200804074e-03
1.180000000000000071e+01,-1.480653827300348890e-01
1.182000000000000028e+01,3.711372096303189316e-02
1.183999999999999986e+01,5.731265258181515720e-02
1.185999999999999943e+01,3.153641857401181525e-01
1.188000000000000078e+01,1.261908378101610495e-01
1.190000000000000036e+01,8.557010743368170802e-02
1.191999999999999993e+01,5.183763644137746179e-02
1.193999999999999950e+01,3.139309447283517712e-02
1.196000000000000085e+01,1.360973331795586883e-01
1.198000000000000043e+01,-1.203626001168676823e-01
