# 2Theta,Intensity
1.000000000000000000e+01,2.362487341876369218e-01
1.001999999999999957e+01,3.042029089265498309e-01
1.003999999999999915e+01,2.025432492520652938e-01
1.006000000000000050e+01,2.906772386376947903e-01
1.008000000000000007e+01,1.519796321368252767e-01
1.009999999999999964e+01,9.585057655297650470e-02
1.011999999999999922e+01,2.177418641313626224e-01
1.014000000000000057e+01,1.573560763234453097e-01
1.016000000000000014e+01,1.950692594547131509e-01
1.017999999999999972e+01,1.953576579872287056e-01
1.019999999999999929e+01,4.609586715740857099e-01
1.022000000000000064e+01,2.174905671883172742e-01
1.024000000000000021e+01,1.892111922818669190e-01
1.025999999999999979e+01,2.036034357873917622e-01
1.027999999999999936e+01,2.580126225186370470e-01
1.030000000000000071e+01,2.095296751046483164e-01
1.032000000000000028e+01,2.989373063482755333e-01
1.033999999999999986e+01,3.102852790482954481e-01
1.035999999999999943e+01,1.617891170763685049e-01
1.038000000000000078e+01,5.476068059367619756e-02
1.040000000000000036e+01,1.920872341768183056e-01
1.041999999999999993e+01,1.188071236818703108e-01
1.043999999999999950e+01,3.344927089395843267e-01
1.046000000000000085e+01,2.287760620690703628e-01
1.048000000000000043e+01,1.615440059179894805e-01
1.050000000000000000e+01,1.476591960667552883e-01
1.051999999999999957e+01,2.292291963497636309e-01
1.053999999999999915e+01,2.886062311695742344e-01
1.056000000000000050e+01,3.321828157486950706e-01
1.058000000000000007e+01,4.967264074649881400e-01
1.059999999999999964e+01,1.596967178633723061e-01
1.061999999999999922e+01,3.522833561434243754e-01
1.064000000000000057e+01,1.736271194743644608e-01
1.066000000000000014e+01,7.607188054997142401e-02
1.067999999999999972e+01,4.747413513214502889e-01
1.069999999999999929e+01,1.488347220354374612e-01
1.072000000000000064e+01,1.536077161120162071e-01
1.074000000000000021e+01,2.764705038922228297e-01
1.075999999999999979e+01,1.756703279355008585e-01
1.077999999999999936e+01,-3.480805258520973389e-02
1.080000000000000071e+01,2.791509419316831053e-01
1.082000000000000028e+01,5.529914620738539677e-01
1.083999999999999986e+01,5.786572871726214373e-02
1.085999999999999943e+01,1.755042763644913961e-01
1.088000000000000078e+01,-4.843330715448795551e-03
1.090000000000000036e+01,3.283986804121830083e-01
1.091999999999999993e+01,3.246654623466039835e-01
1.093999999999999950e+01,9.988577157811362461e-02
1.096000000000000085e+01,2.415678506573117335e-01
1.098000000000000043e+01,2.181605443623451379e-01
1.100000000000000000e+01,3.935547132482235533e-01
1.101999999999999957e+01,4.450568690072345124e-01
1.103999999999999915e+01,1.055631774725569044e-01
1.106000000000000050e+01,2.743090998261554780e-01
1.108000000000000007e+01,3.115711876712154993e-01
1.109999999999999964e+01,3.839544300268493138e-01
1.112000000000000099e+01,3.419311031881812624e-01
1.114000000000000057e+01,5.747930116758885877e-01
1.116000000000000014e+01,1.041851088596984221e-01
1.117999999999999972e+01,2.142389219518084920e-01
1.119999999999999929e+01,3.573942910151963748e-01
1.122000000000000064e+01,3.259574485495530527e-01
1.124000000000000021e+01,3.500556741276977246e-01
1.125999999999999979e+01,2.259770524512547119e-01
1.127999999999999936e+01,2.942650813163253387e-01
1.130000000000000071e+01,3.558812421042131247e-01
1.132000000000000028e+01,3.073334500301123096e-01
1.133999999999999986e+01,2.356763912499380831e-01
1.135999999999999943e+01,1.702428795294980146e-01
1.138000000000000078e+01,1.327147642729846755e-01
1.140000000000000036e+01,2.660490416938890434e-01
1.141999999999999993e+01,1.171346700040276217e-01
1.143999999999999950e+01,3.421303130403158255e-01
1.146000000000000085e+01,2.462787561265343261e-01
1.148000000000000043e+01,5.423211102902016911e-01
1.150000000000000000e+01,2.981786141694710568e-01
1.151999999999999957e+01,2.202063554576335069e-01
1.153999999999999915e+01,2.084673527653662928e-01
1.156000000000000050e+01,1.718861205439101147e-02
1.158000000000000007e+01,2.305002480870042558e-01
1.159999999999999964e+01,2.479684113403204659e-01
1.162000000000000099e+01,1.702721383996878279e-01
1.164000000000000057e+01,3.191916230449609038e-01
1.166000000000000014e+01,4.035119297054958754e-01
1.167999999999999972e+01,2.691549167254755903e-01
1.169999999999999929e+01,2.992364508347782892e-01
1.172000000000000064e+01,2.932649280571995587e-01
1.174000000000000021e+01,1.958710779256172541e-01
1.175999999999999979e+01,5.997235697583382791e-02
1.177999999999999936e+01,1.816140336424449386e-01
1.180000000000000071e+01,7.578654980933721697e-02
1.182000000000000028e+01,5.480099199925193565e-01
1.183999999999999986e+01,3.380689311211399484e-01
1.185999999999999943e+01,1.648551035788492214e-01
1.188000000000000078e+01,1.363198311788242079e-01
1.190000000000000036e+01,2.158392110652302409e-01
1.191999999999999993e+01,2.350775073546485239e-01
1.193999999999999950e+01,2.119185900772502240e-01
1.196000000000000085e+01,1.489669371817347321e-01
1.198000000000000043e+01,2.833842681162676569e-01
1.200000000000000000e+01,3.431002768595187713e-01
1.201999999999999957e+01,3.009109081507633787e-01
1.203999999999999915e+01,2.749979408118631841e-01
1.206000000000000050e+01,8.391514444832255670e-02
1.208000000000000007e+01,1.390033407179059044e-01
1.209999999999999964e+01,9.036702028892935890e-02
1.212000000000000099e+01,1.499829690106428137e-01
1.214000000000000057e+01,2.666401629674545193e-01
1.216000000000000014e+01,3.237618437202519073e-01
1.217999999999999972e+01,3.064810378217593390e-01
1.219999999999999929e+01,3.888625789560722912e-01
1.222000000000000064e+01,2.065701260569138276e-01
1.224000000000000021e+01,2.695063026715790455e-01
1.225999999999999979e+01,4.620952390227468509e-01
1.228000000000000114e+01,2.407112276802918505e-01
1.230000000000000071e+01,2.154147177855420814e-01
1.232000000000000028e+01,1.042320819614411115e-01
1.233999999999999986e+01,2.462988830433305298e-01
1.235999999999999943e+01,2.680013115423567349e-01
1.237999999999999901e+01,2.178074766838266063e-01
1.240000000000000036e+01,3.883114363026397009e-01
1.241999999999999993e+01,3.276853784859361518e-01
1.243999999999999950e+01,2.063797745496090963e-01
1.246000000000000085e+01,-1.170035872782154707e-01
1.248000000000000043e+01,4.151968099603762369e-02
1.250000000000000000e+01,1.763278799155831578e-01
1.251999999999999957e+01,1.029369743080751631e-01
1.253999999999999915e+01,1.161904278866752738e-01
1.256000000000000050e+01,2.809381680379310908e-01
1.258000000000000007e+01,5.897229015131342372e-02
1.259999999999999964e+01,1.146338499466521138e-01
1.262000000000000099e+01,1.870607045293768977e-01
1.264000000000000057e+01,1.569061909665126486e-01
1.266000000000000014e+01,2.618010628676906149e-01
1.267999999999999972e+01,2.502427164609564714e-01
1.269999999999999929e+01,3.412263435464608641e-01
1.272000000000000064e+01,4.737674046810074757e-01
1.274000000000000021e+01,-1.103145833081137055e-02
1.275999999999999979e+01,2.970446586485632201e-01
1.278000000000000114e+01,-5.907270304292923380e-02
1.280000000000000071e+01,2.754109193313673543e-01
1.282000000000000028e+01,2.657111138430782171e-01
1.283999999999999986e+01,2.781245193218033207e-01
1.285999999999999943e+01,2.957236719095773791e-01
1.287999999999999901e+01,2.526491666261183044e-01
1.290000000000000036e+01,3.530365297219554832e-01
1.291999999999999993e+01,2.508517848539124628e-01
1.293999999999999950e+01,4.445863106546568133e-01
1.296000000000000085e+01,2.860447612346430635e-01
1.298000000000000043e+01,2.533079122603127398e-01
1.300000000000000000e+01,1.071038988440705247e-01
1.301999999999999957e+01,4.318949548156041374e-01
1.303999999999999915e+01,4.861098301191844606e-01
1.306000000000000050e+01,2.779509896231520671e-01
1.308000000000000007e+01,5.041959007495459000e-01
1.309999999999999964e+01,3.546555366776376617e-01
1.312000000000000099e+01,1.483381045040234880e-01
