# 2Theta,Intensity
1.000000000000000000e+01,9.180433484675398770e-01
1.001999999999999957e+01,6.909643803853676713e-01
1.003999999999999915e+01,6.656929165726976905e-01
1.006000000000000050e+01,9.716543422674349673e-01
1.008000000000000007e+01,5.160456701438357330e-01
1.009999999999999964e+01,1.334727429276854060e+00
1.011999999999999922e+01,8.680082347763897754e-01
1.014000000000000057e+01,7.420497182480380038e-01
1.016000000000000014e+01,1.158373564703584879e+00
1.017999999999999972e+01,1.087678826298154933e+00
1.019999999999999929e+01,8.000502967364037099e-01
1.022000000000000064e+01,1.092859608018378781e+00
1.024000000000000021e+01,9.072321332045082398e-01
1.025999999999999979e+01,1.278152258313671963e+00
1.027999999999999936e+01,1.038566747088872644e+00
1.030000000000000071e+01,8.666898688325853639e-01
1.032000000000000028e+01,7.768738291422130349e-01
1.033999999999999986e+01,4.991550478629482313e-01
1.035999999999999943e+01,8.673922796826522008e-01
1.038000000000000078e+01,8.872548749232442855e-01
1.040000000000000036e+01,1.018322577961501052e+00
1.041999999999999993e+01,1.185715834153317827e+00
1.043999999999999950e+01,9.307774663799525117e-01
1.046000000000000085e+01,9.244137035617734366e-01
1.048000000000000043e+01,1.050357864847823341e+00
1.050000000000000000e+01,7.899664341487269148e-01
1.051999999999999957e+01,7.613518659150407819e-01
1.053999999999999915e+01,9.509007809207029593e-01
1.056000000000000050e+01,9.837857271428565031e-01
1.058000000000000007e+01,9.197254009448636580e-01
1.059999999999999964e+01,6.455003814452151545e-01
1.061999999999999922e+01,7.276191022059894653e-01
1.064000000000000057e+01,7.923779491619679094e-01
1.066000000000000014e+01,8.920533973994196897e-01
1.067999999999999972e+01,1.217362251317121391e+00
1.069999999999999929e+01,7.705765489646478894e-01
1.072000000000000064e+01,7.594192380950754995e-01
1.074000000000000021e+01,7.218366456267144571e-01
1.075999999999999979e+01,1.204805789875228239e+00
1.077999999999999936e+01,1.230062781742736089e+00
1.080000000000000071e+01,8.264326259391728824e-01
1.082000000000000028e+01,8.953050488920276662e-01
1.083999999999999986e+01,7.489231684302283254e-01
1.085999999999999943e+01,9.027685607297666337e-01
1.088000000000000078e+01,9.944489039915735962e-01
1.090000000000000036e+01,9.417926432744980758e-01
1.091999999999999993e+01,9.612713814780435850e-01
1.093999999999999950e+01,8.904799858157447234e-01
1.096000000000000085e+01,1.064599940123623911e+00
1.098000000000000043e+01,8.950360018397419681e-01
1.100000000000000000e+01,6.065403589699145392e-01
1.101999999999999957e+01,1.025633636207329724e+00
1.103999999999999915e+01,9.492167523888693781e-01
