# 2Theta,Intensity
1.000000000000000000e+01,6.274978585651336260e-02
1.001999999999999957e+01,1.613002003603483392e-01
1.003999999999999915e+01,-5.970528918442328387e-02
1.006000000000000050e+01,-1.265779242380352804e-02
1.008000000000000007e+01,-4.582098317260244885e-02
1.009999999999999964e+01,-2.000367964192844780e-03
1.011999999999999922e+01,8.723477632783697977e-02
1.014000000000000057e+01,1.027745819285703043e-02
1.016000000000000014e+01,1.317576558491868333e-01
1.017999999999999972e+01,2.842493671820544437e-02
1.019999999999999929e+01,1.972373215957906045e-01
1.022000000000000064e+01,1.644977840213763531e-01
1.024000000000000021e+01,1.848324702876474324e-01
1.025999999999999979e+01,1.136918416713114388e-01
1.027999999999999936e+01,9.996233717445174305e-02
1.030000000000000071e+01,4.024186638748012725e-03
1.032000000000000028e+01,2.405806685170340867e-02
1.033999999999999986e+01,3.169453506618752359e-02
1.035999999999999943e+01,3.620512178399925424e-02
1.038000000000000078e+01,5.000481859770648102e-02
1.040000000000000036e+01,-1.071113612303590951e-01
1.041999999999999993e+01,-5.572863562160489809e-02
1.043999999999999950e+01,1.644605342835025186e-01
1.046000000000000085e+01,1.460834081444636334e-01
1.048000000000000043e+01,1.485022917566269085e-01
1.050000000000000000e+01,1.055876773302532046e-01
1.051999999999999957e+01,-2.474164098384879721e-03
1.053999999999999915e+01,2.990387794263684590e-02
1.056000000000000050e+01,1.432514407797043643e-01
1.058000000000000007e+01,1.096511595044556281e-01
1.059999999999999964e+01,-9.419523210391037016e-02
1.061999999999999922e+01,1.780820647672877455e-01
1.064000000000000057e+01,7.416570226737562166e-02
1.066000000000000014e+01,2.143539220911195864e-01
1.067999999999999972e+01,3.623576405667529310e-02
1.069999999999999929e+01,-4.978089206782751464e-02
1.072000000000000064e+01,-1.079552249472221226e-01
1.074000000000000021e+01,-1.870016268801972248e-01
1.075999999999999979e+01,2.054714042121591824e-02
1.077999999999999936e+01,-1.505149922794826456e-01
1.080000000000000071e+01,-1.727032456992017365e-02
1.082000000000000028e+01,2.421699351824022420e-02
1.083999999999999986e+01,-3.154727384960034735e-03
1.085999999999999943e+01,-5.477840982725305785e-02
1.088000000000000078e+01,6.717421449445301618e-02
1.090000000000000036e+01,1.152332884264160584e-01
1.091999999999999993e+01,4.742871620882594536e-02
1.093999999999999950e+01,-1.005687550050821388e-01
1.096000000000000085e+01,1.598086211781075960e-01
1.098000000000000043e+01,1.860709012616111879e-01
1.100000000000000000e+01,-3.376582606537115172e-02
1.101999999999999957e+01,1.599459265485541903e-01
1.103999999999999915e+01,-6.339290440579951023e-03
1.106000000000000050e+01,2.414955579801692231e-01
1.108000000000000007e+01,8.126067413457704891e-02
1.109999999999999964e+01,-5.625266822641630804e-02
1.112000000000000099e+01,-3.020745419745747909e-02
1.114000000000000057e+01,8.681808383066030865e-02
1.116000000000000014e+01,1.536426565800759481e-01
1.117999999999999972e+01,1.842107506558268715e-01
1.119999999999999929e+01,-1.470044895890331056e-02
1.122000000000000064e+01,-3.763900820617351040e-02
1.124000000000000021e+01,1.510828193173867524e-02
1.125999999999999979e+01,-1.069321474458415355e-01
1.127999999999999936e+01,4.049647957991206471e-02
1.130000000000000071e+01,1.320580347356420936e-01
1.132000000000000028e+01,1.320032726018937896e-01
1.133999999999999986e+01,-4.629013234155501116e-02
1.135999999999999943e+01,8.097897768104966865e-02
1.138000000000000078e+01,1.173029184220336224e-01
1.140000000000000036e+01,-1.092524983758409868e-01
1.141999999999999993e+01,-3.865607484870146188e-02
1.143999999999999950e+01,8.756569630315388930e-02
1.146000000000000085e+01,-6.041170155967219828e-04
1.148000000000000043e+01,2.510677935485532419e-01
1.150000000000000000e+01,7.325933313468174779e-02
1.151999999999999957e+01,-7.947788296644338335e-02
1.153999999999999915e+01,-3.885591929792974689e-03
1.156000000000000050e+01,1.402204367005497054e-01
1.158000000000000007e+01,5.749627915999890732e-02
1.159999999999999964e+01,-3.091729431391510019e-02
1.162000000000000099e+01,2.040019449662268947e-01
1.164000000000000057e+01,-2.648987557248698443e-02
1.166000000000000014e+01,9.781093313053709770e-02
1.167999999999999972e+01,1.146066699435101255e-01
1.169999999999999929e+01,2.016772788505145630e-01
1.172000000000000064e+01,2.863152496673957229e-02
1.174000000000000021e+01,1.187095881045678314e-01
1.175999999999999979e+01,6.007841477060364178e-03
1.177999999999999936e+01,2.189618935387888099e-01
1.180000000000000071e+01,6.815014831974233744e-02
1.182000000000000028e+01,-1.166892288409079048e-01
1.183999999999999986e+01,-1.758872376902852891e-02
1.185999999999999943e+01,8.854421029161659018e-02
1.188000000000000078e+01,4.502283940050679639e-02
1.190000000000000036e+01,1.101026082541568807e-01
1.191999999999999993e+01,8.808848565194407620e-02
1.193999999999999950e+01,-3.828046752983680495e-02
1.196000000000000085e+01,-1.749903422920222676e-02
1.198000000000000043e+01,1.641938001339738051e-01
1.200000000000000000e+01,3.776276655811807714e-01
1.201999999999999957e+01,8.994142264956374311e-02
1.203999999999999915e+01,1.218931932329772733e-01
1.206000000000000050e+01,9.448168439835545607e-02
1.208000000000000007e+01,1.377413381952498350e-01
1.209999999999999964e+01,3.445539927402516134e-02
1.212000000000000099e+01,3.461287170218340509e-02
1.214000000000000057e+01,4.598683457086966131e-02
1.216000000000000014e+01,2.206016647483464294e-02
