# 2Theta,Intensity
1.000000000000000000e+01,-5.342490382056123976e-02
1.001999999999999957e+01,-5.115675678252330771e-02
1.003999999999999915e+01,1.251620516074701261e-01
1.006000000000000050e+01,9.793412354090864913e-02
1.008000000000000007e+01,1.476566419802471108e-01
1.009999999999999964e+01,3.559907248651116712e-02
1.011999999999999922e+01,6.809266793554494268e-02
1.014000000000000057e+01,1.361052008305644878e-01
1.016000000000000014e+01,3.399848381241313278e-01
1.017999999999999972e+01,7.733759213806799815e-02
1.019999999999999929e+01,3.041627991247523033e-01
1.022000000000000064e+01,1.068421659454505263e-01
1.024000000000000021e+01,3.971576756469952785e-01
1.025999999999999979e+01,4.277628604390131678e-02
1.027999999999999936e+01,1.897823760273527616e-01
1.030000000000000071e+01,1.624711039812247182e-01
1.032000000000000028e+01,4.283171418399052688e-01
1.033999999999999986e+01,3.997259880736032112e-01
1.035999999999999943e+01,1.250940224842844284e+00
1.038000000000000078e+01,3.024318517754970959e+00
1.040000000000000036e+01,6.491916287583006095e+00
1.041999999999999993e+01,6.409012871437010261e+00
1.043999999999999950e+01,3.291860072995022257e+00
1.046000000000000085e+01,1.024233570560531215e+00
1.048000000000000043e+01,3.905572184367246957e-01
1.050000000000000000e+01,2.723763693677900832e-01
1.051999999999999957e+01,8.431418355778466656e-02
1.053999999999999915e+01,2.460966147849002750e-01
1.056000000000000050e+01,7.449181111117833543e-02
1.058000000000000007e+01,-8.524252784510888414e-02
1.059999999999999964e+01,4.576591227533576001e-02
1.061999999999999922e+01,3.078866437923663546e-01
1.064000000000000057e+01,2.483723123664883514e-01
1.066000000000000014e+01,-6.019527351066412263e-02
1.067999999999999972e+01,1.892062924189781559e-01
1.069999999999999929e+01,8.107026178781132075e-02
1.072000000000000064e+01,-4.902158423190793729e-02
1.074000000000000021e+01,1.070856969855003143e-01
1.075999999999999979e+01,7.415649871540780369e-02
1.077999999999999936e+01,1.518127613997428127e-01
1.080000000000000071e+01,-3.589685528136863507e-02
1.082000000000000028e+01,1.772020224695938784e-01
1.083999999999999986e+01,8.582394597842821216e-02
1.085999999999999943e+01,2.180821690158052661e-01
1.088000000000000078e+01,8.175901967980914176e-02
1.090000000000000036e+01,-8.993694232596251281e-02
1.091999999999999993e+01,9.383906497359376098e-02
1.093999999999999950e+01,9.206208158589493373e-02
1.096000000000000085e+01,8.889086054321095054e-02
1.098000000000000043e+01,7.189631637799880071e-02
1.100000000000000000e+01,3.053019720665671732e-01
1.101999999999999957e+01,1.320240627026534330e-01
1.103999999999999915e+01,2.234422132429058072e-01
1.106000000000000050e+01,1.596004374515454793e-01
1.108000000000000007e+01,2.227297532938628602e-02
1.109999999999999964e+01,4.246931068150656963e-02
1.112000000000000099e+01,2.205688380088643707e-01
1.114000000000000057e+01,1.369009726723088294e-01
1.116000000000000014e+01,2.020023467806403017e-01
1.117999999999999972e+01,1.637191909711202820e-01
1.119999999999999929e+01,1.160939117461381037e-01
1.122000000000000064e+01,2.269008394739217283e-01
1.124000000000000021e+01,1.176075479566702081e-01
1.125999999999999979e+01,1.395573864365002303e-01
1.127999999999999936e+01,5.009428462722451819e-02
1.130000000000000071e+01,-9.066110395280081724e-02
1.132000000000000028e+01,6.976809852581879190e-02
1.133999999999999986e+01,5.243580103613728477e-02
1.135999999999999943e+01,4.859556808517145193e-02
1.138000000000000078e+01,5.963753157177508618e-02
1.140000000000000036e+01,2.957187986798865409e-01
1.141999999999999993e+01,2.367832405454512179e-01
1.143999999999999950e+01,-9.495089021405882235e-02
1.146000000000000085e+01,-8.279786949740886026e-02
1.148000000000000043e+01,-1.725699494889155333e-02
1.150000000000000000e+01,2.113556742082584039e-01
1.151999999999999957e+01,6.812668240182313817e-02
1.153999999999999915e+01,8.871020311972935279e-02
1.156000000000000050e+01,1.595218000306547756e-01
1.158000000000000007e+01,1.859914766190247717e-02
1.159999999999999964e+01,9.617790627365373213e-02
1.162000000000000099e+01,8.988507793448589564e-03
1.164000000000000057e+01,-5.615956972489495255e-03
1.166000000000000014e+01,2.409075586462463836e-01
1.167999999999999972e+01,1.291567527057668752e-01
1.169999999999999929e+01,1.042236762249535154e-01
1.172000000000000064e+01,4.071137310379669971e-01
1.174000000000000021e+01,1.090182883043327305e-01
1.175999999999999979e+01,2.214979169873271952e-02
1.177999999999999936e+01,1.731332295727285864e-01
1.180000000000000071e+01,2.720945225557186084e-02
1.182000000000000028e+01,1.844500495268411658e-02
1.183999999999999986e+01,8.403729852732549910e-02
1.185999999999999943e+01,5.272913377972149318e-02
1.188000000000000078e+01,2.123303247511577896e-02
1.190000000000000036e+01,8.824029816332999709e-02
1.191999999999999993e+01,-3.859516213662995271e-02
1.193999999999999950e+01,1.468726177431417257e-01
1.196000000000000085e+01,-5.039714369282673884e-02
1.198000000000000043e+01,1.544964077070690861e-02
1.200000000000000000e+01,3.484914269652585328e-01
1.201999999999999957e+01,4.484453397692440835e-02
1.203999999999999915e+01,2.366318385915423123e-02
1.206000000000000050e+01,9.764990856488024729e-02
1.208000000000000007e+01,1.874195507992698628e-01
1.209999999999999964e+01,-2.754018745029112453e-02
1.212000000000000099e+01,7.817911969726761001e-02
1.214000000000000057e+01,2.071481000897641422e-01
1.216000000000000014e+01,-5.225047809459335696e-02
1.217999999999999972e+01,-3.697273075382101482e-02
1.219999999999999929e+01,-3.605154328078728765e-02
1.222000000000000064e+01,1.214729274629858247e-01
1.224000000000000021e+01,1.510302655630338942e-01
1.225999999999999979e+01,1.070149685141449508e-01
1.228000000000000114e+01,-9.466083362374629051e-02
1.230000000000000071e+01,1.340796173158208537e-01
1.232000000000000028e+01,1.005917879261433306e-01
1.233999999999999986e+01,8.826547916577892616e-02
1.235999999999999943e+01,8.799484083091127506e-02
1.237999999999999901e+01,3.549179745271874992e-02
1.240000000000000036e+01,-5.498039822831207041e-02
1.241999999999999993e+01,2.782686540867083114e-01
1.243999999999999950e+01,1.076251980213272820e-02
1.246000000000000085e+01,2.600600238121116847e-01
1.248000000000000043e+01,1.970075158296167306e-01
1.250000000000000000e+01,2.289291611728827558e-01
1.251999999999999957e+01,-3.896548886279367629e-02
1.253999999999999915e+01,-1.722695811737674776e-02
1.256000000000000050e+01,1.233870371339140376e-01
1.258000000000000007e+01,9.552739941476139085e-02
1.259999999999999964e+01,-2.237561949193236574e-02
1.262000000000000099e+01,-1.593969887157728471e-02
1.264000000000000057e+01,5.034610697364497872e-02
1.266000000000000014e+01,1.327837761696887553e-01
1.267999999999999972e+01,-2.380019485614896790e-02
1.269999999999999929e+01,1.766548848012453321e-01
1.272000000000000064e+01,3.068852519935775028e-02
1.274000000000000021e+01,-1.823697382565606651e-01
1.275999999999999979e+01,-4.892363367260062212e-02
1.278000000000000114e+01,1.775834382138579692e-01
1.280000000000000071e+01,-1.318868250630081673e-01
1.282000000000000028e+01,2.860500249348838508e-01
1.283999999999999986e+01,9.659996811037983855e-02
1.285999999999999943e+01,7.664129067068002621e-02
1.287999999999999901e+01,1.827806512591598764e-01
1.290000000000000036e+01,3.210438482176731778e-01
1.291999999999999993e+01,3.481145330780887615e-01
1.293999999999999950e+01,-3.731559150221503817e-03
1.296000000000000085e+01,9.130447182315158672e-02
1.298000000000000043e+01,5.148496867966944474e-02
1.300000000000000000e+01,-2.037506444182890855e-02
1.301999999999999957e+01,5.185950830370989568e-04
1.303999999999999915e+01,1.322928426898661858e-01
1.306000000000000050e+01,1.505891074598307844e-01
1.308000000000000007e+01,1.663354753581180456e-01
1.309999999999999964e+01,1.363956632615969389e-01
1.312000000000000099e+01,1.865894474273774306e-01
1.314000000000000057e+01,5.824056147257011817e-02
1.316000000000000014e+01,-1.413102707450956605e-02
1.317999999999999972e+01,-1.168455515259172184e-01
1.319999999999999929e+01,1.410179313027884740e-01
1.322000000000000064e+01,1.806586424612596498e-01
1.324000000000000021e+01,1.182982838724589147e-01
1.325999999999999979e+01,5.974134973975987056e-02
1.328000000000000114e+01,-1.165273891898280373e-01
1.330000000000000071e+01,-1.111568278773839569e-01
1.332000000000000028e+01,2.304122411756243383e-01
1.333999999999999986e+01,6.678668090528201706e-02
1.335999999999999943e+01,2.664233841554017879e-01
1.337999999999999901e+01,3.958359417683785658e-02
