# 2Theta,Intensity
1.000000000000000000e+01,1.406581946210128109e+00
1.001999999999999957e+01,1.474482203715646422e+00
1.003999999999999915e+01,8.915036821494976005e-01
1.006000000000000050e+01,1.200625288972439586e+00
1.008000000000000007e+01,1.176118309303854748e+00
1.009999999999999964e+01,1.546100197600016379e+00
1.011999999999999922e+01,1.406790763069234007e+00
1.014000000000000057e+01,1.214363928063604492e+00
1.016000000000000014e+01,1.322357913812868269e+00
1.017999999999999972e+01,1.478213186741790253e+00
1.019999999999999929e+01,1.318939197124538332e+00
1.022000000000000064e+01,1.350287623588505292e+00
1.024000000000000021e+01,1.099880474073132053e+00
1.025999999999999979e+01,1.548626691697778224e+00
1.027999999999999936e+01,1.302899765474051064e+00
1.030000000000000071e+01,1.059171245717412946e+00
1.032000000000000028e+01,1.159873222581541796e+00
1.033999999999999986e+01,1.461045837032131089e+00
1.035999999999999943e+01,1.536384657544813237e+00
1.038000000000000078e+01,1.383087831871325557e+00
1.040000000000000036e+01,1.394123255518807225e+00
1.041999999999999993e+01,1.279522881743787588e+00
1.043999999999999950e+01,1.495512436753505314e+00
1.046000000000000085e+01,1.501362142809093969e+00
1.048000000000000043e+01,1.544967078840219221e+00
1.050000000000000000e+01,1.109781933103108020e+00
1.051999999999999957e+01,1.271887723809608017e+00
1.053999999999999915e+01,1.447973204698859595e+00
1.056000000000000050e+01,1.373672483376878972e+00
1.058000000000000007e+01,1.352646157234388191e+00
1.059999999999999964e+01,1.053392452762743847e+00
1.061999999999999922e+01,1.257490862658564801e+00
1.064000000000000057e+01,1.429174727731695294e+00
1.066000000000000014e+01,9.384286159497781110e-01
1.067999999999999972e+01,1.254438843345537791e+00
1.069999999999999929e+01,1.449281594655183358e+00
1.072000000000000064e+01,1.428753028399648350e+00
1.074000000000000021e+01,1.270788886709972365e+00
1.075999999999999979e+01,1.129335262726673061e+00
1.077999999999999936e+01,1.441639248029336295e+00
1.080000000000000071e+01,1.407020127055514047e+00
1.082000000000000028e+01,1.378464900110612845e+00
1.083999999999999986e+01,1.252158965812004920e+00
1.085999999999999943e+01,1.378719165635248434e+00
1.088000000000000078e+01,1.112244574425353738e+00
1.090000000000000036e+01,1.266240027739155005e+00
1.091999999999999993e+01,1.167470626939867584e+00
1.093999999999999950e+01,1.366313608781616340e+00
1.096000000000000085e+01,1.257256671326288711e+00
1.098000000000000043e+01,1.858618826881426545e+00
1.100000000000000000e+01,1.342875464009916087e+00
1.101999999999999957e+01,9.682535487173649091e-01
1.103999999999999915e+01,1.349272579448774101e+00
1.106000000000000050e+01,1.187263404569648406e+00
1.108000000000000007e+01,8.345620512964647686e-01
1.109999999999999964e+01,1.365874256246140561e+00
1.112000000000000099e+01,1.082960301854179574e+00
1.114000000000000057e+01,1.471376822067522960e+00
1.116000000000000014e+01,8.772429971488964195e-01
1.117999999999999972e+01,1.343912226562553602e+00
1.119999999999999929e+01,1.154097722396834280e+00
1.122000000000000064e+01,1.715360826510019310e+00
