# 2Theta,Intensity
1.000000000000000000e+01,2.574119889106254999e-01
1.001999999999999957e+01,2.435076016178973624e-01
1.003999999999999915e+01,3.346643331157816426e-01
1.006000000000000050e+01,3.990952698276206689e-01
1.008000000000000007e+01,4.617582374695725772e-02
1.009999999999999964e+01,3.080921204793838908e-01
1.011999999999999922e+01,2.429179901963659516e-01
1.014000000000000057e+01,2.693831270604287731e-01
1.016000000000000014e+01,2.214224105663773201e-01
1.017999999999999972e+01,1.370172913472016973e-01
1.019999999999999929e+01,5.336559084743863757e-01
1.022000000000000064e+01,1.053674883103792453e-01
1.024000000000000021e+01,6.975693757915048254e-02
1.025999999999999979e+01,3.484719498270699156e-01
1.027999999999999936e+01,3.071348933370591783e-01
1.030000000000000071e+01,2.467755527796281489e-01
1.032000000000000028e+01,1.163327781186817012e-01
1.033999999999999986e+01,3.447089274798352254e-01
1.035999999999999943e+01,1.001509446796453179e-01
1.038000000000000078e+01,2.439641752755830062e-01
1.040000000000000036e+01,2.933015857014222294e-01
1.041999999999999993e+01,3.400172567891501796e-01
1.043999999999999950e+01,2.297227183368382719e-01
1.046000000000000085e+01,4.857661702223968203e-01
1.048000000000000043e+01,1.962859935452192228e-01
1.050000000000000000e+01,3.327736312958082809e-01
1.051999999999999957e+01,3.778138556849230945e-01
1.053999999999999915e+01,5.649744896624637747e-01
1.056000000000000050e+01,3.025712300469057814e-01
1.058000000000000007e+01,2.179973885018759716e-01
1.059999999999999964e+01,4.255773076459773430e-01
1.061999999999999922e+01,1.083882928878515117e-01
1.064000000000000057e+01,3.440485548934273385e-01
1.066000000000000014e+01,7.776557512843039477e-02
1.067999999999999972e+01,4.918902879783292326e-01
1.069999999999999929e+01,1.797152662688294156e-01
1.072000000000000064e+01,4.181324180757824416e-01
1.074000000000000021e+01,2.396123544094967417e-01
1.075999999999999979e+01,4.092216454498159850e-01
1.077999999999999936e+01,2.811814498892446501e-01
1.080000000000000071e+01,8.852663966452510580e-02
1.082000000000000028e+01,8.358930906838250852e-02
1.083999999999999986e+01,4.496846650263884304e-01
1.085999999999999943e+01,2.382657851856543052e-01
1.088000000000000078e+01,4.575127136068700695e-01
1.090000000000000036e+01,3.778714910132204841e-01
1.091999999999999993e+01,1.506107475898474934e-01
1.093999999999999950e+01,2.888884328799009027e-01
1.096000000000000085e+01,3.307490378569636347e-01
1.098000000000000043e+01,4.506411179457042726e-02
1.100000000000000000e+01,1.624755001814284228e-01
1.101999999999999957e+01,2.792418362041491076e-01
1.103999999999999915e+01,2.116537121684770595e-01
1.106000000000000050e+01,3.962536095335870145e-01
