# 2Theta,Intensity
1.000000000000000000e+01,1.201579424261405016e-01
1.001999999999999957e+01,8.107948353941020481e-02
1.003999999999999915e+01,1.035911513401408246e-01
1.006000000000000050e+01,4.589014742873377961e-01
1.008000000000000007e+01,5.437866813926575671e-02
1.009999999999999964e+01,1.845710612862505595e-01
1.011999999999999922e+01,1.650020995373183141e-01
1.014000000000000057e+01,2.556592591666606018e-01
1.016000000000000014e+01,2.158861867240638999e-01
1.017999999999999972e+01,4.346554190944654783e-01
1.019999999999999929e+01,2.339154285064091177e-01
1.022000000000000064e+01,2.411419139269378731e-01
1.024000000000000021e+01,1.062873168122192430e-01
1.025999999999999979e+01,1.314285693274095390e-01
1.027999999999999936e+01,8.502493539359280705e-02
1.030000000000000071e+01,3.681386447868378875e-01
1.032000000000000028e+01,-8.113800418214962840e-02
1.033999999999999986e+01,1.443428604092650280e-01
1.035999999999999943e+01,2.150845877286007568e-01
1.038000000000000078e+01,1.733583817766704560e-01
1.040000000000000036e+01,2.698626881062295979e-01
1.041999999999999993e+01,1.155810054904453377e-01
1.043999999999999950e+01,-3.625260098377593165e-02
1.046000000000000085e+01,1.169187614455057950e-01
1.048000000000000043e+01,4.960828826352641635e-02
1.050000000000000000e+01,1.472085684592127908e-01
1.051999999999999957e+01,1.860091884032914478e-01
1.053999999999999915e+01,-7.199306943247445190e-02
1.056000000000000050e+01,-6.087209782438266631e-02
1.058000000000000007e+01,1.815809253251904620e-01
1.059999999999999964e+01,1.071718631317088999e-01
1.061999999999999922e+01,1.555050174106181737e-01
1.064000000000000057e+01,-3.598720194994321081e-02
1.066000000000000014e+01,3.442265011577330669e-01
1.067999999999999972e+01,-8.357677921432951629e-02
1.069999999999999929e+01,1.276261807024699491e-01
1.072000000000000064e+01,1.481661204523785358e-01
1.074000000000000021e+01,1.114105711095569329e-01
1.075999999999999979e+01,1.440287449406041642e-01
1.077999999999999936e+01,8.514035372148681668e-02
1.080000000000000071e+01,1.136236096174095545e-01
1.082000000000000028e+01,5.970869180950014177e-02
1.083999999999999986e+01,2.767452153977331686e-02
1.085999999999999943e+01,2.276200586070105114e-01
1.088000000000000078e+01,-5.883107174928513261e-02
1.090000000000000036e+01,1.388608556168594854e-01
1.091999999999999993e+01,1.290249155863256725e-01
1.093999999999999950e+01,1.189810598839552563e-01
1.096000000000000085e+01,1.317640421913647553e-01
1.098000000000000043e+01,4.180633275298879792e-02
1.100000000000000000e+01,2.265710095064683849e-01
1.101999999999999957e+01,2.308044301071655313e-01
1.103999999999999915e+01,1.162259472033845970e-01
1.106000000000000050e+01,2.995402075687039842e-03
1.108000000000000007e+01,1.386502262346055447e-01
1.109999999999999964e+01,2.309910894346108023e-01
1.112000000000000099e+01,1.084182004616385531e-01
1.114000000000000057e+01,1.714157606255679867e-01
1.116000000000000014e+01,1.535671567678288107e-01
1.117999999999999972e+01,9.550763289673055989e-02
1.119999999999999929e+01,-1.429207727315371657e-01
1.122000000000000064e+01,1.906380796331776095e-01
1.124000000000000021e+01,-3.525631355808552664e-02
1.125999999999999979e+01,6.839934760172106457e-03
1.127999999999999936e+01,9.683134672378840291e-02
1.130000000000000071e+01,2.577528528435669708e-01
1.132000000000000028e+01,-1.668317847934165264e-03
1.133999999999999986e+01,-7.568657707391432399e-02
1.135999999999999943e+01,-6.946771691204708943e-03
1.138000000000000078e+01,2.296862304227560991e-01
1.140000000000000036e+01,1.680271886986505758e-01
1.141999999999999993e+01,2.227473218252378206e-01
