# 2Theta,Intensity
1.000000000000000000e+01,3.267887782814839492e-01
1.001999999999999957e+01,3.127130336136302313e-01
1.003999999999999915e+01,3.806466089501107652e-01
1.006000000000000050e+01,1.570178720202697609e-01
1.008000000000000007e+01,3.527834760030208461e-01
1.009999999999999964e+01,6.803292231096752518e-02
1.011999999999999922e+01,2.378871307750679287e-01
1.014000000000000057e+01,3.012718161864862410e-01
1.016000000000000014e+01,2.429430978597193480e-01
1.017999999999999972e+01,2.413961448292933631e-01
1.019999999999999929e+01,3.176781509572925155e-01
1.022000000000000064e+01,2.880555042042690084e-01
1.024000000000000021e+01,3.803102583334408426e-01
1.025999999999999979e+01,4.802964763998261444e-01
1.027999999999999936e+01,2.941104925486914268e-01
1.030000000000000071e+01,4.926544196712113188e-01
1.032000000000000028e+01,3.351631380667367544e-01
1.033999999999999986e+01,2.573047001862979744e-01
1.035999999999999943e+01,3.407529523548378791e-01
1.038000000000000078e+01,2.812868276615966834e-01
1.040000000000000036e+01,2.108040475806357561e-01
1.041999999999999993e+01,1.107781733033780525e-01
1.043999999999999950e+01,2.857617197384230701e-01
1.046000000000000085e+01,2.982062402254385125e-01
1.048000000000000043e+01,3.269216379827661334e-01
1.050000000000000000e+01,1.838107224284790397e-01
1.051999999999999957e+01,3.668791531225832903e-01
1.053999999999999915e+01,2.485012251388014903e-01
1.056000000000000050e+01,1.383613862931848404e-01
1.058000000000000007e+01,2.743311215240870626e-01
1.059999999999999964e+01,3.202568829029387998e-01
1.061999999999999922e+01,2.053698830018152732e-01
1.064000000000000057e+01,4.891577319676779223e-01
1.066000000000000014e+01,1.194313336367483630e-01
1.067999999999999972e+01,2.097855349483490894e-01
1.069999999999999929e+01,4.803465199883906189e-01
1.072000000000000064e+01,2.811601236661713243e-01
1.074000000000000021e+01,1.945741061269343208e-01
1.075999999999999979e+01,2.165173190810342208e-01
1.077999999999999936e+01,3.304123003890073185e-01
1.080000000000000071e+01,3.537613061396548408e-01
1.082000000000000028e+01,2.569509953387801304e-01
1.083999999999999986e+01,2.182400111244827412e-01
1.085999999999999943e+01,9.288237428902124115e-02
1.088000000000000078e+01,2.700926776634394733e-01
1.090000000000000036e+01,2.273303648579766967e-01
1.091999999999999993e+01,3.424445643702611064e-01
1.093999999999999950e+01,1.016358769950763546e-01
1.096000000000000085e+01,2.929838616987561206e-01
1.098000000000000043e+01,2.953877969234116607e-01
1.100000000000000000e+01,3.080146488607236055e-01
1.101999999999999957e+01,2.225676884144970058e-01
1.103999999999999915e+01,2.101271359957369578e-01
1.106000000000000050e+01,3.438665217081587344e-01
1.108000000000000007e+01,2.193932471239648796e-01
1.109999999999999964e+01,3.772470703561560668e-01
1.112000000000000099e+01,3.653048434598941685e-01
1.114000000000000057e+01,2.077182917289314701e-01
1.116000000000000014e+01,2.127731630996708423e-01
1.117999999999999972e+01,4.562311169525856136e-01
1.119999999999999929e+01,-3.725693429429186021e-02
1.122000000000000064e+01,2.237896979324232039e-01
1.124000000000000021e+01,3.725795323458425679e-01
1.125999999999999979e+01,5.217935018121907520e-01
1.127999999999999936e+01,2.860749034367344734e-01
1.130000000000000071e+01,6.414136568613437728e-02
1.132000000000000028e+01,7.664498012121247206e-02
1.133999999999999986e+01,3.307514290121703060e-01
1.135999999999999943e+01,3.574497699993126054e-01
1.138000000000000078e+01,3.238743779590843586e-01
1.140000000000000036e+01,1.129003285695393127e-01
1.141999999999999993e+01,2.199754085118221514e-01
1.143999999999999950e+01,1.789099020796061368e-01
1.146000000000000085e+01,3.500642445366967115e-01
1.148000000000000043e+01,3.718166204340614400e-01
1.150000000000000000e+01,3.449070465453544232e-01
1.151999999999999957e+01,6.800104559896810730e-02
1.153999999999999915e+01,2.512511113506904481e-01
1.156000000000000050e+01,2.111624773450164472e-01
1.158000000000000007e+01,1.021683898063468487e-01
