# 2Theta,Intensity
1.000000000000000000e+01,2.559516726285546162e-01
1.001999999999999957e+01,4.580793331014443859e-01
1.003999999999999915e+01,4.625864288830273674e-01
1.006000000000000050e+01,2.094262399847065248e-01
1.008000000000000007e+01,3.838313296673810937e-01
1.009999999999999964e+01,2.526075401616577690e-02
1.011999999999999922e+01,-3.474389130128095748e-02
1.014000000000000057e+01,1.694134479811616190e-01
1.016000000000000014e+01,1.262809036088739512e-01
1.017999999999999972e+01,2.182195789566453159e-01
1.019999999999999929e+01,1.541858324932979807e-01
1.022000000000000064e+01,3.115627645273040813e-01
1.024000000000000021e+01,2.595087248607519936e-01
1.025999999999999979e+01,3.248325250033486378e-01
1.027999999999999936e+01,5.415347526722424920e-01
1.030000000000000071e+01,5.127550374100119379e-01
1.032000000000000028e+01,1.195490281347594552e-01
1.033999999999999986e+01,2.049972481394718438e-01
1.035999999999999943e+01,1.810214721300516250e-01
1.038000000000000078e+01,2.109745972721977225e-01
1.040000000000000036e+01,1.754471200161362154e-01
1.041999999999999993e+01,1.936752048655209224e-01
1.043999999999999950e+01,1.318606341648839719e-01
1.046000000000000085e+01,2.345808457488888776e-01
1.048000000000000043e+01,2.036649533907966270e-01
1.050000000000000000e+01,1.947321628617047218e-01
1.051999999999999957e+01,2.067775440151509714e-01
1.053999999999999915e+01,2.708401019995602677e-01
1.056000000000000050e+01,2.146826219147905113e-01
1.058000000000000007e+01,3.446713973664408681e-01
1.059999999999999964e+01,3.337818848221497103e-01
1.061999999999999922e+01,1.756059931466456558e-01
1.064000000000000057e+01,2.658809713531211094e-01
1.066000000000000014e+01,4.030027690663751105e-01
1.067999999999999972e+01,2.975158575504106562e-01
1.069999999999999929e+01,3.613227108511685159e-01
1.072000000000000064e+01,5.024251893427986726e-01
1.074000000000000021e+01,2.945704793087673412e-01
1.075999999999999979e+01,2.224329106887678598e-01
1.077999999999999936e+01,1.932553853459051396e-01
1.080000000000000071e+01,2.678247035051106173e-01
1.082000000000000028e+01,4.195671607793328706e-01
1.083999999999999986e+01,3.390384768113751668e-01
1.085999999999999943e+01,1.013802349747411624e-01
1.088000000000000078e+01,6.959853539725024962e-02
1.090000000000000036e+01,3.619357920727407363e-01
1.091999999999999993e+01,3.200767440437295996e-01
1.093999999999999950e+01,1.039809942131698223e-01
1.096000000000000085e+01,2.525213237730254412e-01
