# 2Theta,Intensity
1.000000000000000000e+01,1.583714551570889473e-01
1.001999999999999957e+01,3.944257264291319287e-01
1.003999999999999915e+01,3.956227263955329754e-01
1.006000000000000050e+01,1.564363169839089185e-01
1.008000000000000007e+01,4.184499365748984290e-01
1.009999999999999964e+01,1.464661608885019506e-01
1.011999999999999922e+01,2.886478127612415179e-01
1.014000000000000057e+01,4.339708300589062429e-01
1.016000000000000014e+01,2.100698750930991565e-01
1.017999999999999972e+01,1.227401188089189271e-01
1.019999999999999929e+01,2.206192179886706795e-01
1.022000000000000064e+01,3.226729469200967926e-01
1.024000000000000021e+01,2.736577934288895175e-01
1.025999999999999979e+01,4.808092290815962344e-01
1.027999999999999936e+01,5.053524322570881466e-01
1.030000000000000071e+01,1.425646575256148407e-01
1.032000000000000028e+01,3.258005053266965767e-01
1.033999999999999986e+01,3.386232179042005241e-01
1.035999999999999943e+01,1.399936636671159917e-01
1.038000000000000078e+01,1.616124851547003638e-01
1.040000000000000036e+01,5.151810157650829058e-01
1.041999999999999993e+01,4.420540492530515841e-01
1.043999999999999950e+01,2.817804212292850385e-01
1.046000000000000085e+01,4.368960435093056094e-01
1.048000000000000043e+01,3.572707023164827245e-01
1.050000000000000000e+01,4.552497697475794136e-01
1.051999999999999957e+01,3.621641906712514403e-01
1.053999999999999915e+01,3.498242552594245658e-01
1.056000000000000050e+01,3.975257678385812898e-01
1.058000000000000007e+01,3.527951445887826387e-01
1.059999999999999964e+01,2.718551762348141998e-01
1.061999999999999922e+01,2.612269002844131924e-02
1.064000000000000057e+01,3.865863540652776931e-01
1.066000000000000014e+01,2.160149813590493129e-01
1.067999999999999972e+01,2.128606293300507879e-01
1.069999999999999929e+01,2.069895628942216848e-01
1.072000000000000064e+01,1.851552738985170199e-01
1.074000000000000021e+01,1.539394385311489977e-01
1.075999999999999979e+01,2.300114922944003493e-01
1.077999999999999936e+01,4.160848127336557178e-01
1.080000000000000071e+01,4.957504487406656501e-01
1.082000000000000028e+01,3.617384257261264113e-01
1.083999999999999986e+01,2.805912416045481805e-01
1.085999999999999943e+01,2.348797705947115178e-01
1.088000000000000078e+01,5.277051081039498825e-01
1.090000000000000036e+01,5.140228257062628286e-02
1.091999999999999993e+01,2.292491580306135757e-01
1.093999999999999950e+01,1.711955702277026259e-01
1.096000000000000085e+01,1.729276735280117216e-01
1.098000000000000043e+01,4.540980424960301964e-01
1.100000000000000000e+01,4.593496812318224598e-01
1.101999999999999957e+01,1.744022949478828410e-01
1.103999999999999915e+01,4.777444435266973155e-01
1.106000000000000050e+01,3.753984685307284463e-01
1.108000000000000007e+01,3.942902031161556464e-01
1.109999999999999964e+01,2.648084891077744363e-01
1.112000000000000099e+01,2.429484096246412317e-01
1.114000000000000057e+01,3.307247031464595199e-01
1.116000000000000014e+01,9.171097202505161528e-02
1.117999999999999972e+01,4.083893892604299469e-01
1.119999999999999929e+01,3.523315919575992217e-01
1.122000000000000064e+01,3.997901989071711570e-01
1.124000000000000021e+01,5.350217041838056797e-01
1.125999999999999979e+01,1.770626325829695036e-01
1.127999999999999936e+01,2.232185222758532872e-01
1.130000000000000071e+01,2.640772207200011712e-01
1.132000000000000028e+01,5.701920244384119929e-01
1.133999999999999986e+01,2.135172579060060638e-01
1.135999999999999943e+01,2.506903868526882406e-01
1.138000000000000078e+01,3.872324088222313665e-01
1.140000000000000036e+01,4.025774406671161487e-01
1.141999999999999993e+01,1.974451828687522892e-01
1.143999999999999950e+01,1.047503586169845763e-01
1.146000000000000085e+01,1.500829719061537171e-01
1.148000000000000043e+01,3.126922960781049476e-01
1.150000000000000000e+01,6.045979451841724250e-01
1.151999999999999957e+01,2.751974707761124517e-01
1.153999999999999915e+01,2.849648241146350292e-01
1.156000000000000050e+01,1.657568827987330184e-01
1.158000000000000007e+01,3.359132997070042315e-01
1.159999999999999964e+01,2.326834781960572529e-01
1.162000000000000099e+01,3.774279728258748134e-01
1.164000000000000057e+01,3.422178641361945939e-01
1.166000000000000014e+01,5.928193571945781226e-01
1.167999999999999972e+01,1.408805158371209676e-01
1.169999999999999929e+01,2.164609369413670603e-01
1.172000000000000064e+01,6.566149655163578958e-01
1.174000000000000021e+01,6.632904147875820500e-02
1.175999999999999979e+01,2.422686458535149023e-01
1.177999999999999936e+01,3.707994404231209074e-01
1.180000000000000071e+01,9.969047133108187297e-02
1.182000000000000028e+01,2.460473962745061138e-01
1.183999999999999986e+01,3.880987260085969753e-02
1.185999999999999943e+01,7.361970150928889844e-02
1.188000000000000078e+01,3.985810098567960646e-01
1.190000000000000036e+01,-1.809446660165426810e-02
1.191999999999999993e+01,2.738081035891103965e-01
1.193999999999999950e+01,2.742886013719261218e-01
1.196000000000000085e+01,4.813842524458094574e-01
1.198000000000000043e+01,4.260096741180666169e-01
1.200000000000000000e+01,2.661412005637633360e-01
1.201999999999999957e+01,5.462594853602955602e-01
1.203999999999999915e+01,1.824153290915073999e-01
1.206000000000000050e+01,5.186010899369007943e-01
1.208000000000000007e+01,3.689774406450997413e-01
1.209999999999999964e+01,2.975490531314634035e-01
1.212000000000000099e+01,1.545920746412718649e-01
1.214000000000000057e+01,3.049401436310485991e-01
1.216000000000000014e+01,2.228368454797525211e-01
1.217999999999999972e+01,1.312273074742442980e-01
1.219999999999999929e+01,2.044464805622581427e-01
1.222000000000000064e+01,3.420198428573040239e-01
1.224000000000000021e+01,4.800360149740987709e-02
1.225999999999999979e+01,1.293342610537124293e-01
1.228000000000000114e+01,2.030489720194630088e-01
1.230000000000000071e+01,2.611430876216683239e-01
1.232000000000000028e+01,2.070121929471357702e-01
1.233999999999999986e+01,4.303761612580030427e-01
1.235999999999999943e+01,-2.570571628964140112e-02
1.237999999999999901e+01,7.192527113796313987e-02
1.240000000000000036e+01,2.740882603485700897e-01
1.241999999999999993e+01,3.625015391941709408e-01
1.243999999999999950e+01,2.189955048340902488e-01
1.246000000000000085e+01,8.548223207287236614e-02
1.248000000000000043e+01,5.389387823227348440e-01
1.250000000000000000e+01,4.558543452470005253e-01
1.251999999999999957e+01,5.642873084760536423e-02
1.253999999999999915e+01,3.246031035457389025e-01
1.256000000000000050e+01,2.581600678296023799e-01
1.258000000000000007e+01,2.593810642870210126e-01
1.259999999999999964e+01,2.948004239972039087e-01
1.262000000000000099e+01,1.874240741139430733e-01
1.264000000000000057e+01,3.616051628023371212e-01
1.266000000000000014e+01,2.500432252007831480e-01
1.267999999999999972e+01,2.389194550654141214e-01
1.269999999999999929e+01,3.105740937597937235e-01
1.272000000000000064e+01,3.860474076904172325e-01
1.274000000000000021e+01,3.961218712913090467e-01
1.275999999999999979e+01,3.466467406122468731e-01
1.278000000000000114e+01,1.159841370444563979e-01
1.280000000000000071e+01,2.233772306089972237e-01
1.282000000000000028e+01,2.859843706652841488e-01
