# 2Theta,Intensity
1.000000000000000000e+01,4.386760848694484238e-01
1.001999999999999957e+01,3.268194694643145604e-01
1.003999999999999915e+01,5.496688854345217479e-01
1.006000000000000050e+01,5.695587902655839807e-01
1.008000000000000007e+01,4.764809763044746127e-01
1.009999999999999964e+01,4.291610418153602446e-01
1.011999999999999922e+01,4.233878105767718281e-01
1.014000000000000057e+01,4.327181607250240036e-01
1.016000000000000014e+01,3.294655009396497691e-01
1.017999999999999972e+01,4.450647896752333299e-01
1.019999999999999929e+01,6.111037877434747356e-01
1.022000000000000064e+01,5.014565758204750923e-01
1.024000000000000021e+01,3.310607540595962295e-01
1.025999999999999979e+01,6.686359190988733214e-01
1.027999999999999936e+01,5.053584427756627750e-01
1.030000000000000071e+01,5.405301120215297850e-01
1.032000000000000028e+01,9.004583334129366845e-01
1.033999999999999986e+01,3.339131986726554535e-01
1.035999999999999943e+01,3.190428026676452866e-01
1.038000000000000078e+01,5.056099745450866045e-01
1.040000000000000036e+01,5.627120048826041998e-01
1.041999999999999993e+01,3.687454866364428541e-01
1.043999999999999950e+01,6.431491378053513230e-01
1.046000000000000085e+01,3.776330251267936977e-01
1.048000000000000043e+01,5.093194790834328911e-01
1.050000000000000000e+01,5.876409025158602084e-01
1.051999999999999957e+01,4.265037430298806997e-01
1.053999999999999915e+01,7.792083453261591242e-01
1.056000000000000050e+01,3.815228090469938160e-01
1.058000000000000007e+01,3.698338751030822991e-01
1.059999999999999964e+01,5.203099057962423668e-01
1.061999999999999922e+01,3.730234524398570728e-01
1.064000000000000057e+01,3.371442559858278121e-01
1.066000000000000014e+01,3.767538489175328853e-01
1.067999999999999972e+01,2.869668701504760611e-01
1.069999999999999929e+01,5.952759576130721708e-01
1.072000000000000064e+01,5.448422916744832811e-01
1.074000000000000021e+01,5.985468259462276563e-01
1.075999999999999979e+01,6.745132627434297090e-01
1.077999999999999936e+01,3.782524904869302707e-01
1.080000000000000071e+01,5.495872173379536818e-01
1.082000000000000028e+01,5.044730077876169450e-01
1.083999999999999986e+01,1.315964053308232296e-01
1.085999999999999943e+01,4.469347432782993512e-01
1.088000000000000078e+01,3.973254706490731425e-01
1.090000000000000036e+01,4.709958806340442394e-01
1.091999999999999993e+01,4.676181318481594795e-01
1.093999999999999950e+01,3.573103771138579354e-01
1.096000000000000085e+01,5.077496618781558446e-01
1.098000000000000043e+01,4.277604788489693388e-01
1.100000000000000000e+01,4.234526533753600330e-01
1.101999999999999957e+01,4.687686024695608134e-01
1.103999999999999915e+01,4.513231201452977959e-01
1.106000000000000050e+01,3.101311729119978211e-01
1.108000000000000007e+01,5.201330624638307309e-01
