# 2Theta,Intensity
1.000000000000000000e+01,2.010711519355481147e-01
1.001999999999999957e+01,3.300275550063073160e-01
1.003999999999999915e+01,3.465958913863565610e-02
1.006000000000000050e+01,3.749851056304674413e-01
1.008000000000000007e+01,2.586182431815040039e-01
1.009999999999999964e+01,1.502302020625584933e-01
1.011999999999999922e+01,1.685035886532404159e-01
1.014000000000000057e+01,6.818366059300705329e-02
1.016000000000000014e+01,2.835020580503956888e-01
1.017999999999999972e+01,3.346063625669025154e-01
1.019999999999999929e+01,3.186104792502643668e-01
1.022000000000000064e+01,2.150732681438851379e-01
1.024000000000000021e+01,4.783989353580113679e-01
1.025999999999999979e+01,3.250768692941846671e-01
1.027999999999999936e+01,2.355005080589756827e-01
1.030000000000000071e+01,1.353999597979541059e-01
1.032000000000000028e+01,3.100324286777076388e-01
1.033999999999999986e+01,2.965990820450808418e-01
1.035999999999999943e+01,2.612895324127891827e-01
1.038000000000000078e+01,4.453150901064715228e-01
1.040000000000000036e+01,1.609436895754295105e-01
1.041999999999999993e+01,3.619336875147134980e-01
1.043999999999999950e+01,1.266548042215695502e-01
1.046000000000000085e+01,2.194070894566789443e-01
1.048000000000000043e+01,2.730582653185097408e-01
1.050000000000000000e+01,3.410120151772805808e-01
1.051999999999999957e+01,3.230690785490864525e-01
1.053999999999999915e+01,2.341982212795062634e-01
1.056000000000000050e+01,6.894808418979468945e-01
1.058000000000000007e+01,2.952925168703606773e-01
1.059999999999999964e+01,2.817583472003529210e-01
1.061999999999999922e+01,3.776340780215461934e-01
1.064000000000000057e+01,6.502403093215424201e-01
1.066000000000000014e+01,3.183143426825624234e-01
1.067999999999999972e+01,2.324166850301749021e-01
1.069999999999999929e+01,2.643475224420420155e-01
1.072000000000000064e+01,2.663215994247571938e-01
1.074000000000000021e+01,1.563188767344326213e-01
1.075999999999999979e+01,3.940150470211200573e-01
1.077999999999999936e+01,1.885999510704483573e-01
1.080000000000000071e+01,5.502938079508138403e-01
1.082000000000000028e+01,1.503650215612622187e-01
1.083999999999999986e+01,4.344178853126385263e-03
1.085999999999999943e+01,2.794491613606993607e-01
1.088000000000000078e+01,3.508235335248367504e-01
1.090000000000000036e+01,7.050142761754697451e-01
1.091999999999999993e+01,3.135071174061171972e-01
1.093999999999999950e+01,2.778207585338000052e-01
1.096000000000000085e+01,4.309907645639732832e-01
1.098000000000000043e+01,3.832677652344484431e-01
1.100000000000000000e+01,2.185148646106268300e-01
1.101999999999999957e+01,7.789865140203071359e-02
1.103999999999999915e+01,4.736333561862226538e-01
1.106000000000000050e+01,2.164484276929666551e-01
1.108000000000000007e+01,2.270611682348528393e-01
1.109999999999999964e+01,2.942881659704589259e-01
1.112000000000000099e+01,3.768772125655452943e-01
1.114000000000000057e+01,4.195917643981472711e-01
1.116000000000000014e+01,3.609883423954225456e-01
1.117999999999999972e+01,4.240926447274080413e-01
1.119999999999999929e+01,3.306879086201162665e-01
1.122000000000000064e+01,3.779885252215093305e-01
1.124000000000000021e+01,3.390250473650859853e-01
1.125999999999999979e+01,2.009559285421429753e-01
1.127999999999999936e+01,1.260414744171458878e-01
1.130000000000000071e+01,2.673009064419247169e-02
1.132000000000000028e+01,5.637306216419685906e-03
1.133999999999999986e+01,-3.580113954602644893e-02
1.135999999999999943e+01,1.511874186412122401e-01
1.138000000000000078e+01,3.157482551940549165e-01
1.140000000000000036e+01,3.449735413938037065e-01
1.141999999999999993e+01,4.319925327312887364e-01
1.143999999999999950e+01,3.440640462206665529e-01
1.146000000000000085e+01,3.326279352358725849e-01
1.148000000000000043e+01,3.861598965170519593e-01
1.150000000000000000e+01,3.336722241918649301e-01
1.151999999999999957e+01,1.808992119138591037e-01
1.153999999999999915e+01,1.493062642174798615e-01
1.156000000000000050e+01,1.885509552424748936e-01
1.158000000000000007e+01,4.414528779282249071e-01
1.159999999999999964e+01,2.012872326996686112e-01
1.162000000000000099e+01,2.770175921883139547e-01
1.164000000000000057e+01,2.915564881654066909e-01
1.166000000000000014e+01,2.008948038362433353e-01
1.167999999999999972e+01,3.151518520899489473e-01
1.169999999999999929e+01,1.959298012247029652e-01
1.172000000000000064e+01,2.341108605093609463e-01
1.174000000000000021e+01,4.210216463740220627e-01
1.175999999999999979e+01,1.045341536951940598e-01
1.177999999999999936e+01,1.113670030825549967e-01
1.180000000000000071e+01,1.182092669921290945e-01
1.182000000000000028e+01,3.652425114958048891e-01
1.183999999999999986e+01,2.132929796525522559e-01
1.185999999999999943e+01,6.379472158420648742e-02
1.188000000000000078e+01,1.884033040282869775e-01
1.190000000000000036e+01,3.355871678181821527e-01
1.191999999999999993e+01,2.189291552519985751e-01
1.193999999999999950e+01,4.420833627739586547e-01
1.196000000000000085e+01,5.336860866326594843e-01
1.198000000000000043e+01,3.376593160718904252e-01
1.200000000000000000e+01,3.982789018154936356e-01
1.201999999999999957e+01,1.604025298807689459e-01
1.203999999999999915e+01,3.278862848760744075e-01
1.206000000000000050e+01,1.824670478102924098e-01
1.208000000000000007e+01,3.471127601397441254e-01
1.209999999999999964e+01,3.448110497567298816e-01
1.212000000000000099e+01,6.325020951230747590e-02
1.214000000000000057e+01,1.334819083396934780e-01
1.216000000000000014e+01,2.974083619622690522e-01
1.217999999999999972e+01,2.777269068844532285e-01
1.219999999999999929e+01,1.719831526554753132e-01
1.222000000000000064e+01,1.813758135854591780e-01
1.224000000000000021e+01,1.168618667991071919e-01
1.225999999999999979e+01,3.787227529781742597e-01
1.228000000000000114e+01,-3.436070697620605824e-02
1.230000000000000071e+01,3.548057561429036610e-01
1.232000000000000028e+01,1.897696341421084912e-02
1.233999999999999986e+01,4.072853651189840551e-01
1.235999999999999943e+01,2.045032125497505127e-01
1.237999999999999901e+01,3.032143239817350344e-01
1.240000000000000036e+01,3.088006781219242436e-01
1.241999999999999993e+01,1.585688363251008814e-01
1.243999999999999950e+01,3.218458395586475951e-01
1.246000000000000085e+01,3.891425376275132741e-01
1.248000000000000043e+01,2.179499025634454856e-01
1.250000000000000000e+01,4.479009877531739958e-01
1.251999999999999957e+01,5.788942087336034215e-01
1.253999999999999915e+01,3.591710714170907037e-01
1.256000000000000050e+01,1.294246431906265205e-01
1.258000000000000007e+01,2.998804000911248213e-01
1.259999999999999964e+01,1.824254487246449175e-01
1.262000000000000099e+01,5.948657380541479966e-01
1.264000000000000057e+01,4.230309202319378903e-01
1.266000000000000014e+01,2.521912552692608389e-01
1.267999999999999972e+01,1.527867195020896629e-01
1.269999999999999929e+01,1.167122507652536140e-01
1.272000000000000064e+01,1.855270116597228236e-01
1.274000000000000021e+01,1.811157535556094100e-01
1.275999999999999979e+01,2.628133121632105773e-01
1.278000000000000114e+01,4.074701017297418515e-01
1.280000000000000071e+01,3.437684788896009369e-01
