# 2Theta,Intensity
1.000000000000000000e+01,8.089455176874640885e-02
1.001999999999999957e+01,-6.798931594815426326e-03
1.003999999999999915e+01,-5.879032342284249563e-02
1.006000000000000050e+01,-1.420572930631541775e-01
1.008000000000000007e+01,1.581281652742268229e-02
1.009999999999999964e+01,-2.640575865197183555e-02
1.011999999999999922e+01,1.344847558034682755e-01
1.014000000000000057e+01,1.707458482622291329e-01
1.016000000000000014e+01,-4.319662238069898325e-02
1.017999999999999972e+01,1.470592855855927805e-01
1.019999999999999929e+01,-8.786937753293097564e-02
1.022000000000000064e+01,8.017633693920210580e-02
1.024000000000000021e+01,-2.019648124075928419e-01
1.025999999999999979e+01,-4.514846452471341955e-03
1.027999999999999936e+01,1.386798629338312216e-01
1.030000000000000071e+01,-3.630721027703540799e-02
1.032000000000000028e+01,4.879752485483088154e-02
1.033999999999999986e+01,-4.151312394963672242e-02
1.035999999999999943e+01,2.264233232213867519e-01
1.038000000000000078e+01,6.540569718798848464e-02
1.040000000000000036e+01,-1.032215052056498217e-01
1.041999999999999993e+01,6.222767749264794535e-02
1.043999999999999950e+01,1.632254136079585860e-01
1.046000000000000085e+01,1.616211759061578213e-01
1.048000000000000043e+01,2.668363297717109631e-02
1.050000000000000000e+01,-1.266299808254278680e-01
1.051999999999999957e+01,9.282166431539912166e-02
1.053999999999999915e+01,2.873747409228369909e-01
1.056000000000000050e+01,-6.455412125814330437e-02
1.058000000000000007e+01,-5.622933402888272147e-02
1.059999999999999964e+01,2.763457097744737370e-02
1.061999999999999922e+01,1.340642109095126905e-02
1.064000000000000057e+01,-4.347951458197228669e-02
1.066000000000000014e+01,-1.711571416786231981e-01
1.067999999999999972e+01,4.898069780339470158e-02
1.069999999999999929e+01,3.262656135362979742e-02
1.072000000000000064e+01,9.486879632826529518e-02
1.074000000000000021e+01,-1.503856717069085025e-01
1.075999999999999979e+01,-4.722310484044486834e-02
1.077999999999999936e+01,-5.742406754838320915e-02
1.080000000000000071e+01,1.074915556205390671e-01
1.082000000000000028e+01,1.791550832163195661e-01
