# 2Theta,Intensity
1.000000000000000000e+01,5.715615281176887885e-01
1.001999999999999957e+01,4.936088448049936739e-01
1.003999999999999915e+01,4.117998673814273758e-01
1.006000000000000050e+01,3.038169587059558197e-01
1.008000000000000007e+01,5.132363484184222502e-01
1.009999999999999964e+01,2.501334286327117074e-01
1.011999999999999922e+01,4.968832330101548567e-01
1.014000000000000057e+01,3.133888988553688582e-01
1.016000000000000014e+01,3.439344606811879368e-01
1.017999999999999972e+01,2.562198194966416875e-01
1.019999999999999929e+01,4.180705094365136931e-01
1.022000000000000064e+01,5.836804195870435308e-01
1.024000000000000021e+01,3.565262478391597045e-01
1.025999999999999979e+01,1.984239427860942095e-01
1.027999999999999936e+01,5.415107443171496282e-01
1.030000000000000071e+01,3.913116575616933934e-01
1.032000000000000028e+01,1.103647098005665766e-01
1.033999999999999986e+01,4.574366604766204047e-01
1.035999999999999943e+01,2.709703177050692968e-01
1.038000000000000078e+01,4.137126346973863944e-01
1.040000000000000036e+01,4.549836146580504281e-01
1.041999999999999993e+01,5.836788204636201849e-01
1.043999999999999950e+01,4.925718071424600719e-01
1.046000000000000085e+01,3.847636038717147100e-01
1.048000000000000043e+01,3.316542000878708318e-01
1.050000000000000000e+01,5.859910237836765123e-01
1.051999999999999957e+01,5.684689705485854727e-01
1.053999999999999915e+01,3.503519559831049790e-01
1.056000000000000050e+01,4.562955454017358914e-01
1.058000000000000007e+01,3.661720490907622305e-01
1.059999999999999964e+01,5.257198612113929137e-01
1.061999999999999922e+01,3.736773517209463491e-01
1.064000000000000057e+01,3.522710662207171883e-01
1.066000000000000014e+01,7.283373251937849679e-02
1.067999999999999972e+01,2.870750343628153400e-01
1.069999999999999929e+01,5.710159294863096369e-01
1.072000000000000064e+01,4.284689214707787519e-01
1.074000000000000021e+01,3.167016617956768809e-01
1.075999999999999979e+01,4.622436187405988273e-01
1.077999999999999936e+01,1.986344715452129095e-01
1.080000000000000071e+01,4.513393749133077781e-01
1.082000000000000028e+01,2.609542483271411473e-01
1.083999999999999986e+01,3.259422467604745632e-01
1.085999999999999943e+01,3.119901569955957910e-01
1.088000000000000078e+01,3.603196536077379331e-01
1.090000000000000036e+01,3.573374339425514634e-01
1.091999999999999993e+01,2.913335022324581303e-01
1.093999999999999950e+01,3.738861401747903823e-01
1.096000000000000085e+01,3.190801338712442869e-01
1.098000000000000043e+01,3.194150643444788051e-01
1.100000000000000000e+01,2.599074905701582727e-01
1.101999999999999957e+01,4.879314530737381972e-01
1.103999999999999915e+01,4.673268420645800836e-01
1.106000000000000050e+01,2.465562394445758310e-01
1.108000000000000007e+01,2.833373002400640384e-01
1.109999999999999964e+01,2.144637842340831602e-01
1.112000000000000099e+01,4.822706252614871181e-01
1.114000000000000057e+01,4.347051880004901836e-01
1.116000000000000014e+01,5.211011890989495354e-01
1.117999999999999972e+01,2.674089834293045809e-01
1.119999999999999929e+01,2.103624825971784906e-01
1.122000000000000064e+01,3.542026389178344337e-01
1.124000000000000021e+01,4.212265851296050911e-01
1.125999999999999979e+01,5.096300355493551537e-01
1.127999999999999936e+01,4.945274107741599035e-01
1.130000000000000071e+01,3.052132668385693637e-01
1.132000000000000028e+01,7.165538307789132144e-01
1.133999999999999986e+01,2.542561797260747269e-01
1.135999999999999943e+01,1.778107623040176555e-01
1.138000000000000078e+01,3.885635378896071246e-01
1.140000000000000036e+01,4.922151357162513619e-01
1.141999999999999993e+01,3.560234105570898033e-01
1.143999999999999950e+01,2.492018731502353424e-01
1.146000000000000085e+01,7.554542787221020517e-02
1.148000000000000043e+01,3.968104019237196911e-01
1.150000000000000000e+01,4.515380649124377532e-01
1.151999999999999957e+01,4.105970662245762015e-01
1.153999999999999915e+01,4.094021024365417372e-01
1.156000000000000050e+01,4.743880925211160227e-01
1.158000000000000007e+01,3.835251113823474611e-01
1.159999999999999964e+01,1.865755005268093791e-01
1.162000000000000099e+01,3.254578528883060318e-01
1.164000000000000057e+01,2.739773889689534059e-01
1.166000000000000014e+01,2.414097806651366307e-01
1.167999999999999972e+01,4.193491079804437804e-01
1.169999999999999929e+01,8.382018323839633689e-02
1.172000000000000064e+01,3.387603052448115437e-01
1.174000000000000021e+01,2.138288813385956499e-01
1.175999999999999979e+01,3.922486689245875957e-01
1.177999999999999936e+01,3.765057202352539711e-01
1.180000000000000071e+01,4.284480842136421663e-01
1.182000000000000028e+01,1.044092586334952472e-01
1.183999999999999986e+01,6.905433222059396137e-01
1.185999999999999943e+01,4.275844363746351684e-01
1.188000000000000078e+01,2.896103894635974618e-01
1.190000000000000036e+01,3.332180047528202627e-01
1.191999999999999993e+01,3.501786989340391343e-01
1.193999999999999950e+01,4.254066580438394252e-01
1.196000000000000085e+01,3.878263046556568172e-01
1.198000000000000043e+01,4.489957238474162615e-01
1.200000000000000000e+01,3.593196753074305305e-01
1.201999999999999957e+01,5.304198003422284646e-01
1.203999999999999915e+01,4.884375255902417834e-01
1.206000000000000050e+01,3.077869347382684029e-01
1.208000000000000007e+01,4.238846627384716959e-01
1.209999999999999964e+01,3.674107456053304355e-01
1.212000000000000099e+01,6.233772920550465502e-01
1.214000000000000057e+01,4.798848033759284815e-01
1.216000000000000014e+01,5.595891178918266373e-01
1.217999999999999972e+01,2.630433392602773979e-01
1.219999999999999929e+01,4.966630775863951630e-01
1.222000000000000064e+01,3.110079524443809529e-01
1.224000000000000021e+01,3.865967005613424878e-01
1.225999999999999979e+01,3.417125951946894946e-01
1.228000000000000114e+01,3.189852838275670788e-01
1.230000000000000071e+01,1.407697343462151751e-01
1.232000000000000028e+01,8.550203363177149019e-01
1.233999999999999986e+01,3.184883846074368363e-01
1.235999999999999943e+01,2.637020030961679251e-01
1.237999999999999901e+01,3.483697811653661547e-01
1.240000000000000036e+01,5.583107961066516856e-01
1.241999999999999993e+01,2.512040924699751043e-01
1.243999999999999950e+01,2.912707293297313593e-01
1.246000000000000085e+01,5.095484843689898069e-01
1.248000000000000043e+01,3.302069706252778181e-01
1.250000000000000000e+01,3.064419234857309604e-01
1.251999999999999957e+01,1.706806488799445798e-01
1.253999999999999915e+01,3.421394367858614505e-01
1.256000000000000050e+01,3.105205544480572066e-01
1.258000000000000007e+01,2.128679086981871971e-01
1.259999999999999964e+01,9.713454005888151610e-02
1.262000000000000099e+01,4.214136896560332080e-01
1.264000000000000057e+01,9.753640990365736174e-02
1.266000000000000014e+01,1.164196952019536518e-01
1.267999999999999972e+01,2.568723320816964639e-01
1.269999999999999929e+01,2.023285542224770306e-01
1.272000000000000064e+01,2.255332918244199458e-01
1.274000000000000021e+01,3.184495448447056676e-01
1.275999999999999979e+01,2.635314582897853031e-01
1.278000000000000114e+01,3.681422131630239236e-01
1.280000000000000071e+01,1.649275421164424216e-01
1.282000000000000028e+01,2.863008040983169855e-01
1.283999999999999986e+01,4.270692853964492275e-01
1.285999999999999943e+01,4.081687140939361247e-01
1.287999999999999901e+01,3.774181679004203760e-01
1.290000000000000036e+01,4.821273952953257780e-01
1.291999999999999993e+01,3.031347263803705894e-01
1.293999999999999950e+01,5.157651702528920357e-01
1.296000000000000085e+01,5.384282436122054261e-01
1.298000000000000043e+01,4.888897042713997720e-01
1.300000000000000000e+01,3.883879241393677351e-01
1.301999999999999957e+01,1.722975735432705768e-01
1.303999999999999915e+01,3.441498263008938019e-01
1.306000000000000050e+01,5.035308301297913847e-01
1.308000000000000007e+01,4.213222171167872454e-01
1.309999999999999964e+01,3.710774356576624911e-01
1.312000000000000099e+01,3.147264723408996212e-01
1.314000000000000057e+01,5.044830214761020226e-01
1.316000000000000014e+01,3.825422585110771490e-01
1.317999999999999972e+01,5.888059170355307570e-01
1.319999999999999929e+01,2.856511280364639749e-01
1.322000000000000064e+01,4.629687189825941185e-01
1.324000000000000021e+01,6.575261810710258947e-02
1.325999999999999979e+01,6.946765310212185129e-01
1.328000000000000114e+01,5.857707959322686619e-01
1.330000000000000071e+01,5.804450563876654146e-01
1.332000000000000028e+01,4.271345439223762641e-01
1.333999999999999986e+01,4.540280544228837423e-01
1.335999999999999943e+01,5.438115273356842749e-01
1.337999999999999901e+01,3.379248378990298840e-01
1.340000000000000036e+01,3.155218754769432699e-01
1.341999999999999993e+01,4.136454418661540400e-01
1.343999999999999950e+01,3.821744506231172789e-01
1.346000000000000085e+01,4.384618332143231934e-01
1.348000000000000043e+01,3.290123808976543884e-01
1.350000000000000000e+01,2.309309153738556553e-01
