# 2Theta,Intensity
1.000000000000000000e+01,1.497546788266161943e-01
1.001999999999999957e+01,1.504596569615378465e-01
1.003999999999999915e+01,3.933800734763600038e-01
1.006000000000000050e+01,2.883048055200438387e-01
1.008000000000000007e+01,1.869020848092267373e-01
1.009999999999999964e+01,2.722133488305003568e-01
1.011999999999999922e+01,2.053414609263965462e-01
1.014000000000000057e+01,1.932192410158974916e-01
1.016000000000000014e+01,2.864024378825554273e-01
1.017999999999999972e+01,5.373527381816581849e-01
1.019999999999999929e+01,2.987643389595568966e-01
1.022000000000000064e+01,4.748071584442666304e-01
1.024000000000000021e+01,-2.886447920109899354e-02
1.025999999999999979e+01,2.880164860392522841e-01
1.027999999999999936e+01,3.151394805854422776e-01
1.030000000000000071e+01,1.791622148296856953e-01
1.032000000000000028e+01,-1.508239459986658315e-01
1.033999999999999986e+01,1.340236245583685259e-01
1.035999999999999943e+01,2.673829591639914072e-01
1.038000000000000078e+01,4.354499890044138399e-01
1.040000000000000036e+01,2.688175993746702019e-01
1.041999999999999993e+01,3.474964941995131729e-01
1.043999999999999950e+01,1.665289907029818273e-01
1.046000000000000085e+01,1.195452137402885778e-01
1.048000000000000043e+01,1.359541849312557726e-01
1.050000000000000000e+01,2.279260856707173988e-01
1.051999999999999957e+01,4.777968674788883319e-01
1.053999999999999915e+01,2.322492170062263050e-01
1.056000000000000050e+01,9.721352395328709817e-02
1.058000000000000007e+01,3.029718656175643399e-01
1.059999999999999964e+01,3.832355067583493313e-01
1.061999999999999922e+01,3.173690995815940941e-01
1.064000000000000057e+01,3.403504336472014669e-01
1.066000000000000014e+01,3.004801651975682608e-01
1.067999999999999972e+01,3.565445781589413610e-01
1.069999999999999929e+01,2.557399556540080887e-01
1.072000000000000064e+01,2.499237874902967005e-01
1.074000000000000021e+01,3.330055814356533417e-01
1.075999999999999979e+01,3.006891598930247489e-01
1.077999999999999936e+01,8.163849871278688886e-02
1.080000000000000071e+01,4.427616673035153494e-01
1.082000000000000028e+01,2.972247139144648109e-01
1.083999999999999986e+01,2.030732490003543667e-01
1.085999999999999943e+01,1.037883659957684335e-01
1.088000000000000078e+01,2.213941933407652385e-01
1.090000000000000036e+01,4.794537945359595987e-01
1.091999999999999993e+01,1.248760146261727183e-01
1.093999999999999950e+01,2.105808018706334939e-01
1.096000000000000085e+01,2.676475616103570973e-02
1.098000000000000043e+01,4.865930482481521935e-01
1.100000000000000000e+01,3.715715753778168762e-01
1.101999999999999957e+01,4.081008463104746076e-01
1.103999999999999915e+01,3.036962053045524357e-01
1.106000000000000050e+01,1.922500748228738177e-01
1.108000000000000007e+01,1.941762718503184659e-01
1.109999999999999964e+01,2.422101054682367360e-01
1.112000000000000099e+01,4.326662178791678692e-01
1.114000000000000057e+01,5.113187688238660655e-01
1.116000000000000014e+01,3.612941011422689530e-01
1.117999999999999972e+01,1.061436601005773112e-01
1.119999999999999929e+01,4.727185004099198617e-01
1.122000000000000064e+01,4.546944268814455681e-01
1.124000000000000021e+01,3.863083480197015418e-01
1.125999999999999979e+01,2.030364168705863226e-01
1.127999999999999936e+01,3.254708486534476641e-01
1.130000000000000071e+01,3.791639351272963476e-01
1.132000000000000028e+01,2.952756492705053692e-01
