# 2Theta,Intensity
1.000000000000000000e+01,2.502284695021961269e-01
1.001999999999999957e+01,2.585198845942547966e-02
1.003999999999999915e+01,4.460410054088431026e-02
1.006000000000000050e+01,1.837455291583522388e-01
1.008000000000000007e+01,1.433992632756286856e-01
1.009999999999999964e+01,3.453647370939876282e-01
1.011999999999999922e+01,-1.553646577728983423e-02
1.014000000000000057e+01,2.849998018872882954e-01
1.016000000000000014e+01,2.483512014285364222e-01
1.017999999999999972e+01,2.501912844798550029e-01
1.019999999999999929e+01,1.707412384869276267e-01
1.022000000000000064e+01,9.683669318061721709e-02
1.024000000000000021e+01,-4.013170075250345470e-02
1.025999999999999979e+01,1.615741976138197478e-01
1.027999999999999936e+01,1.973639962504963041e-01
1.030000000000000071e+01,1.165811491714169729e-01
1.032000000000000028e+01,-2.625155329546597499e-02
1.033999999999999986e+01,2.912046355556665578e-01
1.035999999999999943e+01,2.129414841965497907e-01
1.038000000000000078e+01,-3.737623220879324627e-03
1.040000000000000036e+01,2.237074093252670592e-01
1.041999999999999993e+01,-6.957016462886374264e-02
1.043999999999999950e+01,2.470236324905569214e-01
1.046000000000000085e+01,2.878769050808176466e-01
1.048000000000000043e+01,7.483942368795738764e-02
1.050000000000000000e+01,1.526589424579386650e-02
1.051999999999999957e+01,2.063586840353310026e-01
1.053999999999999915e+01,2.803630794549989425e-01
1.056000000000000050e+01,3.410178040734616611e-01
1.058000000000000007e+01,1.446264765048387857e-01
1.059999999999999964e+01,2.938729055770402110e-01
1.061999999999999922e+01,-1.458190582761485169e-03
1.064000000000000057e+01,3.098030986128277320e-01
1.066000000000000014e+01,1.575205654599589333e-01
1.067999999999999972e+01,3.651197621746924415e-01
1.069999999999999929e+01,1.114077214438040225e-01
1.072000000000000064e+01,6.064490031327576108e-02
1.074000000000000021e+01,2.262741991832346311e-01
1.075999999999999979e+01,2.183524240894298141e-01
1.077999999999999936e+01,2.426062403246138088e-01
1.080000000000000071e+01,1.699881412635974864e-01
1.082000000000000028e+01,2.802708828978999755e-01
1.083999999999999986e+01,1.767241997370971873e-01
1.085999999999999943e+01,2.092766443021108203e-01
1.088000000000000078e+01,2.987239923262554608e-01
1.090000000000000036e+01,1.454937935417866812e-01
1.091999999999999993e+01,2.258135630510241243e-01
1.093999999999999950e+01,6.554238172133769469e-02
1.096000000000000085e+01,2.189575173105815786e-01
1.098000000000000043e+01,1.204443572992755368e-01
1.100000000000000000e+01,1.081719463373978229e-01
1.101999999999999957e+01,1.082193104082931207e-01
1.103999999999999915e+01,1.637179024972583441e-01
1.106000000000000050e+01,5.890028667333961632e-02
1.108000000000000007e+01,2.590016932437945729e-01
1.109999999999999964e+01,1.119657618188126535e-01
1.112000000000000099e+01,1.691776843423666854e-01
1.114000000000000057e+01,3.538191969316090146e-01
1.116000000000000014e+01,1.823803919459234257e-01
1.117999999999999972e+01,1.903180050752288910e-01
1.119999999999999929e+01,2.739322908555892888e-01
1.122000000000000064e+01,2.634457673681261380e-01
