# 2Theta,Intensity
1.000000000000000000e+01,4.059727765664326027e-01
1.001999999999999957e+01,3.169002314605187665e-01
1.003999999999999915e+01,5.657982352005725968e-01
1.006000000000000050e+01,3.366659165418424138e-01
1.008000000000000007e+01,4.247294242620668903e-01
1.009999999999999964e+01,3.316494128486198734e-01
1.011999999999999922e+01,3.886403876593108042e-01
1.014000000000000057e+01,4.276727883854796741e-01
1.016000000000000014e+01,4.737594289052793339e-01
1.017999999999999972e+01,6.568445553658420755e-01
1.019999999999999929e+01,4.082864162541994246e-01
1.022000000000000064e+01,3.304646467758140527e-01
1.024000000000000021e+01,3.453480936983832628e-01
1.025999999999999979e+01,5.368456854234262554e-01
1.027999999999999936e+01,2.731263043789393108e-01
1.030000000000000071e+01,3.753490664555966250e-01
1.032000000000000028e+01,1.381747898446205880e-01
1.033999999999999986e+01,5.202803059344587311e-01
1.035999999999999943e+01,4.655895873627432513e-01
1.038000000000000078e+01,3.150503723746177487e-01
1.040000000000000036e+01,2.884375238792356577e-01
1.041999999999999993e+01,7.968988069210776182e-01
1.043999999999999950e+01,4.756951192053751054e-01
1.046000000000000085e+01,5.256900081725932594e-01
1.048000000000000043e+01,1.634393536503852828e-01
1.050000000000000000e+01,3.519829522971137936e-01
1.051999999999999957e+01,5.538016729693282514e-01
1.053999999999999915e+01,5.203211525057752640e-01
1.056000000000000050e+01,6.117999467798090896e-01
1.058000000000000007e+01,4.402808082914988486e-01
1.059999999999999964e+01,5.054334408192817651e-01
1.061999999999999922e+01,5.577102631796702070e-01
1.064000000000000057e+01,5.125987668262033115e-01
1.066000000000000014e+01,2.927332936172472588e-01
1.067999999999999972e+01,4.999470254303193806e-01
1.069999999999999929e+01,4.453346439512973487e-01
1.072000000000000064e+01,4.228883469445952059e-01
1.074000000000000021e+01,7.556942317236766682e-01
1.075999999999999979e+01,2.268255955111745104e-01
1.077999999999999936e+01,6.074570860773569336e-01
1.080000000000000071e+01,5.233169020986404574e-01
1.082000000000000028e+01,4.291684883579827692e-01
1.083999999999999986e+01,3.529682125824935568e-01
1.085999999999999943e+01,4.672085980008423567e-01
1.088000000000000078e+01,6.773899428864288419e-01
1.090000000000000036e+01,5.424174918881607965e-01
1.091999999999999993e+01,2.433602235894020138e-01
1.093999999999999950e+01,4.871740669070452334e-01
1.096000000000000085e+01,6.667456778250416827e-01
1.098000000000000043e+01,4.371244164189770909e-01
1.100000000000000000e+01,7.634942310222733730e-02
1.101999999999999957e+01,4.685728455730863717e-01
1.103999999999999915e+01,3.486685180757178593e-01
1.106000000000000050e+01,4.006072998586834855e-01
1.108000000000000007e+01,5.423359079902909663e-01
1.109999999999999964e+01,6.301696795962250519e-01
1.112000000000000099e+01,4.781129085070259244e-01
1.114000000000000057e+01,3.934840964408833353e-01
1.116000000000000014e+01,5.220058876680805371e-01
1.117999999999999972e+01,3.975884420434988575e-01
1.119999999999999929e+01,4.977630399147315310e-01
1.122000000000000064e+01,4.546120760838104347e-01
1.124000000000000021e+01,6.965257424866196923e-01
1.125999999999999979e+01,3.024955626801940634e-01
1.127999999999999936e+01,5.274397075151112668e-01
1.130000000000000071e+01,5.389899219852083423e-01
1.132000000000000028e+01,5.362441247967427715e-01
1.133999999999999986e+01,5.308093106093039193e-01
1.135999999999999943e+01,2.766541444247683779e-01
1.138000000000000078e+01,4.283632964274086685e-01
1.140000000000000036e+01,5.887611649921754564e-01
1.141999999999999993e+01,5.464186332413727420e-01
1.143999999999999950e+01,1.147838126742726922e-01
1.146000000000000085e+01,4.015847288678389693e-01
1.148000000000000043e+01,5.490142658656272934e-01
1.150000000000000000e+01,3.263753832135432020e-01
1.151999999999999957e+01,3.284698680754654654e-01
1.153999999999999915e+01,4.417866424425926364e-01
1.156000000000000050e+01,4.377546572460079832e-01
1.158000000000000007e+01,3.145742676156831341e-01
1.159999999999999964e+01,3.116115802334174512e-01
1.162000000000000099e+01,4.318836906620892591e-01
1.164000000000000057e+01,2.978953745785876128e-01
1.166000000000000014e+01,2.909756733388816352e-01
1.167999999999999972e+01,5.216912450933605117e-01
1.169999999999999929e+01,4.108210909444939829e-01
1.172000000000000064e+01,2.955304245987586120e-01
1.174000000000000021e+01,3.757503417553659242e-01
1.175999999999999979e+01,2.332996709547391634e-01
1.177999999999999936e+01,4.575398021152434214e-01
1.180000000000000071e+01,3.418222717664540222e-01
1.182000000000000028e+01,1.583693888823166362e-01
1.183999999999999986e+01,6.254466268075247193e-01
1.185999999999999943e+01,6.641684917184544901e-01
1.188000000000000078e+01,3.460103369625125991e-01
1.190000000000000036e+01,5.881447942140629603e-01
1.191999999999999993e+01,4.501850920525341526e-01
1.193999999999999950e+01,5.755766686925319897e-01
1.196000000000000085e+01,4.820621934450904367e-01
1.198000000000000043e+01,4.524048047142429918e-01
1.200000000000000000e+01,3.877471110982442237e-01
1.201999999999999957e+01,2.845191329542676728e-01
1.203999999999999915e+01,5.357914859943786468e-01
1.206000000000000050e+01,6.146112921074669000e-01
1.208000000000000007e+01,7.017908805054726695e-01
1.209999999999999964e+01,3.499606914684671444e-01
1.212000000000000099e+01,3.225237626532570512e-01
1.214000000000000057e+01,5.165645329406590713e-01
1.216000000000000014e+01,2.074790453582678884e-01
1.217999999999999972e+01,4.375185605095559538e-01
1.219999999999999929e+01,3.248492201285241299e-01
1.222000000000000064e+01,5.357468646526912792e-01
1.224000000000000021e+01,4.761568243632031683e-01
1.225999999999999979e+01,2.876176227603195468e-01
1.228000000000000114e+01,6.731582065828274342e-01
1.230000000000000071e+01,5.695832375228659927e-01
1.232000000000000028e+01,5.688199483453503236e-01
1.233999999999999986e+01,4.024622152589904522e-01
1.235999999999999943e+01,3.285071814265439483e-01
1.237999999999999901e+01,6.661531092291056444e-01
1.240000000000000036e+01,1.229393339245399563e-01
1.241999999999999993e+01,3.312314876215976533e-01
1.243999999999999950e+01,5.106557513696388106e-01
1.246000000000000085e+01,4.130939175588728696e-01
1.248000000000000043e+01,5.425532622988602505e-01
1.250000000000000000e+01,6.444951689930092931e-01
1.251999999999999957e+01,5.205731804713669142e-01
1.253999999999999915e+01,4.555880851691773703e-01
1.256000000000000050e+01,2.453064050249090799e-01
1.258000000000000007e+01,4.822596754626293780e-01
1.259999999999999964e+01,4.168847847335503953e-01
1.262000000000000099e+01,7.602154493908689359e-01
1.264000000000000057e+01,2.860375239417587978e-01
1.266000000000000014e+01,5.562275247288546165e-01
1.267999999999999972e+01,4.245509858168354800e-01
1.269999999999999929e+01,2.423168748686530261e-01
