# 2Theta,Intensity
1.000000000000000000e+01,6.853052083233437397e-01
1.001999999999999957e+01,4.745346736473378679e-01
1.003999999999999915e+01,5.817295498457899505e-01
1.006000000000000050e+01,5.467591469224556411e-01
1.008000000000000007e+01,3.932586333411118851e-01
1.009999999999999964e+01,5.973099899605409657e-01
1.011999999999999922e+01,5.137352218320270225e-01
1.014000000000000057e+01,4.878123343845587878e-01
1.016000000000000014e+01,6.460940612419028284e-01
1.017999999999999972e+01,5.872505237344384232e-01
1.019999999999999929e+01,4.548935586215973048e-01
1.022000000000000064e+01,5.546420400384671767e-01
1.024000000000000021e+01,6.881377450165306886e-01
1.025999999999999979e+01,3.308526798066378505e-01
1.027999999999999936e+01,6.520676820977063803e-01
1.030000000000000071e+01,6.930143858807558122e-01
1.032000000000000028e+01,5.309651786901096182e-01
1.033999999999999986e+01,4.373795533514643896e-01
1.035999999999999943e+01,3.487072943822148163e-01
1.038000000000000078e+01,3.676073166051516128e-01
1.040000000000000036e+01,6.525477763088625149e-01
1.041999999999999993e+01,5.948614680529835663e-01
1.043999999999999950e+01,8.314248992328323595e-01
1.046000000000000085e+01,7.422439717526019276e-01
1.048000000000000043e+01,1.097100124795699738e+00
1.050000000000000000e+01,5.629884845587643794e-01
1.051999999999999957e+01,8.794198844665155335e-01
1.053999999999999915e+01,5.010810760637373074e-01
1.056000000000000050e+01,4.321830233765843743e-01
1.058000000000000007e+01,6.497591391897097335e-01
1.059999999999999964e+01,5.368458530673047013e-01
1.061999999999999922e+01,7.328256563184336603e-01
1.064000000000000057e+01,7.545249251929060375e-01
1.066000000000000014e+01,5.431101883477179593e-01
1.067999999999999972e+01,2.878687689986088594e-01
1.069999999999999929e+01,8.067121863276827121e-01
1.072000000000000064e+01,5.855896648178856578e-01
1.074000000000000021e+01,7.856930911249039307e-01
1.075999999999999979e+01,5.026330117281023746e-01
1.077999999999999936e+01,5.611938152371175326e-01
1.080000000000000071e+01,6.245493891846395362e-01
1.082000000000000028e+01,6.518236819819868133e-01
1.083999999999999986e+01,6.558919478626212829e-01
1.085999999999999943e+01,4.350826047966992460e-01
1.088000000000000078e+01,6.288885193557727238e-01
1.090000000000000036e+01,5.177078155402453641e-01
1.091999999999999993e+01,4.836166144110096710e-01
1.093999999999999950e+01,6.694107068810317696e-01
1.096000000000000085e+01,4.957808658102954014e-01
1.098000000000000043e+01,1.710768559144622003e-01
1.100000000000000000e+01,5.271383150953344865e-01
1.101999999999999957e+01,5.311527380248793895e-01
1.103999999999999915e+01,6.970514469553310555e-01
1.106000000000000050e+01,6.582673220811552373e-01
1.108000000000000007e+01,7.607782467765782375e-01
1.109999999999999964e+01,3.990228077760222258e-01
1.112000000000000099e+01,5.128685862407875717e-01
1.114000000000000057e+01,7.065721699813166667e-01
1.116000000000000014e+01,6.103958835614001766e-01
1.117999999999999972e+01,3.319711210359947429e-01
1.119999999999999929e+01,6.099466649779868854e-01
1.122000000000000064e+01,7.548035716826373420e-01
1.124000000000000021e+01,5.440907122582866462e-01
1.125999999999999979e+01,3.902886512875532454e-01
1.127999999999999936e+01,4.755696351255028764e-01
1.130000000000000071e+01,2.585148722979249136e-01
1.132000000000000028e+01,5.005724429386042562e-01
1.133999999999999986e+01,6.582227004684952920e-01
1.135999999999999943e+01,4.073534582206259080e-01
1.138000000000000078e+01,4.226549844711000592e-01
1.140000000000000036e+01,2.861896977582810142e-01
1.141999999999999993e+01,4.412023225691600326e-01
1.143999999999999950e+01,6.646344702859513509e-01
1.146000000000000085e+01,5.032175932423699205e-01
1.148000000000000043e+01,7.314993695728214673e-01
1.150000000000000000e+01,5.965099880342186189e-01
1.151999999999999957e+01,5.531014115437368206e-01
1.153999999999999915e+01,4.684394295911334383e-01
1.156000000000000050e+01,8.654766631794236220e-01
1.158000000000000007e+01,3.383166605212383771e-01
1.159999999999999964e+01,6.621139078736444361e-01
1.162000000000000099e+01,3.924134489313453322e-01
1.164000000000000057e+01,5.885298602201617379e-01
1.166000000000000014e+01,6.181381696675882775e-01
1.167999999999999972e+01,5.141759053019226977e-01
1.169999999999999929e+01,5.022911849339001256e-01
1.172000000000000064e+01,4.078072433759953874e-01
1.174000000000000021e+01,3.345305267581857311e-01
1.175999999999999979e+01,5.829300272599667876e-01
1.177999999999999936e+01,3.625429917593470108e-01
1.180000000000000071e+01,5.263442572810563824e-01
1.182000000000000028e+01,5.049935810533792147e-01
1.183999999999999986e+01,5.833975134688110797e-01
1.185999999999999943e+01,5.609240562952739761e-01
1.188000000000000078e+01,4.611761708325549103e-01
1.190000000000000036e+01,6.834612017626737757e-01
1.191999999999999993e+01,5.959598660934394276e-01
1.193999999999999950e+01,4.585942111458168879e-01
1.196000000000000085e+01,5.612591028230895507e-01
1.198000000000000043e+01,7.547615761126943434e-01
1.200000000000000000e+01,5.402962544996707805e-01
1.201999999999999957e+01,8.751663651524325127e-01
1.203999999999999915e+01,5.599165264326355640e-01
1.206000000000000050e+01,7.803138499159085750e-01
1.208000000000000007e+01,6.244819994344945613e-01
1.209999999999999964e+01,6.130136375998620490e-01
1.212000000000000099e+01,3.554000235824432696e-01
1.214000000000000057e+01,6.636879610889765413e-01
1.216000000000000014e+01,6.200873918518338135e-01
1.217999999999999972e+01,5.777632449459567665e-01
1.219999999999999929e+01,6.742554911538036766e-01
1.222000000000000064e+01,5.826108521532963325e-01
1.224000000000000021e+01,6.470962258363880393e-01
1.225999999999999979e+01,4.879200165287738700e-01
1.228000000000000114e+01,6.904695447196393943e-01
1.230000000000000071e+01,3.693314223040382593e-01
1.232000000000000028e+01,4.118584447083286082e-01
1.233999999999999986e+01,5.889615731188949654e-01
1.235999999999999943e+01,5.854670427383688036e-01
1.237999999999999901e+01,3.747478165645951043e-01
1.240000000000000036e+01,5.600639697268743333e-01
1.241999999999999993e+01,4.979296993358148793e-01
1.243999999999999950e+01,5.589226527957376067e-01
1.246000000000000085e+01,4.548925729295249520e-01
1.248000000000000043e+01,5.167143594755294611e-01
1.250000000000000000e+01,4.451662806992173760e-01
1.251999999999999957e+01,6.269440817091421758e-01
1.253999999999999915e+01,3.558515589314649730e-01
1.256000000000000050e+01,6.060198368449531969e-01
1.258000000000000007e+01,5.707396631046844915e-01
1.259999999999999964e+01,6.580097461646404744e-01
1.262000000000000099e+01,6.848551092595178691e-01
1.264000000000000057e+01,5.260959750057855322e-01
1.266000000000000014e+01,8.094314226955371394e-01
1.267999999999999972e+01,6.359988119989835598e-01
1.269999999999999929e+01,5.519986519661764790e-01
1.272000000000000064e+01,7.051865046515801705e-01
1.274000000000000021e+01,1.079070210013374886e+00
1.275999999999999979e+01,7.123022857320091550e-01
1.278000000000000114e+01,6.470284038838816087e-01
1.280000000000000071e+01,5.449242386636155011e-01
1.282000000000000028e+01,4.715788251853917368e-01
1.283999999999999986e+01,6.093146386459336039e-01
1.285999999999999943e+01,5.173704595947964391e-01
1.287999999999999901e+01,4.797547757513722089e-01
1.290000000000000036e+01,5.136812839714713919e-01
1.291999999999999993e+01,5.317593621003652293e-01
1.293999999999999950e+01,7.130509587252804593e-01
1.296000000000000085e+01,4.017927992595777265e-01
1.298000000000000043e+01,6.495971808053686569e-01
1.300000000000000000e+01,7.021757311926761780e-01
1.301999999999999957e+01,8.564328811102006611e-01
1.303999999999999915e+01,6.601611332509581542e-01
1.306000000000000050e+01,5.119689406951710708e-01
1.308000000000000007e+01,7.735241046351197802e-01
1.309999999999999964e+01,2.510791784723787612e-01
1.312000000000000099e+01,4.136229471900942922e-01
1.314000000000000057e+01,6.517397722161966112e-01
1.316000000000000014e+01,4.958378872555824768e-01
1.317999999999999972e+01,5.700223896091887177e-01
1.319999999999999929e+01,7.917530891001958171e-01
1.322000000000000064e+01,6.901612489382829008e-01
1.324000000000000021e+01,8.273648374785671500e-01
1.325999999999999979e+01,4.512936268823707353e-01
1.328000000000000114e+01,3.899742611700970363e-01
1.330000000000000071e+01,6.777137616166476475e-01
1.332000000000000028e+01,4.788534913156211048e-01
1.333999999999999986e+01,4.059073825439876715e-01
1.335999999999999943e+01,7.519174618651927045e-01
1.337999999999999901e+01,4.077913810266218797e-01
1.340000000000000036e+01,5.281304927979172392e-01
1.341999999999999993e+01,6.893318535013693849e-01
1.343999999999999950e+01,4.380140584688270167e-01
1.346000000000000085e+01,2.377486362280014920e-01
1.348000000000000043e+01,5.462323423475229367e-01
1.350000000000000000e+01,4.629022121687650371e-01
1.351999999999999957e+01,4.821868593198662123e-01
1.353999999999999915e+01,5.625977533550960974e-01
1.356000000000000050e+01,4.227781554003173237e-01
1.358000000000000007e+01,2.932588816652050845e-01
1.359999999999999964e+01,4.338751884984365370e-01
1.362000000000000099e+01,7.097364010866570316e-01
1.364000000000000057e+01,4.301100722234705853e-01
1.366000000000000014e+01,4.939458450778406728e-01
1.367999999999999972e+01,6.441368595305424494e-01
1.369999999999999929e+01,5.175068440568243444e-01
1.372000000000000064e+01,5.618772844076043160e-01
1.374000000000000021e+01,6.829977184751488961e-01
1.375999999999999979e+01,4.736732677728709429e-01
1.378000000000000114e+01,5.964923175506922082e-01
1.380000000000000071e+01,6.404900269566627946e-01
1.382000000000000028e+01,8.715136787067183644e-01
1.383999999999999986e+01,7.876983456424003771e-01
1.385999999999999943e+01,5.214908065817213112e-01
1.387999999999999901e+01,5.453145767303946290e-01
1.390000000000000036e+01,7.036833987740439555e-01
1.391999999999999993e+01,7.661562599659573758e-01
1.393999999999999950e+01,8.369602162564517833e-01
1.396000000000000085e+01,6.565206166125936438e-01
1.398000000000000043e+01,6.571159736420258968e-01
1.400000000000000000e+01,3.444104256925354934e-01
1.401999999999999957e+01,4.429551153382261242e-01
1.403999999999999915e+01,6.095328199135885416e-01
1.406000000000000050e+01,8.374779552146129902e-01
1.408000000000000007e+01,6.517362141554808863e-01
1.409999999999999964e+01,6.627866127990637013e-01
1.412000000000000099e+01,7.081004041472899191e-01
1.414000000000000057e+01,4.910470830310563750e-01
1.416000000000000014e+01,2.876988130766596763e-01
1.417999999999999972e+01,4.208645784878777274e-01
1.419999999999999929e+01,5.860433362917398803e-01
1.421999999999999886e+01,4.541169476139505501e-01
1.424000000000000021e+01,4.235958836058151267e-01
1.425999999999999979e+01,4.744241263646474804e-01
1.428000000000000114e+01,6.176401694253332852e-01
1.430000000000000071e+01,6.158294576621645700e-01
1.432000000000000028e+01,5.084594381832608923e-01
1.433999999999999986e+01,4.609422042973763678e-01
1.435999999999999943e+01,5.645606736325249342e-01
1.437999999999999901e+01,6.362590777038256151e-01
1.440000000000000036e+01,3.817484355727039369e-01
1.441999999999999993e+01,6.251744707989548289e-01
1.444000000000000128e+01,6.602780110888517573e-01
1.446000000000000085e+01,6.961018499187665576e-01
1.448000000000000043e+01,6.802573785304517617e-01
1.450000000000000000e+01,5.702380269005152824e-01
1.451999999999999957e+01,6.854526640142717397e-01
1.453999999999999915e+01,5.289473132363230468e-01
1.456000000000000050e+01,7.728121217095690332e-01
1.458000000000000007e+01,2.286408714483179339e-01
1.460000000000000142e+01,5.656109689450474765e-01
1.462000000000000099e+01,6.944341541912153470e-01
1.464000000000000057e+01,4.622601662061522343e-01
1.466000000000000014e+01,5.344224267107147153e-01
1.467999999999999972e+01,4.827110830537741926e-01
1.469999999999999929e+01,6.804912002985058495e-01
1.471999999999999886e+01,6.861829322037987788e-01
1.474000000000000021e+01,5.461191802965125186e-01
1.475999999999999979e+01,6.786332256432812127e-01
1.478000000000000114e+01,7.433227093893801651e-01
1.480000000000000071e+01,4.631418027033295526e-01
1.482000000000000028e+01,6.058895408079656431e-01
1.483999999999999986e+01,7.770040171905758797e-01
1.485999999999999943e+01,5.348700867092690547e-01
1.487999999999999901e+01,7.548832337254135494e-01
1.490000000000000036e+01,4.699859527962099159e-01
1.491999999999999993e+01,7.427327754088464129e-01
1.494000000000000128e+01,6.161867225292972927e-01
1.496000000000000085e+01,4.975636757736558446e-01
1.498000000000000043e+01,5.834717462660662379e-01
1.500000000000000000e+01,5.723509273446095724e-01
1.501999999999999957e+01,4.029847602279605367e-01
1.503999999999999915e+01,6.863936152408479652e-01
1.506000000000000050e+01,3.605024374100872508e-01
1.508000000000000007e+01,7.141570922405119370e-01
1.510000000000000142e+01,5.367739118502659057e-01
1.512000000000000099e+01,5.804462383670866421e-01
1.514000000000000057e+01,5.748568492262017271e-01
1.516000000000000014e+01,4.175695684643364602e-01
