# 2Theta,Intensity
1.000000000000000000e+01,1.781106436294599416e-01
1.001999999999999957e+01,3.198792780788124457e-01
1.003999999999999915e+01,8.636203986590357262e-02
1.006000000000000050e+01,7.289929711692275105e-02
1.008000000000000007e+01,2.840489519465380641e-02
1.009999999999999964e+01,8.364237628344742270e-02
1.011999999999999922e+01,6.032878650652229863e-02
1.014000000000000057e+01,1.103452444070540522e-01
1.016000000000000014e+01,1.072077013276120649e-01
1.017999999999999972e+01,-3.907672801192733220e-02
1.019999999999999929e+01,1.888637738256611076e-01
1.022000000000000064e+01,6.438299324405719060e-02
1.024000000000000021e+01,3.464792531807998066e-01
1.025999999999999979e+01,1.390053348015443668e-01
1.027999999999999936e+01,2.353636260236247890e-01
1.030000000000000071e+01,1.755327839681843916e-01
1.032000000000000028e+01,-6.815107283352875300e-02
1.033999999999999986e+01,-8.693828863881794544e-02
1.035999999999999943e+01,2.955377221736060211e-01
1.038000000000000078e+01,1.778238789346272830e-01
1.040000000000000036e+01,1.967817162101277995e-01
1.041999999999999993e+01,-8.124226448901762654e-02
1.043999999999999950e+01,-9.840679236938965069e-02
1.046000000000000085e+01,8.568445744617826654e-03
1.048000000000000043e+01,1.375918602481185360e-01
1.050000000000000000e+01,-9.597842736475969971e-02
1.051999999999999957e+01,1.094406969796991175e-01
1.053999999999999915e+01,1.229443990556043642e-01
1.056000000000000050e+01,1.325667541730785604e-01
1.058000000000000007e+01,8.862963567010254118e-02
1.059999999999999964e+01,-1.595537128653430614e-01
1.061999999999999922e+01,1.424511258552234871e-01
1.064000000000000057e+01,-1.589443246876672544e-01
1.066000000000000014e+01,2.450328374784164487e-01
1.067999999999999972e+01,-6.448570137128933899e-02
1.069999999999999929e+01,1.693443573364324661e-01
1.072000000000000064e+01,-1.320788480071304338e-01
1.074000000000000021e+01,1.521016597574067208e-01
1.075999999999999979e+01,1.584340205369443866e-01
1.077999999999999936e+01,2.573106529590866720e-01
1.080000000000000071e+01,1.177162925529647991e-01
1.082000000000000028e+01,1.839562740200133828e-01
1.083999999999999986e+01,3.007108255907261496e-01
1.085999999999999943e+01,3.957307766194439469e-01
1.088000000000000078e+01,-1.861376436713769733e-01
1.090000000000000036e+01,8.459920264580692018e-02
1.091999999999999993e+01,1.331316071719465810e-01
1.093999999999999950e+01,8.297804473534295400e-02
1.096000000000000085e+01,2.473018804916677915e-01
1.098000000000000043e+01,1.036400227362380272e-01
1.100000000000000000e+01,1.277954946674006997e-01
1.101999999999999957e+01,9.578678990705163931e-02
1.103999999999999915e+01,1.873769505152694248e-01
1.106000000000000050e+01,-1.318720258251279177e-02
1.108000000000000007e+01,1.286922066368629061e-02
1.109999999999999964e+01,-9.082300807504908868e-02
1.112000000000000099e+01,5.346491460620200059e-02
1.114000000000000057e+01,6.657801663751773680e-02
1.116000000000000014e+01,2.116790315683530002e-02
1.117999999999999972e+01,7.556229950969554909e-02
1.119999999999999929e+01,1.879419815123447579e-01
1.122000000000000064e+01,-3.496769158189159954e-02
1.124000000000000021e+01,2.481347959798288760e-01
1.125999999999999979e+01,-4.756696775773338465e-02
1.127999999999999936e+01,2.599933169405350131e-01
1.130000000000000071e+01,6.968049623724706376e-02
1.132000000000000028e+01,1.497506841680061040e-01
1.133999999999999986e+01,5.610602367440510607e-02
1.135999999999999943e+01,1.176662276137976637e-01
1.138000000000000078e+01,-5.350984260033458950e-02
1.140000000000000036e+01,1.669684790561470067e-01
1.141999999999999993e+01,6.143248214341271579e-02
1.143999999999999950e+01,7.429222146499833701e-02
1.146000000000000085e+01,-6.273947375056241477e-03
1.148000000000000043e+01,1.515916297608877195e-01
1.150000000000000000e+01,2.147955862475428856e-01
1.151999999999999957e+01,1.021573451036485725e-01
1.153999999999999915e+01,2.079374525611667746e-01
1.156000000000000050e+01,4.929837799193446252e-02
1.158000000000000007e+01,3.775962695163857519e-01
1.159999999999999964e+01,2.526686242793990678e-01
1.162000000000000099e+01,1.365294075800702334e-01
1.164000000000000057e+01,2.251755776966896105e-02
1.166000000000000014e+01,1.276761923793643949e-01
1.167999999999999972e+01,3.209659912164797291e-01
1.169999999999999929e+01,9.323639024533564301e-02
1.172000000000000064e+01,4.285802599955196301e-02
1.174000000000000021e+01,1.488824507058162383e-01
1.175999999999999979e+01,1.339574770552347804e-01
1.177999999999999936e+01,2.325178510900629825e-01
1.180000000000000071e+01,-2.632159420357952501e-02
1.182000000000000028e+01,6.246766641645901813e-02
1.183999999999999986e+01,1.201549151350349703e-01
1.185999999999999943e+01,-2.734835614959466032e-02
1.188000000000000078e+01,1.663938766249331846e-01
1.190000000000000036e+01,8.603697575554909716e-02
1.191999999999999993e+01,-4.774177175515769561e-03
1.193999999999999950e+01,1.201980767520425403e-02
1.196000000000000085e+01,1.436198792741584691e-02
1.198000000000000043e+01,2.243139364765336374e-01
1.200000000000000000e+01,3.193948842852391001e-01
1.201999999999999957e+01,6.281879129544515328e-02
1.203999999999999915e+01,1.699915060219569229e-01
1.206000000000000050e+01,1.209516183693978286e-01
1.208000000000000007e+01,3.441349371408245102e-03
1.209999999999999964e+01,8.202339518600626489e-02
1.212000000000000099e+01,1.747672304494432838e-01
1.214000000000000057e+01,2.528741931063049342e-01
1.216000000000000014e+01,3.450963007267728727e-02
1.217999999999999972e+01,1.054650917080720701e-01
1.219999999999999929e+01,2.582670009672351566e-02
1.222000000000000064e+01,2.237584024782321990e-01
1.224000000000000021e+01,1.071074606281523511e-01
1.225999999999999979e+01,-1.513753721929594898e-02
1.228000000000000114e+01,2.509919708930646864e-01
1.230000000000000071e+01,6.387636679574358600e-02
1.232000000000000028e+01,-1.420330218712627249e-03
1.233999999999999986e+01,1.257248049033598269e-01
1.235999999999999943e+01,5.765063058046757810e-02
1.237999999999999901e+01,1.470948771527335330e-01
1.240000000000000036e+01,3.387104698633396516e-03
1.241999999999999993e+01,1.287513897846503386e-01
1.243999999999999950e+01,3.036568191628586377e-01
1.246000000000000085e+01,-8.239688171067117831e-05
1.248000000000000043e+01,2.718157510294699764e-01
1.250000000000000000e+01,1.423965449696896479e-01
1.251999999999999957e+01,1.735072164995730970e-01
1.253999999999999915e+01,1.529101752478480847e-01
1.256000000000000050e+01,1.500583935314867279e-01
1.258000000000000007e+01,-1.189094857767609009e-01
1.259999999999999964e+01,1.060763970528194183e-01
1.262000000000000099e+01,-3.394371783152061450e-02
1.264000000000000057e+01,1.876661768233108263e-01
1.266000000000000014e+01,2.906003260504142482e-01
1.267999999999999972e+01,1.533031100338735908e-01
1.269999999999999929e+01,2.159756902237106591e-01
1.272000000000000064e+01,1.506746357686011839e-01
1.274000000000000021e+01,1.259147248545148534e-01
1.275999999999999979e+01,1.881152672635085232e-01
1.278000000000000114e+01,1.950769918564075611e-01
1.280000000000000071e+01,2.629927484846428243e-01
1.282000000000000028e+01,-2.495278625765151928e-02
1.283999999999999986e+01,1.600009767612991518e-01
1.285999999999999943e+01,1.607628950348014008e-01
1.287999999999999901e+01,2.011159618389762871e-01
1.290000000000000036e+01,-6.456010658575535299e-02
1.291999999999999993e+01,3.892251319509482457e-03
1.293999999999999950e+01,-7.894625493280505585e-03
1.296000000000000085e+01,9.972030430582176641e-02
1.298000000000000043e+01,-2.924333029185827854e-02
1.300000000000000000e+01,-1.986980153624317430e-02
1.301999999999999957e+01,2.865089778541410684e-02
1.303999999999999915e+01,1.026085981363323019e-01
1.306000000000000050e+01,3.038967490550041894e-01
1.308000000000000007e+01,1.426058566751660373e-01
1.309999999999999964e+01,1.746336657657585334e-01
1.312000000000000099e+01,4.371944960871364250e-03
1.314000000000000057e+01,3.949461494384088819e-03
1.316000000000000014e+01,1.109846281834149864e-02
1.317999999999999972e+01,1.705601257193972015e-02
1.319999999999999929e+01,5.823488453162570938e-02
1.322000000000000064e+01,1.718362035070840343e-02
1.324000000000000021e+01,1.094713660484799948e-02
1.325999999999999979e+01,1.728661600164021206e-01
1.328000000000000114e+01,4.695742004337970926e-02
1.330000000000000071e+01,7.656450459812025322e-02
1.332000000000000028e+01,1.326415974593729008e-01
1.333999999999999986e+01,9.821899549078139113e-02
1.335999999999999943e+01,1.984014280640953309e-01
1.337999999999999901e+01,8.236594122238342919e-02
1.340000000000000036e+01,1.751236660302886161e-01
1.341999999999999993e+01,-6.673592562054914135e-02
1.343999999999999950e+01,-1.238517301423001510e-01
1.346000000000000085e+01,1.960904448925698540e-01
1.348000000000000043e+01,1.793450177998235501e-02
1.350000000000000000e+01,-6.505746562429266799e-02
1.351999999999999957e+01,1.362331237312563448e-01
1.353999999999999915e+01,3.005878805213182958e-01
1.356000000000000050e+01,2.452364049695088533e-01
1.358000000000000007e+01,2.160713681133933847e-02
1.359999999999999964e+01,3.634623257034171329e-01
1.362000000000000099e+01,1.062181660322492754e-01
1.364000000000000057e+01,1.292279569883554857e-01
1.366000000000000014e+01,2.295195068944965444e-01
1.367999999999999972e+01,-1.165853924246473827e-02
1.369999999999999929e+01,1.268969925163747903e-01
1.372000000000000064e+01,1.445783540358881736e-01
1.374000000000000021e+01,1.160746250249543726e-01
1.375999999999999979e+01,8.252750950963573529e-02
1.378000000000000114e+01,8.701338141016638772e-02
1.380000000000000071e+01,5.590343130529895621e-02
1.382000000000000028e+01,8.245501742402946976e-03
1.383999999999999986e+01,1.193970604630120863e-01
1.385999999999999943e+01,1.353619529302467761e-01
1.387999999999999901e+01,2.662214400253472002e-01
1.390000000000000036e+01,-7.741639379946341215e-02
1.391999999999999993e+01,1.528856757509276798e-01
1.393999999999999950e+01,3.484151895221053175e-01
1.396000000000000085e+01,1.698115797836863977e-02
1.398000000000000043e+01,-1.964325199678320158e-02
1.400000000000000000e+01,8.004223332164615845e-02
1.401999999999999957e+01,9.142988547928355969e-02
1.403999999999999915e+01,1.985995182543538740e-01
1.406000000000000050e+01,2.074769447707587311e-01
