# 2Theta,Intensity
1.000000000000000000e+01,1.093830399833348871e-02
1.001999999999999957e+01,5.510373764550366427e-02
1.003999999999999915e+01,3.318313107189695133e-02
1.006000000000000050e+01,5.409853279395778619e-02
1.008000000000000007e+01,1.056292457786423278e-01
1.009999999999999964e+01,-3.425514230855683517e-02
1.011999999999999922e+01,2.142215417930395938e-02
1.014000000000000057e+01,-1.981621921042817647e-01
1.016000000000000014e+01,-1.159903710289573141e-02
1.017999999999999972e+01,1.136442528278020225e-01
1.019999999999999929e+01,-1.183095278623670227e-01
1.022000000000000064e+01,9.408306466884983066e-02
1.024000000000000021e+01,-4.654212223776953150e-02
1.025999999999999979e+01,-5.479039948768667234e-02
1.027999999999999936e+01,1.324082391452419127e-01
1.030000000000000071e+01,-2.017748567397434911e-01
1.032000000000000028e+01,-7.534432213857378269e-02
1.033999999999999986e+01,-9.461595567205552393e-02
1.035999999999999943e+01,-5.678800140080891672e-04
1.038000000000000078e+01,2.032431809979499612e-02
1.040000000000000036e+01,1.077146779431474855e-01
1.041999999999999993e+01,4.425654235977858481e-02
1.043999999999999950e+01,-5.296456380987241835e-02
1.046000000000000085e+01,1.221541811310818959e-01
1.048000000000000043e+01,-1.658876636602347326e-02
1.050000000000000000e+01,9.467497879306452369e-02
1.051999999999999957e+01,-1.858901182175627942e-01
1.053999999999999915e+01,5.781163475075504210e-02
1.056000000000000050e+01,-9.479167413474348658e-03
1.058000000000000007e+01,6.209336852716220573e-02
1.059999999999999964e+01,7.914221014506574170e-02
1.061999999999999922e+01,9.444520277684870235e-02
1.064000000000000057e+01,-6.205666334921058902e-02
1.066000000000000014e+01,1.894458946812543898e-02
1.067999999999999972e+01,1.394500967296014027e-01
1.069999999999999929e+01,8.116950365039539428e-02
1.072000000000000064e+01,-1.024374145484676091e-01
1.074000000000000021e+01,1.419346085266625923e-01
1.075999999999999979e+01,-1.071804663456443901e-01
1.077999999999999936e+01,1.505709443108814993e-01
1.080000000000000071e+01,1.017449314790956211e-01
1.082000000000000028e+01,7.676262940508092082e-03
1.083999999999999986e+01,8.824688245483940097e-02
1.085999999999999943e+01,4.829315283117929097e-02
1.088000000000000078e+01,-1.062924702091584336e-02
1.090000000000000036e+01,6.739315943269977294e-02
1.091999999999999993e+01,-1.955443149460658545e-02
1.093999999999999950e+01,1.672372991300539666e-02
1.096000000000000085e+01,1.403382734827676170e-01
1.098000000000000043e+01,5.589756799691635025e-02
1.100000000000000000e+01,7.078717678951160046e-03
1.101999999999999957e+01,7.886595347212595197e-02
1.103999999999999915e+01,1.245697745156125053e-01
1.106000000000000050e+01,4.976924426126234230e-02
1.108000000000000007e+01,1.705920293994697412e-01
1.109999999999999964e+01,3.245323073301496775e-02
1.112000000000000099e+01,-1.975922514655419765e-02
1.114000000000000057e+01,8.093828958554226405e-02
1.116000000000000014e+01,1.119966449929723773e-01
1.117999999999999972e+01,-6.254621272407666355e-02
1.119999999999999929e+01,-6.126641312998856725e-02
1.122000000000000064e+01,3.043853210887532620e-02
1.124000000000000021e+01,2.820352335597092058e-02
1.125999999999999979e+01,3.216207277709295931e-02
1.127999999999999936e+01,-7.941333836748239172e-02
1.130000000000000071e+01,9.864029965036807956e-02
1.132000000000000028e+01,-1.403751256757199972e-01
1.133999999999999986e+01,1.468827487610426807e-01
1.135999999999999943e+01,-3.206716065223527180e-03
1.138000000000000078e+01,-1.841063389093866923e-02
1.140000000000000036e+01,-5.641162422144712502e-02
1.141999999999999993e+01,-9.909772049811926831e-02
1.143999999999999950e+01,2.575669346456824910e-02
1.146000000000000085e+01,-1.024020647097938913e-01
1.148000000000000043e+01,1.607019777084810544e-02
1.150000000000000000e+01,-5.805063332307303786e-02
1.151999999999999957e+01,-1.178749887034040780e-02
1.153999999999999915e+01,1.454722051985345502e-02
1.156000000000000050e+01,1.458441631563862917e-01
1.158000000000000007e+01,1.721008393091639360e-02
1.159999999999999964e+01,7.852514004875681131e-02
1.162000000000000099e+01,-1.252251069914427917e-01
1.164000000000000057e+01,-2.628971546946572146e-02
1.166000000000000014e+01,-7.330616580993397358e-03
1.167999999999999972e+01,9.488968729667096591e-02
1.169999999999999929e+01,-3.976938197389334739e-02
1.172000000000000064e+01,1.564996501601869858e-02
1.174000000000000021e+01,-5.220140165532226317e-02
1.175999999999999979e+01,-9.818946960127288709e-03
1.177999999999999936e+01,1.889714062672636086e-01
1.180000000000000071e+01,-1.103684208296848018e-01
1.182000000000000028e+01,2.522635706027871461e-01
1.183999999999999986e+01,2.230935560436632728e-02
1.185999999999999943e+01,-1.698592913120464676e-01
1.188000000000000078e+01,1.550828128368590131e-01
1.190000000000000036e+01,6.476855326834662918e-02
1.191999999999999993e+01,5.787521983932901459e-02
1.193999999999999950e+01,1.476631467392749975e-01
1.196000000000000085e+01,-3.418251061973433952e-02
1.198000000000000043e+01,3.472177190638043448e-02
1.200000000000000000e+01,5.636793531434157283e-03
1.201999999999999957e+01,-9.165713799854874333e-02
1.203999999999999915e+01,-3.605016968323907227e-04
1.206000000000000050e+01,7.691647930830197710e-02
1.208000000000000007e+01,1.634896270189114056e-02
1.209999999999999964e+01,1.379300205931959129e-02
1.212000000000000099e+01,1.204791988523799991e-02
1.214000000000000057e+01,1.447768237541526837e-01
1.216000000000000014e+01,2.305713172416551382e-02
1.217999999999999972e+01,1.592001030279572571e-01
1.219999999999999929e+01,1.497970300951112499e-01
1.222000000000000064e+01,-2.138988393858657910e-01
1.224000000000000021e+01,-1.193977942598540426e-02
1.225999999999999979e+01,1.218890921146681267e-01
1.228000000000000114e+01,-6.333599664939132921e-03
1.230000000000000071e+01,-1.891394136108924540e-01
1.232000000000000028e+01,-8.328291274638588426e-02
1.233999999999999986e+01,2.261764648631143897e-03
1.235999999999999943e+01,6.306177125290274299e-02
1.237999999999999901e+01,-1.958088747763423940e-02
1.240000000000000036e+01,-1.545384726727382640e-01
1.241999999999999993e+01,-3.181743140819562939e-03
1.243999999999999950e+01,-1.035023117951611449e-01
1.246000000000000085e+01,-1.527079234643951844e-01
1.248000000000000043e+01,-8.533807728649995400e-03
1.250000000000000000e+01,-1.544369110771299791e-01
1.251999999999999957e+01,6.549702975200825950e-02
1.253999999999999915e+01,1.111393695375194474e-01
1.256000000000000050e+01,8.508680285034658786e-02
1.258000000000000007e+01,1.538515317163923479e-01
1.259999999999999964e+01,-5.167375979669087266e-03
1.262000000000000099e+01,7.823011675950922172e-02
1.264000000000000057e+01,1.998952849298087781e-02
1.266000000000000014e+01,1.117323490957979754e-01
1.267999999999999972e+01,-8.368984808645830997e-02
1.269999999999999929e+01,9.045228538609777214e-02
1.272000000000000064e+01,-2.198967241567963572e-03
1.274000000000000021e+01,-2.709789107482694914e-02
1.275999999999999979e+01,8.846400848321957222e-02
1.278000000000000114e+01,1.060996618701550709e-01
1.280000000000000071e+01,-6.824286316813907294e-02
1.282000000000000028e+01,-4.047172589224747909e-03
1.283999999999999986e+01,3.472466761952805459e-02
1.285999999999999943e+01,2.789435434322756757e-02
1.287999999999999901e+01,2.946924066516862575e-02
1.290000000000000036e+01,-1.262950167337826279e-01
1.291999999999999993e+01,9.950533857163545992e-02
1.293999999999999950e+01,1.793684009523161815e-01
1.296000000000000085e+01,1.369002200197269592e-01
1.298000000000000043e+01,8.005512633473604520e-03
1.300000000000000000e+01,1.027335172687741660e-01
1.301999999999999957e+01,1.812227666302209383e-01
1.303999999999999915e+01,4.374641085836248472e-02
1.306000000000000050e+01,-1.274898029838787139e-01
1.308000000000000007e+01,4.469680053331372832e-02
1.309999999999999964e+01,-3.693293432495352302e-02
1.312000000000000099e+01,-1.216462685136045357e-01
1.314000000000000057e+01,1.042275605793469423e-01
1.316000000000000014e+01,-5.434747927410498586e-02
1.317999999999999972e+01,-1.244527006081503906e-01
1.319999999999999929e+01,5.865721435227550656e-02
1.322000000000000064e+01,-6.032599727064644202e-02
1.324000000000000021e+01,-1.053244111579824428e-02
1.325999999999999979e+01,8.304255918836954409e-03
1.328000000000000114e+01,-3.935709754111366837e-02
1.330000000000000071e+01,3.212035352359621926e-02
1.332000000000000028e+01,8.850236076642085947e-02
1.333999999999999986e+01,-8.475790970311880557e-02
1.335999999999999943e+01,1.063104439090443581e-01
1.337999999999999901e+01,-2.633866229702106973e-02
1.340000000000000036e+01,8.333699010696492271e-02
1.341999999999999993e+01,5.682662521142771705e-01
1.343999999999999950e+01,1.572809285579978456e+00
1.346000000000000085e+01,4.489128768011256376e+00
1.348000000000000043e+01,5.042190536417805014e+00
1.350000000000000000e+01,3.192275092747922649e+00
1.351999999999999957e+01,1.459615827877999372e+00
1.353999999999999915e+01,3.734267270983765430e-01
1.356000000000000050e+01,1.064375522067973756e-01
1.358000000000000007e+01,-3.693597064313111633e-02
1.359999999999999964e+01,1.872003231786626143e-01
1.362000000000000099e+01,2.172280927557899283e-02
1.364000000000000057e+01,1.959972171177858796e-02
1.366000000000000014e+01,-4.395306583466852823e-02
1.367999999999999972e+01,9.509788065557035763e-02
1.369999999999999929e+01,5.421435049296453174e-02
1.372000000000000064e+01,-3.283445122126447263e-02
1.374000000000000021e+01,-8.802055316561757659e-02
1.375999999999999979e+01,-9.785718848512901108e-03
1.378000000000000114e+01,2.806138882764569117e-02
1.380000000000000071e+01,-1.263607710600301789e-02
1.382000000000000028e+01,1.845028067482476931e-03
1.383999999999999986e+01,4.231089822980212134e-02
1.385999999999999943e+01,1.550604991836749755e-02
1.387999999999999901e+01,1.651044761201961586e-01
1.390000000000000036e+01,2.069725471013343920e-01
1.391999999999999993e+01,-1.571388766112429697e-02
1.393999999999999950e+01,3.855090377598329593e-02
1.396000000000000085e+01,-1.080801024530458759e-01
1.398000000000000043e+01,3.063980166493523449e-01
1.400000000000000000e+01,2.677967104852278790e-02
1.401999999999999957e+01,1.026942019913090927e-02
1.403999999999999915e+01,-6.553002273426264401e-02
1.406000000000000050e+01,2.980327149120801100e-02
1.408000000000000007e+01,2.761524924312434154e-02
1.409999999999999964e+01,-8.883937158715375648e-02
1.412000000000000099e+01,1.916011290879144138e-02
1.414000000000000057e+01,5.449981358156692768e-02
1.416000000000000014e+01,-9.873656129202748599e-02
1.417999999999999972e+01,4.779404134512383467e-02
1.419999999999999929e+01,3.349997029453576081e-02
1.421999999999999886e+01,7.449618551295737225e-03
1.424000000000000021e+01,-1.435947065610702067e-01
1.425999999999999979e+01,-1.703761673366195606e-02
1.428000000000000114e+01,-6.770130769293630779e-02
1.430000000000000071e+01,2.989020963342731152e-02
1.432000000000000028e+01,-1.437045319431148882e-02
1.433999999999999986e+01,3.278227458148377793e-02
1.435999999999999943e+01,1.273768173164110118e-01
1.437999999999999901e+01,-3.902212736412449118e-02
1.440000000000000036e+01,1.915687689406644634e-01
1.441999999999999993e+01,1.464625835934897369e-01
1.444000000000000128e+01,2.039726965112388934e-01
1.446000000000000085e+01,-2.251552060925941443e-02
1.448000000000000043e+01,8.551798219325713879e-02
1.450000000000000000e+01,9.464007015567944825e-02
1.451999999999999957e+01,-2.196870630171821482e-03
1.453999999999999915e+01,5.992412680933154739e-02
1.456000000000000050e+01,3.594701546436594730e-02
1.458000000000000007e+01,1.628569765439714379e-01
1.460000000000000142e+01,-1.218877216915157380e-01
1.462000000000000099e+01,5.326357917961523948e-03
1.464000000000000057e+01,1.198864478989096483e-01
1.466000000000000014e+01,7.945235515821554018e-02
1.467999999999999972e+01,7.991297206243694329e-02
1.469999999999999929e+01,2.053485638912947581e-02
1.471999999999999886e+01,-2.133823321468755752e-02
1.474000000000000021e+01,8.283197078292330040e-02
1.475999999999999979e+01,-2.627929955525282798e-03
1.478000000000000114e+01,-2.405916597676581101e-02
1.480000000000000071e+01,-2.854016019415115193e-02
1.482000000000000028e+01,-6.108891485016229583e-02
1.483999999999999986e+01,-1.924483032506686953e-01
1.485999999999999943e+01,5.284853781866538473e-03
