# 2Theta,Intensity
1.000000000000000000e+01,2.421015485923420640e-01
1.001999999999999957e+01,4.704503763346050138e-01
1.003999999999999915e+01,1.338798524515416366e+00
1.006000000000000050e+01,1.391838055140331321e+00
1.008000000000000007e+01,1.090222429369624990e+00
1.009999999999999964e+01,4.874604956044129578e-01
1.011999999999999922e+01,3.206645725800472135e-01
1.014000000000000057e+01,1.408667687000946522e-01
1.016000000000000014e+01,7.408413495343192656e-02
1.017999999999999972e+01,8.653415418232736356e-02
1.019999999999999929e+01,2.840707024700087069e-01
1.022000000000000064e+01,1.209207601305503088e-01
1.024000000000000021e+01,3.833493373157165762e-01
1.025999999999999979e+01,-1.421715813487106905e-01
1.027999999999999936e+01,8.584724337351176682e-02
1.030000000000000071e+01,6.060665977790731518e-02
1.032000000000000028e+01,-8.108009130023952765e-03
1.033999999999999986e+01,2.331927288880437932e-01
1.035999999999999943e+01,2.435414580717963073e-01
1.038000000000000078e+01,-1.608796025914151218e-01
1.040000000000000036e+01,1.157867627615253303e-01
1.041999999999999993e+01,7.842267829108076627e-02
1.043999999999999950e+01,3.274630480273481026e-01
1.046000000000000085e+01,-9.870710697347390150e-02
1.048000000000000043e+01,1.304412136086208485e-01
1.050000000000000000e+01,1.148205331614124414e-01
1.051999999999999957e+01,1.545308486610451337e-01
1.053999999999999915e+01,7.310340667381835800e-03
1.056000000000000050e+01,2.948850473841348532e-02
1.058000000000000007e+01,2.014993180482891610e-01
1.059999999999999964e+01,1.670932365614767948e-02
1.061999999999999922e+01,6.472826563719803750e-02
1.064000000000000057e+01,2.679928348031347385e-01
1.066000000000000014e+01,2.026559982047850816e-01
1.067999999999999972e+01,2.190905450568767510e-01
1.069999999999999929e+01,1.247471239219584763e-02
1.072000000000000064e+01,2.921856170359311000e-01
1.074000000000000021e+01,7.934106891618233903e-03
1.075999999999999979e+01,4.161139274024226731e-02
1.077999999999999936e+01,7.268987798557632884e-02
1.080000000000000071e+01,2.426764366599059308e-01
1.082000000000000028e+01,1.232063822972403605e-01
1.083999999999999986e+01,3.349861097564238999e-01
1.085999999999999943e+01,3.897351502988433830e-02
1.088000000000000078e+01,2.317729442116885918e-01
1.090000000000000036e+01,-4.737330452618940257e-02
1.091999999999999993e+01,2.056456492132646696e-01
1.093999999999999950e+01,2.433087741975649698e-01
1.096000000000000085e+01,1.188807911776282138e-02
1.098000000000000043e+01,2.441498934079517624e-01
1.100000000000000000e+01,2.971991898488432482e-01
1.101999999999999957e+01,1.676840685634854999e-01
1.103999999999999915e+01,3.673191156049545603e-01
1.106000000000000050e+01,-1.897046978370921927e-02
1.108000000000000007e+01,-5.166554793043078020e-02
1.109999999999999964e+01,1.718527216323701701e-01
1.112000000000000099e+01,8.049289643336831127e-03
1.114000000000000057e+01,1.865809450431947514e-01
1.116000000000000014e+01,7.768036595535959821e-02
1.117999999999999972e+01,3.089116395899248468e-01
1.119999999999999929e+01,1.097765549617472358e-01
1.122000000000000064e+01,1.418021705921493070e-01
1.124000000000000021e+01,2.531532830185342919e-01
1.125999999999999979e+01,1.134708169563479196e-01
1.127999999999999936e+01,1.718810393838606509e-01
1.130000000000000071e+01,-5.407096916543240039e-02
1.132000000000000028e+01,1.821844970957956222e-01
1.133999999999999986e+01,2.455197449277773114e-01
1.135999999999999943e+01,-3.669957345494410245e-02
1.138000000000000078e+01,8.434178881262260896e-02
1.140000000000000036e+01,2.916513096681862538e-01
1.141999999999999993e+01,1.617265916601963172e-01
1.143999999999999950e+01,2.747741502855988172e-02
1.146000000000000085e+01,-1.284778360435705202e-01
1.148000000000000043e+01,2.791098884878153163e-01
1.150000000000000000e+01,1.583172238708324964e-01
1.151999999999999957e+01,1.681681452668906118e-01
1.153999999999999915e+01,1.840508273393853811e-01
1.156000000000000050e+01,1.378053416642003315e-01
1.158000000000000007e+01,1.250798547394605109e-01
1.159999999999999964e+01,-1.173064680497665352e-01
1.162000000000000099e+01,1.031750060342353226e-01
1.164000000000000057e+01,2.855946825213757645e-01
1.166000000000000014e+01,9.666857960136039651e-02
1.167999999999999972e+01,1.548186414161413782e-01
1.169999999999999929e+01,8.102157254311047330e-02
1.172000000000000064e+01,1.382714549160090067e-01
1.174000000000000021e+01,2.602423423005384429e-01
1.175999999999999979e+01,1.670475944316647532e-01
1.177999999999999936e+01,2.628263047420136833e-01
1.180000000000000071e+01,1.236000286884485072e-01
1.182000000000000028e+01,-1.485057562431487399e-01
1.183999999999999986e+01,1.429787842110772089e-01
1.185999999999999943e+01,-4.828721055369857018e-02
1.188000000000000078e+01,3.770740044819670955e-01
1.190000000000000036e+01,2.523913385963300060e-01
1.191999999999999993e+01,1.055228360395129017e-01
1.193999999999999950e+01,6.106541590313672302e-02
1.196000000000000085e+01,-3.382642090872214208e-02
1.198000000000000043e+01,2.536586349044528399e-02
1.200000000000000000e+01,4.386170569555041671e-02
1.201999999999999957e+01,-3.870425807918302652e-02
1.203999999999999915e+01,8.033293778628486370e-02
1.206000000000000050e+01,8.635579429490126968e-02
1.208000000000000007e+01,1.928874577367132304e-01
1.209999999999999964e+01,4.075780293508203533e-02
1.212000000000000099e+01,-5.339178842018135057e-02
1.214000000000000057e+01,8.646794031526894991e-03
1.216000000000000014e+01,4.870279326885570276e-02
1.217999999999999972e+01,1.951558630494466817e-01
1.219999999999999929e+01,9.874487333626391639e-02
1.222000000000000064e+01,5.689633313866121478e-02
1.224000000000000021e+01,6.023289507445810098e-02
1.225999999999999979e+01,-8.342342832782422002e-03
1.228000000000000114e+01,3.282603472908424691e-01
1.230000000000000071e+01,1.326148225474752529e-01
1.232000000000000028e+01,8.308021317848424125e-02
1.233999999999999986e+01,1.418538774502431932e-01
1.235999999999999943e+01,1.890192827296274247e-01
1.237999999999999901e+01,1.422431068414478639e-01
1.240000000000000036e+01,1.800472030745866592e-01
1.241999999999999993e+01,4.024962461937045023e-03
1.243999999999999950e+01,-1.140688559605758795e-01
1.246000000000000085e+01,1.881238805178752846e-02
1.248000000000000043e+01,1.648425182862540417e-01
1.250000000000000000e+01,7.212440498301465885e-02
1.251999999999999957e+01,1.343749418047015531e-01
1.253999999999999915e+01,3.273272960732446363e-02
1.256000000000000050e+01,3.070371503673176017e-01
1.258000000000000007e+01,2.429623977550529057e-01
1.259999999999999964e+01,1.189393462516218913e-01
1.262000000000000099e+01,2.156144452083403606e-01
1.264000000000000057e+01,1.661884721319568936e-01
1.266000000000000014e+01,6.592738328447433904e-02
1.267999999999999972e+01,2.107258481698751906e-01
1.269999999999999929e+01,2.482407230580705726e-01
1.272000000000000064e+01,1.334958595501274936e-01
1.274000000000000021e+01,-6.507128890847171943e-02
1.275999999999999979e+01,2.622732699312060323e-01
1.278000000000000114e+01,1.287274241669325858e-01
1.280000000000000071e+01,2.154965417810221773e-01
1.282000000000000028e+01,8.494386633684987420e-02
1.283999999999999986e+01,2.998400329083519278e-01
1.285999999999999943e+01,-1.940815821632553909e-02
1.287999999999999901e+01,2.725581904952666390e-01
1.290000000000000036e+01,4.086589892693073128e-02
1.291999999999999993e+01,1.705653864766370764e-01
1.293999999999999950e+01,4.723990275607228839e-02
1.296000000000000085e+01,-6.205283320357053017e-02
1.298000000000000043e+01,-1.989880716672933272e-02
1.300000000000000000e+01,1.800847616280800978e-01
1.301999999999999957e+01,8.072845893691042718e-02
1.303999999999999915e+01,1.736429654279102175e-01
1.306000000000000050e+01,2.820190415435117615e-01
1.308000000000000007e+01,1.402958629624448950e-01
1.309999999999999964e+01,4.270618004747599450e-01
1.312000000000000099e+01,9.144601920161803399e-01
1.314000000000000057e+01,9.869617252405956664e-01
1.316000000000000014e+01,5.948976175888537332e-01
1.317999999999999972e+01,3.129084478229974264e-01
1.319999999999999929e+01,6.321953877369852759e-02
1.322000000000000064e+01,1.357162909267656259e-01
1.324000000000000021e+01,1.263008819047374554e-01
1.325999999999999979e+01,3.663270410917059960e-01
1.328000000000000114e+01,1.549614237299678787e-01
1.330000000000000071e+01,-9.898852198339093411e-02
1.332000000000000028e+01,2.456050647083950211e-01
1.333999999999999986e+01,1.611958584428219154e-01
1.335999999999999943e+01,-1.017935119748583986e-02
1.337999999999999901e+01,1.898297158320263744e-01
1.340000000000000036e+01,2.251348673208427298e-01
1.341999999999999993e+01,4.435831766419676137e-02
1.343999999999999950e+01,4.348059156036792466e-02
1.346000000000000085e+01,7.146672615124696759e-02
1.348000000000000043e+01,8.323907614604385274e-02
1.350000000000000000e+01,2.506639535883585790e-01
1.351999999999999957e+01,-1.374312426114852881e-02
1.353999999999999915e+01,4.480111547707057995e-01
1.356000000000000050e+01,2.205631264337452879e-01
1.358000000000000007e+01,4.240275981675657030e-02
1.359999999999999964e+01,4.346522253457009433e-02
1.362000000000000099e+01,2.592341578999123319e-01
1.364000000000000057e+01,1.669754672560229691e-01
1.366000000000000014e+01,6.941070214023824236e-02
1.367999999999999972e+01,4.508675170376048869e-02
1.369999999999999929e+01,2.765567443177253115e-01
1.372000000000000064e+01,6.382654584739826109e-02
1.374000000000000021e+01,2.009651445912656598e-01
1.375999999999999979e+01,3.506112398806698338e-01
1.378000000000000114e+01,9.400716718557837470e-02
1.380000000000000071e+01,1.521922917969336930e-01
1.382000000000000028e+01,8.868886319993721234e-02
1.383999999999999986e+01,1.939695498815297292e-01
1.385999999999999943e+01,7.399091447983562053e-02
1.387999999999999901e+01,2.625166925325602904e-02
1.390000000000000036e+01,1.387032442100143981e-01
1.391999999999999993e+01,-1.795151254619481787e-02
1.393999999999999950e+01,-3.022732168571681810e-02
1.396000000000000085e+01,-1.002372945251853026e-01
1.398000000000000043e+01,-1.090430365375525366e-02
1.400000000000000000e+01,-1.386608067357616991e-02
1.401999999999999957e+01,1.608661623455003575e-01
1.403999999999999915e+01,9.706050359515117076e-02
1.406000000000000050e+01,1.375680734157259666e-01
1.408000000000000007e+01,8.557324320015928520e-02
1.409999999999999964e+01,2.311102397544344544e-01
1.412000000000000099e+01,5.509064259224540072e-02
1.414000000000000057e+01,1.037857174523389159e-01
1.416000000000000014e+01,8.579186951792705518e-02
1.417999999999999972e+01,1.655109311239900405e-01
1.419999999999999929e+01,1.515535661237030207e-01
1.421999999999999886e+01,7.671026569792621652e-02
1.424000000000000021e+01,1.293729880961332623e-01
1.425999999999999979e+01,1.883488821816517167e-01
1.428000000000000114e+01,1.598973924789600654e-01
1.430000000000000071e+01,-3.411014208982067301e-03
1.432000000000000028e+01,1.417536772216871910e-01
1.433999999999999986e+01,3.684988063572296191e-02
1.435999999999999943e+01,1.272641415865516101e-01
1.437999999999999901e+01,-8.894071543648464362e-02
1.440000000000000036e+01,1.456357518278156571e-01
1.441999999999999993e+01,2.545036268465899476e-01
1.444000000000000128e+01,6.942616517623542705e-02
1.446000000000000085e+01,8.637917214201347449e-02
1.448000000000000043e+01,1.636897708871129509e-01
1.450000000000000000e+01,1.723479728828416213e-01
1.451999999999999957e+01,2.010700100620315400e-01
1.453999999999999915e+01,2.253724964265861608e-01
1.456000000000000050e+01,1.964534476562611320e-01
1.458000000000000007e+01,5.483261121109674757e-02
1.460000000000000142e+01,1.238671808425848148e-01
1.462000000000000099e+01,7.025942669241283522e-02
1.464000000000000057e+01,4.168619369912835992e-01
1.466000000000000014e+01,2.899395519680216804e-01
1.467999999999999972e+01,-1.770847497303335849e-01
1.469999999999999929e+01,-7.702541377025277913e-02
1.471999999999999886e+01,-1.020259414957338101e-01
1.474000000000000021e+01,1.369532720023951822e-01
1.475999999999999979e+01,2.799581007996964077e-01
1.478000000000000114e+01,2.582501150758599873e-01
1.480000000000000071e+01,2.421941002551902256e-01
1.482000000000000028e+01,2.312522377080992175e-01
1.483999999999999986e+01,6.118609398247812359e-02
1.485999999999999943e+01,5.358164348312530190e-03
1.487999999999999901e+01,3.178908113560690030e-01
1.490000000000000036e+01,2.695893966212890569e-01
1.491999999999999993e+01,2.991371916560848221e-01
1.494000000000000128e+01,1.118305549911866731e-01
1.496000000000000085e+01,2.133884373136417656e-01
1.498000000000000043e+01,3.828691645331017829e-02
1.500000000000000000e+01,-2.769370128427783850e-02
1.501999999999999957e+01,6.418817275057128735e-02
1.503999999999999915e+01,1.244452289996191008e-01
1.506000000000000050e+01,4.560185267329638914e-02
1.508000000000000007e+01,2.562450849167364764e-01
1.510000000000000142e+01,7.277546810159829516e-02
1.512000000000000099e+01,-6.043858281066078614e-02
1.514000000000000057e+01,2.421570294436596327e-01
1.516000000000000014e+01,2.625428370598829608e-01
1.517999999999999972e+01,1.041823682179376515e-01
1.519999999999999929e+01,1.240862989803585420e-01
1.521999999999999886e+01,1.822255244163653032e-01
1.524000000000000021e+01,1.312392815697488724e-01
1.525999999999999979e+01,9.950693973966052985e-02
1.528000000000000114e+01,1.079339823793642322e-02
1.530000000000000071e+01,1.280933477424708311e-01
1.532000000000000028e+01,2.813198249086354963e-01
1.533999999999999986e+01,-9.228768308894362560e-02
