# 2Theta,Intensity
1.000000000000000000e+01,1.746378291741062516e-01
1.001999999999999957e+01,5.109740404418140758e-02
1.003999999999999915e+01,7.332485033869165503e-02
1.006000000000000050e+01,1.392101115627296659e-01
1.008000000000000007e+01,2.229771831516177416e-01
1.009999999999999964e+01,2.663099019125999556e-01
1.011999999999999922e+01,3.120880166176668302e-01
1.014000000000000057e+01,1.694087220614153011e-01
1.016000000000000014e+01,3.003204783170666525e-01
1.017999999999999972e+01,2.132011208208837716e-01
1.019999999999999929e+01,1.496485497830405687e-01
1.022000000000000064e+01,1.126623391637005811e-01
1.024000000000000021e+01,3.332575596767464177e-01
1.025999999999999979e+01,2.044829822293080246e-01
1.027999999999999936e+01,2.366952616078400740e-01
1.030000000000000071e+01,4.721059736942839064e-02
1.032000000000000028e+01,1.871790388397376881e-01
1.033999999999999986e+01,7.657531401059632092e-02
1.035999999999999943e+01,1.056868981973117239e-01
1.038000000000000078e+01,1.564932406263612741e-01
1.040000000000000036e+01,1.626994250168158074e-01
1.041999999999999993e+01,2.549237905632633083e-01
1.043999999999999950e+01,2.533536018113048960e-01
1.046000000000000085e+01,3.302819359383220577e-01
1.048000000000000043e+01,1.391246836329880776e-01
1.050000000000000000e+01,2.110655837079970232e-01
1.051999999999999957e+01,1.864874225431180088e-01
1.053999999999999915e+01,1.761889751920022174e-01
1.056000000000000050e+01,1.791681275856933375e-01
1.058000000000000007e+01,2.579250523306660381e-01
1.059999999999999964e+01,2.323338081314074155e-01
1.061999999999999922e+01,5.828034585356535457e-02
1.064000000000000057e+01,1.918303741509105875e-01
1.066000000000000014e+01,-1.586467619694850381e-02
1.067999999999999972e+01,4.123977945034312254e-01
1.069999999999999929e+01,2.165776846125369026e-01
1.072000000000000064e+01,5.833307064503596290e-02
1.074000000000000021e+01,7.735666822801630371e-02
1.075999999999999979e+01,2.962334501361496564e-01
1.077999999999999936e+01,1.803253386088012056e-01
1.080000000000000071e+01,3.628395042125217573e-01
1.082000000000000028e+01,6.595354672654714367e-02
1.083999999999999986e+01,2.677629801484601030e-02
1.085999999999999943e+01,2.751379705929648534e-01
1.088000000000000078e+01,9.102894932806647466e-02
1.090000000000000036e+01,1.792740740556425239e-01
1.091999999999999993e+01,3.728594373073434304e-02
