# 2Theta,Intensity
1.000000000000000000e+01,9.086567884927428118e-02
1.001999999999999957e+01,2.562537210192922243e-01
1.003999999999999915e+01,3.055235456247295742e-02
1.006000000000000050e+01,2.570384064497631682e-01
1.008000000000000007e+01,8.333689329146461156e-02
1.009999999999999964e+01,3.472053655531815580e-02
1.011999999999999922e+01,1.725721833767807634e-01
1.014000000000000057e+01,2.580191685567532200e-01
1.016000000000000014e+01,-1.027353727282667023e-01
1.017999999999999972e+01,1.437229059259526320e-01
1.019999999999999929e+01,-3.396184864145701532e-02
1.022000000000000064e+01,4.836935969100990274e-02
1.024000000000000021e+01,1.442426233335419306e-01
1.025999999999999979e+01,8.500380981626041998e-02
1.027999999999999936e+01,3.927490072089335205e-01
1.030000000000000071e+01,2.152448743214048846e-02
1.032000000000000028e+01,1.800888992381305120e-01
1.033999999999999986e+01,2.902492485675833844e-01
1.035999999999999943e+01,4.272828337987600450e-02
1.038000000000000078e+01,3.955150580992335130e-02
1.040000000000000036e+01,2.384834172652442463e-01
1.041999999999999993e+01,6.889455682604503362e-02
1.043999999999999950e+01,1.211744741270406461e-01
1.046000000000000085e+01,1.362493995571513183e-01
1.048000000000000043e+01,2.875575152519460054e-01
1.050000000000000000e+01,-3.903520868220973494e-02
1.051999999999999957e+01,2.080384332006399994e-01
1.053999999999999915e+01,2.304560239300944974e-02
1.056000000000000050e+01,1.346347872394919876e-01
1.058000000000000007e+01,-1.846559962450255651e-02
1.059999999999999964e+01,7.785764345707169021e-02
1.061999999999999922e+01,2.885849378701295723e-02
1.064000000000000057e+01,1.312944726348725111e-01
1.066000000000000014e+01,-3.653628924570184039e-02
1.067999999999999972e+01,2.849287217546946915e-01
1.069999999999999929e+01,1.016641550343870271e-01
1.072000000000000064e+01,1.107865929203340760e-01
1.074000000000000021e+01,7.542993885332957560e-02
1.075999999999999979e+01,1.739920385656370527e-01
1.077999999999999936e+01,4.447622032650211388e-02
1.080000000000000071e+01,2.220115988657286599e-01
1.082000000000000028e+01,3.530958108957421571e-01
1.083999999999999986e+01,4.084521711818817763e-02
1.085999999999999943e+01,4.678887433815663577e-02
1.088000000000000078e+01,2.113861495149205738e-01
1.090000000000000036e+01,1.476247684915925340e-01
1.091999999999999993e+01,1.772112225831552201e-01
1.093999999999999950e+01,2.747697783720401844e-03
1.096000000000000085e+01,5.068016908531910352e-04
1.098000000000000043e+01,3.925860601834705449e-02
1.100000000000000000e+01,3.279822977695076580e-01
1.101999999999999957e+01,2.089850452135385006e-01
1.103999999999999915e+01,1.490665164425155897e-01
1.106000000000000050e+01,1.182646960560725935e-01
1.108000000000000007e+01,-8.098050250484734383e-03
1.109999999999999964e+01,-5.768195606852317796e-03
1.112000000000000099e+01,1.320843266037849961e-01
1.114000000000000057e+01,5.746076625606810762e-02
1.116000000000000014e+01,3.146238795342126138e-01
1.117999999999999972e+01,8.518085729499078051e-02
1.119999999999999929e+01,2.209658223702748447e-01
1.122000000000000064e+01,1.451306565609970511e-01
1.124000000000000021e+01,2.489749139679924284e-01
1.125999999999999979e+01,6.580787008046218300e-02
1.127999999999999936e+01,-2.015926665970887641e-02
1.130000000000000071e+01,2.070423554817856782e-01
1.132000000000000028e+01,1.031298806704053772e-01
1.133999999999999986e+01,2.327120511825190585e-01
1.135999999999999943e+01,1.029944080005381901e-01
1.138000000000000078e+01,-4.375118538805787549e-02
1.140000000000000036e+01,1.466226773408925259e-02
1.141999999999999993e+01,5.614615350385378234e-02
1.143999999999999950e+01,2.578747798257435830e-01
1.146000000000000085e+01,1.186867830369632698e-01
1.148000000000000043e+01,4.236427021809495430e-02
1.150000000000000000e+01,3.703284052721434599e-02
1.151999999999999957e+01,-1.803222585987085749e-02
1.153999999999999915e+01,2.294410070068193530e-01
