# 2Theta,Intensity
1.000000000000000000e+01,5.085624666833715724e-01
1.001999999999999957e+01,1.637278373795905129e-01
1.003999999999999915e+01,4.245226509345732535e-01
1.006000000000000050e+01,2.948627325882976491e-01
1.008000000000000007e+01,2.220032425322823744e-01
1.009999999999999964e+01,7.484239970675682363e-02
1.011999999999999922e+01,1.765340444458715907e-01
1.014000000000000057e+01,4.629120571356689640e-01
1.016000000000000014e+01,2.290423220066964069e-02
1.017999999999999972e+01,2.505475053514254480e-01
1.019999999999999929e+01,2.707096075995222839e-01
1.022000000000000064e+01,1.364572669586120446e-01
1.024000000000000021e+01,2.538429755225588558e-01
1.025999999999999979e+01,5.335304859642570063e-01
1.027999999999999936e+01,-5.486638318819882232e-03
1.030000000000000071e+01,3.812426376107732606e-01
1.032000000000000028e+01,3.176643833010639462e-01
1.033999999999999986e+01,2.602797611257383070e-01
1.035999999999999943e+01,7.989196661694472623e-02
1.038000000000000078e+01,4.014022277589253396e-02
1.040000000000000036e+01,1.932185151783372967e-01
1.041999999999999993e+01,2.908902357666606764e-01
1.043999999999999950e+01,3.597254350432520509e-01
1.046000000000000085e+01,3.430965767697786162e-01
1.048000000000000043e+01,3.280362239971632010e-01
1.050000000000000000e+01,3.332630019523658560e-01
1.051999999999999957e+01,2.711919239601125464e-01
1.053999999999999915e+01,7.287252782830538900e-02
1.056000000000000050e+01,1.542893407521120364e-01
1.058000000000000007e+01,4.869024355471184839e-01
1.059999999999999964e+01,1.883169425570152197e-02
1.061999999999999922e+01,2.348021886952305071e-01
1.064000000000000057e+01,6.764455859945502081e-02
1.066000000000000014e+01,2.457849489891997807e-01
1.067999999999999972e+01,4.144595175952737742e-01
1.069999999999999929e+01,4.086685570889058150e-01
1.072000000000000064e+01,1.909459697928739541e-01
1.074000000000000021e+01,4.574009766060423976e-01
1.075999999999999979e+01,5.473834321571578732e-02
1.077999999999999936e+01,3.986814431040583417e-01
1.080000000000000071e+01,3.224404848436603910e-01
1.082000000000000028e+01,2.209338178630011751e-01
1.083999999999999986e+01,1.373262800754344592e-01
1.085999999999999943e+01,1.257938005258282532e-01
1.088000000000000078e+01,2.560459864815324282e-01
1.090000000000000036e+01,2.512689396736910719e-01
1.091999999999999993e+01,4.219320639524088423e-01
1.093999999999999950e+01,2.802811409635732054e-01
1.096000000000000085e+01,3.228088478954991847e-01
1.098000000000000043e+01,1.955464387942448534e-01
1.100000000000000000e+01,2.558349165441688444e-01
1.101999999999999957e+01,2.285875517976974913e-01
1.103999999999999915e+01,1.871135623689614558e-01
1.106000000000000050e+01,3.948851697282161344e-01
1.108000000000000007e+01,4.818951221274275221e-01
1.109999999999999964e+01,2.030456014204279624e-01
1.112000000000000099e+01,6.849357421166434035e-02
1.114000000000000057e+01,1.820278688236731945e-01
1.116000000000000014e+01,1.522292341510262867e-02
1.117999999999999972e+01,4.386044317761286226e-01
1.119999999999999929e+01,2.139780526244283720e-01
1.122000000000000064e+01,3.161699493703469810e-01
1.124000000000000021e+01,2.172503931421301826e-01
1.125999999999999979e+01,2.551139826700554170e-01
1.127999999999999936e+01,2.715887812871560780e-01
1.130000000000000071e+01,-2.022413036879067497e-02
1.132000000000000028e+01,4.012463457571283088e-01
1.133999999999999986e+01,1.150487122487691416e-01
1.135999999999999943e+01,9.217304702290268770e-02
1.138000000000000078e+01,1.209042262824586156e-01
1.140000000000000036e+01,6.573971942351346243e-02
1.141999999999999993e+01,4.926957465214901188e-01
1.143999999999999950e+01,3.711226198489079309e-01
1.146000000000000085e+01,2.793662362914392516e-01
1.148000000000000043e+01,4.698909602473612043e-03
1.150000000000000000e+01,3.381437676139128490e-01
1.151999999999999957e+01,3.131517757275891767e-01
1.153999999999999915e+01,2.470712481746108191e-01
1.156000000000000050e+01,2.554386332386567315e-01
1.158000000000000007e+01,2.399994542365188333e-01
1.159999999999999964e+01,2.124706062078042801e-01
1.162000000000000099e+01,2.179998202058528456e-01
1.164000000000000057e+01,2.120156123782021007e-01
1.166000000000000014e+01,2.529387005142100797e-01
1.167999999999999972e+01,1.716970199934756691e-01
1.169999999999999929e+01,3.276105375583276968e-01
1.172000000000000064e+01,4.586049909680705583e-01
1.174000000000000021e+01,2.098392383431439134e-01
1.175999999999999979e+01,5.223983404212911852e-01
1.177999999999999936e+01,4.622913838969431310e-01
1.180000000000000071e+01,3.517747962190649891e-01
1.182000000000000028e+01,1.775919440546900874e-01
