# 2Theta,Intensity
1.000000000000000000e+01,4.352719417786967693e-01
1.001999999999999957e+01,3.123189554633399867e-01
1.003999999999999915e+01,3.834901267607020436e-01
1.006000000000000050e+01,4.602594954891217061e-01
1.008000000000000007e+01,4.953659451429024418e-01
1.009999999999999964e+01,4.768652155521242442e-01
1.011999999999999922e+01,5.998679568142799567e-01
1.014000000000000057e+01,3.928853485271504020e-01
1.016000000000000014e+01,4.959337874583742423e-01
1.017999999999999972e+01,6.482342143840630344e-01
1.019999999999999929e+01,5.969168587018266470e-01
1.022000000000000064e+01,3.986121919050204521e-01
1.024000000000000021e+01,5.175667167017851122e-01
1.025999999999999979e+01,4.135063107293916462e-01
1.027999999999999936e+01,3.828727062190057095e-01
1.030000000000000071e+01,5.837604436428751598e-01
1.032000000000000028e+01,4.698148229877716076e-01
1.033999999999999986e+01,5.828084858289962478e-01
1.035999999999999943e+01,4.258481605832519223e-01
1.038000000000000078e+01,4.268643084831302281e-01
1.040000000000000036e+01,3.623517681984458633e-03
1.041999999999999993e+01,4.907257481350097983e-01
1.043999999999999950e+01,3.657746016142050527e-01
1.046000000000000085e+01,5.061167057291889870e-01
1.048000000000000043e+01,3.184602412938336569e-01
1.050000000000000000e+01,4.674185178386778272e-01
1.051999999999999957e+01,1.530452690634454549e-01
1.053999999999999915e+01,5.243974218538606236e-01
1.056000000000000050e+01,7.030100892004110813e-01
1.058000000000000007e+01,3.068496286289351671e-01
1.059999999999999964e+01,7.518226823080292887e-01
1.061999999999999922e+01,5.233816531830660645e-01
1.064000000000000057e+01,5.509202643842233682e-01
1.066000000000000014e+01,3.621946662916578630e-01
1.067999999999999972e+01,6.777029501288633906e-01
1.069999999999999929e+01,3.948616624655120200e-01
1.072000000000000064e+01,5.612937393192939384e-01
1.074000000000000021e+01,2.234775112300392552e-01
1.075999999999999979e+01,4.531968577453739933e-01
1.077999999999999936e+01,3.975650746545770220e-01
1.080000000000000071e+01,6.061007747798270451e-01
1.082000000000000028e+01,3.298612233785288006e-01
1.083999999999999986e+01,4.473779062704115184e-01
1.085999999999999943e+01,5.780848866390613239e-01
1.088000000000000078e+01,5.525883901446280166e-01
1.090000000000000036e+01,6.023225260777250734e-01
1.091999999999999993e+01,5.616291558833865771e-01
1.093999999999999950e+01,3.948048247631190666e-01
1.096000000000000085e+01,3.611000633435890728e-01
1.098000000000000043e+01,4.494188180542839639e-01
1.100000000000000000e+01,6.011054050508242153e-01
1.101999999999999957e+01,3.728346792787187169e-01
1.103999999999999915e+01,4.674157570445048870e-01
1.106000000000000050e+01,4.262718913369533125e-01
1.108000000000000007e+01,3.761841877288941705e-01
1.109999999999999964e+01,4.086700102578766924e-01
1.112000000000000099e+01,4.017387685733432301e-01
1.114000000000000057e+01,4.618771426460070439e-01
1.116000000000000014e+01,4.985053707636970532e-01
1.117999999999999972e+01,3.107861839568359374e-01
