# 2Theta,Intensity
1.000000000000000000e+01,1.564923745631932595e-01
1.001999999999999957e+01,3.932702232932388520e-01
1.003999999999999915e+01,1.974162081127179835e-01
1.006000000000000050e+01,1.223049230124608061e-01
1.008000000000000007e+01,1.656273698280404105e-01
1.009999999999999964e+01,1.811116703659483018e-01
1.011999999999999922e+01,2.317838241226843343e-01
1.014000000000000057e+01,3.290065987354087174e-01
1.016000000000000014e+01,2.928683406407470713e-01
1.017999999999999972e+01,1.441727716766084133e-01
1.019999999999999929e+01,1.718336718605640578e-01
1.022000000000000064e+01,1.341535094139776618e-01
1.024000000000000021e+01,1.564731172985359964e-01
1.025999999999999979e+01,2.729508261458497009e-01
1.027999999999999936e+01,1.504612066965145545e-01
1.030000000000000071e+01,2.185797999156169069e-01
1.032000000000000028e+01,1.098286028248436491e-01
1.033999999999999986e+01,1.840415540767442182e-01
1.035999999999999943e+01,1.911633782276665749e-01
1.038000000000000078e+01,3.026189479599230570e-01
1.040000000000000036e+01,1.947191068074825282e-01
1.041999999999999993e+01,1.823025927045268391e-01
1.043999999999999950e+01,3.411565665755716958e-01
1.046000000000000085e+01,3.512267442976188536e-01
1.048000000000000043e+01,2.207431315941111027e-01
1.050000000000000000e+01,1.069392008839126634e-01
1.051999999999999957e+01,1.759039670088951568e-01
1.053999999999999915e+01,2.173476410894798483e-01
1.056000000000000050e+01,3.023445490723953299e-01
1.058000000000000007e+01,1.620158148698877532e-01
1.059999999999999964e+01,2.896838014937784811e-01
1.061999999999999922e+01,3.151545175642985752e-01
1.064000000000000057e+01,3.630740505684483810e-01
1.066000000000000014e+01,3.738867161096859904e-01
1.067999999999999972e+01,2.952817793457996887e-01
1.069999999999999929e+01,2.496229875740336446e-01
1.072000000000000064e+01,2.365798787353539379e-01
1.074000000000000021e+01,5.173634271637202880e-02
1.075999999999999979e+01,3.886475279751114287e-01
1.077999999999999936e+01,1.225808285710828366e-01
1.080000000000000071e+01,1.271732932635235291e-01
1.082000000000000028e+01,1.209405887802183777e-01
1.083999999999999986e+01,2.098579683558833009e-01
1.085999999999999943e+01,2.661349175010075396e-01
1.088000000000000078e+01,6.298260593109147876e-02
1.090000000000000036e+01,3.899117336739107431e-01
1.091999999999999993e+01,3.725971677202302157e-01
1.093999999999999950e+01,3.349068458055521891e-01
1.096000000000000085e+01,1.297498822749831304e-01
1.098000000000000043e+01,2.228120594830396428e-01
1.100000000000000000e+01,3.006005742980083495e-01
1.101999999999999957e+01,4.257559717660936993e-01
1.103999999999999915e+01,4.557572637983450109e-02
1.106000000000000050e+01,-1.864063137141002552e-02
1.108000000000000007e+01,2.187890512705999158e-01
1.109999999999999964e+01,1.833665265017514756e-01
1.112000000000000099e+01,3.805653770405938441e-01
1.114000000000000057e+01,3.116085975010808307e-01
1.116000000000000014e+01,2.768152781667800877e-01
1.117999999999999972e+01,-5.870001994129041972e-02
1.119999999999999929e+01,2.582578085258895317e-01
1.122000000000000064e+01,8.187487979934256199e-02
1.124000000000000021e+01,2.384092677571032770e-01
1.125999999999999979e+01,2.407771616760336908e-01
1.127999999999999936e+01,1.422198679349699901e-01
1.130000000000000071e+01,2.323552405326045345e-01
1.132000000000000028e+01,3.232820774058249302e-01
1.133999999999999986e+01,1.194758031934198689e-01
1.135999999999999943e+01,2.742748319061810158e-01
1.138000000000000078e+01,2.379397017824071425e-01
1.140000000000000036e+01,3.370404289874529002e-01
1.141999999999999993e+01,3.311485360961330393e-01
1.143999999999999950e+01,-1.280998917531041281e-01
1.146000000000000085e+01,2.626184133736217396e-01
1.148000000000000043e+01,3.839520532591774726e-01
1.150000000000000000e+01,2.172272379144992993e-01
1.151999999999999957e+01,1.541257254538253851e-01
1.153999999999999915e+01,7.557229229823562988e-02
1.156000000000000050e+01,5.570214612882482541e-01
1.158000000000000007e+01,6.075548451523858917e-01
1.159999999999999964e+01,1.063564374975799476e-01
1.162000000000000099e+01,4.921592104158395431e-01
1.164000000000000057e+01,1.675283189725423338e-01
1.166000000000000014e+01,2.110646881647632866e-01
1.167999999999999972e+01,2.631067420210950192e-01
1.169999999999999929e+01,2.607025198436761504e-01
1.172000000000000064e+01,1.899122448447165823e-01
1.174000000000000021e+01,2.009761312339176653e-01
1.175999999999999979e+01,2.208647938660382726e-01
1.177999999999999936e+01,2.976839224672496176e-01
1.180000000000000071e+01,-8.424710093065198094e-03
1.182000000000000028e+01,3.245677251359394000e-02
1.183999999999999986e+01,1.444389516872396917e-01
