# 2Theta,Intensity
1.000000000000000000e+01,4.553857192083853866e-01
1.001999999999999957e+01,5.370777239633234279e-01
1.003999999999999915e+01,9.195920250715241551e-01
1.006000000000000050e+01,1.275843778042724530e-01
1.008000000000000007e+01,5.143883273811865608e-01
1.009999999999999964e+01,7.072001196666948264e-01
1.011999999999999922e+01,5.030216041378819947e-01
1.014000000000000057e+01,3.693753155709814107e-01
1.016000000000000014e+01,3.533108561873125608e-01
1.017999999999999972e+01,6.729668789047666966e-01
1.019999999999999929e+01,4.090627103297840850e-01
1.022000000000000064e+01,6.700872624015030699e-01
1.024000000000000021e+01,4.813244710394843917e-01
1.025999999999999979e+01,4.479627469808014628e-01
1.027999999999999936e+01,2.736030076506023589e-01
1.030000000000000071e+01,3.522664981847630772e-01
1.032000000000000028e+01,7.855189998209036739e-01
1.033999999999999986e+01,5.920770905425672970e-01
1.035999999999999943e+01,6.081132729841218776e-01
1.038000000000000078e+01,4.474749977371113574e-01
1.040000000000000036e+01,5.814747456324196317e-01
1.041999999999999993e+01,4.513464559678728727e-01
1.043999999999999950e+01,4.004937412898751936e-01
1.046000000000000085e+01,5.808608809731662381e-01
1.048000000000000043e+01,6.981760299364676570e-01
1.050000000000000000e+01,7.441429992359704926e-01
1.051999999999999957e+01,4.791900548876990573e-01
1.053999999999999915e+01,4.386021390766386419e-01
1.056000000000000050e+01,3.497974245518399306e-01
1.058000000000000007e+01,5.892495131119986906e-01
1.059999999999999964e+01,5.609256496371551881e-01
1.061999999999999922e+01,4.581004628237367871e-01
1.064000000000000057e+01,4.969320150204663000e-01
1.066000000000000014e+01,2.528456834463478908e-01
1.067999999999999972e+01,6.363908962627791155e-01
1.069999999999999929e+01,5.545271836723857373e-01
1.072000000000000064e+01,6.000476871283584313e-01
1.074000000000000021e+01,5.793454111814797525e-01
1.075999999999999979e+01,2.698350135186476928e-01
1.077999999999999936e+01,5.307787226675751979e-01
1.080000000000000071e+01,2.995436664808557858e-01
1.082000000000000028e+01,5.317941149772719145e-01
1.083999999999999986e+01,5.120281837823970061e-01
1.085999999999999943e+01,6.485886731837507968e-01
1.088000000000000078e+01,6.203872578724775044e-01
1.090000000000000036e+01,4.284236147730008937e-01
1.091999999999999993e+01,4.543548104074900951e-01
1.093999999999999950e+01,4.378486796635679967e-01
1.096000000000000085e+01,3.441735932224233019e-01
1.098000000000000043e+01,3.437641926902832434e-01
1.100000000000000000e+01,5.358444093101110139e-01
1.101999999999999957e+01,4.505058479944222816e-01
1.103999999999999915e+01,6.704562461239954585e-01
1.106000000000000050e+01,7.249762117743152601e-01
1.108000000000000007e+01,3.775664820719534243e-01
