# 2Theta,Intensity
1.000000000000000000e+01,4.588302120660102679e-01
1.001999999999999957e+01,9.371996039143385415e-01
1.003999999999999915e+01,1.081379880041939412e+00
1.006000000000000050e+01,5.284506815992507933e-01
1.008000000000000007e+01,4.716491571776670888e-01
1.009999999999999964e+01,6.963976117850354530e-01
1.011999999999999922e+01,8.863992695308537950e-01
1.014000000000000057e+01,9.239635761169117112e-01
1.016000000000000014e+01,7.035974413870669242e-01
1.017999999999999972e+01,5.421650457455964300e-01
1.019999999999999929e+01,8.233102654001005494e-01
1.022000000000000064e+01,7.986451288026514828e-01
1.024000000000000021e+01,7.012340081899607336e-01
1.025999999999999979e+01,5.376829147982266077e-01
1.027999999999999936e+01,6.736959200641171597e-01
1.030000000000000071e+01,1.157270834189916719e+00
1.032000000000000028e+01,6.672906643920647474e-01
1.033999999999999986e+01,9.173804866895831633e-01
1.035999999999999943e+01,1.059126061483298020e+00
1.038000000000000078e+01,8.588843754399367869e-01
1.040000000000000036e+01,9.293725080049429765e-01
1.041999999999999993e+01,6.122695201073167226e-01
1.043999999999999950e+01,5.226490600577329282e-01
1.046000000000000085e+01,7.681584810077880521e-01
1.048000000000000043e+01,6.119790521339695255e-01
1.050000000000000000e+01,8.747475282353860404e-01
1.051999999999999957e+01,6.602034100010690798e-01
1.053999999999999915e+01,9.151944641721535545e-01
1.056000000000000050e+01,1.027330779827749785e+00
1.058000000000000007e+01,8.147722898998214225e-01
1.059999999999999964e+01,9.225937379374241631e-01
1.061999999999999922e+01,6.940490973108083272e-01
1.064000000000000057e+01,6.351827279515050995e-01
1.066000000000000014e+01,6.611646643385963307e-01
1.067999999999999972e+01,8.356699017752153846e-01
1.069999999999999929e+01,7.679375522355922357e-01
1.072000000000000064e+01,8.960550436566825372e-01
1.074000000000000021e+01,7.314766722163623669e-01
1.075999999999999979e+01,8.262024681736843679e-01
1.077999999999999936e+01,3.873950021213685146e-01
1.080000000000000071e+01,9.532668848787398952e-01
1.082000000000000028e+01,7.507613656518941081e-01
1.083999999999999986e+01,7.004155708072723474e-01
1.085999999999999943e+01,7.440781636115078035e-01
1.088000000000000078e+01,6.964542059403906471e-01
1.090000000000000036e+01,7.677328696533874952e-01
1.091999999999999993e+01,1.032118669675752498e+00
1.093999999999999950e+01,9.566163622404265654e-01
1.096000000000000085e+01,5.696919676564287105e-01
1.098000000000000043e+01,8.359830148274821626e-01
1.100000000000000000e+01,9.178965522763784524e-01
1.101999999999999957e+01,7.912707135871968056e-01
1.103999999999999915e+01,9.725803123804959149e-01
1.106000000000000050e+01,8.261280153506821433e-01
1.108000000000000007e+01,9.604353803702128101e-01
1.109999999999999964e+01,9.102852382341545256e-01
1.112000000000000099e+01,9.861732378182707093e-01
1.114000000000000057e+01,8.516303909756394175e-01
1.116000000000000014e+01,6.667512287666526039e-01
1.117999999999999972e+01,8.317512111844376221e-01
1.119999999999999929e+01,4.141859712475355337e-01
1.122000000000000064e+01,9.881245981749920970e-01
1.124000000000000021e+01,5.727644059489281902e-01
1.125999999999999979e+01,7.195768472577688257e-01
1.127999999999999936e+01,7.478163744127412915e-01
1.130000000000000071e+01,9.856999627538798325e-01
1.132000000000000028e+01,7.045974908351707588e-01
1.133999999999999986e+01,4.623685868455443826e-01
1.135999999999999943e+01,6.407975591458020537e-01
1.138000000000000078e+01,8.149564841919159086e-01
1.140000000000000036e+01,1.019040465144995133e+00
1.141999999999999993e+01,7.055231488731988909e-01
1.143999999999999950e+01,8.994833117510557807e-01
1.146000000000000085e+01,7.029581274535606772e-01
1.148000000000000043e+01,7.276773986880946676e-01
1.150000000000000000e+01,8.061037182192736239e-01
1.151999999999999957e+01,7.651634789790558999e-01
1.153999999999999915e+01,1.042911190434083535e+00
1.156000000000000050e+01,7.280023708681711003e-01
1.158000000000000007e+01,8.505731338482742654e-01
1.159999999999999964e+01,8.662707421930444518e-01
1.162000000000000099e+01,6.592285540869313731e-01
1.164000000000000057e+01,6.403892522915393126e-01
1.166000000000000014e+01,9.037647642711522655e-01
1.167999999999999972e+01,5.721833504349750354e-01
1.169999999999999929e+01,7.184587356233103073e-01
1.172000000000000064e+01,6.974638597618696423e-01
1.174000000000000021e+01,5.175310429441591920e-01
1.175999999999999979e+01,6.030673344974966099e-01
1.177999999999999936e+01,6.228378239966246843e-01
1.180000000000000071e+01,6.901151010170679667e-01
1.182000000000000028e+01,7.224483757468624923e-01
1.183999999999999986e+01,1.077718126344900273e+00
1.185999999999999943e+01,8.223212100231939159e-01
1.188000000000000078e+01,3.983756532327241695e-01
