# 2Theta,Intensity
1.000000000000000000e+01,4.010557087941709065e-01
1.001999999999999957e+01,5.732695511730214744e-01
1.003999999999999915e+01,3.764095290898577528e-01
1.006000000000000050e+01,4.246655238449473790e-01
1.008000000000000007e+01,7.267196763487390188e-01
1.009999999999999964e+01,5.426991365366743425e-01
1.011999999999999922e+01,5.053521449503772800e-01
1.014000000000000057e+01,3.439243787767147231e-01
1.016000000000000014e+01,4.464525650720708727e-01
1.017999999999999972e+01,4.999703352945908952e-01
1.019999999999999929e+01,4.178591258357203242e-01
1.022000000000000064e+01,3.323141378627159082e-01
1.024000000000000021e+01,5.473599534031685643e-01
1.025999999999999979e+01,5.898950022990813169e-01
1.027999999999999936e+01,5.627551012724605339e-01
1.030000000000000071e+01,4.780535381272875695e-01
1.032000000000000028e+01,2.852277783518566423e-01
1.033999999999999986e+01,5.876229742084710939e-01
1.035999999999999943e+01,8.619854086442862995e-01
1.038000000000000078e+01,4.520097888976771228e-01
1.040000000000000036e+01,7.459654366254595548e-01
1.041999999999999993e+01,7.512787555819006036e-01
1.043999999999999950e+01,7.122594741357000103e-01
1.046000000000000085e+01,6.551090396916096070e-01
1.048000000000000043e+01,5.367322971452753722e-01
1.050000000000000000e+01,5.348628256339357234e-01
1.051999999999999957e+01,5.370910921993133913e-01
1.053999999999999915e+01,5.657095821637847521e-01
1.056000000000000050e+01,4.766098583180979897e-01
1.058000000000000007e+01,3.523878064373724417e-01
1.059999999999999964e+01,5.927995159165512229e-01
1.061999999999999922e+01,2.785766982134903480e-01
1.064000000000000057e+01,4.872907291925128170e-01
1.066000000000000014e+01,6.872466296910298977e-01
1.067999999999999972e+01,5.858620260813587333e-01
1.069999999999999929e+01,5.948142852947199133e-01
1.072000000000000064e+01,4.974403873918084029e-01
1.074000000000000021e+01,6.526764961973139378e-01
1.075999999999999979e+01,4.603508031534401801e-01
1.077999999999999936e+01,4.423882354352686730e-01
1.080000000000000071e+01,8.793388259586254474e-01
1.082000000000000028e+01,2.651114160737680914e-01
1.083999999999999986e+01,7.129323534576661459e-01
1.085999999999999943e+01,7.397094624480919922e-01
1.088000000000000078e+01,5.728909840393607844e-01
1.090000000000000036e+01,8.444424399359544697e-01
1.091999999999999993e+01,5.672140285590383524e-01
1.093999999999999950e+01,4.773807564227136035e-01
1.096000000000000085e+01,6.841725652442630645e-01
1.098000000000000043e+01,5.645511607391749953e-01
1.100000000000000000e+01,5.742174751781651265e-01
1.101999999999999957e+01,2.153510735572853885e-01
1.103999999999999915e+01,6.066487933815684075e-01
1.106000000000000050e+01,5.281001111113646784e-01
1.108000000000000007e+01,6.870748005140167036e-01
1.109999999999999964e+01,5.411070169022583753e-01
1.112000000000000099e+01,8.528185848443515793e-01
1.114000000000000057e+01,5.684008960489919104e-01
1.116000000000000014e+01,5.304120415638980957e-01
1.117999999999999972e+01,7.871996238537628532e-01
1.119999999999999929e+01,4.528065042625800674e-01
1.122000000000000064e+01,8.648703931530162814e-01
1.124000000000000021e+01,5.383581828070740372e-01
1.125999999999999979e+01,6.358998778526601114e-01
1.127999999999999936e+01,5.651755505041320404e-01
1.130000000000000071e+01,6.484915545824475602e-01
1.132000000000000028e+01,5.260895355550662122e-01
1.133999999999999986e+01,7.878873519514448809e-01
1.135999999999999943e+01,4.289379239810474087e-01
1.138000000000000078e+01,4.816095005147718600e-01
1.140000000000000036e+01,5.619773103437822881e-01
1.141999999999999993e+01,5.262602293895355388e-01
1.143999999999999950e+01,5.554060198013530680e-01
1.146000000000000085e+01,2.903311787273042399e-01
1.148000000000000043e+01,5.809827646191942918e-01
1.150000000000000000e+01,3.792625233081913794e-01
1.151999999999999957e+01,3.841768911032347744e-01
1.153999999999999915e+01,6.277616662824073712e-01
1.156000000000000050e+01,7.704625579106262334e-01
1.158000000000000007e+01,7.035931619888543542e-01
1.159999999999999964e+01,5.674590785149126182e-01
1.162000000000000099e+01,4.587893706540299155e-01
1.164000000000000057e+01,9.561019810240585226e-01
1.166000000000000014e+01,4.914795548688337679e-01
1.167999999999999972e+01,4.312331102014394513e-01
1.169999999999999929e+01,2.732446722615448076e-01
1.172000000000000064e+01,5.413890945228854168e-01
1.174000000000000021e+01,3.391781387160782701e-01
1.175999999999999979e+01,4.852982750816832169e-01
1.177999999999999936e+01,2.755124102437261358e-01
1.180000000000000071e+01,7.492104539976034427e-01
1.182000000000000028e+01,6.013208301818319113e-01
1.183999999999999986e+01,7.539128219650871321e-01
1.185999999999999943e+01,4.661240769427541508e-01
1.188000000000000078e+01,4.840695268627103753e-01
1.190000000000000036e+01,6.535770222169546839e-01
1.191999999999999993e+01,3.926778851381390600e-01
1.193999999999999950e+01,6.635300073597522053e-01
1.196000000000000085e+01,3.860618459732536589e-01
1.198000000000000043e+01,5.968198418116505977e-01
1.200000000000000000e+01,4.059501672002520656e-01
1.201999999999999957e+01,5.493171309388845680e-01
1.203999999999999915e+01,5.547697744877919668e-01
1.206000000000000050e+01,7.606251699489942064e-01
1.208000000000000007e+01,6.822022925503060664e-01
1.209999999999999964e+01,4.056022162672300313e-01
1.212000000000000099e+01,6.585438192803588775e-01
1.214000000000000057e+01,6.002758456787543606e-01
1.216000000000000014e+01,4.118558955985262560e-01
1.217999999999999972e+01,6.121331217765353383e-01
1.219999999999999929e+01,2.764146195237865422e-01
1.222000000000000064e+01,8.321877119379379462e-01
1.224000000000000021e+01,7.039082247040679974e-01
1.225999999999999979e+01,9.761769625668680339e-01
1.228000000000000114e+01,7.053040711030462706e-01
1.230000000000000071e+01,9.411428890148825221e-01
1.232000000000000028e+01,8.820593968469193635e-01
1.233999999999999986e+01,8.430157724635893857e-01
1.235999999999999943e+01,1.272416127940267039e+00
1.237999999999999901e+01,1.629279057472238668e+00
1.240000000000000036e+01,2.944931808100901272e+00
1.241999999999999993e+01,9.045322089331923721e+00
1.243999999999999950e+01,2.305627816348790304e+01
1.246000000000000085e+01,3.708119438119663869e+01
1.248000000000000043e+01,3.093007910549535566e+01
1.250000000000000000e+01,1.489985836924233098e+01
1.251999999999999957e+01,5.021337736182282185e+00
1.253999999999999915e+01,2.020820287376291269e+00
1.256000000000000050e+01,1.409292955769539724e+00
1.258000000000000007e+01,1.317781393428159031e+00
1.259999999999999964e+01,1.159532590728650003e+00
1.262000000000000099e+01,5.149048982085566717e-01
1.264000000000000057e+01,7.829094598539664274e-01
1.266000000000000014e+01,8.750383282383839001e-01
1.267999999999999972e+01,4.485017429019007018e-01
1.269999999999999929e+01,8.875205498916859392e-01
1.272000000000000064e+01,6.742929630931023821e-01
1.274000000000000021e+01,5.484903628314121704e-01
1.275999999999999979e+01,6.952562232015874200e-01
1.278000000000000114e+01,6.306363867768245424e-01
1.280000000000000071e+01,5.687930066084487812e-01
1.282000000000000028e+01,7.389053562183643953e-01
1.283999999999999986e+01,3.577573194369196852e-01
1.285999999999999943e+01,6.666580917223766667e-01
1.287999999999999901e+01,8.649366588996371119e-01
1.290000000000000036e+01,4.496291810197087790e-01
1.291999999999999993e+01,4.540351477686462300e-01
1.293999999999999950e+01,5.753445416671125745e-01
1.296000000000000085e+01,5.146094931396990590e-01
1.298000000000000043e+01,7.445812445065568275e-01
1.300000000000000000e+01,5.021003453047216958e-01
1.301999999999999957e+01,5.743927895016256446e-01
1.303999999999999915e+01,5.844173258331160081e-01
1.306000000000000050e+01,5.703472579338154658e-01
1.308000000000000007e+01,5.190643994535402150e-01
1.309999999999999964e+01,3.683580351088809879e-01
1.312000000000000099e+01,7.085894007605868516e-01
1.314000000000000057e+01,6.186122577177944892e-01
1.316000000000000014e+01,6.640664137819840551e-01
1.317999999999999972e+01,4.854471062691267935e-01
1.319999999999999929e+01,7.781392045122501600e-01
1.322000000000000064e+01,6.867149158657522845e-01
1.324000000000000021e+01,5.217548583477700230e-01
1.325999999999999979e+01,7.298570367189977093e-01
1.328000000000000114e+01,5.169413293111092544e-01
1.330000000000000071e+01,7.277588286899646652e-01
1.332000000000000028e+01,5.236612748720492760e-01
1.333999999999999986e+01,4.202554878630023749e-01
1.335999999999999943e+01,6.355327697127834963e-01
1.337999999999999901e+01,3.832488224440669389e-01
1.340000000000000036e+01,3.977704057034975316e-01
1.341999999999999993e+01,5.409286497528049686e-01
1.343999999999999950e+01,5.914850153387859466e-01
1.346000000000000085e+01,4.837219680708575442e-01
1.348000000000000043e+01,6.483285482297704849e-01
1.350000000000000000e+01,5.450509823406569643e-01
1.351999999999999957e+01,4.930523048296295840e-01
1.353999999999999915e+01,6.877017864526762114e-01
1.356000000000000050e+01,5.773841044948370138e-01
1.358000000000000007e+01,3.072968075981811764e-01
1.359999999999999964e+01,5.130794933720793649e-01
1.362000000000000099e+01,7.802666783641037940e-01
1.364000000000000057e+01,6.806760314789740418e-01
1.366000000000000014e+01,7.096075260445267041e-01
1.367999999999999972e+01,5.659298913318849822e-01
1.369999999999999929e+01,5.372974431291090980e-01
1.372000000000000064e+01,4.404743158935008340e-01
1.374000000000000021e+01,6.309194282982660829e-01
1.375999999999999979e+01,4.958070819694577192e-01
1.378000000000000114e+01,5.182782691870078118e-01
1.380000000000000071e+01,7.222831849603259524e-01
1.382000000000000028e+01,6.559543944558268169e-01
1.383999999999999986e+01,4.585566637412648028e-01
1.385999999999999943e+01,2.746376884922608896e-01
1.387999999999999901e+01,2.451874776867364880e-01
1.390000000000000036e+01,3.927087142077297921e-01
1.391999999999999993e+01,4.538771840134141478e-01
1.393999999999999950e+01,4.701699707483548707e-01
1.396000000000000085e+01,5.103176434512788351e-01
1.398000000000000043e+01,5.302405058906742852e-01
1.400000000000000000e+01,5.161548179205718290e-01
1.401999999999999957e+01,3.859647062970940623e-01
1.403999999999999915e+01,5.862311784917936253e-01
1.406000000000000050e+01,4.226522434117205851e-01
1.408000000000000007e+01,3.899885908404939205e-01
1.409999999999999964e+01,4.168302044305194354e-01
1.412000000000000099e+01,3.713229173128654859e-01
1.414000000000000057e+01,2.863442240750069256e-01
1.416000000000000014e+01,6.086181840362490103e-01
1.417999999999999972e+01,4.243687817981992572e-01
1.419999999999999929e+01,3.976778767643496804e-01
1.421999999999999886e+01,6.311044764719000444e-01
1.424000000000000021e+01,3.164436752274774611e-01
1.425999999999999979e+01,6.157457779483770377e-01
1.428000000000000114e+01,5.612915039580803622e-01
1.430000000000000071e+01,6.391715725629277811e-01
1.432000000000000028e+01,6.317695973480775828e-01
1.433999999999999986e+01,2.960376026104889480e-01
1.435999999999999943e+01,8.868272080174783856e-01
1.437999999999999901e+01,4.952411592825212150e-01
1.440000000000000036e+01,7.571321003694387874e-01
1.441999999999999993e+01,4.532013073209831822e-01
1.444000000000000128e+01,7.245814431907529052e-01
1.446000000000000085e+01,4.746473361389030865e-01
1.448000000000000043e+01,3.962879941962971775e-01
1.450000000000000000e+01,8.439287493999313439e-01
1.451999999999999957e+01,5.745334705215929816e-01
1.453999999999999915e+01,5.722282927587479806e-01
1.456000000000000050e+01,5.052508940986775166e-01
1.458000000000000007e+01,7.777176359462383282e-01
1.460000000000000142e+01,7.370285908367523175e-01
1.462000000000000099e+01,7.112640594421240081e-01
1.464000000000000057e+01,4.527842276353999384e-01
1.466000000000000014e+01,3.878245250152033141e-01
1.467999999999999972e+01,6.688322024879767014e-01
1.469999999999999929e+01,5.953381165632366523e-01
1.471999999999999886e+01,6.262629647878192873e-01
1.474000000000000021e+01,4.502354812908441195e-01
1.475999999999999979e+01,5.965931821761688569e-01
1.478000000000000114e+01,5.139833752421867352e-01
1.480000000000000071e+01,5.428375867279658928e-01
1.482000000000000028e+01,6.497893473606433101e-01
1.483999999999999986e+01,3.176958973665793828e-01
1.485999999999999943e+01,4.668624167457582352e-01
1.487999999999999901e+01,4.066700191037720957e-01
1.490000000000000036e+01,4.257036147444204222e-01
1.491999999999999993e+01,4.490974643502840258e-01
1.494000000000000128e+01,6.467830813857012862e-01
1.496000000000000085e+01,4.734207784061633117e-01
1.498000000000000043e+01,2.852724493284696794e-01
1.500000000000000000e+01,7.478509779091715437e-01
1.501999999999999957e+01,7.893047810027751243e-01
1.503999999999999915e+01,4.936995500962884642e-01
1.506000000000000050e+01,6.030775898570064353e-01
1.508000000000000007e+01,3.567504690812644541e-01
1.510000000000000142e+01,4.957811171546951390e-01
1.512000000000000099e+01,4.753021969770092614e-01
1.514000000000000057e+01,4.612298262347619415e-01
1.516000000000000014e+01,5.995512099139418405e-01
1.517999999999999972e+01,4.000680651500662655e-01
1.519999999999999929e+01,3.991097820403963214e-01
1.521999999999999886e+01,7.466948684478177389e-01
1.524000000000000021e+01,3.375552834001263602e-01
1.525999999999999979e+01,4.811008364822557115e-01
1.528000000000000114e+01,5.200621949652581844e-01
1.530000000000000071e+01,8.264886632499677255e-01
1.532000000000000028e+01,5.349178858943011150e-01
1.533999999999999986e+01,6.211216646955313170e-01
1.535999999999999943e+01,6.873040384815043424e-01
1.537999999999999901e+01,5.335666431048653457e-01
1.540000000000000036e+01,2.897423702800323020e-01
1.541999999999999993e+01,2.987835389957657073e-01
1.544000000000000128e+01,5.195206956877976845e-01
1.546000000000000085e+01,4.888620099600626268e-01
1.548000000000000043e+01,5.122542253162029047e-01
1.550000000000000000e+01,6.124531839359668162e-01
1.551999999999999957e+01,5.130278297414790911e-01
1.553999999999999915e+01,4.222729229042876398e-01
1.556000000000000050e+01,8.019411366457552814e-01
1.558000000000000007e+01,7.691498018454632213e-01
1.560000000000000142e+01,5.069816774618751687e-01
1.562000000000000099e+01,5.295551590468733361e-01
1.564000000000000057e+01,4.692393645926673518e-01
1.566000000000000014e+01,6.959431010993790689e-01
1.567999999999999972e+01,7.342928203645907592e-01
1.569999999999999929e+01,7.537840668506261554e-01
1.571999999999999886e+01,3.843174904780654599e-01
1.574000000000000021e+01,4.165436160313275571e-01
1.575999999999999979e+01,6.415968750873105586e-01
1.578000000000000114e+01,7.605317081860869521e-01
1.580000000000000071e+01,4.091204563331685140e-01
1.582000000000000028e+01,5.860042587381526502e-01
1.583999999999999986e+01,6.902509114313337690e-01
1.585999999999999943e+01,5.254567989014570228e-01
1.587999999999999901e+01,5.686145879994919383e-01
1.590000000000000036e+01,7.471731700098978024e-01
1.591999999999999993e+01,3.516848900677063683e-01
1.594000000000000128e+01,3.982273821038707085e-01
1.596000000000000085e+01,7.847556593085924792e-01
1.598000000000000043e+01,6.240784631633361501e-01
1.600000000000000000e+01,6.105411003646865620e-01
1.601999999999999957e+01,6.157978305897932048e-01
1.603999999999999915e+01,5.689468987663475197e-01
1.606000000000000227e+01,4.800910435639730300e-01
1.607999999999999829e+01,7.747439013117849438e-01
1.610000000000000142e+01,3.613710012606181077e-01
1.612000000000000099e+01,4.406366660520787404e-01
1.614000000000000057e+01,4.254121592301809418e-01
1.616000000000000014e+01,6.922199612160441218e-01
1.617999999999999972e+01,4.844505253540369316e-01
1.619999999999999929e+01,6.541548325218285997e-01
1.621999999999999886e+01,4.110705465571540818e-01
1.624000000000000199e+01,4.767668231195992812e-01
1.625999999999999801e+01,4.517152235479891531e-01
1.628000000000000114e+01,3.024692403072438696e-01
1.630000000000000071e+01,6.357823658686938550e-01
1.632000000000000028e+01,6.800307967147277699e-01
1.633999999999999986e+01,5.042216208992190696e-01
1.635999999999999943e+01,5.778784173615993947e-01
1.637999999999999901e+01,5.202951221972532680e-01
