# 2Theta,Intensity
1.000000000000000000e+01,4.020471462184944944e-02
1.001999999999999957e+01,3.879914337804507563e-01
1.003999999999999915e+01,4.912422823232007879e-02
1.006000000000000050e+01,1.066234750603609754e-01
1.008000000000000007e+01,-4.002022732218032258e-02
1.009999999999999964e+01,3.659990713541669272e-01
1.011999999999999922e+01,9.406343782921894325e-02
1.014000000000000057e+01,1.681986549407812614e-01
1.016000000000000014e+01,2.730159683153748906e-01
1.017999999999999972e+01,-4.643773797441762274e-02
1.019999999999999929e+01,1.930373297024948476e-01
1.022000000000000064e+01,1.913900546365305266e-01
1.024000000000000021e+01,-8.674132174212341451e-02
1.025999999999999979e+01,2.769131383662333801e-01
1.027999999999999936e+01,3.510125182617253314e-02
1.030000000000000071e+01,5.657317175420571026e-02
1.032000000000000028e+01,1.582574657578295352e-01
1.033999999999999986e+01,1.552759369869290973e-01
1.035999999999999943e+01,4.436465705710707780e-02
1.038000000000000078e+01,-1.435608267735443040e-02
1.040000000000000036e+01,6.677635511567293902e-02
1.041999999999999993e+01,1.769732734831692966e-01
1.043999999999999950e+01,2.181397392875369934e-02
1.046000000000000085e+01,2.905522118216202210e-01
1.048000000000000043e+01,2.785264765763027506e-01
1.050000000000000000e+01,1.634713971096779794e-01
1.051999999999999957e+01,3.899418034390975119e-02
1.053999999999999915e+01,7.313111515614316438e-02
1.056000000000000050e+01,1.309653898849588161e-01
1.058000000000000007e+01,2.470846311353839808e-01
1.059999999999999964e+01,1.097760516991655617e-02
1.061999999999999922e+01,5.694901289087294510e-02
1.064000000000000057e+01,2.259636522558396976e-01
1.066000000000000014e+01,9.882543727911961839e-02
1.067999999999999972e+01,2.489583234183302685e-01
1.069999999999999929e+01,2.491063656237237356e-01
1.072000000000000064e+01,9.699317451443915938e-02
1.074000000000000021e+01,2.366388377411166311e-01
1.075999999999999979e+01,1.046606826816460188e-02
1.077999999999999936e+01,5.701947813434259105e-02
1.080000000000000071e+01,3.135379262976537018e-02
1.082000000000000028e+01,1.019592447692739545e-01
1.083999999999999986e+01,1.439936842069559075e-01
1.085999999999999943e+01,2.105503098406972529e-01
1.088000000000000078e+01,2.149673757433623600e-01
1.090000000000000036e+01,8.725424002092500506e-03
1.091999999999999993e+01,1.781680660184850884e-01
1.093999999999999950e+01,2.217049264921997220e-01
1.096000000000000085e+01,-2.559008215043527545e-02
1.098000000000000043e+01,1.064961977949024363e-01
1.100000000000000000e+01,7.730249234875538611e-02
1.101999999999999957e+01,-1.249275701439367531e-01
1.103999999999999915e+01,1.375884662002227199e-01
1.106000000000000050e+01,3.145887019803484952e-01
1.108000000000000007e+01,-3.575836923600241718e-02
1.109999999999999964e+01,-2.250057301855247840e-02
1.112000000000000099e+01,4.406557040738923181e-02
1.114000000000000057e+01,2.595663857730839963e-01
1.116000000000000014e+01,1.840562206856785343e-01
1.117999999999999972e+01,-6.984466451648710383e-02
1.119999999999999929e+01,1.403573729199139863e-01
1.122000000000000064e+01,1.217032010179536078e-01
1.124000000000000021e+01,3.849954172475730102e-02
1.125999999999999979e+01,3.707158317338579701e-02
1.127999999999999936e+01,1.498474657445245627e-02
1.130000000000000071e+01,1.526423235421265623e-01
1.132000000000000028e+01,1.882774975777755100e-01
