# 2Theta,Intensity
1.000000000000000000e+01,2.444673155709923273e-01
1.001999999999999957e+01,5.781739253450673965e-01
1.003999999999999915e+01,2.165243038672478304e-01
1.006000000000000050e+01,3.398174340736794807e-01
1.008000000000000007e+01,3.336245248693134879e-01
1.009999999999999964e+01,2.575606649361621980e-01
1.011999999999999922e+01,2.058333896108955063e-01
1.014000000000000057e+01,1.173565144250351411e-01
1.016000000000000014e+01,2.221220432546095191e-01
1.017999999999999972e+01,3.831715559808082650e-01
1.019999999999999929e+01,1.959047353584055309e-02
1.022000000000000064e+01,4.328713465880241751e-01
1.024000000000000021e+01,3.092154707046961826e-01
1.025999999999999979e+01,1.257853699493172162e-01
1.027999999999999936e+01,2.558919690796505053e-01
1.030000000000000071e+01,3.884163168399620281e-01
1.032000000000000028e+01,2.030114176230638223e-01
1.033999999999999986e+01,6.169566993959608309e-02
1.035999999999999943e+01,7.380081216819224174e-03
1.038000000000000078e+01,-2.584870930265446235e-03
1.040000000000000036e+01,1.951628602448503280e-01
1.041999999999999993e+01,2.116046481852218719e-01
1.043999999999999950e+01,2.618475158829680627e-01
1.046000000000000085e+01,3.568774033354517039e-01
1.048000000000000043e+01,3.782882021041705789e-01
1.050000000000000000e+01,1.185164950934964045e-01
1.051999999999999957e+01,1.186178402466989412e-01
1.053999999999999915e+01,4.114034477237960008e-01
1.056000000000000050e+01,5.385844912423609632e-01
1.058000000000000007e+01,2.318817185700904338e-01
1.059999999999999964e+01,3.001713701749800234e-01
1.061999999999999922e+01,3.067031267846841991e-01
1.064000000000000057e+01,1.466513362333187465e-01
1.066000000000000014e+01,1.706074832578730605e-01
1.067999999999999972e+01,2.604906537376915909e-01
1.069999999999999929e+01,3.218920012490485427e-01
1.072000000000000064e+01,1.731061714660648565e-01
1.074000000000000021e+01,2.361564593969987247e-01
1.075999999999999979e+01,3.527061953151539031e-01
1.077999999999999936e+01,3.386985915159715921e-01
1.080000000000000071e+01,3.322583852859529729e-01
