# 2Theta,Intensity
1.000000000000000000e+01,8.151094988016875931e-01
1.001999999999999957e+01,5.029602128651406989e-01
1.003999999999999915e+01,4.372211647101430509e-01
1.006000000000000050e+01,6.044091276023279002e-01
1.008000000000000007e+01,1.876129415280292367e-01
1.009999999999999964e+01,4.797391211968997649e-01
1.011999999999999922e+01,5.323760258632542763e-01
1.014000000000000057e+01,4.040080323261707740e-01
1.016000000000000014e+01,5.279596786002130893e-01
1.017999999999999972e+01,3.799160367113532666e-01
1.019999999999999929e+01,5.631420486439845385e-01
1.022000000000000064e+01,4.969820374539695718e-01
1.024000000000000021e+01,2.841923213214698207e-01
1.025999999999999979e+01,4.922563335116657002e-01
1.027999999999999936e+01,3.812935256521843841e-01
1.030000000000000071e+01,3.588751690222971025e-01
1.032000000000000028e+01,3.299144310535630509e-01
1.033999999999999986e+01,3.087295843093294523e-01
1.035999999999999943e+01,4.901008118798766966e-01
1.038000000000000078e+01,5.284750568806078075e-01
1.040000000000000036e+01,4.224511940635623519e-01
1.041999999999999993e+01,5.352387993807178335e-01
1.043999999999999950e+01,2.719151361090172969e-01
1.046000000000000085e+01,5.723610010019475336e-01
1.048000000000000043e+01,2.278394531764430520e-01
1.050000000000000000e+01,5.418920828121599476e-01
1.051999999999999957e+01,5.362366434704236573e-01
1.053999999999999915e+01,3.132292870636643189e-01
1.056000000000000050e+01,6.419153933463231931e-01
1.058000000000000007e+01,6.468917424523278337e-01
1.059999999999999964e+01,6.751755594232886626e-01
1.061999999999999922e+01,3.171868463674851202e-01
1.064000000000000057e+01,2.655527228913621696e-01
1.066000000000000014e+01,4.718107914005025272e-01
1.067999999999999972e+01,2.991091920212211597e-01
1.069999999999999929e+01,2.638379659769793939e-01
1.072000000000000064e+01,4.199742609962145989e-01
1.074000000000000021e+01,4.059664227336040598e-01
1.075999999999999979e+01,4.109497875594740890e-01
1.077999999999999936e+01,4.103776957368878708e-01
1.080000000000000071e+01,2.387041526032105399e-01
1.082000000000000028e+01,4.853097538115142551e-01
1.083999999999999986e+01,6.176073963390793509e-01
1.085999999999999943e+01,1.697983777917349002e-01
1.088000000000000078e+01,2.654457720090918627e-01
1.090000000000000036e+01,3.492565786327038180e-01
1.091999999999999993e+01,3.182798145479852625e-01
1.093999999999999950e+01,4.581866660783135425e-01
1.096000000000000085e+01,4.132216464052417271e-01
1.098000000000000043e+01,6.273032477124922401e-01
1.100000000000000000e+01,4.098461081485447188e-01
1.101999999999999957e+01,4.587255491043341626e-01
1.103999999999999915e+01,6.603328842642133267e-01
1.106000000000000050e+01,3.874402411543747538e-01
1.108000000000000007e+01,3.667166198811639410e-01
1.109999999999999964e+01,3.827172914930815351e-01
1.112000000000000099e+01,3.354678590939914051e-01
1.114000000000000057e+01,3.876072798350184700e-01
1.116000000000000014e+01,5.450049647955624854e-01
1.117999999999999972e+01,5.722707873859148586e-01
1.119999999999999929e+01,3.446118444123422719e-01
1.122000000000000064e+01,1.959716881842620551e-01
1.124000000000000021e+01,6.955072245654009278e-01
1.125999999999999979e+01,2.039678480500132784e-01
1.127999999999999936e+01,2.532515372788088359e-01
1.130000000000000071e+01,5.764944596776960806e-01
1.132000000000000028e+01,5.572058003054809472e-01
1.133999999999999986e+01,5.669797475595267366e-01
1.135999999999999943e+01,4.848075795944387090e-01
1.138000000000000078e+01,3.640447702214019143e-01
1.140000000000000036e+01,3.175671954557300891e-01
1.141999999999999993e+01,5.233326815745632521e-01
1.143999999999999950e+01,3.120935807052619415e-01
1.146000000000000085e+01,4.966054769205461850e-01
1.148000000000000043e+01,4.174637110205980939e-01
1.150000000000000000e+01,8.142160457535734253e-01
1.151999999999999957e+01,4.121772192777211075e-01
1.153999999999999915e+01,3.233386611936162058e-01
1.156000000000000050e+01,3.386521268960762665e-02
1.158000000000000007e+01,4.438883927965037723e-01
1.159999999999999964e+01,4.745762243518490964e-01
1.162000000000000099e+01,2.881578604678117772e-01
1.164000000000000057e+01,4.106725366278169420e-01
1.166000000000000014e+01,1.623681954289239449e-01
1.167999999999999972e+01,5.363861454292235820e-01
1.169999999999999929e+01,4.623155094437565449e-01
1.172000000000000064e+01,4.643955381494500045e-01
1.174000000000000021e+01,3.573439757893341340e-01
1.175999999999999979e+01,4.916179634895769257e-01
1.177999999999999936e+01,5.206864488385848366e-01
1.180000000000000071e+01,4.444985668852795557e-01
1.182000000000000028e+01,4.978727893992739850e-01
1.183999999999999986e+01,4.612391767834449485e-01
1.185999999999999943e+01,2.783713640917525600e-01
1.188000000000000078e+01,2.521718573554236897e-01
1.190000000000000036e+01,2.454716474652951508e-01
1.191999999999999993e+01,5.569059240572203917e-01
1.193999999999999950e+01,4.423534114734500311e-01
1.196000000000000085e+01,3.991545910041659484e-01
1.198000000000000043e+01,5.967352987399534570e-01
1.200000000000000000e+01,3.827035205096112058e-01
1.201999999999999957e+01,4.888190394086723845e-01
1.203999999999999915e+01,6.072217851975479919e-01
1.206000000000000050e+01,2.508695345136481292e-01
1.208000000000000007e+01,5.924311209318247062e-01
1.209999999999999964e+01,4.107307206357262430e-01
1.212000000000000099e+01,4.906118734202205012e-01
1.214000000000000057e+01,1.613313805487423813e-01
1.216000000000000014e+01,1.961840634793926841e-01
1.217999999999999972e+01,4.960859815972446518e-01
1.219999999999999929e+01,5.873809482795701031e-01
1.222000000000000064e+01,3.933222542815472123e-01
1.224000000000000021e+01,5.166836676293246056e-01
1.225999999999999979e+01,6.320770994038527046e-01
1.228000000000000114e+01,1.615987085035695547e-01
1.230000000000000071e+01,4.852038141978512464e-01
1.232000000000000028e+01,4.048559463613762288e-01
1.233999999999999986e+01,1.719706294505159161e-01
1.235999999999999943e+01,1.016969213205099615e-01
1.237999999999999901e+01,3.178289588675374810e-01
1.240000000000000036e+01,5.333408947113728038e-01
1.241999999999999993e+01,5.864215962533291249e-01
1.243999999999999950e+01,3.355735820418098148e-01
1.246000000000000085e+01,3.542401873784242206e-01
1.248000000000000043e+01,5.762351535932112023e-01
1.250000000000000000e+01,3.931031759991042707e-01
1.251999999999999957e+01,5.401413871864407801e-01
1.253999999999999915e+01,4.446301918458201441e-01
1.256000000000000050e+01,4.289697945270096735e-01
1.258000000000000007e+01,3.063979592863268486e-01
1.259999999999999964e+01,4.099018584094648587e-01
1.262000000000000099e+01,4.780470708093744192e-01
1.264000000000000057e+01,4.275527966555308090e-01
1.266000000000000014e+01,4.179873022954198047e-01
1.267999999999999972e+01,4.967287829453145842e-01
1.269999999999999929e+01,4.813019521996533823e-01
1.272000000000000064e+01,4.303873567270202760e-01
1.274000000000000021e+01,3.797112427359713993e-01
1.275999999999999979e+01,3.444777992602229832e-01
1.278000000000000114e+01,3.137244254528805953e-01
1.280000000000000071e+01,5.259161356023603906e-01
1.282000000000000028e+01,4.341211268502468967e-01
1.283999999999999986e+01,5.121269731272498626e-01
1.285999999999999943e+01,3.010964487760730557e-01
1.287999999999999901e+01,3.422281985937390969e-01
1.290000000000000036e+01,1.081354223172716900e-01
1.291999999999999993e+01,4.317163359271982692e-01
1.293999999999999950e+01,4.536835350060153260e-01
1.296000000000000085e+01,1.518386354022081552e-01
1.298000000000000043e+01,2.800218519733611577e-01
1.300000000000000000e+01,2.097806570883682942e-01
1.301999999999999957e+01,3.073527066280440923e-01
1.303999999999999915e+01,5.887675626975028553e-01
1.306000000000000050e+01,5.552807455887441845e-01
1.308000000000000007e+01,6.240898722789721687e-01
1.309999999999999964e+01,4.761972126000650896e-01
1.312000000000000099e+01,4.416787619718464120e-01
1.314000000000000057e+01,4.560925236997411814e-01
1.316000000000000014e+01,5.873534370319792863e-01
1.317999999999999972e+01,6.258501496238959572e-01
1.319999999999999929e+01,1.800100941586586789e-01
1.322000000000000064e+01,5.869213501736042504e-01
1.324000000000000021e+01,2.967780333735127729e-01
1.325999999999999979e+01,4.471294835202260232e-01
1.328000000000000114e+01,4.756100045090122519e-01
1.330000000000000071e+01,2.344306650486550347e-01
1.332000000000000028e+01,3.446370525382036476e-01
1.333999999999999986e+01,3.294307030211008902e-01
1.335999999999999943e+01,4.575133685048388132e-01
1.337999999999999901e+01,3.562485821366691008e-01
1.340000000000000036e+01,5.967767146916900245e-01
1.341999999999999993e+01,3.664621325297963694e-01
1.343999999999999950e+01,3.327278458565163799e-01
1.346000000000000085e+01,2.645737613172815528e-01
1.348000000000000043e+01,4.909439610990221636e-01
1.350000000000000000e+01,5.314608645051981384e-01
1.351999999999999957e+01,2.478169847984037777e-01
1.353999999999999915e+01,4.292830509748886136e-01
1.356000000000000050e+01,5.920502164649406041e-01
1.358000000000000007e+01,2.429746822135110951e-01
1.359999999999999964e+01,5.269639459555575112e-01
1.362000000000000099e+01,4.095400792092489528e-01
1.364000000000000057e+01,5.172754918891886433e-01
1.366000000000000014e+01,1.469337268679083708e-01
1.367999999999999972e+01,4.277807829018818730e-01
1.369999999999999929e+01,4.825669481152827789e-01
1.372000000000000064e+01,5.965870196829503591e-01
1.374000000000000021e+01,5.283327482843960254e-01
1.375999999999999979e+01,6.170037742186423868e-01
1.378000000000000114e+01,2.688815956724840972e-01
1.380000000000000071e+01,5.755074933806016979e-01
1.382000000000000028e+01,3.856827523674327129e-01
1.383999999999999986e+01,2.573155910561789605e-01
1.385999999999999943e+01,4.166780647709261154e-01
1.387999999999999901e+01,3.037006718197349797e-01
1.390000000000000036e+01,4.466517599558389451e-01
1.391999999999999993e+01,5.070924922009700797e-01
1.393999999999999950e+01,3.614434158957784415e-01
1.396000000000000085e+01,2.909494255427422238e-01
1.398000000000000043e+01,2.884148041650703709e-01
1.400000000000000000e+01,2.815580742258212421e-01
1.401999999999999957e+01,4.315865875686744069e-01
1.403999999999999915e+01,3.348225791352873459e-01
1.406000000000000050e+01,3.164805074477761160e-01
