# 2Theta,Intensity
1.000000000000000000e+01,1.470340743887985913e-01
1.001999999999999957e+01,1.413528608349107207e-01
1.003999999999999915e+01,1.121377794404484485e-01
1.006000000000000050e+01,2.203285396242107286e-01
1.008000000000000007e+01,4.050285984182473986e-01
1.009999999999999964e+01,2.336578710658830105e-01
1.011999999999999922e+01,2.336373440087091413e-01
1.014000000000000057e+01,6.901085102100824875e-02
1.016000000000000014e+01,1.568093607620063556e-02
1.017999999999999972e+01,-1.028627927398188292e-02
1.019999999999999929e+01,-6.119365928573180895e-03
1.022000000000000064e+01,2.196497091298194593e-01
1.024000000000000021e+01,1.797537597235694118e-01
1.025999999999999979e+01,-4.876596523484514820e-03
1.027999999999999936e+01,2.155918464976691873e-01
1.030000000000000071e+01,8.459519169399401517e-02
1.032000000000000028e+01,2.768562683239570998e-01
1.033999999999999986e+01,3.445179384903382380e-02
1.035999999999999943e+01,5.115501208914398357e-02
1.038000000000000078e+01,3.350253380907723955e-01
1.040000000000000036e+01,2.349148200129973496e-01
1.041999999999999993e+01,1.850932895269100931e-01
1.043999999999999950e+01,2.953222492515381603e-01
1.046000000000000085e+01,9.887519217485431222e-02
1.048000000000000043e+01,2.930774907687324626e-01
1.050000000000000000e+01,2.006154000615593402e-01
1.051999999999999957e+01,1.229509596860251658e-01
1.053999999999999915e+01,2.017349612110159729e-01
1.056000000000000050e+01,3.843159501795682664e-01
1.058000000000000007e+01,2.963578464544503466e-01
1.059999999999999964e+01,1.380074350449554677e-01
1.061999999999999922e+01,1.989064761697873288e-02
1.064000000000000057e+01,2.388363794848283594e-01
1.066000000000000014e+01,1.778624565286813231e-01
1.067999999999999972e+01,-2.584682361254158137e-02
1.069999999999999929e+01,2.279213744252225806e-03
1.072000000000000064e+01,3.528573738156562944e-01
1.074000000000000021e+01,1.240541127290513135e-01
1.075999999999999979e+01,2.032293532973122874e-01
1.077999999999999936e+01,2.934494220608222514e-01
1.080000000000000071e+01,4.983111680296286594e-01
1.082000000000000028e+01,5.450542420155323198e-01
1.083999999999999986e+01,1.857757789768112455e-01
1.085999999999999943e+01,2.280807694551637288e-01
1.088000000000000078e+01,2.674509837629452935e-01
1.090000000000000036e+01,2.723788558271766913e-01
1.091999999999999993e+01,1.515079667762018190e-01
1.093999999999999950e+01,1.461526713925391519e-01
1.096000000000000085e+01,2.659028127798637176e-01
1.098000000000000043e+01,3.010376964978768444e-02
1.100000000000000000e+01,-4.562749753887810310e-03
1.101999999999999957e+01,1.638895068372176744e-01
1.103999999999999915e+01,1.171903239719776363e-01
1.106000000000000050e+01,7.891409491072917670e-02
1.108000000000000007e+01,-8.810156045082000826e-04
1.109999999999999964e+01,1.395703645969448015e-01
1.112000000000000099e+01,-5.908486464898540097e-02
1.114000000000000057e+01,-7.899727980672160976e-02
1.116000000000000014e+01,3.806125694981661867e-01
1.117999999999999972e+01,3.139310841039348876e-01
1.119999999999999929e+01,1.057964220714795872e-01
1.122000000000000064e+01,7.183105173669712684e-02
1.124000000000000021e+01,2.733035499516869860e-01
1.125999999999999979e+01,1.572058034865639331e-01
1.127999999999999936e+01,1.772507403293215600e-01
1.130000000000000071e+01,1.021439951360914380e-02
1.132000000000000028e+01,2.206137759000286191e-01
1.133999999999999986e+01,4.009229487876416753e-01
1.135999999999999943e+01,2.413018175338909610e-01
1.138000000000000078e+01,1.284337978377765588e-01
1.140000000000000036e+01,2.301086710490279907e-01
1.141999999999999993e+01,-3.878122074242811718e-02
1.143999999999999950e+01,-1.126833532567438484e-01
1.146000000000000085e+01,1.099437903204496664e-01
1.148000000000000043e+01,4.044581948696869267e-01
1.150000000000000000e+01,1.780436565091123302e-01
1.151999999999999957e+01,1.561560348503029383e-01
1.153999999999999915e+01,2.498159892778415714e-01
1.156000000000000050e+01,1.405472011269612645e-02
1.158000000000000007e+01,3.085144736133613730e-01
1.159999999999999964e+01,1.521323914511235331e-01
1.162000000000000099e+01,2.526076800744971873e-01
1.164000000000000057e+01,1.620878515364037320e-01
1.166000000000000014e+01,1.693581893491492574e-01
1.167999999999999972e+01,1.039305484974385047e-02
1.169999999999999929e+01,-3.624909976863112393e-02
1.172000000000000064e+01,2.824784061221873727e-02
1.174000000000000021e+01,3.510035419284655012e-01
1.175999999999999979e+01,1.217286751484054630e-01
1.177999999999999936e+01,-1.403727313476999250e-01
1.180000000000000071e+01,2.475821805927529984e-01
1.182000000000000028e+01,5.568413458376500480e-02
1.183999999999999986e+01,1.440402819192986572e-01
1.185999999999999943e+01,1.542240309391957054e-01
1.188000000000000078e+01,-2.895862038120571025e-02
1.190000000000000036e+01,3.113985835622306696e-03
1.191999999999999993e+01,3.312500218597443924e-01
1.193999999999999950e+01,3.473923488183816577e-01
1.196000000000000085e+01,6.187882403023285682e-02
1.198000000000000043e+01,5.102481507710306813e-02
1.200000000000000000e+01,2.211187366278096755e-01
1.201999999999999957e+01,3.012745758563857290e-01
1.203999999999999915e+01,-2.338579802417889777e-02
1.206000000000000050e+01,4.888070119402281311e-01
1.208000000000000007e+01,-9.720296797519813875e-03
1.209999999999999964e+01,2.554192526377316863e-01
1.212000000000000099e+01,6.065608067698066014e-03
1.214000000000000057e+01,2.114947064141940170e-01
1.216000000000000014e+01,-1.801769354024676181e-02
1.217999999999999972e+01,1.114666924550362509e-01
1.219999999999999929e+01,2.768109230566282997e-01
1.222000000000000064e+01,3.456101965434068002e-01
1.224000000000000021e+01,1.204586559978854804e-01
1.225999999999999979e+01,9.037918617707767222e-02
1.228000000000000114e+01,3.647919219902568955e-01
1.230000000000000071e+01,8.741862546941618628e-02
1.232000000000000028e+01,7.482343648661134161e-02
1.233999999999999986e+01,2.727994792320106998e-01
1.235999999999999943e+01,1.791727406265709865e-01
1.237999999999999901e+01,2.145869193247327833e-01
1.240000000000000036e+01,2.836282628429766528e-01
1.241999999999999993e+01,1.299862254132223283e-01
1.243999999999999950e+01,4.308918786516116595e-02
1.246000000000000085e+01,3.724240087609365091e-01
1.248000000000000043e+01,4.847132570735902812e-02
1.250000000000000000e+01,2.115276307179205784e-01
1.251999999999999957e+01,3.575849378521492317e-02
1.253999999999999915e+01,3.539496235043010919e-01
1.256000000000000050e+01,1.768257537098721632e-01
1.258000000000000007e+01,1.101252461576456981e-01
1.259999999999999964e+01,2.670624435552850229e-01
1.262000000000000099e+01,2.334330107548245881e-01
1.264000000000000057e+01,1.415597306548997680e-01
1.266000000000000014e+01,3.581006696103704590e-01
1.267999999999999972e+01,-7.044786882405516815e-02
1.269999999999999929e+01,1.821949730248093313e-01
1.272000000000000064e+01,1.256806377316081191e-01
1.274000000000000021e+01,2.703401293516292658e-01
1.275999999999999979e+01,5.621418690878073054e-02
1.278000000000000114e+01,3.189717846559373404e-01
1.280000000000000071e+01,2.111356122579365058e-01
1.282000000000000028e+01,8.661182299565550746e-02
1.283999999999999986e+01,8.340493641293028615e-02
1.285999999999999943e+01,2.359049500556835710e-01
1.287999999999999901e+01,1.275702249547100431e-01
1.290000000000000036e+01,-6.288427600889667790e-02
1.291999999999999993e+01,2.541585064244813452e-01
1.293999999999999950e+01,2.439804705487175485e-01
1.296000000000000085e+01,3.821796016864176804e-01
1.298000000000000043e+01,1.660042223115813786e-01
1.300000000000000000e+01,6.169620379345690936e-02
1.301999999999999957e+01,3.354265831791056196e-01
1.303999999999999915e+01,1.253290354136110119e-01
1.306000000000000050e+01,-6.282420552736980857e-02
1.308000000000000007e+01,2.189661464087798992e-01
1.309999999999999964e+01,1.736401121461103314e-01
1.312000000000000099e+01,2.448068427900220445e-01
1.314000000000000057e+01,1.843551368595189310e-01
1.316000000000000014e+01,1.923190825530317061e-01
1.317999999999999972e+01,1.828235499279288190e-01
1.319999999999999929e+01,1.386359967622247391e-01
1.322000000000000064e+01,1.995417048555886141e-01
1.324000000000000021e+01,-8.920184903270636512e-03
1.325999999999999979e+01,2.025384177480534509e-01
1.328000000000000114e+01,1.575740126872045288e-01
1.330000000000000071e+01,1.031403351635504506e-01
1.332000000000000028e+01,-2.910866954285598260e-02
1.333999999999999986e+01,1.819245361761129831e-01
1.335999999999999943e+01,1.066542374629523976e-01
1.337999999999999901e+01,2.157196498945175289e-01
1.340000000000000036e+01,1.150918048156116397e-01
1.341999999999999993e+01,2.573571494657615477e-01
1.343999999999999950e+01,1.689801487839854080e-02
1.346000000000000085e+01,-1.324669503948711358e-01
1.348000000000000043e+01,4.897284869384656986e-02
1.350000000000000000e+01,5.289552650690869384e-02
1.351999999999999957e+01,6.133525009482224122e-02
1.353999999999999915e+01,6.546991035757361577e-02
1.356000000000000050e+01,-5.709169398017605729e-02
1.358000000000000007e+01,3.377205424343943663e-01
1.359999999999999964e+01,2.779015681957440753e-01
1.362000000000000099e+01,1.527399688634106800e-01
1.364000000000000057e+01,3.239053272090862690e-01
1.366000000000000014e+01,-5.938881001510356444e-02
1.367999999999999972e+01,1.436627393540767794e-01
1.369999999999999929e+01,-4.184148845709881326e-02
1.372000000000000064e+01,1.189159223447034536e-01
1.374000000000000021e+01,1.681620706067486481e-01
1.375999999999999979e+01,2.400779442028869726e-01
1.378000000000000114e+01,1.399167421257133392e-01
1.380000000000000071e+01,1.643073868444384633e-01
1.382000000000000028e+01,1.506296252266546842e-01
1.383999999999999986e+01,9.542363601693233666e-02
1.385999999999999943e+01,1.877030314429171398e-01
1.387999999999999901e+01,4.004039126019300066e-02
1.390000000000000036e+01,1.160532026384029219e-01
1.391999999999999993e+01,3.127273787978575026e-01
1.393999999999999950e+01,2.577280612374405200e-01
1.396000000000000085e+01,6.493736902659141830e-02
1.398000000000000043e+01,1.738037864296365365e-01
1.400000000000000000e+01,1.087004333059405775e-01
1.401999999999999957e+01,-1.719140703122593872e-01
1.403999999999999915e+01,1.948527057809373297e-01
1.406000000000000050e+01,2.071949996880751155e-01
