# 2Theta,Intensity
1.000000000000000000e+01,9.770407105358816513e-02
1.001999999999999957e+01,1.223391509268185878e-01
1.003999999999999915e+01,2.553225792758243018e-01
1.006000000000000050e+01,-1.213580597910381923e-03
1.008000000000000007e+01,-6.725921252620134516e-02
1.009999999999999964e+01,1.103379745146438329e-01
1.011999999999999922e+01,1.306376647843159322e-01
1.014000000000000057e+01,2.294900469653391173e-01
1.016000000000000014e+01,2.347388700567299147e-01
1.017999999999999972e+01,4.210966312897414521e-01
1.019999999999999929e+01,2.541738357921825564e-01
1.022000000000000064e+01,6.080509757293970363e-01
1.024000000000000021e+01,7.574587422663969782e-01
1.025999999999999979e+01,3.646378791936487396e+00
1.027999999999999936e+01,9.760857854989366089e+00
1.030000000000000071e+01,1.571208070871414009e+01
1.032000000000000028e+01,1.436912256154969114e+01
1.033999999999999986e+01,6.928062532610705482e+00
1.035999999999999943e+01,1.997472759327753922e+00
1.038000000000000078e+01,3.536947495325997726e-01
1.040000000000000036e+01,6.662667609539512092e-01
1.041999999999999993e+01,3.396625527875454797e-01
1.043999999999999950e+01,3.661938769540030725e-01
1.046000000000000085e+01,1.379373031216669931e-01
1.048000000000000043e+01,7.595208718067078535e-02
1.050000000000000000e+01,4.342196738052296889e-01
1.051999999999999957e+01,1.720926912250043128e-01
1.053999999999999915e+01,1.071776321747998084e-01
1.056000000000000050e+01,1.376421453490684621e-01
1.058000000000000007e+01,8.234646697244939195e-02
1.059999999999999964e+01,2.504471104925634628e-02
1.061999999999999922e+01,2.824789043136772745e-02
1.064000000000000057e+01,1.145818862651361153e-01
1.066000000000000014e+01,8.491143479931666238e-02
1.067999999999999972e+01,2.337924846832073189e-01
1.069999999999999929e+01,6.774887914881672080e-02
1.072000000000000064e+01,-7.436234521712675564e-03
1.074000000000000021e+01,6.393444193663919140e-02
1.075999999999999979e+01,2.786605331996732660e-01
1.077999999999999936e+01,8.599799596468747642e-02
1.080000000000000071e+01,-3.936881270023961932e-02
1.082000000000000028e+01,8.268431052310123985e-02
1.083999999999999986e+01,2.028235495200444993e-01
1.085999999999999943e+01,-1.356242909469849156e-01
1.088000000000000078e+01,1.914860534965099337e-01
1.090000000000000036e+01,1.189877326736691471e-01
1.091999999999999993e+01,8.851828270741995963e-02
1.093999999999999950e+01,4.498240486260578902e-02
1.096000000000000085e+01,4.505635279014581773e-02
1.098000000000000043e+01,1.737160008448230819e-01
1.100000000000000000e+01,1.738859919524296527e-01
1.101999999999999957e+01,1.827630814927145853e-01
1.103999999999999915e+01,1.946249268966681878e-01
1.106000000000000050e+01,3.863071342705132888e-02
1.108000000000000007e+01,5.326470811808062256e-02
1.109999999999999964e+01,2.173015654127236629e-01
1.112000000000000099e+01,-9.234818987619201891e-02
1.114000000000000057e+01,3.328134971992959823e-01
1.116000000000000014e+01,7.027852700326425728e-02
1.117999999999999972e+01,5.131829597669743809e-02
1.119999999999999929e+01,3.611531756092327405e-02
1.122000000000000064e+01,-5.126497686697922829e-02
1.124000000000000021e+01,-3.454018017416948805e-02
1.125999999999999979e+01,-1.727095609054015990e-01
1.127999999999999936e+01,9.761883650177387295e-02
1.130000000000000071e+01,2.512705980987465781e-01
1.132000000000000028e+01,5.008178898371239834e-02
1.133999999999999986e+01,2.217412340329403056e-02
1.135999999999999943e+01,1.237189941060722054e-01
1.138000000000000078e+01,3.512975108808092523e-02
1.140000000000000036e+01,6.517341017791700164e-02
1.141999999999999993e+01,2.552004412282954382e-01
1.143999999999999950e+01,4.379285051281101016e-02
1.146000000000000085e+01,1.849891434349215658e-01
1.148000000000000043e+01,1.009170222295186353e-01
1.150000000000000000e+01,3.417101255060779608e-02
1.151999999999999957e+01,9.268849028091123710e-02
1.153999999999999915e+01,3.180264998978086372e-02
1.156000000000000050e+01,4.361350001135306381e-02
1.158000000000000007e+01,1.663563500213760260e-01
1.159999999999999964e+01,1.965661063037960621e-01
1.162000000000000099e+01,-9.835111360798372629e-03
1.164000000000000057e+01,-1.134264916663133421e-01
1.166000000000000014e+01,6.651471558760122318e-04
1.167999999999999972e+01,6.268067180715954090e-02
1.169999999999999929e+01,5.633772343120442561e-02
1.172000000000000064e+01,3.242475762713985243e-02
1.174000000000000021e+01,4.130164998747140603e-02
1.175999999999999979e+01,-6.167524680212025517e-02
1.177999999999999936e+01,1.081672567332140622e-01
1.180000000000000071e+01,-7.455698598191620730e-02
1.182000000000000028e+01,1.299715335288026963e-01
1.183999999999999986e+01,-1.799584655558200512e-03
1.185999999999999943e+01,3.226131191453608382e-01
1.188000000000000078e+01,2.539105339077958878e-01
1.190000000000000036e+01,1.117745768538824930e-01
1.191999999999999993e+01,1.739510031263354350e-01
1.193999999999999950e+01,1.872926444508749011e-02
1.196000000000000085e+01,-1.843661174494388988e-02
1.198000000000000043e+01,2.538617610803625083e-03
1.200000000000000000e+01,1.673797944655669168e-01
1.201999999999999957e+01,-2.028514410264945639e-02
1.203999999999999915e+01,5.844379852326797575e-02
1.206000000000000050e+01,4.907720843280916762e-02
1.208000000000000007e+01,9.670103105334013072e-02
1.209999999999999964e+01,-6.546850875082015075e-02
1.212000000000000099e+01,2.244464595941224605e-01
1.214000000000000057e+01,2.553603407592583974e-01
1.216000000000000014e+01,8.322082903256724368e-03
1.217999999999999972e+01,3.848612086674355753e-02
1.219999999999999929e+01,5.922354719330711476e-02
1.222000000000000064e+01,1.481561340161645923e-01
1.224000000000000021e+01,-3.036610773046206913e-02
1.225999999999999979e+01,1.420231309372535500e-01
1.228000000000000114e+01,1.718442915135862392e-01
1.230000000000000071e+01,1.827385179546656135e-01
1.232000000000000028e+01,2.991633895566590540e-01
1.233999999999999986e+01,1.286240598434112113e-02
1.235999999999999943e+01,2.164098342591363466e-01
1.237999999999999901e+01,2.756656275127046252e-01
1.240000000000000036e+01,1.068407604883212930e-01
1.241999999999999993e+01,1.846161385564775714e-01
1.243999999999999950e+01,-9.729087657636069364e-02
1.246000000000000085e+01,4.591730536750429637e-02
1.248000000000000043e+01,1.363847439171921860e-01
1.250000000000000000e+01,1.461793563386129535e-01
1.251999999999999957e+01,2.160312278168040334e-01
1.253999999999999915e+01,6.180504263998074649e-02
1.256000000000000050e+01,4.269893254398662158e-02
1.258000000000000007e+01,-5.632257513445505792e-02
1.259999999999999964e+01,5.803579447452728718e-02
1.262000000000000099e+01,-3.870387986443826756e-02
1.264000000000000057e+01,7.018101062608350649e-02
1.266000000000000014e+01,1.835220922284704348e-01
1.267999999999999972e+01,9.209846656435845269e-02
1.269999999999999929e+01,1.944800760822869845e-01
1.272000000000000064e+01,1.244551207749235167e-01
1.274000000000000021e+01,2.737869642172324203e-01
1.275999999999999979e+01,9.502331572988167996e-02
1.278000000000000114e+01,1.019133153322782787e-02
