# 2Theta,Intensity
1.000000000000000000e+01,1.270161195699985313e-01
1.001999999999999957e+01,7.929445521206568426e-02
1.003999999999999915e+01,1.186478005682364695e-01
1.006000000000000050e+01,-4.359757650329207368e-02
1.008000000000000007e+01,2.157410406433567518e-01
1.009999999999999964e+01,1.302031419505073062e-01
1.011999999999999922e+01,1.933125130103474920e-01
1.014000000000000057e+01,7.409482764892676328e-04
1.016000000000000014e+01,3.745356165375540031e-02
1.017999999999999972e+01,1.018362339580037856e-01
1.019999999999999929e+01,8.489530588780386244e-02
1.022000000000000064e+01,6.433982705726466744e-02
1.024000000000000021e+01,1.628543276811648677e-01
1.025999999999999979e+01,5.436384257897038802e-02
1.027999999999999936e+01,1.158185223823053611e-01
1.030000000000000071e+01,1.389304535802737828e-01
1.032000000000000028e+01,2.790449766713482688e-02
1.033999999999999986e+01,1.533395507028353921e-02
1.035999999999999943e+01,-1.313238379590795091e-01
1.038000000000000078e+01,1.898287082793654879e-01
1.040000000000000036e+01,1.324381825297979987e-01
1.041999999999999993e+01,1.287678018771432620e-01
1.043999999999999950e+01,2.706203609837024709e-02
1.046000000000000085e+01,-2.100513410500532210e-02
1.048000000000000043e+01,2.545474260418880141e-01
1.050000000000000000e+01,1.210183520386552969e-01
1.051999999999999957e+01,-1.113298759705401257e-02
1.053999999999999915e+01,-1.315367767994330382e-02
1.056000000000000050e+01,1.109556866972094685e-01
1.058000000000000007e+01,1.906234871064269309e-01
1.059999999999999964e+01,6.824305936639721293e-02
1.061999999999999922e+01,2.762066085877788475e-03
1.064000000000000057e+01,-6.548868802426188740e-02
1.066000000000000014e+01,1.517694221159740786e-01
1.067999999999999972e+01,8.496771797359676734e-03
1.069999999999999929e+01,3.867924436104542424e-02
1.072000000000000064e+01,1.239816359675549873e-01
1.074000000000000021e+01,2.124981719089086563e-01
1.075999999999999979e+01,-1.412319416973316713e-02
1.077999999999999936e+01,-2.927919064734868168e-02
1.080000000000000071e+01,1.014613864113557279e-01
1.082000000000000028e+01,2.508351751108052752e-01
1.083999999999999986e+01,4.303652551712106589e-01
1.085999999999999943e+01,5.751837129638031065e-01
1.088000000000000078e+01,2.992827312863913791e-01
1.090000000000000036e+01,1.890484322005686613e-01
1.091999999999999993e+01,3.261474972041952108e-02
1.093999999999999950e+01,1.617174394124060166e-01
1.096000000000000085e+01,8.093813186544465688e-02
1.098000000000000043e+01,-9.109993684454091578e-02
1.100000000000000000e+01,-7.545135599352048583e-02
1.101999999999999957e+01,7.493993493099848635e-02
1.103999999999999915e+01,-1.313063315493124827e-01
1.106000000000000050e+01,-6.580766595489664569e-03
1.108000000000000007e+01,1.945540784547258595e-01
1.109999999999999964e+01,-6.478801370914401281e-02
1.112000000000000099e+01,-7.456495470249858981e-02
1.114000000000000057e+01,-3.596879840927635907e-02
1.116000000000000014e+01,1.564500753385516759e-04
1.117999999999999972e+01,8.208316609193701263e-02
1.119999999999999929e+01,1.956768932505446867e-01
1.122000000000000064e+01,-3.099440388804543256e-02
1.124000000000000021e+01,3.596693331176534919e-02
1.125999999999999979e+01,-1.531285013560438335e-01
1.127999999999999936e+01,2.777206574843876230e-01
1.130000000000000071e+01,-1.295813540099971517e-02
1.132000000000000028e+01,1.142611305796111254e-01
1.133999999999999986e+01,1.435096780903990510e-01
1.135999999999999943e+01,9.076001361406831058e-02
1.138000000000000078e+01,1.652766695251581819e-01
1.140000000000000036e+01,5.938071937957092872e-02
1.141999999999999993e+01,5.772871405230316916e-02
1.143999999999999950e+01,-6.041180393247692904e-02
1.146000000000000085e+01,2.303277011883372860e-02
1.148000000000000043e+01,5.030377593954130089e-02
1.150000000000000000e+01,-3.032957349060291796e-02
1.151999999999999957e+01,9.524383441001199949e-03
1.153999999999999915e+01,-1.145192674604977034e-01
1.156000000000000050e+01,4.054058359057257505e-02
1.158000000000000007e+01,4.290913789743537599e-02
1.159999999999999964e+01,2.318522799599961534e-02
1.162000000000000099e+01,2.281407407570296975e-01
1.164000000000000057e+01,-1.159747081233816202e-01
1.166000000000000014e+01,1.534864628920223073e-01
1.167999999999999972e+01,6.593616141307381828e-02
1.169999999999999929e+01,-1.044680612879447801e-01
1.172000000000000064e+01,4.978380811640802095e-02
1.174000000000000021e+01,-2.795516552485560052e-02
1.175999999999999979e+01,7.720820590944717232e-02
1.177999999999999936e+01,2.008143583741554272e-01
1.180000000000000071e+01,-3.697577695114204893e-02
1.182000000000000028e+01,-1.037526488401719627e-01
1.183999999999999986e+01,2.826187062522872995e-01
1.185999999999999943e+01,7.175974299559005620e-02
1.188000000000000078e+01,-1.018692817156937741e-01
1.190000000000000036e+01,1.079473023588988917e-01
1.191999999999999993e+01,-2.357864884341636866e-02
