# 2Theta,Intensity
1.000000000000000000e+01,7.711097829312882346e-02
1.001999999999999957e+01,1.502544327686580403e-02
1.003999999999999915e+01,2.297347944890628865e-02
1.006000000000000050e+01,-2.299445155734199109e-02
1.008000000000000007e+01,7.613815334377448119e-02
1.009999999999999964e+01,9.494770746089360725e-02
1.011999999999999922e+01,1.643155429334388906e-01
1.014000000000000057e+01,5.795023463962753474e-02
1.016000000000000014e+01,1.763141070942899138e-02
1.017999999999999972e+01,7.718399738566254775e-02
1.019999999999999929e+01,-1.886410243093414041e-01
1.022000000000000064e+01,4.335012456830341504e-02
1.024000000000000021e+01,-2.120860554189292133e-02
1.025999999999999979e+01,3.476804916505650458e-03
1.027999999999999936e+01,9.093454162898634285e-02
1.030000000000000071e+01,5.416130138338999533e-02
1.032000000000000028e+01,-4.702221451833164118e-02
1.033999999999999986e+01,7.359974170187745524e-02
1.035999999999999943e+01,4.176069525802457438e-02
1.038000000000000078e+01,2.238698695282186346e-01
1.040000000000000036e+01,7.930134759733904748e-02
1.041999999999999993e+01,1.924503780448119650e-02
1.043999999999999950e+01,-1.848016874012470539e-03
1.046000000000000085e+01,-3.225092700042240385e-02
1.048000000000000043e+01,9.491934208025770703e-03
1.050000000000000000e+01,1.909126648349945832e-01
1.051999999999999957e+01,1.854394965607090995e-01
1.053999999999999915e+01,-3.132087129781219864e-02
1.056000000000000050e+01,2.085127398010669930e-01
1.058000000000000007e+01,-4.723817385200864642e-04
1.059999999999999964e+01,-6.144352104330212672e-02
1.061999999999999922e+01,1.167391470558288152e-01
1.064000000000000057e+01,1.299541731802224820e-01
1.066000000000000014e+01,2.237918028739553367e-01
1.067999999999999972e+01,1.260156163712060906e-01
1.069999999999999929e+01,9.312785671492093686e-02
1.072000000000000064e+01,1.283620449660718144e-01
1.074000000000000021e+01,1.739534017178941405e-01
1.075999999999999979e+01,-1.954285536082573521e-02
1.077999999999999936e+01,1.913337785132805668e-01
1.080000000000000071e+01,2.043682214743194336e-01
1.082000000000000028e+01,1.645041960596205916e-02
1.083999999999999986e+01,-4.809808454066002992e-02
1.085999999999999943e+01,-7.316589397215913886e-03
1.088000000000000078e+01,6.413087452528606902e-02
1.090000000000000036e+01,1.316757935465724949e-01
1.091999999999999993e+01,1.089570384265456521e-01
1.093999999999999950e+01,8.216291606585113261e-02
1.096000000000000085e+01,9.264361688694716657e-02
1.098000000000000043e+01,-1.280501541729857917e-01
1.100000000000000000e+01,8.783808124791844113e-03
1.101999999999999957e+01,-9.251707700397303336e-02
1.103999999999999915e+01,-5.455309837254139482e-02
1.106000000000000050e+01,1.269748534386025141e-01
1.108000000000000007e+01,-1.185401337090891682e-01
1.109999999999999964e+01,1.222259654381331051e-01
1.112000000000000099e+01,-2.549031954828430424e-02
1.114000000000000057e+01,7.904549787812406580e-02
1.116000000000000014e+01,2.075276315868853361e-01
1.117999999999999972e+01,9.001724122335874601e-02
1.119999999999999929e+01,-1.852624220899518753e-02
1.122000000000000064e+01,1.731106580728581368e-01
1.124000000000000021e+01,-5.070826761616337164e-02
1.125999999999999979e+01,2.221021076560246166e-01
1.127999999999999936e+01,-7.478193183686654422e-02
1.130000000000000071e+01,2.197842589410637371e-01
1.132000000000000028e+01,-1.230328503930775948e-03
1.133999999999999986e+01,-5.340427443310150069e-02
1.135999999999999943e+01,-1.357412208992954672e-01
1.138000000000000078e+01,9.254120904354696392e-03
1.140000000000000036e+01,2.972492092089267304e-02
1.141999999999999993e+01,-1.483583659408826277e-02
1.143999999999999950e+01,2.663595510645497821e-01
1.146000000000000085e+01,3.938181050830130703e-03
1.148000000000000043e+01,1.177600742600373729e-01
1.150000000000000000e+01,-1.341292438817618705e-02
1.151999999999999957e+01,-7.249225462195255099e-02
1.153999999999999915e+01,1.369288974466171260e-01
1.156000000000000050e+01,8.979099592733720547e-02
1.158000000000000007e+01,-9.539655226754924222e-02
1.159999999999999964e+01,-7.218731335195265053e-02
1.162000000000000099e+01,-5.078784127358133144e-02
1.164000000000000057e+01,-2.377424417254632438e-02
1.166000000000000014e+01,1.616804838821314927e-01
1.167999999999999972e+01,-3.758562350864691481e-02
1.169999999999999929e+01,-8.822545448447844177e-03
1.172000000000000064e+01,1.472125880162561129e-01
1.174000000000000021e+01,1.042862572597446080e-01
1.175999999999999979e+01,3.122830795705114262e-03
1.177999999999999936e+01,1.465938536065560516e-01
1.180000000000000071e+01,1.267469755667046949e-01
1.182000000000000028e+01,1.644353000201706771e-01
1.183999999999999986e+01,9.650679221565905408e-02
1.185999999999999943e+01,-4.281900635044921105e-02
1.188000000000000078e+01,3.782364783270405345e-02
1.190000000000000036e+01,3.361034171732082965e-01
1.191999999999999993e+01,1.751881522852049566e-01
1.193999999999999950e+01,4.592948535738300420e-02
1.196000000000000085e+01,2.599326022319433660e-01
1.198000000000000043e+01,3.216437188858206619e-01
1.200000000000000000e+01,2.731859219425973317e-01
1.201999999999999957e+01,7.226788844574963400e-02
1.203999999999999915e+01,7.397658255605705779e-01
1.206000000000000050e+01,2.621302379422767004e+00
1.208000000000000007e+01,3.397549915808049104e+00
1.209999999999999964e+01,3.000722714978183880e+00
1.212000000000000099e+01,1.497737698052849842e+00
