# 2Theta,Intensity
1.000000000000000000e+01,4.522871211644396983e-01
1.001999999999999957e+01,4.161334828183473888e-01
1.003999999999999915e+01,2.627798303402101299e-01
1.006000000000000050e+01,3.010589573156188248e-01
1.008000000000000007e+01,2.786643727885461663e-01
1.009999999999999964e+01,3.258887494002399299e-01
1.011999999999999922e+01,2.335750486233595935e-01
1.014000000000000057e+01,4.156884183251154941e-01
1.016000000000000014e+01,3.430866229034926218e-01
1.017999999999999972e+01,4.325597235810849650e-01
1.019999999999999929e+01,4.433304341100708368e-01
1.022000000000000064e+01,4.429537933516625725e-01
1.024000000000000021e+01,1.798967721511163242e-01
1.025999999999999979e+01,3.182237318465085396e-01
1.027999999999999936e+01,3.844840169446359646e-01
1.030000000000000071e+01,3.722275745230415600e-01
1.032000000000000028e+01,2.274865383508835048e-01
1.033999999999999986e+01,4.299165869777325510e-01
1.035999999999999943e+01,1.966324020039458276e-01
1.038000000000000078e+01,5.090043606155794098e-01
1.040000000000000036e+01,3.391983961095060840e-01
1.041999999999999993e+01,2.497647351285881001e-01
1.043999999999999950e+01,2.486691333522545178e-01
1.046000000000000085e+01,3.754677962767579147e-01
1.048000000000000043e+01,2.382498811826736784e-01
1.050000000000000000e+01,2.698476244310087924e-01
1.051999999999999957e+01,3.675024045454103327e-01
1.053999999999999915e+01,4.664377368163123427e-01
1.056000000000000050e+01,2.277991543549394426e-01
1.058000000000000007e+01,4.042680517288229636e-01
1.059999999999999964e+01,1.705343458872572715e-01
1.061999999999999922e+01,1.130962798476039949e-01
1.064000000000000057e+01,4.884603434604720684e-01
1.066000000000000014e+01,1.382816849930945391e-01
1.067999999999999972e+01,2.972775728106708537e-01
1.069999999999999929e+01,2.870688449406563203e-01
1.072000000000000064e+01,4.782768786150500273e-01
1.074000000000000021e+01,2.530693692675672901e-01
1.075999999999999979e+01,2.826336830448362702e-01
1.077999999999999936e+01,3.169954989273964241e-01
1.080000000000000071e+01,2.534190259110009058e-01
1.082000000000000028e+01,4.233787676175029269e-01
1.083999999999999986e+01,2.523320700372765346e-01
1.085999999999999943e+01,4.638598606530000557e-01
1.088000000000000078e+01,1.611283617942041724e-01
1.090000000000000036e+01,3.084484448332149298e-01
1.091999999999999993e+01,3.119644404268632765e-01
1.093999999999999950e+01,3.650661876237719650e-01
1.096000000000000085e+01,1.916381015084169526e-01
1.098000000000000043e+01,2.256833963308119972e-01
1.100000000000000000e+01,1.851948791916933346e-01
1.101999999999999957e+01,3.598759365041711011e-01
1.103999999999999915e+01,1.749291604182166282e-01
1.106000000000000050e+01,5.134941013343800043e-01
1.108000000000000007e+01,4.264424857723310702e-01
1.109999999999999964e+01,2.616891033251728116e-01
1.112000000000000099e+01,2.350067548805648832e-01
1.114000000000000057e+01,5.864163920172552613e-01
1.116000000000000014e+01,2.303679689824641441e-01
1.117999999999999972e+01,3.838341622682370780e-01
1.119999999999999929e+01,1.127398590514818028e-01
1.122000000000000064e+01,4.025744200798480055e-01
1.124000000000000021e+01,2.759609835723225713e-01
1.125999999999999979e+01,4.202794170299638532e-01
1.127999999999999936e+01,2.215820905705032928e-01
1.130000000000000071e+01,5.108262855812122361e-01
1.132000000000000028e+01,3.841402756868190216e-01
1.133999999999999986e+01,2.595411343109951807e-01
1.135999999999999943e+01,2.815081873065932716e-01
1.138000000000000078e+01,3.618959573853613443e-01
1.140000000000000036e+01,4.507048422196746063e-01
1.141999999999999993e+01,3.776775074475191007e-01
1.143999999999999950e+01,3.895542145481635798e-01
1.146000000000000085e+01,3.381312670972195233e-01
1.148000000000000043e+01,3.668390496400099066e-01
1.150000000000000000e+01,2.703451161248943690e-01
1.151999999999999957e+01,1.414019701870058154e-01
1.153999999999999915e+01,5.011499681614757229e-01
1.156000000000000050e+01,2.017978020380219728e-01
1.158000000000000007e+01,2.807116673721956612e-01
1.159999999999999964e+01,5.001192033062740183e-01
1.162000000000000099e+01,2.192251581343792610e-01
1.164000000000000057e+01,2.705307747426119458e-01
1.166000000000000014e+01,4.873054062010119813e-01
