# 2Theta,Intensity
1.000000000000000000e+01,-5.361633608668689432e-02
1.001999999999999957e+01,-5.861941684706614003e-02
1.003999999999999915e+01,7.689111169595064244e-02
1.006000000000000050e+01,1.439274270212990703e-01
1.008000000000000007e+01,4.267946790913113020e-02
1.009999999999999964e+01,-8.492924097516419205e-03
1.011999999999999922e+01,7.617131697012928526e-02
1.014000000000000057e+01,1.638432152603356284e-01
1.016000000000000014e+01,-1.595375077749175072e-02
1.017999999999999972e+01,1.071726514552261700e-01
1.019999999999999929e+01,2.662905520947951299e-01
1.022000000000000064e+01,1.673924396602866904e-01
1.024000000000000021e+01,2.061034421775505363e-03
1.025999999999999979e+01,4.198367054833417045e-02
1.027999999999999936e+01,-3.899775066785843985e-02
1.030000000000000071e+01,1.600025303597522597e-01
1.032000000000000028e+01,1.895195194136430894e-01
1.033999999999999986e+01,1.153088380507562988e-01
1.035999999999999943e+01,-5.989126728925284193e-02
1.038000000000000078e+01,5.000572043606996142e-02
1.040000000000000036e+01,2.174705771834506765e-02
1.041999999999999993e+01,-2.061193644877298836e-02
1.043999999999999950e+01,-7.150167127551930631e-03
1.046000000000000085e+01,2.983337451162306614e-02
1.048000000000000043e+01,8.424581892623464463e-02
1.050000000000000000e+01,-5.051513169261939717e-02
1.051999999999999957e+01,-4.692209615567724534e-02
1.053999999999999915e+01,3.224835804080951329e-02
1.056000000000000050e+01,-1.649130656977711717e-01
1.058000000000000007e+01,4.184537816014728684e-02
1.059999999999999964e+01,-1.338354950088316286e-01
1.061999999999999922e+01,-5.892140359551938100e-02
1.064000000000000057e+01,-3.155020576995388321e-02
1.066000000000000014e+01,1.891033170507190331e-01
1.067999999999999972e+01,-4.190029288516261552e-02
1.069999999999999929e+01,3.223763462971894478e-02
1.072000000000000064e+01,4.995284097753190794e-02
1.074000000000000021e+01,-4.808061546904847557e-03
1.075999999999999979e+01,-8.017279134932048593e-03
1.077999999999999936e+01,-2.390270690559530287e-02
1.080000000000000071e+01,3.641386696765247510e-02
1.082000000000000028e+01,6.445728677264314643e-02
1.083999999999999986e+01,3.035013596784434664e-02
1.085999999999999943e+01,1.688521820491187611e-02
1.088000000000000078e+01,1.956233760931891941e-01
1.090000000000000036e+01,4.855203858637258119e-02
1.091999999999999993e+01,1.557779532981613813e-01
1.093999999999999950e+01,5.214920126684876651e-05
1.096000000000000085e+01,-3.100577030576319448e-02
1.098000000000000043e+01,1.838394684569534879e-02
1.100000000000000000e+01,-2.219551226887414297e-01
1.101999999999999957e+01,-8.540949386685263434e-02
1.103999999999999915e+01,-1.941126012888242172e-02
1.106000000000000050e+01,7.345284204425836516e-02
1.108000000000000007e+01,-9.396761324002836369e-02
1.109999999999999964e+01,7.244755904162138160e-02
1.112000000000000099e+01,-2.527090026109977683e-01
1.114000000000000057e+01,-8.814312429895911072e-02
1.116000000000000014e+01,-9.140086183656227770e-02
1.117999999999999972e+01,9.913988828768938166e-02
1.119999999999999929e+01,-5.149192065690420816e-02
1.122000000000000064e+01,-8.232298678738217412e-02
1.124000000000000021e+01,8.766298135739647446e-02
1.125999999999999979e+01,1.464907385950726948e-01
1.127999999999999936e+01,2.697584409845696363e-01
1.130000000000000071e+01,7.434115043914137078e-02
1.132000000000000028e+01,7.178117711350462393e-02
1.133999999999999986e+01,-7.315375793781647012e-03
1.135999999999999943e+01,-6.176530704199648808e-02
1.138000000000000078e+01,2.842242069907708335e-01
1.140000000000000036e+01,-1.703286143381858297e-01
1.141999999999999993e+01,-1.802274704243857495e-01
1.143999999999999950e+01,1.320415116449381865e-01
1.146000000000000085e+01,1.976403521267647845e-01
1.148000000000000043e+01,4.058924894747342055e-02
1.150000000000000000e+01,1.821168230601136473e-01
1.151999999999999957e+01,2.333984013478487135e-02
1.153999999999999915e+01,-1.797255229040677083e-02
1.156000000000000050e+01,2.671341751416494437e-01
1.158000000000000007e+01,1.441687057202195865e-01
1.159999999999999964e+01,1.280468842268422253e-02
1.162000000000000099e+01,-1.377106491654417819e-03
1.164000000000000057e+01,2.385911678289129034e-01
1.166000000000000014e+01,-1.812530660261315041e-01
1.167999999999999972e+01,1.521240318595634688e-01
1.169999999999999929e+01,-6.182825565094497711e-02
1.172000000000000064e+01,8.880892968021644740e-02
1.174000000000000021e+01,1.099479848401070103e-01
1.175999999999999979e+01,6.354042312674126891e-02
1.177999999999999936e+01,-1.620421374192284880e-01
1.180000000000000071e+01,1.393545382538342314e-01
1.182000000000000028e+01,-5.124732040510738759e-03
1.183999999999999986e+01,1.043337177809351701e-01
1.185999999999999943e+01,1.033173642430760403e-01
1.188000000000000078e+01,3.803378317480052978e-02
1.190000000000000036e+01,6.215934598859774313e-02
1.191999999999999993e+01,1.381043474069350852e-01
1.193999999999999950e+01,-5.798400672860755389e-02
1.196000000000000085e+01,1.529018659787285961e-01
1.198000000000000043e+01,-8.633715485228843356e-02
1.200000000000000000e+01,5.348602404009536460e-02
1.201999999999999957e+01,-1.210061852449423603e-01
1.203999999999999915e+01,8.220890826079531311e-02
1.206000000000000050e+01,-3.970526495343434069e-03
1.208000000000000007e+01,2.262937673019938534e-01
1.209999999999999964e+01,2.134735893901474890e-01
1.212000000000000099e+01,-1.489742952984898505e-01
1.214000000000000057e+01,2.395828974229760600e-01
1.216000000000000014e+01,8.722517999520043586e-02
1.217999999999999972e+01,8.597288077446428589e-02
1.219999999999999929e+01,8.069298198215342499e-02
1.222000000000000064e+01,2.107572554738186554e-01
1.224000000000000021e+01,2.843726972249734780e-02
1.225999999999999979e+01,1.842815811596841546e-01
1.228000000000000114e+01,-1.001295894080590776e-01
1.230000000000000071e+01,-9.348712030487742186e-02
1.232000000000000028e+01,7.210435892171374039e-02
1.233999999999999986e+01,4.490504849902043211e-02
1.235999999999999943e+01,1.579644622203568438e-01
1.237999999999999901e+01,1.903913080051327089e-01
1.240000000000000036e+01,-1.047961037683517102e-02
1.241999999999999993e+01,-8.628889755310639731e-02
1.243999999999999950e+01,1.216095898090407967e-01
1.246000000000000085e+01,1.217453119215694685e-01
1.248000000000000043e+01,-4.168858523552570333e-02
1.250000000000000000e+01,-9.063950168172109356e-02
1.251999999999999957e+01,-1.200323760850853377e-01
1.253999999999999915e+01,-6.376388535251391321e-02
1.256000000000000050e+01,1.191294325846742053e-01
1.258000000000000007e+01,-3.974292821481913152e-02
1.259999999999999964e+01,2.571900863142052573e-01
1.262000000000000099e+01,-5.213266698228122276e-02
1.264000000000000057e+01,-1.478658666405987254e-01
1.266000000000000014e+01,2.058576303127195584e-01
1.267999999999999972e+01,-1.352923048510010738e-02
1.269999999999999929e+01,8.440078287536398327e-02
1.272000000000000064e+01,-4.443533378182954081e-03
1.274000000000000021e+01,7.832343035654355801e-02
1.275999999999999979e+01,3.380419749712291339e-02
1.278000000000000114e+01,-1.774453233289502996e-01
1.280000000000000071e+01,-2.150436647687187230e-02
1.282000000000000028e+01,-5.742181154314118796e-02
1.283999999999999986e+01,3.403000556635753238e-02
1.285999999999999943e+01,1.521440558745354443e-01
1.287999999999999901e+01,9.095476683560158038e-02
1.290000000000000036e+01,-6.134012861955228518e-02
1.291999999999999993e+01,3.618730672871788012e-02
1.293999999999999950e+01,3.928792348154123981e-03
1.296000000000000085e+01,2.095168761489971110e-01
1.298000000000000043e+01,4.354244604168642369e-03
1.300000000000000000e+01,1.398480066269505440e-01
1.301999999999999957e+01,2.741863129331377144e-02
1.303999999999999915e+01,1.111082942360609206e-02
1.306000000000000050e+01,-6.954666909343283632e-02
1.308000000000000007e+01,4.227196027230590430e-02
1.309999999999999964e+01,-4.266756035961955656e-02
1.312000000000000099e+01,-1.089059208418377278e-01
1.314000000000000057e+01,4.657471902345119291e-02
1.316000000000000014e+01,1.381988016795276109e-01
1.317999999999999972e+01,1.214552715272158856e-01
1.319999999999999929e+01,5.209649842323431368e-02
1.322000000000000064e+01,-9.902425088902537531e-03
1.324000000000000021e+01,2.848339100330512727e-02
1.325999999999999979e+01,1.507691089563367205e-02
1.328000000000000114e+01,8.615446024576177420e-02
1.330000000000000071e+01,-5.986716977363923387e-02
1.332000000000000028e+01,4.512693893275707135e-02
1.333999999999999986e+01,-2.445832176237535197e-02
1.335999999999999943e+01,2.433419922137500593e-02
1.337999999999999901e+01,1.061508668839328123e-01
1.340000000000000036e+01,-1.632093299000429432e-01
1.341999999999999993e+01,5.977185026591910755e-02
1.343999999999999950e+01,1.251710024465818860e-01
1.346000000000000085e+01,2.198576672214661021e-02
1.348000000000000043e+01,-2.015929915456620737e-03
1.350000000000000000e+01,-6.155810074419579975e-02
1.351999999999999957e+01,-5.098547965270129601e-02
1.353999999999999915e+01,1.849683056042851492e-02
1.356000000000000050e+01,1.312252747739524883e-01
1.358000000000000007e+01,-8.940660128029215281e-02
1.359999999999999964e+01,-1.176589000252145495e-01
1.362000000000000099e+01,-4.949844944529313562e-02
1.364000000000000057e+01,-3.267772063962909312e-02
1.366000000000000014e+01,6.614535700043994160e-02
1.367999999999999972e+01,4.926101211289068971e-02
1.369999999999999929e+01,-1.890794237897365226e-01
1.372000000000000064e+01,1.623820179890681226e-01
1.374000000000000021e+01,3.379089446453750062e-02
1.375999999999999979e+01,-9.629114035813458872e-02
1.378000000000000114e+01,5.348766452910393154e-02
1.380000000000000071e+01,-1.445885547215540745e-01
1.382000000000000028e+01,8.728277020694114041e-02
