# 2Theta,Intensity
1.000000000000000000e+01,9.468560669088606219e-02
1.001999999999999957e+01,1.143281279890100144e-01
1.003999999999999915e+01,1.513256646570517172e-01
1.006000000000000050e+01,1.736534221582220761e-01
1.008000000000000007e+01,9.180351522434410105e-02
1.009999999999999964e+01,5.699707087087438340e-02
1.011999999999999922e+01,1.730573108937626392e-01
1.014000000000000057e+01,3.607154833798772303e-02
1.016000000000000014e+01,3.679465161488898461e-02
1.017999999999999972e+01,-3.412028229535681023e-02
1.019999999999999929e+01,4.175212741387720333e-02
1.022000000000000064e+01,-3.760893077816265112e-02
1.024000000000000021e+01,-6.767612965710312345e-02
1.025999999999999979e+01,2.121681365744058634e-01
1.027999999999999936e+01,8.419941480868708972e-02
1.030000000000000071e+01,-1.147037252170417798e-01
1.032000000000000028e+01,4.090818718191421149e-02
1.033999999999999986e+01,5.344424967594670756e-02
1.035999999999999943e+01,1.764833457803819533e-02
1.038000000000000078e+01,1.863400822657222374e-03
1.040000000000000036e+01,7.672303784922920866e-02
1.041999999999999993e+01,4.644982032455856336e-02
1.043999999999999950e+01,7.977355972548838547e-02
1.046000000000000085e+01,5.221661548442173284e-02
1.048000000000000043e+01,2.045271392084609119e-01
1.050000000000000000e+01,2.605904456759668975e-01
1.051999999999999957e+01,7.070689099006344236e-02
1.053999999999999915e+01,2.865380331546878434e-01
1.056000000000000050e+01,-7.010958302265428432e-02
1.058000000000000007e+01,5.052621879724223525e-02
1.059999999999999964e+01,-7.349123195840259748e-02
1.061999999999999922e+01,1.545570340045515079e-01
1.064000000000000057e+01,1.295996385010003971e-01
1.066000000000000014e+01,1.462407199797906565e-01
1.067999999999999972e+01,-7.312650883184459993e-02
1.069999999999999929e+01,8.127814362563616502e-02
1.072000000000000064e+01,1.685735477745664568e-01
1.074000000000000021e+01,-1.655246186696075067e-02
1.075999999999999979e+01,-3.000937985878658273e-02
1.077999999999999936e+01,1.270902021071411425e-01
1.080000000000000071e+01,-4.104014189032453852e-02
1.082000000000000028e+01,1.355269125357599358e-01
1.083999999999999986e+01,-3.267152061734361623e-02
1.085999999999999943e+01,-2.730948311700820072e-02
1.088000000000000078e+01,6.796236609866640466e-02
1.090000000000000036e+01,-2.624552979450183177e-01
1.091999999999999993e+01,1.016987898500632502e-02
1.093999999999999950e+01,3.667302772340818445e-02
1.096000000000000085e+01,-8.050509091799173955e-02
1.098000000000000043e+01,-6.717649766823129143e-02
1.100000000000000000e+01,1.114374217924343768e-01
1.101999999999999957e+01,3.052757295992673814e-02
1.103999999999999915e+01,6.790500832870098591e-02
1.106000000000000050e+01,-1.999940363035367930e-01
1.108000000000000007e+01,1.033973224669028079e-01
1.109999999999999964e+01,7.666240051514673637e-02
1.112000000000000099e+01,-4.353662339372179127e-03
1.114000000000000057e+01,3.503757786941313207e-02
1.116000000000000014e+01,1.136778511139063808e-01
1.117999999999999972e+01,1.439361871843067020e-01
1.119999999999999929e+01,4.989616025847185693e-02
1.122000000000000064e+01,1.351811476766189291e-01
1.124000000000000021e+01,-1.304337953437820774e-01
1.125999999999999979e+01,1.779220736940220413e-02
