# 2Theta,Intensity
1.000000000000000000e+01,1.663669621235136231e-01
1.001999999999999957e+01,-3.531113489773478331e-02
1.003999999999999915e+01,-2.463085750361530130e-02
1.006000000000000050e+01,2.278537115599947316e-01
1.008000000000000007e+01,-2.852994082838899645e-02
1.009999999999999964e+01,1.276868426226396847e-01
1.011999999999999922e+01,-9.655561253287462189e-03
1.014000000000000057e+01,7.229411933358392828e-02
1.016000000000000014e+01,1.411837517450625357e-01
1.017999999999999972e+01,9.558466159976318488e-02
1.019999999999999929e+01,1.394782293096968884e-01
1.022000000000000064e+01,8.229994390097740420e-02
1.024000000000000021e+01,5.609079419559121621e-02
1.025999999999999979e+01,1.076636971242818791e-01
1.027999999999999936e+01,1.182895337981659800e-02
1.030000000000000071e+01,1.807342506655209846e-01
1.032000000000000028e+01,1.818432361412854192e-02
1.033999999999999986e+01,1.025871848090815497e-01
1.035999999999999943e+01,9.928930478316336933e-03
1.038000000000000078e+01,1.440675475504922254e-01
1.040000000000000036e+01,1.257479363896736591e-01
1.041999999999999993e+01,1.125284447658428111e-01
1.043999999999999950e+01,2.339627162626815027e-01
1.046000000000000085e+01,2.782768224050217731e-01
1.048000000000000043e+01,9.022279301508275007e-02
1.050000000000000000e+01,-4.543412118581750814e-02
1.051999999999999957e+01,3.934515388033359429e-01
1.053999999999999915e+01,-1.040939457930958600e-01
1.056000000000000050e+01,-1.212790945765112594e-01
1.058000000000000007e+01,1.242964314051454994e-01
1.059999999999999964e+01,-9.788549778340394081e-02
1.061999999999999922e+01,1.545194627867045034e-01
1.064000000000000057e+01,1.543962751327917771e-01
1.066000000000000014e+01,1.634911004993542805e-01
1.067999999999999972e+01,-1.257494189426667242e-01
1.069999999999999929e+01,-7.051040839521505177e-02
1.072000000000000064e+01,1.034321967574069467e-01
1.074000000000000021e+01,2.539339435432690778e-02
1.075999999999999979e+01,5.752469566825793579e-02
1.077999999999999936e+01,8.549778552276277033e-02
1.080000000000000071e+01,2.175784709765946900e-01
1.082000000000000028e+01,8.213730318148169951e-02
1.083999999999999986e+01,2.075098936401548466e-01
1.085999999999999943e+01,6.498777012714215817e-02
1.088000000000000078e+01,7.606482507662440384e-02
1.090000000000000036e+01,5.054501776397923862e-02
1.091999999999999993e+01,5.676536351740400776e-02
1.093999999999999950e+01,2.460102994431986323e-01
1.096000000000000085e+01,1.128540897444320207e-01
1.098000000000000043e+01,7.483434969797185879e-03
1.100000000000000000e+01,1.039161365354675792e-01
1.101999999999999957e+01,9.045580701267090518e-02
1.103999999999999915e+01,8.248404752762300562e-02
1.106000000000000050e+01,3.727445731866591699e-02
1.108000000000000007e+01,3.402732204198460203e-02
1.109999999999999964e+01,1.138122544109868295e-01
1.112000000000000099e+01,1.121224995208865427e-01
1.114000000000000057e+01,3.298892135595576924e-02
1.116000000000000014e+01,3.399222093246787729e-02
1.117999999999999972e+01,2.624550390576210757e-01
1.119999999999999929e+01,1.685752549877630665e-02
1.122000000000000064e+01,1.638810445394397464e-01
1.124000000000000021e+01,1.551428886626889103e-01
1.125999999999999979e+01,2.326833299754292872e-01
1.127999999999999936e+01,7.754221720985766952e-02
1.130000000000000071e+01,2.112978983961641966e-01
1.132000000000000028e+01,1.992898234798465840e-01
1.133999999999999986e+01,5.737292434229441379e-02
1.135999999999999943e+01,2.651375474189886575e-02
1.138000000000000078e+01,1.267121335602695298e-01
1.140000000000000036e+01,-1.252533367125022168e-01
1.141999999999999993e+01,1.182693552370766843e-01
1.143999999999999950e+01,7.008934138783752543e-02
1.146000000000000085e+01,-8.121414111054574281e-02
1.148000000000000043e+01,-4.213082761829967104e-02
1.150000000000000000e+01,1.427776158820061869e-01
1.151999999999999957e+01,2.931443552752852622e-01
1.153999999999999915e+01,2.120876518819664880e-01
1.156000000000000050e+01,1.014680753943633384e-01
1.158000000000000007e+01,4.269023540028048930e-02
1.159999999999999964e+01,5.863899809963524223e-02
