# 2Theta,Intensity
1.000000000000000000e+01,-5.993204435040690864e-02
1.001999999999999957e+01,-1.790848385664745024e-01
1.003999999999999915e+01,3.996395271253630477e-02
1.006000000000000050e+01,3.093881597815594242e-01
1.008000000000000007e+01,-4.992378488619807209e-02
1.009999999999999964e+01,5.446598053916953258e-02
1.011999999999999922e+01,1.273201927657861832e-01
1.014000000000000057e+01,1.349563965399722953e-01
1.016000000000000014e+01,4.236016128206630815e-02
1.017999999999999972e+01,2.859098332737243786e-01
1.019999999999999929e+01,-4.506854310385879914e-02
1.022000000000000064e+01,2.130671291732930128e-02
1.024000000000000021e+01,1.166216467308965055e-01
1.025999999999999979e+01,5.967177818192421351e-02
1.027999999999999936e+01,3.721250821953173832e-02
1.030000000000000071e+01,1.962935559333618338e-02
1.032000000000000028e+01,9.343496468664626298e-02
1.033999999999999986e+01,-4.629076848900327140e-02
1.035999999999999943e+01,-3.224111446081750305e-04
1.038000000000000078e+01,1.305477577836398617e-01
1.040000000000000036e+01,1.553977463362661016e-01
1.041999999999999993e+01,1.918751905907206123e-01
1.043999999999999950e+01,-1.628021694668424779e-01
1.046000000000000085e+01,1.595401351806165213e-01
1.048000000000000043e+01,9.518423355844522760e-02
1.050000000000000000e+01,-1.941131164457480856e-03
1.051999999999999957e+01,3.154751965466510294e-02
1.053999999999999915e+01,5.161146015263878839e-02
1.056000000000000050e+01,3.802832241257221579e-02
1.058000000000000007e+01,5.126316170333476696e-02
1.059999999999999964e+01,1.340713823903374492e-02
1.061999999999999922e+01,1.411313596327957443e-01
1.064000000000000057e+01,4.326174150924130823e-02
1.066000000000000014e+01,8.517000551582602774e-03
1.067999999999999972e+01,1.711390135871842799e-01
1.069999999999999929e+01,1.328448765611530691e-01
1.072000000000000064e+01,1.814370664260531729e-01
1.074000000000000021e+01,-8.510160767086397127e-03
1.075999999999999979e+01,5.095117813431078446e-02
1.077999999999999936e+01,5.558127092466406266e-02
1.080000000000000071e+01,7.516836848611838096e-02
1.082000000000000028e+01,1.883012324102334156e-01
1.083999999999999986e+01,7.593760114009044659e-02
1.085999999999999943e+01,1.505481707425893323e-01
1.088000000000000078e+01,-3.866161624365968552e-02
1.090000000000000036e+01,3.035532633969212357e-01
1.091999999999999993e+01,5.881484254911771570e-02
1.093999999999999950e+01,6.377539940735600654e-02
1.096000000000000085e+01,5.445272108284257562e-02
1.098000000000000043e+01,1.448193818732334756e-02
1.100000000000000000e+01,1.122791774029731765e-01
1.101999999999999957e+01,6.932546663378794105e-02
1.103999999999999915e+01,1.668616349379961616e-01
1.106000000000000050e+01,1.606480660366569474e-02
1.108000000000000007e+01,-2.720766057721477754e-02
1.109999999999999964e+01,7.907977618373721040e-02
1.112000000000000099e+01,1.230067960479587358e-01
1.114000000000000057e+01,1.247531458262878257e-01
1.116000000000000014e+01,-4.104147600234310522e-02
1.117999999999999972e+01,7.806794613403286731e-02
1.119999999999999929e+01,8.960095948850188563e-02
1.122000000000000064e+01,-5.307624484154133820e-02
1.124000000000000021e+01,2.425519576968796220e-01
1.125999999999999979e+01,1.819391900901168035e-01
1.127999999999999936e+01,-4.576307711719251881e-02
1.130000000000000071e+01,-2.252410750636422640e-02
1.132000000000000028e+01,2.094594151704428919e-01
1.133999999999999986e+01,8.270965789801204560e-02
1.135999999999999943e+01,2.637125855351657444e-01
1.138000000000000078e+01,3.066390913245570227e-02
1.140000000000000036e+01,-2.009482771369740586e-02
1.141999999999999993e+01,2.073953970839817473e-02
1.143999999999999950e+01,1.455051292703897214e-01
1.146000000000000085e+01,8.306142470974453573e-02
1.148000000000000043e+01,1.562207983578521586e-02
1.150000000000000000e+01,5.784683658393181827e-02
1.151999999999999957e+01,-1.867567695776112258e-02
1.153999999999999915e+01,4.494923646127885197e-02
1.156000000000000050e+01,1.136180328897422181e-01
1.158000000000000007e+01,4.330579666958069701e-02
1.159999999999999964e+01,3.079412633892409379e-01
1.162000000000000099e+01,-8.696453367727678685e-02
1.164000000000000057e+01,1.314567245006134921e-01
1.166000000000000014e+01,1.366038638108044156e-01
1.167999999999999972e+01,-2.813909517978003746e-02
1.169999999999999929e+01,6.884560206682163730e-02
1.172000000000000064e+01,9.817190179286566787e-02
1.174000000000000021e+01,8.309860722803924515e-02
1.175999999999999979e+01,5.295313812198877701e-02
1.177999999999999936e+01,1.229712284743492839e-02
1.180000000000000071e+01,2.444818847788350347e-01
