# 2Theta,Intensity
1.000000000000000000e+01,-9.518578729367574431e-02
1.001999999999999957e+01,6.998149160039959793e-02
1.003999999999999915e+01,1.551183111627010315e-02
1.006000000000000050e+01,1.038157815914518729e-02
1.008000000000000007e+01,-1.405150895700274863e-02
1.009999999999999964e+01,-1.842254874834903799e-01
1.011999999999999922e+01,-9.664532791034177381e-03
1.014000000000000057e+01,7.089496887107163414e-02
1.016000000000000014e+01,1.667736426367333047e-01
1.017999999999999972e+01,4.135015047514013775e-02
1.019999999999999929e+01,-5.095645903132815790e-02
1.022000000000000064e+01,8.623772321164249743e-02
1.024000000000000021e+01,-3.593431408963150553e-02
1.025999999999999979e+01,-2.232018238457674220e-01
1.027999999999999936e+01,-3.203966198073914667e-02
1.030000000000000071e+01,7.695864218968527515e-02
1.032000000000000028e+01,3.858206216430348084e-02
1.033999999999999986e+01,8.141191466596800486e-02
1.035999999999999943e+01,-2.505784686578935855e-02
1.038000000000000078e+01,1.186958206325059162e-01
1.040000000000000036e+01,-3.653973234771582847e-03
1.041999999999999993e+01,1.271074599677797685e-02
1.043999999999999950e+01,5.073393451908132790e-02
1.046000000000000085e+01,2.031686249812113959e-02
1.048000000000000043e+01,-9.649287113568527641e-02
1.050000000000000000e+01,6.770094650816392556e-02
1.051999999999999957e+01,1.145329836177911009e-01
1.053999999999999915e+01,-5.285894259862661260e-02
1.056000000000000050e+01,7.773756559178868208e-02
1.058000000000000007e+01,1.985643470207009223e-02
1.059999999999999964e+01,2.076022655963400132e-01
1.061999999999999922e+01,-2.213375774086063508e-01
1.064000000000000057e+01,-3.493586274457023688e-02
1.066000000000000014e+01,2.569004678327083679e-01
1.067999999999999972e+01,-1.088901518199580226e-01
1.069999999999999929e+01,-2.181269919863248474e-01
1.072000000000000064e+01,3.879792883436056217e-02
1.074000000000000021e+01,1.022129430788655535e-01
1.075999999999999979e+01,-1.805193645209704489e-02
1.077999999999999936e+01,-6.875445691817895499e-02
1.080000000000000071e+01,-5.557167196799414621e-02
1.082000000000000028e+01,2.835204213882559689e-03
1.083999999999999986e+01,8.172288719549991587e-02
1.085999999999999943e+01,1.989853011103795768e-02
1.088000000000000078e+01,-7.433906199105995427e-02
1.090000000000000036e+01,5.827390925498814739e-02
1.091999999999999993e+01,9.827840297344274390e-02
1.093999999999999950e+01,1.735608827222901579e-02
1.096000000000000085e+01,-1.569627087830393897e-01
1.098000000000000043e+01,1.363161570491564778e-01
1.100000000000000000e+01,1.865217048939317446e-01
1.101999999999999957e+01,1.364713713952963592e-01
1.103999999999999915e+01,-8.227387423608069350e-02
1.106000000000000050e+01,-4.451519750496209932e-02
1.108000000000000007e+01,-2.100697837956674169e-02
1.109999999999999964e+01,9.916008240448527522e-02
1.112000000000000099e+01,1.469152038992077303e-01
1.114000000000000057e+01,-2.459044370129997437e-01
1.116000000000000014e+01,6.012720484793347003e-02
1.117999999999999972e+01,-1.882730981039295037e-01
1.119999999999999929e+01,-1.131318630565285449e-01
1.122000000000000064e+01,5.093352143496349127e-02
1.124000000000000021e+01,8.972532339832908765e-02
1.125999999999999979e+01,-2.137491559611373951e-02
1.127999999999999936e+01,-9.479412602270612109e-02
1.130000000000000071e+01,-8.198760385794874594e-02
1.132000000000000028e+01,-6.231561282077616518e-03
1.133999999999999986e+01,4.917860221987799263e-02
1.135999999999999943e+01,-2.942253412583228182e-05
1.138000000000000078e+01,5.254706229113502436e-02
1.140000000000000036e+01,1.746421664435098553e-01
1.141999999999999993e+01,5.189891456864781372e-02
1.143999999999999950e+01,9.096662131202075396e-02
1.146000000000000085e+01,1.707501551430536946e-01
1.148000000000000043e+01,1.902247937234034791e-02
1.150000000000000000e+01,2.710413432912314735e-02
1.151999999999999957e+01,1.990395760679191384e-01
1.153999999999999915e+01,2.005590065911594666e-01
1.156000000000000050e+01,1.380761615515042617e-01
1.158000000000000007e+01,9.192735286172425135e-02
1.159999999999999964e+01,1.874286351056059785e-01
1.162000000000000099e+01,-1.841665985333838795e-02
1.164000000000000057e+01,8.353264425110346059e-02
1.166000000000000014e+01,-4.380546095564607362e-02
1.167999999999999972e+01,2.422249764326508403e-01
1.169999999999999929e+01,5.605617256905034290e-02
1.172000000000000064e+01,1.331087724208566136e-01
1.174000000000000021e+01,-9.384713407455011480e-02
1.175999999999999979e+01,-2.130317916373958287e-02
1.177999999999999936e+01,1.183100946364124550e-01
1.180000000000000071e+01,-1.045072229536352371e-01
1.182000000000000028e+01,1.416075387362083216e-01
1.183999999999999986e+01,2.623845144642615677e-03
1.185999999999999943e+01,1.488346217537761251e-01
1.188000000000000078e+01,8.291344966017667739e-02
1.190000000000000036e+01,1.276312783135128415e-01
1.191999999999999993e+01,2.502054213091160495e-01
1.193999999999999950e+01,1.177873016328724043e-01
1.196000000000000085e+01,-3.396071539213105228e-03
