# 2Theta,Intensity
1.000000000000000000e+01,2.519734239472131709e-01
1.001999999999999957e+01,1.243062824738335043e-01
1.003999999999999915e+01,-4.579301579221862345e-02
1.006000000000000050e+01,1.794305879126361636e-01
1.008000000000000007e+01,2.720785715173992814e-01
1.009999999999999964e+01,6.847603094305172722e-02
1.011999999999999922e+01,2.145796396103693826e-01
1.014000000000000057e+01,1.054151562881875392e-01
1.016000000000000014e+01,1.406703014271844937e-02
1.017999999999999972e+01,2.448801466624939138e-01
1.019999999999999929e+01,2.186435401042929882e-01
1.022000000000000064e+01,1.911506255681303112e-01
1.024000000000000021e+01,1.708082400915708066e-01
1.025999999999999979e+01,2.276340582880252150e-01
1.027999999999999936e+01,1.507772525465268521e-01
1.030000000000000071e+01,2.453001688457617513e-01
1.032000000000000028e+01,1.851057421809568226e-01
1.033999999999999986e+01,8.284190750991814178e-02
1.035999999999999943e+01,1.021635193176683304e-01
1.038000000000000078e+01,2.188389301686299859e-01
1.040000000000000036e+01,4.018215202523076623e-01
1.041999999999999993e+01,2.725096065774779697e-01
1.043999999999999950e+01,2.464927858579941122e-01
1.046000000000000085e+01,2.003374240102265003e-01
1.048000000000000043e+01,1.450996995174224646e-01
1.050000000000000000e+01,-5.037434624567734692e-02
1.051999999999999957e+01,7.387035454755619401e-02
1.053999999999999915e+01,9.239820687381593289e-02
1.056000000000000050e+01,1.960619857280379227e-02
1.058000000000000007e+01,2.657466485472868567e-01
1.059999999999999964e+01,1.445452056141062480e-01
1.061999999999999922e+01,5.130546895432859522e-02
1.064000000000000057e+01,2.729141360802154748e-01
1.066000000000000014e+01,8.434890821394525062e-02
1.067999999999999972e+01,3.281456762849693787e-01
1.069999999999999929e+01,1.829369850165739053e-01
1.072000000000000064e+01,1.780647259552860240e-01
1.074000000000000021e+01,-5.256376840513801024e-02
1.075999999999999979e+01,8.497023732768366200e-02
1.077999999999999936e+01,2.990503238812303732e-01
1.080000000000000071e+01,1.902422922783738313e-01
1.082000000000000028e+01,2.372749200333391373e-01
1.083999999999999986e+01,2.360256599273309608e-01
1.085999999999999943e+01,-1.876806208421150091e-02
1.088000000000000078e+01,2.835801449671198071e-01
1.090000000000000036e+01,2.558782827100860580e-01
1.091999999999999993e+01,2.508255543700892432e-01
1.093999999999999950e+01,8.290166462678345838e-02
1.096000000000000085e+01,3.239361496250670741e-02
1.098000000000000043e+01,2.202899328106079635e-01
1.100000000000000000e+01,4.201084087358062380e-01
1.101999999999999957e+01,1.004969608749281540e-01
1.103999999999999915e+01,-2.044631312127059147e-02
1.106000000000000050e+01,1.381679438552979033e-01
1.108000000000000007e+01,1.562649237130251667e-01
1.109999999999999964e+01,1.356527574383674661e-01
1.112000000000000099e+01,2.798300493027070512e-01
1.114000000000000057e+01,2.541643061481823618e-01
1.116000000000000014e+01,4.960030812400728628e-02
1.117999999999999972e+01,1.529098907933040818e-01
1.119999999999999929e+01,1.466160347913640916e-01
1.122000000000000064e+01,-2.059536948695687431e-01
1.124000000000000021e+01,2.433527284534166280e-01
1.125999999999999979e+01,1.066021878994103528e-01
1.127999999999999936e+01,1.871070261976030547e-01
1.130000000000000071e+01,-3.297840376192507500e-02
1.132000000000000028e+01,3.376999848614409827e-01
1.133999999999999986e+01,3.119428903766131578e-01
1.135999999999999943e+01,1.121852034631428408e-01
1.138000000000000078e+01,6.924991804365610015e-02
1.140000000000000036e+01,1.731751035572343111e-01
1.141999999999999993e+01,1.859306181534074731e-02
1.143999999999999950e+01,-7.525357098760418473e-02
1.146000000000000085e+01,2.170868321112995047e-01
1.148000000000000043e+01,1.167107766091249332e-01
1.150000000000000000e+01,1.603772493745060992e-02
1.151999999999999957e+01,3.242049853290099870e-01
1.153999999999999915e+01,1.181007073517203187e-01
1.156000000000000050e+01,1.878321086497222459e-01
1.158000000000000007e+01,1.730470930720387768e-01
1.159999999999999964e+01,2.342448789372433282e-01
1.162000000000000099e+01,2.403073177850647835e-01
1.164000000000000057e+01,2.440561210147260685e-01
1.166000000000000014e+01,1.865149807065535348e-01
1.167999999999999972e+01,-6.310362090206434252e-04
1.169999999999999929e+01,1.122396467103733142e-01
1.172000000000000064e+01,-6.742973745581819223e-02
1.174000000000000021e+01,1.497694740573214667e-01
1.175999999999999979e+01,1.361016479016105007e-01
1.177999999999999936e+01,1.674785140752734769e-01
1.180000000000000071e+01,1.373149396257499211e-01
1.182000000000000028e+01,-1.046258219399821832e-01
1.183999999999999986e+01,2.523975276313831784e-01
1.185999999999999943e+01,1.240770312830662830e-01
1.188000000000000078e+01,2.453509218950546411e-01
1.190000000000000036e+01,2.885973265048698000e-01
1.191999999999999993e+01,4.678034648466116718e-01
1.193999999999999950e+01,1.889835685864414694e-01
1.196000000000000085e+01,2.891307731908613898e-01
1.198000000000000043e+01,-7.240615738387122524e-02
1.200000000000000000e+01,1.895272175368227230e-01
1.201999999999999957e+01,2.340149526961682880e-01
1.203999999999999915e+01,2.100989205783324043e-01
1.206000000000000050e+01,2.306116746879053880e-01
1.208000000000000007e+01,1.918511916837969608e-02
1.209999999999999964e+01,2.012276805139960600e-01
1.212000000000000099e+01,3.315838690678877265e-01
1.214000000000000057e+01,1.236579456164372537e-01
1.216000000000000014e+01,2.976943603043520348e-01
1.217999999999999972e+01,1.492874747912591726e-01
1.219999999999999929e+01,6.452617217866389587e-02
1.222000000000000064e+01,-4.846176013302099655e-02
1.224000000000000021e+01,1.725873215876839173e-01
1.225999999999999979e+01,1.329831048339378263e-01
1.228000000000000114e+01,2.287644374787743407e-01
1.230000000000000071e+01,5.275109683808852645e-02
1.232000000000000028e+01,1.749714992782632761e-01
1.233999999999999986e+01,1.807019209566410045e-01
1.235999999999999943e+01,2.298890805649832919e-02
1.237999999999999901e+01,2.880848839922143800e-01
1.240000000000000036e+01,1.768130999141962756e-01
1.241999999999999993e+01,2.871123949805235442e-01
1.243999999999999950e+01,1.608330917481468891e-01
1.246000000000000085e+01,1.534168787025402825e-01
1.248000000000000043e+01,2.032756092022489913e-01
1.250000000000000000e+01,3.702301457450721256e-01
1.251999999999999957e+01,2.536388610403945143e-01
1.253999999999999915e+01,1.935134136887493861e-01
1.256000000000000050e+01,2.995342365309525690e-01
1.258000000000000007e+01,2.237996542906277031e-01
1.259999999999999964e+01,1.526789976191841175e-02
1.262000000000000099e+01,2.332184090570392498e-01
1.264000000000000057e+01,1.688987408727619238e-02
1.266000000000000014e+01,2.351604206833223798e-01
1.267999999999999972e+01,4.858428110425409147e-02
1.269999999999999929e+01,7.938146781787455697e-02
1.272000000000000064e+01,-4.840689577719396730e-02
