# 2Theta,Intensity
1.000000000000000000e+01,7.141991187551266496e-01
1.001999999999999957e+01,4.250924332109048409e-01
1.003999999999999915e+01,4.392426596264735750e-01
1.006000000000000050e+01,1.670999608888419086e-01
1.008000000000000007e+01,4.199282319177959355e-01
1.009999999999999964e+01,4.328452258785303042e-01
1.011999999999999922e+01,4.285032897097217908e-01
1.014000000000000057e+01,4.214747667792679287e-01
1.016000000000000014e+01,4.197924535388662948e-01
1.017999999999999972e+01,6.689755135576872513e-01
1.019999999999999929e+01,5.275812318971886405e-01
1.022000000000000064e+01,5.705754168822874117e-01
1.024000000000000021e+01,5.423443520197406276e-01
1.025999999999999979e+01,8.196380186943333923e-01
1.027999999999999936e+01,6.581351297107340681e-01
1.030000000000000071e+01,6.783713924524842342e-01
1.032000000000000028e+01,5.942727767943212225e-01
1.033999999999999986e+01,5.349419244420283714e-01
1.035999999999999943e+01,3.439204080778368589e-01
1.038000000000000078e+01,2.746623824816473713e-01
1.040000000000000036e+01,3.054341429217122261e-01
1.041999999999999993e+01,4.982553612534972864e-01
1.043999999999999950e+01,5.870811841871954595e-01
1.046000000000000085e+01,3.398364560823927683e-01
1.048000000000000043e+01,5.746770735368303962e-01
1.050000000000000000e+01,6.245989962000908502e-01
1.051999999999999957e+01,7.312698116431456397e-01
1.053999999999999915e+01,3.229650691201793600e-01
1.056000000000000050e+01,3.734775121968745282e-01
1.058000000000000007e+01,5.701293075311937297e-01
1.059999999999999964e+01,4.792055956633505809e-01
1.061999999999999922e+01,5.539878896703913647e-01
1.064000000000000057e+01,4.129628414028739258e-01
1.066000000000000014e+01,4.807073497185044841e-01
1.067999999999999972e+01,4.887447399589486263e-01
1.069999999999999929e+01,5.052696691350059277e-01
1.072000000000000064e+01,4.975611841559700044e-01
1.074000000000000021e+01,5.294823238818843203e-01
1.075999999999999979e+01,4.509555942300029763e-01
1.077999999999999936e+01,2.704618717775429393e-01
1.080000000000000071e+01,4.898136731669805455e-01
1.082000000000000028e+01,5.237410787251515210e-01
1.083999999999999986e+01,3.039419252022288465e-01
1.085999999999999943e+01,4.793025995412158458e-01
1.088000000000000078e+01,6.491217023344797443e-01
1.090000000000000036e+01,5.380821204086606580e-01
1.091999999999999993e+01,5.472767683966608399e-01
1.093999999999999950e+01,2.878197345779020533e-01
1.096000000000000085e+01,3.552671356405001646e-01
1.098000000000000043e+01,4.307105800056217904e-01
1.100000000000000000e+01,7.021679416397943463e-01
1.101999999999999957e+01,4.158538261444638118e-01
1.103999999999999915e+01,5.432330993318499335e-01
1.106000000000000050e+01,5.665118305985450409e-01
1.108000000000000007e+01,3.712990471785981850e-01
1.109999999999999964e+01,4.766572068885454039e-01
1.112000000000000099e+01,4.555512050725305517e-01
1.114000000000000057e+01,5.558668271378428560e-01
1.116000000000000014e+01,4.762546499455563853e-01
1.117999999999999972e+01,2.737244845955194017e-01
1.119999999999999929e+01,4.731731783153230175e-01
1.122000000000000064e+01,6.388773322066374494e-01
1.124000000000000021e+01,5.641728353346102676e-01
1.125999999999999979e+01,2.960527100451604832e-01
1.127999999999999936e+01,3.971315662109373701e-01
1.130000000000000071e+01,1.627787885265110368e-01
1.132000000000000028e+01,5.373595600962406404e-01
1.133999999999999986e+01,4.640014004640493073e-01
1.135999999999999943e+01,2.519175687774507510e-01
1.138000000000000078e+01,5.929108714408118930e-01
1.140000000000000036e+01,6.562093308418505133e-01
1.141999999999999993e+01,5.873949010066865650e-01
1.143999999999999950e+01,5.540564743951340576e-01
1.146000000000000085e+01,5.485969557970328259e-01
1.148000000000000043e+01,1.605050047970524862e-01
1.150000000000000000e+01,2.623809536211213489e-01
1.151999999999999957e+01,5.629304665822224552e-01
1.153999999999999915e+01,3.645960727163146675e-01
1.156000000000000050e+01,6.488685665681105386e-01
1.158000000000000007e+01,5.287294450070738616e-01
1.159999999999999964e+01,1.767548908971974253e-01
1.162000000000000099e+01,6.341011384632467829e-01
1.164000000000000057e+01,7.676625996542658648e-01
1.166000000000000014e+01,4.859937702142849703e-01
1.167999999999999972e+01,6.513510494639263015e-01
1.169999999999999929e+01,4.760990398083448927e-01
1.172000000000000064e+01,7.643860676408883448e-01
1.174000000000000021e+01,5.770492363600185914e-01
1.175999999999999979e+01,6.189204957876126567e-01
1.177999999999999936e+01,1.757962196136842736e-01
1.180000000000000071e+01,5.665657563297681332e-01
1.182000000000000028e+01,6.874510397579375320e-01
1.183999999999999986e+01,4.584459454523096000e-01
1.185999999999999943e+01,4.241597256021008011e-01
1.188000000000000078e+01,5.482832951908890307e-01
1.190000000000000036e+01,7.894749391033971664e-01
1.191999999999999993e+01,5.822314219360631427e-01
1.193999999999999950e+01,5.567234146227276748e-01
1.196000000000000085e+01,4.582245944193422682e-01
1.198000000000000043e+01,3.221545757338024063e-01
1.200000000000000000e+01,4.922298630570707267e-01
1.201999999999999957e+01,7.464127487328652277e-01
1.203999999999999915e+01,4.877546664587352199e-01
1.206000000000000050e+01,3.640683972541826630e-01
1.208000000000000007e+01,6.186498153193198402e-01
1.209999999999999964e+01,6.540753145174390548e-01
1.212000000000000099e+01,4.252836460259976081e-01
1.214000000000000057e+01,3.523177353952801072e-01
1.216000000000000014e+01,5.681279039307336465e-01
1.217999999999999972e+01,3.766088324175797530e-01
1.219999999999999929e+01,3.967582124439653080e-01
1.222000000000000064e+01,2.190830450550628472e-01
1.224000000000000021e+01,5.304342421475688463e-01
1.225999999999999979e+01,3.363859702595068391e-01
1.228000000000000114e+01,5.619114525858395215e-01
1.230000000000000071e+01,3.704154767898571454e-01
1.232000000000000028e+01,5.557006313583440216e-01
1.233999999999999986e+01,3.815009015849915586e-01
1.235999999999999943e+01,7.096099643007159896e-01
1.237999999999999901e+01,4.662734710303418351e-01
1.240000000000000036e+01,4.712487462314137732e-01
1.241999999999999993e+01,4.042244827983588196e-01
1.243999999999999950e+01,3.878569573940423010e-01
1.246000000000000085e+01,5.543692849488450758e-01
1.248000000000000043e+01,4.630627208497646863e-01
1.250000000000000000e+01,3.072419813157841739e-01
1.251999999999999957e+01,3.874763375510745234e-01
1.253999999999999915e+01,6.819814451031313007e-01
1.256000000000000050e+01,3.384949422274214914e-01
1.258000000000000007e+01,7.084133924522854064e-01
1.259999999999999964e+01,3.985300671797315508e-01
1.262000000000000099e+01,5.062104922298598098e-01
1.264000000000000057e+01,5.192112591406632394e-01
1.266000000000000014e+01,7.837326516054531345e-01
1.267999999999999972e+01,5.869171823226702056e-01
1.269999999999999929e+01,5.886126219385797720e-01
1.272000000000000064e+01,4.552353173870544167e-01
1.274000000000000021e+01,5.151436625833389904e-01
1.275999999999999979e+01,5.101645369846810052e-01
1.278000000000000114e+01,7.130942292816702111e-01
1.280000000000000071e+01,7.043857173593377485e-01
1.282000000000000028e+01,3.462841815079654717e-01
1.283999999999999986e+01,3.367828036718137352e-01
1.285999999999999943e+01,4.895077424989340287e-01
1.287999999999999901e+01,5.772666676354145654e-01
1.290000000000000036e+01,4.712084274069148759e-01
1.291999999999999993e+01,8.920157534978777614e-01
1.293999999999999950e+01,7.357059294548224937e-01
1.296000000000000085e+01,1.161031446413992585e+00
1.298000000000000043e+01,2.490793313617903681e+00
1.300000000000000000e+01,5.713789997605401183e+00
1.301999999999999957e+01,9.263047860406050660e+00
1.303999999999999915e+01,7.881689892601475123e+00
1.306000000000000050e+01,4.362519651839283696e+00
1.308000000000000007e+01,1.631055520431812234e+00
1.309999999999999964e+01,7.154999086548856635e-01
1.312000000000000099e+01,4.593838817777594064e-01
1.314000000000000057e+01,7.453018699119794421e-01
1.316000000000000014e+01,4.471830308626666417e-01
1.317999999999999972e+01,4.290321957246662765e-01
1.319999999999999929e+01,6.026807179006528070e-01
1.322000000000000064e+01,5.987074523350303101e-01
1.324000000000000021e+01,3.696718945549836710e-01
1.325999999999999979e+01,4.629204042302116906e-01
1.328000000000000114e+01,3.878579729407326537e-01
1.330000000000000071e+01,4.829593303564538864e-01
1.332000000000000028e+01,5.185413575280473086e-01
1.333999999999999986e+01,6.351967183429001462e-01
1.335999999999999943e+01,6.429479848784914742e-01
1.337999999999999901e+01,3.582099937540974555e-01
1.340000000000000036e+01,6.948877842215824829e-01
1.341999999999999993e+01,6.368361547279370871e-01
1.343999999999999950e+01,4.641996430987964106e-01
1.346000000000000085e+01,6.766922756969275810e-01
1.348000000000000043e+01,4.579499136186988562e-01
1.350000000000000000e+01,5.843086143014165623e-01
1.351999999999999957e+01,6.241207448083024856e-01
1.353999999999999915e+01,4.630807384493724754e-01
1.356000000000000050e+01,4.477933760999416868e-01
1.358000000000000007e+01,6.799264602393663148e-01
1.359999999999999964e+01,3.414648272198039791e-01
1.362000000000000099e+01,6.417455128323714675e-01
1.364000000000000057e+01,4.523587730031994880e-01
1.366000000000000014e+01,5.520163175397883037e-01
1.367999999999999972e+01,6.067798992543481651e-01
1.369999999999999929e+01,3.765381280574747191e-01
1.372000000000000064e+01,2.912185329667427158e-01
1.374000000000000021e+01,5.869825211327575065e-01
1.375999999999999979e+01,6.015174811858917669e-01
1.378000000000000114e+01,6.005425541565257985e-01
1.380000000000000071e+01,8.754472102128008082e-01
1.382000000000000028e+01,6.588744797959862343e-01
1.383999999999999986e+01,5.293557573486056267e-01
1.385999999999999943e+01,7.227255450176574003e-01
1.387999999999999901e+01,5.578745637044371097e-01
1.390000000000000036e+01,4.372963454470501499e-01
1.391999999999999993e+01,8.680944684122195998e-01
1.393999999999999950e+01,8.358474613300692635e-01
1.396000000000000085e+01,6.383562170386882784e-01
1.398000000000000043e+01,6.228887809312477764e-01
1.400000000000000000e+01,6.855776827815409646e-01
1.401999999999999957e+01,5.594536676168004874e-01
1.403999999999999915e+01,7.936739269066721558e-01
1.406000000000000050e+01,6.366009341739792271e-01
1.408000000000000007e+01,5.943485031433493049e-01
1.409999999999999964e+01,6.450765707979181363e-01
1.412000000000000099e+01,1.167432201489813304e+00
1.414000000000000057e+01,8.853177093700583811e-01
1.416000000000000014e+01,1.007965003173656449e+00
1.417999999999999972e+01,1.123740952236413904e+00
1.419999999999999929e+01,1.584110537558586662e+00
1.421999999999999886e+01,1.982364601341694899e+00
1.424000000000000021e+01,1.528774217985257255e+00
1.425999999999999979e+01,2.597440246725241764e+00
1.428000000000000114e+01,3.124978580151338114e+00
1.430000000000000071e+01,5.586709621135613979e+00
1.432000000000000028e+01,1.175649098016911331e+01
1.433999999999999986e+01,3.607388921741934240e+01
1.435999999999999943e+01,7.710221929422215226e+01
1.437999999999999901e+01,9.015709228450880630e+01
1.440000000000000036e+01,6.021237528457534438e+01
1.441999999999999993e+01,2.639295934506199615e+01
1.444000000000000128e+01,1.569826063660575777e+01
1.446000000000000085e+01,2.682435971161319799e+01
1.448000000000000043e+01,4.848083010976878171e+01
1.450000000000000000e+01,5.041597662261260382e+01
