# 2Theta,Intensity
1.000000000000000000e+01,5.185938991871005266e-01
1.001999999999999957e+01,7.281537663866226584e-01
1.003999999999999915e+01,5.026628220825649640e-01
1.006000000000000050e+01,6.126127551648756775e-01
1.008000000000000007e+01,9.127436869166538624e-01
1.009999999999999964e+01,8.143675191737571595e-01
1.011999999999999922e+01,6.003954751287167158e-01
1.014000000000000057e+01,4.349664855005353492e-01
1.016000000000000014e+01,5.899590348652947736e-01
1.017999999999999972e+01,8.348604333344453732e-01
1.019999999999999929e+01,6.253006149028930150e-01
1.022000000000000064e+01,7.066558609726251161e-01
1.024000000000000021e+01,2.696710683153466515e-01
1.025999999999999979e+01,5.551742428689580011e-01
1.027999999999999936e+01,6.025536540409373032e-01
1.030000000000000071e+01,2.792159088295228520e-01
1.032000000000000028e+01,6.795092602199642728e-01
1.033999999999999986e+01,5.250606060136108200e-01
1.035999999999999943e+01,6.045481685735299981e-01
1.038000000000000078e+01,4.118500525719505645e-01
1.040000000000000036e+01,5.355538838970392845e-01
1.041999999999999993e+01,3.841406017721024635e-01
1.043999999999999950e+01,8.303296341771068123e-01
1.046000000000000085e+01,7.327046261369329905e-01
1.048000000000000043e+01,8.590246364485224495e-01
1.050000000000000000e+01,6.289977635863852612e-01
1.051999999999999957e+01,8.517504274142150278e-01
1.053999999999999915e+01,6.580873987277443549e-01
1.056000000000000050e+01,6.762607565233401674e-01
1.058000000000000007e+01,5.580779579808675672e-01
1.059999999999999964e+01,5.198429178318392241e-01
1.061999999999999922e+01,4.224822099509084605e-01
1.064000000000000057e+01,4.295306547341212755e-01
1.066000000000000014e+01,5.360626369692175208e-01
1.067999999999999972e+01,4.288985826131317403e-01
1.069999999999999929e+01,6.007293759929840382e-01
1.072000000000000064e+01,8.321075440830468795e-01
1.074000000000000021e+01,7.805051041344805984e-01
1.075999999999999979e+01,5.508074034057844903e-01
1.077999999999999936e+01,8.912995388057163293e-01
1.080000000000000071e+01,6.875271946145343760e-01
1.082000000000000028e+01,5.610764157412303499e-01
1.083999999999999986e+01,5.516995297749194282e-01
1.085999999999999943e+01,5.901331758140807571e-01
1.088000000000000078e+01,7.752065072285995173e-01
1.090000000000000036e+01,6.914536101570039062e-01
1.091999999999999993e+01,2.978763820820041763e-01
1.093999999999999950e+01,6.099156762426977130e-01
1.096000000000000085e+01,7.331932147186113191e-01
1.098000000000000043e+01,6.677056435509830523e-01
1.100000000000000000e+01,4.733643093337925878e-01
1.101999999999999957e+01,4.770140530491766562e-01
1.103999999999999915e+01,5.562143798544068041e-01
1.106000000000000050e+01,6.402185146917798164e-01
1.108000000000000007e+01,5.317479028365083016e-01
1.109999999999999964e+01,7.310305370186622742e-01
1.112000000000000099e+01,6.237763296505843824e-01
1.114000000000000057e+01,4.572564917883180646e-01
1.116000000000000014e+01,5.998684125453878080e-01
1.117999999999999972e+01,3.930483672699597864e-01
1.119999999999999929e+01,5.981289730174988994e-01
1.122000000000000064e+01,6.629605939167996231e-01
1.124000000000000021e+01,4.664274450774173464e-01
1.125999999999999979e+01,7.966153487695505353e-01
1.127999999999999936e+01,5.131431429472420591e-01
1.130000000000000071e+01,7.016587355546686222e-01
1.132000000000000028e+01,6.327594463230967747e-01
1.133999999999999986e+01,4.334672913607667266e-01
1.135999999999999943e+01,5.364645380096610960e-01
1.138000000000000078e+01,4.276651856685216302e-01
1.140000000000000036e+01,7.769065868176804335e-01
1.141999999999999993e+01,6.460821234361900922e-01
1.143999999999999950e+01,5.907843814004726246e-01
1.146000000000000085e+01,7.372392925824264864e-01
1.148000000000000043e+01,6.607713055830468640e-01
1.150000000000000000e+01,6.693063584444556291e-01
1.151999999999999957e+01,5.881864259175465515e-01
1.153999999999999915e+01,4.272994683138885974e-01
