# 2Theta,Intensity
1.000000000000000000e+01,2.189089586892629113e-01
1.001999999999999957e+01,5.008451982827941684e-01
1.003999999999999915e+01,5.138518263466124170e-01
1.006000000000000050e+01,5.810322013062545476e-01
1.008000000000000007e+01,2.741090220946686973e-01
1.009999999999999964e+01,4.622659831798421326e-01
1.011999999999999922e+01,6.127037252142089052e-01
1.014000000000000057e+01,2.769313099961344671e-01
1.016000000000000014e+01,5.026666685019290925e-01
1.017999999999999972e+01,6.176687976103106825e-01
1.019999999999999929e+01,4.395783926466385605e-01
1.022000000000000064e+01,8.193275042220371507e-01
1.024000000000000021e+01,5.361081699165717307e-01
1.025999999999999979e+01,6.172029211694231021e-01
1.027999999999999936e+01,4.386340252773470172e-01
1.030000000000000071e+01,3.647766723714740422e-01
1.032000000000000028e+01,2.867045983703702117e-01
1.033999999999999986e+01,4.615591610277181012e-01
1.035999999999999943e+01,5.548680988464221864e-01
1.038000000000000078e+01,3.711485858881276578e-01
1.040000000000000036e+01,3.818643183138981101e-01
1.041999999999999993e+01,4.679138534032304952e-01
1.043999999999999950e+01,4.525620942079628950e-01
1.046000000000000085e+01,4.982808296193288466e-01
1.048000000000000043e+01,5.570358962822866689e-01
1.050000000000000000e+01,4.910184117113166047e-01
1.051999999999999957e+01,5.257503044894997757e-01
1.053999999999999915e+01,5.134747485121199384e-01
1.056000000000000050e+01,7.346611978963961676e-01
1.058000000000000007e+01,3.095637643580838594e-01
1.059999999999999964e+01,6.828373500357098891e-01
1.061999999999999922e+01,2.930611543475666325e-01
1.064000000000000057e+01,3.941443575183989356e-01
1.066000000000000014e+01,5.029055269248755566e-01
1.067999999999999972e+01,3.479469220231782844e-01
1.069999999999999929e+01,5.291926852553611171e-01
1.072000000000000064e+01,4.409591005360253280e-01
1.074000000000000021e+01,4.253568600766098329e-01
1.075999999999999979e+01,4.704768052577308346e-01
1.077999999999999936e+01,5.629954601935209801e-01
1.080000000000000071e+01,3.574320918995969598e-01
1.082000000000000028e+01,5.817301487814255934e-01
1.083999999999999986e+01,5.890119372922102414e-01
1.085999999999999943e+01,3.874165858515883354e-01
1.088000000000000078e+01,3.624918503303899420e-01
1.090000000000000036e+01,5.057578593330290806e-01
1.091999999999999993e+01,4.529952007297959327e-01
1.093999999999999950e+01,5.094320278682457070e-01
1.096000000000000085e+01,4.756360844985315639e-01
1.098000000000000043e+01,4.618444609182832949e-01
1.100000000000000000e+01,1.274982916910241959e-01
1.101999999999999957e+01,2.898700503566729036e-01
1.103999999999999915e+01,3.314593892271353592e-01
1.106000000000000050e+01,4.797608944502113615e-01
1.108000000000000007e+01,5.627909915157478515e-01
1.109999999999999964e+01,7.229294614062701241e-01
1.112000000000000099e+01,3.798264994615872525e-01
1.114000000000000057e+01,3.368498097869616625e-01
1.116000000000000014e+01,2.639330240353289225e-01
1.117999999999999972e+01,1.757920451733922806e-01
1.119999999999999929e+01,4.017550880287342752e-01
1.122000000000000064e+01,5.542791216001095034e-01
1.124000000000000021e+01,3.872544347003002430e-01
1.125999999999999979e+01,6.327083086613799479e-01
1.127999999999999936e+01,6.760350761026147071e-01
1.130000000000000071e+01,4.916132337458274382e-01
1.132000000000000028e+01,5.498343605821445212e-01
1.133999999999999986e+01,4.569696566194758613e-01
