# 2Theta,Intensity
1.000000000000000000e+01,5.927166303437945150e-01
1.001999999999999957e+01,7.152303010144851481e-01
1.003999999999999915e+01,4.872494754935786654e-01
1.006000000000000050e+01,3.795156439642769497e-01
1.008000000000000007e+01,6.598255352767434800e-01
1.009999999999999964e+01,6.351250791327953671e-01
1.011999999999999922e+01,7.412904671812075019e-01
1.014000000000000057e+01,6.876863925383652765e-01
1.016000000000000014e+01,7.299340081655311119e-01
1.017999999999999972e+01,5.021703703668356500e-01
1.019999999999999929e+01,5.082050176896037996e-01
1.022000000000000064e+01,5.560990270545603797e-01
1.024000000000000021e+01,4.294335053483986364e-01
1.025999999999999979e+01,6.224200752963046090e-01
1.027999999999999936e+01,6.669355468950750598e-01
1.030000000000000071e+01,8.784783818752448514e-01
1.032000000000000028e+01,6.297913133376031869e-01
1.033999999999999986e+01,3.740645788375838721e-01
1.035999999999999943e+01,6.921805392052514661e-01
1.038000000000000078e+01,4.675687320940164482e-01
1.040000000000000036e+01,5.939233589240033862e-01
1.041999999999999993e+01,4.510865178117950403e-01
1.043999999999999950e+01,7.939992585122913615e-01
1.046000000000000085e+01,9.288001060770051387e-01
1.048000000000000043e+01,3.794195569481728092e-01
1.050000000000000000e+01,7.515483933661397664e-01
1.051999999999999957e+01,3.599436348742462988e-01
1.053999999999999915e+01,7.259503393830563089e-01
1.056000000000000050e+01,6.948392399526046592e-01
1.058000000000000007e+01,4.032325909705690159e-01
1.059999999999999964e+01,6.483774030540824240e-01
1.061999999999999922e+01,5.917504783513474198e-01
1.064000000000000057e+01,2.909467264806802067e-01
1.066000000000000014e+01,3.509867752610637548e-01
1.067999999999999972e+01,6.098276456777745880e-01
1.069999999999999929e+01,7.278661958995202852e-01
1.072000000000000064e+01,7.150031205069030671e-01
1.074000000000000021e+01,5.933171839508362133e-01
1.075999999999999979e+01,3.717701946416608338e-01
1.077999999999999936e+01,5.553958953696273015e-01
1.080000000000000071e+01,6.242808305305367345e-01
1.082000000000000028e+01,9.871716744757228490e-01
1.083999999999999986e+01,6.043963132545374650e-01
1.085999999999999943e+01,7.221381687229994073e-01
1.088000000000000078e+01,6.094284963574253533e-01
1.090000000000000036e+01,3.355569600803800512e-01
1.091999999999999993e+01,5.019518905644068107e-01
1.093999999999999950e+01,4.984291288370074624e-01
1.096000000000000085e+01,5.841019367473068158e-01
1.098000000000000043e+01,5.570092294438561131e-01
1.100000000000000000e+01,6.825062811709725619e-01
1.101999999999999957e+01,4.991920249470273574e-01
1.103999999999999915e+01,5.796109008959458020e-01
1.106000000000000050e+01,3.254939156096671171e-01
1.108000000000000007e+01,6.124499888876340226e-01
1.109999999999999964e+01,4.572484434941646025e-01
1.112000000000000099e+01,4.546333054315372380e-01
1.114000000000000057e+01,5.913668082564567108e-01
1.116000000000000014e+01,5.700760169413185974e-01
1.117999999999999972e+01,5.470139080013882715e-01
1.119999999999999929e+01,3.999458235239335968e-01
1.122000000000000064e+01,6.275667762219108159e-01
1.124000000000000021e+01,6.444324801063554542e-01
1.125999999999999979e+01,7.366566004995673822e-01
1.127999999999999936e+01,5.603759152460897619e-01
1.130000000000000071e+01,6.319620983304774509e-01
1.132000000000000028e+01,6.958500195107212294e-01
1.133999999999999986e+01,5.028498726494265991e-01
1.135999999999999943e+01,3.384006582368931926e-01
1.138000000000000078e+01,7.067272144501681730e-01
1.140000000000000036e+01,3.389949075928589961e-01
1.141999999999999993e+01,6.529511119294637567e-01
1.143999999999999950e+01,7.629172363214316022e-01
1.146000000000000085e+01,7.003193107845950838e-01
1.148000000000000043e+01,6.534007600672383509e-01
1.150000000000000000e+01,6.159778687919352791e-01
1.151999999999999957e+01,5.463143853793751559e-01
1.153999999999999915e+01,3.494130205336857253e-01
1.156000000000000050e+01,4.107670982946588500e-01
1.158000000000000007e+01,7.509819605667755749e-01
1.159999999999999964e+01,4.684267211435253486e-01
1.162000000000000099e+01,8.349620069639440700e-01
1.164000000000000057e+01,5.867465824261284268e-01
1.166000000000000014e+01,3.027305503072224013e-01
1.167999999999999972e+01,5.241901024398060160e-01
1.169999999999999929e+01,6.742305633675196308e-01
1.172000000000000064e+01,5.704527881732844863e-01
1.174000000000000021e+01,5.723183859592301248e-01
1.175999999999999979e+01,4.805442828314107628e-01
1.177999999999999936e+01,6.905921371376519957e-01
1.180000000000000071e+01,5.020863871896568131e-01
1.182000000000000028e+01,3.439279300000225859e-01
1.183999999999999986e+01,2.750363682936330934e-01
1.185999999999999943e+01,7.931993740856759789e-01
1.188000000000000078e+01,2.543470591251591473e-01
1.190000000000000036e+01,8.889014177275790241e-01
1.191999999999999993e+01,4.459200065701494631e-01
1.193999999999999950e+01,5.800811414259158250e-01
1.196000000000000085e+01,5.102880973985671753e-01
1.198000000000000043e+01,6.499897742638806042e-01
1.200000000000000000e+01,3.966026791317893152e-01
1.201999999999999957e+01,2.677485276917739299e-01
1.203999999999999915e+01,5.171622511525904020e-01
1.206000000000000050e+01,7.317060060211335593e-01
1.208000000000000007e+01,5.836684146283898089e-01
1.209999999999999964e+01,6.536013637312024782e-01
1.212000000000000099e+01,5.955381157026236050e-01
1.214000000000000057e+01,8.203638263273712594e-01
1.216000000000000014e+01,4.404889646311205276e-01
1.217999999999999972e+01,4.348647751385737448e-01
1.219999999999999929e+01,5.765380587293922332e-01
1.222000000000000064e+01,6.646518554305997917e-01
1.224000000000000021e+01,3.031005024278203841e-01
1.225999999999999979e+01,5.467880953599916216e-01
1.228000000000000114e+01,2.760143656312983862e-01
1.230000000000000071e+01,4.502177618933201897e-01
1.232000000000000028e+01,6.600071028457410449e-01
1.233999999999999986e+01,5.481567166447385286e-01
1.235999999999999943e+01,6.939628216791247084e-01
1.237999999999999901e+01,8.028142268777835877e-01
1.240000000000000036e+01,7.920874088750895492e-01
1.241999999999999993e+01,5.279265961786302475e-01
1.243999999999999950e+01,5.835569640004910630e-01
1.246000000000000085e+01,3.249006203905118184e-01
1.248000000000000043e+01,5.697360183240461895e-01
1.250000000000000000e+01,4.301578571536886497e-01
1.251999999999999957e+01,4.562457239058898550e-01
1.253999999999999915e+01,2.415327166563815409e-01
1.256000000000000050e+01,5.390197296666792148e-01
1.258000000000000007e+01,7.652768792515766139e-01
1.259999999999999964e+01,1.932884974961872615e-01
1.262000000000000099e+01,8.588956684050333967e-01
1.264000000000000057e+01,5.435314192724561844e-01
1.266000000000000014e+01,5.425950834268558065e-01
1.267999999999999972e+01,3.730148398479022909e-01
1.269999999999999929e+01,7.172887980055738799e-01
1.272000000000000064e+01,2.958504189309394961e-01
1.274000000000000021e+01,6.176321530726669451e-01
1.275999999999999979e+01,4.976752667118728990e-01
1.278000000000000114e+01,7.582181101113268928e-01
1.280000000000000071e+01,6.103573211953675637e-01
1.282000000000000028e+01,3.893666956206247032e-01
1.283999999999999986e+01,7.050644929402216654e-01
1.285999999999999943e+01,7.674307115990726125e-01
1.287999999999999901e+01,7.143817897088212687e-01
1.290000000000000036e+01,6.917724968491324455e-01
1.291999999999999993e+01,4.302280875465913645e-01
1.293999999999999950e+01,5.657364095323809128e-01
1.296000000000000085e+01,7.463978730081205493e-01
1.298000000000000043e+01,5.732165275939641313e-01
1.300000000000000000e+01,5.411098399230862555e-01
1.301999999999999957e+01,6.961972929940557497e-01
1.303999999999999915e+01,7.633632674048789202e-01
1.306000000000000050e+01,4.697265965936121002e-01
1.308000000000000007e+01,6.690960675687943615e-01
1.309999999999999964e+01,6.473332032302923089e-01
1.312000000000000099e+01,5.885744153284037106e-01
1.314000000000000057e+01,6.630474560360133385e-01
1.316000000000000014e+01,5.117582783927676626e-01
1.317999999999999972e+01,5.819792514492290181e-01
1.319999999999999929e+01,5.669866888853930531e-01
1.322000000000000064e+01,6.651612873540290183e-01
1.324000000000000021e+01,6.750771804367492468e-01
1.325999999999999979e+01,6.175969073394429465e-01
1.328000000000000114e+01,3.396676470895033106e-01
1.330000000000000071e+01,1.069740664730939095e+00
1.332000000000000028e+01,3.736841773407088008e-01
1.333999999999999986e+01,6.798235647584769392e-01
1.335999999999999943e+01,5.822735961180637299e-01
1.337999999999999901e+01,2.461178039553716390e-01
1.340000000000000036e+01,7.107666507088592489e-01
1.341999999999999993e+01,6.854569872401560238e-01
1.343999999999999950e+01,5.521578457701855625e-01
1.346000000000000085e+01,6.987587310323509771e-01
1.348000000000000043e+01,4.333109559542612788e-01
1.350000000000000000e+01,4.610055241081647548e-01
1.351999999999999957e+01,4.812672726086019703e-01
1.353999999999999915e+01,5.661880275770293514e-01
1.356000000000000050e+01,4.906673596892268674e-01
1.358000000000000007e+01,5.857785220593847431e-01
1.359999999999999964e+01,6.024412689070393068e-01
1.362000000000000099e+01,6.000408459251087567e-01
1.364000000000000057e+01,7.079012951960594879e-01
1.366000000000000014e+01,5.166132292784273439e-01
1.367999999999999972e+01,4.925136267125176381e-01
1.369999999999999929e+01,3.502139296411588276e-01
1.372000000000000064e+01,7.413200281065910335e-01
1.374000000000000021e+01,6.743434050759270493e-01
1.375999999999999979e+01,5.334146043145966409e-01
1.378000000000000114e+01,6.045978128677188534e-01
1.380000000000000071e+01,4.159017275469005237e-01
1.382000000000000028e+01,5.508434408836259122e-01
1.383999999999999986e+01,4.856094761405780336e-01
1.385999999999999943e+01,4.887153568777394819e-01
1.387999999999999901e+01,7.014917287705630944e-01
1.390000000000000036e+01,6.990088183389184806e-01
1.391999999999999993e+01,2.044857787805996474e-01
1.393999999999999950e+01,5.154208031982856486e-01
1.396000000000000085e+01,6.071029409847705782e-01
1.398000000000000043e+01,4.196369518398945231e-01
