# 2Theta,Intensity
1.000000000000000000e+01,-2.629805823969150885e-02
1.001999999999999957e+01,1.886049855782728490e-01
1.003999999999999915e+01,2.131596250930885006e-01
1.006000000000000050e+01,2.363225818978353099e-01
1.008000000000000007e+01,2.148203865926426037e-01
1.009999999999999964e+01,8.533402937112433140e-02
1.011999999999999922e+01,3.245395169229512433e-01
1.014000000000000057e+01,-5.005505526807110805e-02
1.016000000000000014e+01,1.516229126662692883e-01
1.017999999999999972e+01,5.565556180472390480e-02
1.019999999999999929e+01,-8.027306349077020786e-02
1.022000000000000064e+01,1.275065323633819692e-01
1.024000000000000021e+01,1.025573586956586153e-01
1.025999999999999979e+01,1.216795376254224265e-01
1.027999999999999936e+01,2.233446524190501326e-01
1.030000000000000071e+01,2.090305689327878746e-01
1.032000000000000028e+01,2.340397829950551234e-01
1.033999999999999986e+01,7.344101599777930027e-03
1.035999999999999943e+01,4.530188477638636552e-02
1.038000000000000078e+01,8.231846404812621920e-03
1.040000000000000036e+01,8.757708108776032785e-02
1.041999999999999993e+01,9.478964974120160369e-02
1.043999999999999950e+01,2.995057863641664882e-03
1.046000000000000085e+01,-3.434818532990624451e-02
1.048000000000000043e+01,2.410494845088326579e-02
1.050000000000000000e+01,7.843149316278275052e-02
1.051999999999999957e+01,2.684682962061831213e-01
1.053999999999999915e+01,5.601635421580911101e-02
1.056000000000000050e+01,1.113390810167688288e-01
1.058000000000000007e+01,2.609009076956111395e-01
1.059999999999999964e+01,1.133773860598935729e-01
1.061999999999999922e+01,3.942157833756992358e-01
1.064000000000000057e+01,8.943985969310853934e-02
1.066000000000000014e+01,5.806647435626329998e-03
1.067999999999999972e+01,8.405050907999556467e-03
1.069999999999999929e+01,1.561073306157637619e-01
1.072000000000000064e+01,2.479053322011793292e-01
1.074000000000000021e+01,2.548911139270146897e-01
1.075999999999999979e+01,5.247186203191096104e-02
1.077999999999999936e+01,-4.277859352749913829e-02
1.080000000000000071e+01,-8.245808286061924453e-02
1.082000000000000028e+01,2.329504452694497740e-01
1.083999999999999986e+01,2.594115474020039502e-01
1.085999999999999943e+01,1.859958035344325966e-01
1.088000000000000078e+01,9.579461275428768907e-02
1.090000000000000036e+01,-1.283394913352289314e-02
1.091999999999999993e+01,1.972978856262697644e-01
1.093999999999999950e+01,2.165676585570076862e-01
1.096000000000000085e+01,1.169892695098110058e-01
1.098000000000000043e+01,1.917547430514837115e-01
1.100000000000000000e+01,1.794874693791685960e-01
1.101999999999999957e+01,1.046565177968551696e-01
1.103999999999999915e+01,8.320683582291735214e-02
1.106000000000000050e+01,6.743921085205746568e-02
1.108000000000000007e+01,1.870717793385529848e-01
1.109999999999999964e+01,1.811886683853168867e-01
1.112000000000000099e+01,2.365969648472152076e-01
1.114000000000000057e+01,2.422055618375973385e-01
1.116000000000000014e+01,3.245411182031001096e-01
1.117999999999999972e+01,1.623008022488928170e-01
1.119999999999999929e+01,4.189921562671260896e-02
1.122000000000000064e+01,2.633605944664493825e-01
1.124000000000000021e+01,-1.109419219106322213e-01
1.125999999999999979e+01,9.800470324354039475e-02
1.127999999999999936e+01,1.576500769147166636e-01
1.130000000000000071e+01,2.800305549467122512e-01
1.132000000000000028e+01,9.461755988970611819e-02
1.133999999999999986e+01,1.596154216362327960e-01
1.135999999999999943e+01,2.498567803862180026e-01
1.138000000000000078e+01,2.215871550099808018e-01
