# 2Theta,Intensity
1.000000000000000000e+01,1.904364550836495251e+00
1.001999999999999957e+01,2.472021187190919012e+00
1.003999999999999915e+01,2.143933021719335308e+00
1.006000000000000050e+01,2.067287447456939375e+00
1.008000000000000007e+01,2.386980025689399376e+00
1.009999999999999964e+01,1.834900537850598479e+00
1.011999999999999922e+01,2.344961493167778244e+00
1.014000000000000057e+01,2.432554507275306754e+00
1.016000000000000014e+01,2.510681428850526142e+00
1.017999999999999972e+01,2.303717206829192232e+00
1.019999999999999929e+01,2.043879407910331292e+00
1.022000000000000064e+01,2.399201776371916672e+00
1.024000000000000021e+01,2.423924305763633935e+00
1.025999999999999979e+01,2.412670995311239963e+00
1.027999999999999936e+01,2.639215272543108171e+00
1.030000000000000071e+01,2.292251722219018628e+00
1.032000000000000028e+01,1.931664438794657768e+00
1.033999999999999986e+01,2.291164960081849777e+00
1.035999999999999943e+01,2.420964613113780306e+00
1.038000000000000078e+01,2.321836165845918121e+00
1.040000000000000036e+01,1.964324520518824446e+00
1.041999999999999993e+01,2.232163207818779860e+00
1.043999999999999950e+01,2.321541536191665589e+00
1.046000000000000085e+01,2.298176142898049612e+00
1.048000000000000043e+01,2.587317278327120107e+00
1.050000000000000000e+01,2.386859186786324027e+00
1.051999999999999957e+01,2.512507721355901058e+00
1.053999999999999915e+01,2.220959114418093350e+00
1.056000000000000050e+01,2.118120561439121197e+00
1.058000000000000007e+01,1.943009552291161901e+00
1.059999999999999964e+01,2.370238007367245103e+00
1.061999999999999922e+01,2.166108615161795647e+00
1.064000000000000057e+01,2.215773262386199427e+00
1.066000000000000014e+01,2.597360538698155086e+00
1.067999999999999972e+01,2.488137762090388172e+00
1.069999999999999929e+01,2.472350281018155016e+00
1.072000000000000064e+01,2.695725834727859205e+00
1.074000000000000021e+01,2.023663706063042245e+00
1.075999999999999979e+01,2.186763646354598745e+00
1.077999999999999936e+01,2.625052431066655867e+00
1.080000000000000071e+01,2.410616093506000812e+00
1.082000000000000028e+01,2.661197754510625568e+00
1.083999999999999986e+01,2.419274576857695536e+00
1.085999999999999943e+01,2.533783717586028938e+00
1.088000000000000078e+01,2.186214702282376354e+00
1.090000000000000036e+01,2.381330275793825724e+00
1.091999999999999993e+01,2.545037619491365977e+00
1.093999999999999950e+01,2.115599203988354660e+00
1.096000000000000085e+01,2.322161782950884490e+00
1.098000000000000043e+01,2.322024289685717502e+00
1.100000000000000000e+01,2.371136155909900456e+00
1.101999999999999957e+01,2.275139085570590858e+00
1.103999999999999915e+01,2.513547527001496640e+00
1.106000000000000050e+01,2.456259395313758809e+00
1.108000000000000007e+01,2.392633470061788170e+00
1.109999999999999964e+01,1.951133903407184178e+00
1.112000000000000099e+01,2.272568965616759140e+00
1.114000000000000057e+01,2.442555895709955127e+00
1.116000000000000014e+01,2.146947530598992682e+00
1.117999999999999972e+01,2.096627667062014755e+00
1.119999999999999929e+01,2.279097419439465533e+00
1.122000000000000064e+01,1.812866469625830756e+00
1.124000000000000021e+01,2.573425320287030083e+00
1.125999999999999979e+01,2.761613516399502366e+00
1.127999999999999936e+01,2.254129008603658058e+00
1.130000000000000071e+01,2.301393266634247592e+00
1.132000000000000028e+01,2.489484372381293831e+00
1.133999999999999986e+01,2.316911072512153336e+00
1.135999999999999943e+01,2.574098893347310568e+00
1.138000000000000078e+01,2.397033536757104066e+00
1.140000000000000036e+01,2.436223562402553000e+00
1.141999999999999993e+01,2.406535052306026934e+00
1.143999999999999950e+01,2.547574331563839944e+00
1.146000000000000085e+01,2.101840993898478338e+00
1.148000000000000043e+01,2.368439901311382823e+00
1.150000000000000000e+01,2.571113781596193526e+00
1.151999999999999957e+01,2.363656711538665522e+00
1.153999999999999915e+01,1.920633373778362074e+00
1.156000000000000050e+01,2.640925552420704037e+00
1.158000000000000007e+01,2.342937999668087912e+00
1.159999999999999964e+01,2.554695804562168160e+00
1.162000000000000099e+01,2.369081270894946467e+00
1.164000000000000057e+01,1.749361657832015471e+00
1.166000000000000014e+01,1.966475037940447201e+00
