# 2Theta,Intensity
1.000000000000000000e+01,3.626942896523884796e-01
1.001999999999999957e+01,6.108387189988143673e-01
1.003999999999999915e+01,5.909736776447392925e-01
1.006000000000000050e+01,8.298751897373135566e-01
1.008000000000000007e+01,1.413326568552157325e-01
1.009999999999999964e+01,4.152105568073917174e-01
1.011999999999999922e+01,4.914971475382251542e-01
1.014000000000000057e+01,4.519457407117099534e-01
1.016000000000000014e+01,2.279769554355914885e-01
1.017999999999999972e+01,3.600427819996414591e-01
1.019999999999999929e+01,3.804398706293488641e-01
1.022000000000000064e+01,4.582380050553486184e-01
1.024000000000000021e+01,5.395871123811958325e-01
1.025999999999999979e+01,2.156049973601171232e-01
1.027999999999999936e+01,6.317317478791792951e-01
1.030000000000000071e+01,4.532850126087717424e-01
1.032000000000000028e+01,4.196100923827019713e-01
1.033999999999999986e+01,5.515525862492920428e-01
1.035999999999999943e+01,6.717515947735958060e-01
1.038000000000000078e+01,3.882252647541520330e-01
1.040000000000000036e+01,4.116250268638655951e-01
1.041999999999999993e+01,1.842083865902764961e-01
1.043999999999999950e+01,5.480428267006474119e-01
1.046000000000000085e+01,5.322233880095050829e-01
1.048000000000000043e+01,3.240338874126050261e-01
1.050000000000000000e+01,4.620978360682663766e-01
1.051999999999999957e+01,4.942922518687344335e-01
1.053999999999999915e+01,4.050533117894604129e-01
1.056000000000000050e+01,7.882623330823000929e-01
1.058000000000000007e+01,3.671042421917098952e-01
1.059999999999999964e+01,5.031858086266991492e-01
1.061999999999999922e+01,5.949134649190725987e-01
1.064000000000000057e+01,4.065520684245653715e-01
1.066000000000000014e+01,7.720633243462439177e-01
1.067999999999999972e+01,6.168038943390727891e-01
1.069999999999999929e+01,4.424180238062469517e-01
1.072000000000000064e+01,6.407871680078564003e-01
1.074000000000000021e+01,7.513720257781311140e-01
1.075999999999999979e+01,3.138202297470375490e-01
1.077999999999999936e+01,2.373904286554518739e-01
1.080000000000000071e+01,6.011554424080677306e-01
1.082000000000000028e+01,6.428254000442190641e-01
1.083999999999999986e+01,4.114982023344078144e-01
1.085999999999999943e+01,2.938918123128786974e-01
1.088000000000000078e+01,5.366356762329835828e-01
1.090000000000000036e+01,3.188347975358863939e-01
1.091999999999999993e+01,6.542123943661456442e-01
1.093999999999999950e+01,2.903582783413949028e-02
1.096000000000000085e+01,2.563754525498548875e-01
1.098000000000000043e+01,4.520980645047246727e-01
1.100000000000000000e+01,4.648838568249533121e-01
1.101999999999999957e+01,3.457675732863377815e-01
1.103999999999999915e+01,4.847011275519850781e-01
1.106000000000000050e+01,6.394618834471701430e-01
1.108000000000000007e+01,5.578796809059054507e-01
1.109999999999999964e+01,1.993444531187592572e-01
1.112000000000000099e+01,4.760505647625231096e-01
1.114000000000000057e+01,3.260012181561035560e-01
1.116000000000000014e+01,6.748186463556683501e-01
1.117999999999999972e+01,6.313367555797847475e-01
1.119999999999999929e+01,5.920386878803047814e-01
1.122000000000000064e+01,4.816076165418874400e-01
1.124000000000000021e+01,4.519923883608849002e-01
1.125999999999999979e+01,4.892689134225916558e-01
1.127999999999999936e+01,4.217385005146166432e-01
1.130000000000000071e+01,4.054567753491315485e-01
1.132000000000000028e+01,2.587088859959778553e-01
1.133999999999999986e+01,3.986807630849534267e-01
1.135999999999999943e+01,2.525762440021296906e-01
1.138000000000000078e+01,4.535569258945024163e-01
1.140000000000000036e+01,4.055194799046679122e-01
1.141999999999999993e+01,3.842276312348293921e-01
1.143999999999999950e+01,6.128456886419230143e-01
1.146000000000000085e+01,1.866124937181888876e-01
1.148000000000000043e+01,3.831270872731744603e-01
1.150000000000000000e+01,6.000296404518270510e-01
1.151999999999999957e+01,2.587181333092284374e-01
1.153999999999999915e+01,5.606008801988717760e-01
1.156000000000000050e+01,5.583058647772147776e-01
1.158000000000000007e+01,5.927719178084432938e-01
1.159999999999999964e+01,7.548972447342898739e-01
1.162000000000000099e+01,2.720999251512519757e-01
1.164000000000000057e+01,3.121459395762525846e-01
1.166000000000000014e+01,5.897220475214277613e-01
1.167999999999999972e+01,5.853249550483463626e-01
1.169999999999999929e+01,4.780716962039833762e-01
1.172000000000000064e+01,3.492661407192331202e-01
1.174000000000000021e+01,4.332832700298907547e-01
1.175999999999999979e+01,5.193395080883350667e-01
1.177999999999999936e+01,4.567995811467614464e-01
1.180000000000000071e+01,4.045940010812161258e-01
1.182000000000000028e+01,3.628424148205139366e-01
1.183999999999999986e+01,3.218404785890077169e-01
1.185999999999999943e+01,8.712137113039266634e-01
1.188000000000000078e+01,3.217245731043686385e-01
1.190000000000000036e+01,3.396512340302189070e-01
1.191999999999999993e+01,5.971469816632818395e-01
1.193999999999999950e+01,4.135983084328708204e-01
1.196000000000000085e+01,4.098510634627081650e-01
1.198000000000000043e+01,5.261211394179547973e-01
1.200000000000000000e+01,5.620290367749257721e-01
1.201999999999999957e+01,4.131625751534753754e-01
1.203999999999999915e+01,6.541699146095938389e-01
1.206000000000000050e+01,2.892330720610380990e-01
1.208000000000000007e+01,3.789210868609529936e-01
1.209999999999999964e+01,3.034850438738017075e-01
1.212000000000000099e+01,3.972304796822502260e-01
1.214000000000000057e+01,4.276567534460660736e-01
1.216000000000000014e+01,7.577153921421060367e-01
1.217999999999999972e+01,3.184084403586963097e-01
1.219999999999999929e+01,5.071091222799770648e-01
1.222000000000000064e+01,1.086303043843186295e-01
1.224000000000000021e+01,4.062508067308036042e-01
1.225999999999999979e+01,5.219129618021506323e-01
1.228000000000000114e+01,4.189393083542160556e-01
1.230000000000000071e+01,4.536923891843726575e-01
