# 2Theta,Intensity
1.000000000000000000e+01,3.657972964556649997e-01
1.001999999999999957e+01,3.960869095878611357e-01
1.003999999999999915e+01,3.301636914880868856e-01
1.006000000000000050e+01,5.993560606649320777e-01
1.008000000000000007e+01,4.403709663029017340e-01
1.009999999999999964e+01,4.403795081555066937e-01
1.011999999999999922e+01,5.495276821715072701e-01
1.014000000000000057e+01,4.513892759708194036e-01
1.016000000000000014e+01,7.202488364579960889e-01
1.017999999999999972e+01,9.192831464925839136e-01
1.019999999999999929e+01,7.428430015376802364e-01
1.022000000000000064e+01,9.689301770148505133e-01
1.024000000000000021e+01,1.803054950170559723e+00
1.025999999999999979e+01,1.938402896139193921e+00
1.027999999999999936e+01,3.926735330009065716e+00
1.030000000000000071e+01,9.055077724550210760e+00
1.032000000000000028e+01,3.253934051109997228e+01
1.033999999999999986e+01,7.286446642182048095e+01
1.035999999999999943e+01,1.000000000000000000e+02
1.038000000000000078e+01,6.659894551940899987e+01
1.040000000000000036e+01,2.787214974181370053e+01
1.041999999999999993e+01,8.683760150681258949e+00
1.043999999999999950e+01,3.153077958739941344e+00
1.046000000000000085e+01,2.321682567764593585e+00
1.048000000000000043e+01,1.830134796550221932e+00
1.050000000000000000e+01,1.251736021903201657e+00
1.051999999999999957e+01,1.108390346508861812e+00
1.053999999999999915e+01,8.501299591961686275e-01
1.056000000000000050e+01,7.244427013216953037e-01
1.058000000000000007e+01,6.791638024826250897e-01
1.059999999999999964e+01,7.320816553988209741e-01
1.061999999999999922e+01,6.269392725290627855e-01
1.064000000000000057e+01,6.299438503461828320e-01
1.066000000000000014e+01,4.985662111640842276e-01
1.067999999999999972e+01,5.701689941914109827e-01
1.069999999999999929e+01,1.901273979525007762e-01
1.072000000000000064e+01,2.919068978673405867e-01
1.074000000000000021e+01,2.539430402063358461e-01
1.075999999999999979e+01,1.795851386193763055e-01
1.077999999999999936e+01,3.454323760401988297e-01
1.080000000000000071e+01,4.577057467673310565e-01
1.082000000000000028e+01,2.816293415032474767e-01
1.083999999999999986e+01,2.723926235646642047e-01
1.085999999999999943e+01,2.462620454315406493e-01
1.088000000000000078e+01,8.146360191552363961e-02
1.090000000000000036e+01,3.061335093290432630e-01
1.091999999999999993e+01,3.065091200575422170e-01
1.093999999999999950e+01,2.140687022413427509e-01
1.096000000000000085e+01,3.024709752913217198e-01
1.098000000000000043e+01,2.464089220508293987e-01
1.100000000000000000e+01,2.393408560943857399e-01
1.101999999999999957e+01,3.180006034956830985e-01
1.103999999999999915e+01,4.126158870641271070e-01
1.106000000000000050e+01,1.739387121936881997e-01
1.108000000000000007e+01,8.964028984124063071e-02
1.109999999999999964e+01,5.327339735935503473e-01
1.112000000000000099e+01,2.240701056431266547e-01
1.114000000000000057e+01,2.961814650878998867e-01
1.116000000000000014e+01,2.299704618661131406e-01
1.117999999999999972e+01,1.307572314698978722e-01
1.119999999999999929e+01,8.892911495495954555e-02
1.122000000000000064e+01,2.504966107143282161e-01
1.124000000000000021e+01,3.243260222331050824e-01
1.125999999999999979e+01,3.776152125776173762e-01
1.127999999999999936e+01,2.352689416062625216e-01
1.130000000000000071e+01,1.182505744636610512e-01
1.132000000000000028e+01,2.352541727283393724e-01
1.133999999999999986e+01,2.351975603891822142e-01
1.135999999999999943e+01,2.763768582101429616e-01
1.138000000000000078e+01,2.330033732654855638e-01
1.140000000000000036e+01,3.785319292111763989e-01
1.141999999999999993e+01,-8.863624270972673969e-02
1.143999999999999950e+01,2.600441899619287400e-01
1.146000000000000085e+01,3.242144594732075391e-01
1.148000000000000043e+01,8.509006491216365708e-02
1.150000000000000000e+01,1.811977702423411551e-01
1.151999999999999957e+01,3.765560953367155239e-01
1.153999999999999915e+01,2.033660363012923522e-01
1.156000000000000050e+01,-9.348400861203053731e-05
1.158000000000000007e+01,3.205278120240501738e-01
1.159999999999999964e+01,4.177679960531445191e-01
1.162000000000000099e+01,1.919047353400599176e-01
1.164000000000000057e+01,2.579934188855170785e-02
1.166000000000000014e+01,2.018493945072832585e-01
1.167999999999999972e+01,2.152529731581382388e-01
