# 2Theta,Intensity
1.000000000000000000e+01,2.519749205266985093e-01
1.001999999999999957e+01,-4.684511227748115736e-02
1.003999999999999915e+01,1.264302962660816543e-01
1.006000000000000050e+01,2.242417174382054512e-01
1.008000000000000007e+01,1.467219053305052201e-02
1.009999999999999964e+01,8.703101929909262680e-02
1.011999999999999922e+01,7.587678162367354762e-02
1.014000000000000057e+01,7.205582929229793765e-02
1.016000000000000014e+01,4.707738811877859586e-02
1.017999999999999972e+01,8.460927831863991611e-02
1.019999999999999929e+01,2.579457193949480885e-03
1.022000000000000064e+01,1.292460314381727871e-01
1.024000000000000021e+01,5.612040783010685541e-02
1.025999999999999979e+01,4.950672009180733663e-02
1.027999999999999936e+01,-6.986558020709728034e-02
1.030000000000000071e+01,-6.339032145147996400e-02
1.032000000000000028e+01,-1.153870185438893303e-02
1.033999999999999986e+01,1.514949216785324848e-01
1.035999999999999943e+01,1.620019444312369716e-01
1.038000000000000078e+01,4.890416964875937689e-02
1.040000000000000036e+01,2.200261162014439109e-01
1.041999999999999993e+01,-5.754697636354665774e-02
1.043999999999999950e+01,-1.155157968692827226e-02
1.046000000000000085e+01,1.715950202868871399e-01
1.048000000000000043e+01,1.067243629227165869e-01
1.050000000000000000e+01,-1.041332419923054163e-02
1.051999999999999957e+01,2.378738224740686302e-01
1.053999999999999915e+01,4.586465070486588774e-02
1.056000000000000050e+01,1.711088576576826892e-01
1.058000000000000007e+01,8.397870818319556896e-02
1.059999999999999964e+01,1.809761879277775876e-01
1.061999999999999922e+01,1.214331531607634601e-01
1.064000000000000057e+01,-4.681766352412078391e-02
1.066000000000000014e+01,8.912411758330805733e-02
1.067999999999999972e+01,9.840743701167960211e-02
1.069999999999999929e+01,2.334915663193358748e-01
1.072000000000000064e+01,2.377491326023791207e-01
1.074000000000000021e+01,9.686198044578477051e-02
1.075999999999999979e+01,1.911338849811942964e-01
1.077999999999999936e+01,1.268424804110122872e-01
1.080000000000000071e+01,1.992774425994397469e-01
1.082000000000000028e+01,-2.970769966469782170e-02
1.083999999999999986e+01,4.711565002822663828e-02
1.085999999999999943e+01,2.474310795210424296e-01
1.088000000000000078e+01,1.137327424867619202e-01
1.090000000000000036e+01,1.617361321608763169e-01
1.091999999999999993e+01,-3.608686437167752531e-02
1.093999999999999950e+01,9.189361526035749739e-02
1.096000000000000085e+01,1.352888853496381771e-01
1.098000000000000043e+01,5.165607970942091148e-02
1.100000000000000000e+01,1.106411887227033847e-01
1.101999999999999957e+01,2.056417986665157183e-01
1.103999999999999915e+01,2.135432368894460975e-01
1.106000000000000050e+01,1.885127109466493422e-01
1.108000000000000007e+01,2.010156751937124120e-01
1.109999999999999964e+01,2.661540257446676216e-01
1.112000000000000099e+01,-1.318464621054204686e-02
1.114000000000000057e+01,2.413377876089735918e-01
1.116000000000000014e+01,3.792231991697662952e-02
1.117999999999999972e+01,8.835868489189609154e-02
1.119999999999999929e+01,1.066053122152700455e-01
1.122000000000000064e+01,1.541448760566548060e-01
1.124000000000000021e+01,1.783018911532233131e-01
1.125999999999999979e+01,1.496346136404321514e-01
1.127999999999999936e+01,-6.146250551298140796e-02
1.130000000000000071e+01,-4.697077379741867315e-02
1.132000000000000028e+01,8.970620948020271990e-02
1.133999999999999986e+01,-1.298492690548306260e-02
1.135999999999999943e+01,1.961520095797053831e-01
1.138000000000000078e+01,2.321627262719695994e-01
1.140000000000000036e+01,-1.429230608520197640e-03
1.141999999999999993e+01,1.084058965148208542e-01
1.143999999999999950e+01,2.192723307941248090e-02
1.146000000000000085e+01,1.562473181577379577e-01
1.148000000000000043e+01,-1.523895700197548664e-01
1.150000000000000000e+01,3.120158050843207728e-02
1.151999999999999957e+01,2.899407709703592517e-01
1.153999999999999915e+01,1.878058388231826914e-01
1.156000000000000050e+01,1.683739347004502840e-01
1.158000000000000007e+01,3.210517349674017473e-01
1.159999999999999964e+01,-6.927225814723743380e-02
1.162000000000000099e+01,2.108543455709162850e-01
1.164000000000000057e+01,1.694827089708017820e-01
1.166000000000000014e+01,3.495409824727294112e-02
1.167999999999999972e+01,1.394842926246153136e-01
1.169999999999999929e+01,2.115325202071570709e-01
1.172000000000000064e+01,1.366591022835341451e-01
1.174000000000000021e+01,5.021977172843407724e-04
1.175999999999999979e+01,1.703036937035131704e-01
1.177999999999999936e+01,2.449701698859498844e-01
1.180000000000000071e+01,-1.917895802269944591e-02
1.182000000000000028e+01,1.515537041885771374e-01
1.183999999999999986e+01,4.863240269980171476e-02
1.185999999999999943e+01,-1.245695277921982369e-01
1.188000000000000078e+01,7.785224016634605115e-02
1.190000000000000036e+01,3.560891926361677839e-01
1.191999999999999993e+01,1.738138676618314615e-01
1.193999999999999950e+01,9.741594944723361293e-02
1.196000000000000085e+01,1.767351182729365588e-01
1.198000000000000043e+01,-5.150081113965613135e-04
1.200000000000000000e+01,-3.556373360024506214e-02
1.201999999999999957e+01,9.313161313223866644e-02
1.203999999999999915e+01,1.342177301543393819e-01
1.206000000000000050e+01,2.019191724032146640e-01
1.208000000000000007e+01,1.248484936641299919e-01
1.209999999999999964e+01,6.657932651737483165e-02
1.212000000000000099e+01,1.383250351092111252e-01
1.214000000000000057e+01,5.559325536088192271e-02
1.216000000000000014e+01,3.644950557799443713e-02
1.217999999999999972e+01,2.126403498351287225e-01
